股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
杭州银行,600926,2016-10-27,6.74,8.5,8.5,6.74,3799,7844051.0,33.4,61.29,3.23,0.15
杭州银行,600926,2016-10-28,9.56,9.56,9.56,9.56,2636,6007991.0,0.0,12.47,1.06,0.1
杭州银行,600926,2016-10-31,10.72,10.72,10.72,10.72,79579,199505531.0,0.0,12.13,1.16,3.04
杭州银行,600926,2016-11-01,11.45,12.0,12.0,11.29,955216,2599903952.0,6.62,11.94,1.28,36.49
杭州银行,600926,2016-11-02,12.33,12.76,13.39,12.15,1401002,4070404688.0,10.33,6.33,0.76,53.52
杭州银行,600926,2016-11-03,12.22,12.1,12.47,12.01,799483,2232413104.0,3.61,-5.17,-0.66,30.54
杭州银行,600926,2016-11-04,12.12,11.67,12.21,11.53,636671,1723018688.0,5.62,-3.55,-0.43,24.32
杭州银行,600926,2016-11-07,11.54,11.59,11.79,11.31,363545,967753808.0,4.11,-0.69,-0.08,13.89
杭州银行,600926,2016-11-08,11.64,11.57,11.67,11.44,316659,845769200.0,1.98,-0.17,-0.02,12.1
杭州银行,600926,2016-11-09,11.45,11.07,11.5,10.95,459969,1197431472.0,4.75,-4.32,-0.5,17.57
杭州银行,600926,2016-11-10,11.24,11.57,11.81,11.0,634739,1690276416.0,7.32,4.52,0.5,24.25
杭州银行,600926,2016-11-11,11.45,11.49,11.64,11.33,440952,1169257536.0,2.68,-0.69,-0.08,16.85
杭州银行,600926,2016-11-14,11.43,11.7,12.11,11.35,522527,1414187360.0,6.61,1.83,0.21,19.96
杭州银行,600926,2016-11-15,11.6,11.54,11.6,11.45,259979,691544688.0,1.28,-1.37,-0.16,9.93
杭州银行,600926,2016-11-16,11.59,11.47,11.66,11.45,221793,590323360.0,1.82,-0.61,-0.07,8.47
杭州银行,600926,2016-11-17,11.4,11.22,11.45,11.16,232119,606093344.0,2.53,-2.18,-0.25,8.87
杭州银行,600926,2016-11-18,11.2,10.99,11.21,10.97,254912,656070752.0,2.14,-2.05,-0.23,9.74
杭州银行,600926,2016-11-21,10.95,10.92,11.1,10.85,190884,486854752.0,2.27,-0.64,-0.07,7.29
杭州银行,600926,2016-11-22,10.88,10.96,10.99,10.86,181148,461331296.0,1.19,0.37,0.04,6.92
杭州银行,600926,2016-11-23,10.96,10.92,11.17,10.88,231900,595691392.0,2.65,-0.36,-0.04,8.86
杭州银行,600926,2016-11-24,10.87,10.56,10.88,10.54,283867,708961184.0,3.11,-3.3,-0.36,10.84
杭州银行,600926,2016-11-25,10.56,10.5,10.67,10.37,148422,365052416.0,2.84,-0.57,-0.06,5.67
杭州银行,600926,2016-11-28,10.5,10.57,10.67,10.44,147529,365805552.0,2.19,0.67,0.07,5.64
杭州银行,600926,2016-11-29,10.49,10.15,10.5,10.15,234903,569283072.0,3.31,-3.97,-0.42,8.97
杭州银行,600926,2016-11-30,10.14,9.82,10.15,9.78,174816,411369392.0,3.65,-3.25,-0.33,6.68
杭州银行,600926,2016-12-01,9.82,9.9,10.0,9.82,112145,263348480.0,1.83,0.81,0.08,4.28
杭州银行,600926,2016-12-02,9.87,9.75,9.9,9.73,121296,281883584.0,1.72,-1.52,-0.15,4.63
杭州银行,600926,2016-12-05,9.72,9.84,9.85,9.63,95852,222560708.0,2.26,0.92,0.09,3.66
杭州银行,600926,2016-12-06,9.81,9.9,9.98,9.79,96436,226438409.0,1.93,0.61,0.06,3.68
杭州银行,600926,2016-12-07,9.87,9.92,9.93,9.75,91558,213667879.0,1.82,0.2,0.02,3.5
杭州银行,600926,2016-12-08,9.92,10.18,10.33,9.9,279021,669726464.0,4.33,2.62,0.26,10.66
杭州银行,600926,2016-12-09,10.12,10.16,10.32,10.05,187674,452174368.0,2.65,-0.2,-0.02,7.17
杭州银行,600926,2016-12-12,10.1,9.54,10.3,9.51,201285,470803952.0,7.78,-6.1,-0.62,7.69
杭州银行,600926,2016-12-13,9.45,9.32,9.51,9.06,170341,377255520.0,4.72,-2.31,-0.22,6.51
杭州银行,600926,2016-12-14,9.31,9.23,9.41,9.22,106066,236248110.0,2.04,-0.97,-0.09,4.05
杭州银行,600926,2016-12-15,9.2,9.28,9.33,9.15,96405,213972196.0,1.95,0.54,0.05,3.68
杭州银行,600926,2016-12-16,9.23,9.24,9.31,9.16,85752,190056379.0,1.62,-0.43,-0.04,3.28
杭州银行,600926,2016-12-19,9.23,9.04,9.27,9.02,83660,183379880.0,2.71,-2.16,-0.2,3.2
杭州银行,600926,2016-12-20,9.0,8.92,9.1,8.86,79941,172963442.0,2.65,-1.33,-0.12,3.05
杭州银行,600926,2016-12-21,8.97,9.07,9.13,8.9,99582,216232795.0,2.58,1.68,0.15,3.8
杭州银行,600926,2016-12-22,9.03,8.96,9.04,8.91,63104,136401457.0,1.43,-1.21,-0.11,2.41
杭州银行,600926,2016-12-23,8.92,8.84,9.03,8.84,69861,150530101.0,2.12,-1.34,-0.12,2.67
杭州银行,600926,2016-12-26,8.75,8.88,8.89,8.56,92942,196242362.0,3.73,0.45,0.04,3.55
杭州银行,600926,2016-12-27,8.83,8.75,8.86,8.74,52299,111334975.0,1.35,-1.46,-0.13,2.0
杭州银行,600926,2016-12-28,8.79,8.66,8.79,8.64,49260,104004996.0,1.71,-1.03,-0.09,1.88
杭州银行,600926,2016-12-29,8.66,8.65,8.76,8.62,48791,102818785.0,1.62,-0.12,-0.01,1.86
杭州银行,600926,2016-12-30,8.65,8.62,8.71,8.6,59577,125049185.0,1.27,-0.35,-0.03,2.28
杭州银行,600926,2017-01-03,8.62,8.71,8.77,8.62,61949,130966180.0,1.74,1.04,0.09,2.37
杭州银行,600926,2017-01-04,8.72,8.81,8.81,8.71,79544,168892125.0,1.15,1.15,0.1,3.04
杭州银行,600926,2017-01-05,8.82,8.75,8.82,8.74,59932,127263490.0,0.91,-0.68,-0.06,2.29
杭州银行,600926,2017-01-06,8.73,8.59,8.76,8.57,83667,175746533.0,2.17,-1.83,-0.16,3.2
杭州银行,600926,2017-01-09,8.56,8.62,8.63,8.51,52527,109507175.0,1.4,0.35,0.03,2.01
杭州银行,600926,2017-01-10,8.59,8.53,8.61,8.53,49563,103202138.0,0.93,-1.04,-0.09,1.89
杭州银行,600926,2017-01-11,8.55,8.28,8.55,8.28,96444,197620863.0,3.17,-2.93,-0.25,3.68
