股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
山煤国际,600546,2003-07-31,-2.25,-2.25,-2.17,-2.26,146044,188484801.0,-3.38,15.41,0.41,36.51
山煤国际,600546,2003-08-01,-2.27,-2.37,-2.27,-2.39,63814,77980691.0,-5.33,-5.33,-0.12,15.95
山煤国际,600546,2003-08-04,-2.38,-2.36,-2.34,-2.41,25901,31197056.0,-2.95,0.42,0.01,6.48
山煤国际,600546,2003-08-05,-2.36,-2.37,-2.33,-2.38,15864,19314177.0,-2.12,-0.42,-0.01,3.97
山煤国际,600546,2003-08-06,-2.38,-2.38,-2.36,-2.41,15254,18285400.0,-2.11,-0.42,-0.01,3.81
山煤国际,600546,2003-08-07,-2.38,-2.4,-2.36,-2.4,12236,14712937.0,-1.68,-0.84,-0.02,3.06
山煤国际,600546,2003-08-08,-2.39,-2.44,-2.39,-2.45,16387,19383454.0,-2.5,-1.67,-0.04,4.1
山煤国际,600546,2003-08-11,-2.45,-2.43,-2.43,-2.46,8275,9687037.0,-1.23,0.41,0.01,2.07
山煤国际,600546,2003-08-12,-2.43,-2.43,-2.42,-2.44,6747,7953870.0,-0.82,0.0,0.0,1.69
山煤国际,600546,2003-08-13,-2.44,-2.43,-2.41,-2.46,9844,11538274.0,-2.06,0.0,0.0,2.46
山煤国际,600546,2003-08-14,-2.44,-2.45,-2.41,-2.45,8773,10350444.0,-1.65,-0.82,-0.02,2.19
山煤国际,600546,2003-08-15,-2.45,-2.44,-2.43,-2.46,7997,9348435.0,-1.22,0.41,0.01,2.0
山煤国际,600546,2003-08-18,-2.41,-2.45,-2.39,-2.45,4792,5636670.0,-2.46,-0.41,-0.01,1.2
山煤国际,600546,2003-08-19,-2.45,-2.43,-2.41,-2.46,7411,8731850.0,-2.04,0.82,0.02,1.85
山煤国际,600546,2003-08-20,-2.41,-2.42,-2.4,-2.43,8298,9838303.0,-1.23,0.41,0.01,2.07
山煤国际,600546,2003-08-21,-2.41,-2.43,-2.41,-2.43,6503,7683755.0,-0.83,-0.41,-0.01,1.63
山煤国际,600546,2003-08-22,-2.44,-2.46,-2.43,-2.46,6953,8120636.0,-1.23,-1.23,-0.03,1.74
山煤国际,600546,2003-08-25,-2.46,-2.52,-2.46,-2.55,14360,16281263.0,-3.66,-2.44,-0.06,3.59
山煤国际,600546,2003-08-26,-2.52,-2.53,-2.51,-2.54,7054,7931875.0,-1.19,-0.4,-0.01,1.76
山煤国际,600546,2003-08-27,-2.52,-2.53,-2.52,-2.54,3879,4362848.0,-0.79,0.0,0.0,0.97
山煤国际,600546,2003-08-28,-2.54,-2.55,-2.52,-2.55,4515,5064252.0,-1.19,-0.79,-0.02,1.13
山煤国际,600546,2003-08-29,-2.55,-2.52,-2.51,-2.55,6283,7051932.0,-1.57,1.18,0.03,1.57
山煤国际,600546,2003-09-01,-2.52,-2.46,-2.43,-2.54,16705,19248317.0,-4.37,2.38,0.06,4.18
山煤国际,600546,2003-09-02,-2.46,-2.48,-2.44,-2.49,13286,15347544.0,-2.03,-0.81,-0.02,3.32
山煤国际,600546,2003-09-03,-2.47,-2.41,-2.34,-2.47,43185,51674869.0,-5.24,2.82,0.07,10.8
山煤国际,600546,2003-09-04,-2.41,-2.43,-2.4,-2.43,10137,11986893.0,-1.24,-0.83,-0.02,2.53
山煤国际,600546,2003-09-05,-2.43,-2.49,-2.43,-2.5,9885,11428322.0,-2.88,-2.47,-0.06,2.47
山煤国际,600546,2003-09-08,-2.5,-2.5,-2.49,-2.52,4840,5502999.0,-1.2,-0.4,-0.01,1.21
山煤国际,600546,2003-09-09,-2.5,-2.51,-2.49,-2.52,3118,3537888.0,-1.2,-0.4,-0.01,0.78
山煤国际,600546,2003-09-10,-2.51,-2.51,-2.5,-2.52,2470,2797869.0,-0.8,0.0,0.0,0.62
山煤国际,600546,2003-09-11,-2.5,-2.52,-2.5,-2.52,1809,2053909.0,-0.8,-0.4,-0.01,0.45
山煤国际,600546,2003-09-12,-2.52,-2.56,-2.52,-2.56,8834,9833964.0,-1.59,-1.59,-0.04,2.21
山煤国际,600546,2003-09-15,-2.56,-2.57,-2.54,-2.57,3739,4133104.0,-1.17,-0.39,-0.01,0.93
山煤国际,600546,2003-09-16,-2.57,-2.52,-2.52,-2.57,3776,4204482.0,-1.95,1.95,0.05,0.94
山煤国际,600546,2003-09-17,-2.51,-2.52,-2.49,-2.53,8327,9444391.0,-1.59,0.0,0.0,2.08
山煤国际,600546,2003-09-18,-2.52,-2.52,-2.5,-2.53,2959,3339664.0,-1.19,0.0,0.0,0.74
山煤国际,600546,2003-09-19,-2.53,-2.55,-2.51,-2.56,2995,3343105.0,-1.98,-1.19,-0.03,0.75
山煤国际,600546,2003-09-22,-2.54,-2.55,-2.52,-2.55,2656,2969388.0,-1.18,0.0,0.0,0.66
山煤国际,600546,2003-09-23,-2.55,-2.53,-2.53,-2.55,2736,3057178.0,-0.78,0.78,0.02,0.68
山煤国际,600546,2003-09-24,-2.53,-2.52,-2.51,-2.53,2447,2753246.0,-0.79,0.4,0.01,0.61
山煤国际,600546,2003-09-25,-2.52,-2.55,-2.52,-2.56,3156,3524343.0,-1.59,-1.19,-0.03,0.79
山煤国际,600546,2003-09-26,-2.55,-2.55,-2.53,-2.56,2783,3094392.0,-1.18,0.0,0.0,0.7
山煤国际,600546,2003-09-29,-2.56,-2.59,-2.55,-2.59,3651,4006472.0,-1.57,-1.57,-0.04,0.91
山煤国际,600546,2003-09-30,-2.59,-2.58,-2.57,-2.62,3921,4256231.0,-1.93,0.39,0.01,0.98
山煤国际,600546,2003-10-08,-2.57,-2.56,-2.55,-2.61,2586,2852466.0,-2.33,0.78,0.02,0.65
山煤国际,600546,2003-10-09,-2.56,-2.58,-2.54,-2.58,2067,2277404.0,-1.56,-0.78,-0.02,0.52
山煤国际,600546,2003-10-10,-2.57,-2.52,-2.52,-2.59,7482,8360138.0,-2.71,2.33,0.06,1.87
山煤国际,600546,2003-10-13,-2.52,-2.53,-2.49,-2.54,6527,7382658.0,-1.98,-0.4,-0.01,1.63
山煤国际,600546,2003-10-14,-2.54,-2.56,-2.53,-2.56,2727,3034593.0,-1.19,-1.19,-0.03,0.68
山煤国际,600546,2003-10-15,-2.56,-2.57,-2.53,-2.57,2955,3286197.0,-1.56,-0.39,-0.01,0.74
山煤国际,600546,2003-10-16,-2.57,-2.59,-2.56,-2.6,2653,2900179.0,-1.56,-0.78,-0.02,0.66
山煤国际,600546,2003-10-17,-2.6,-2.58,-2.58,-2.61,2041,2223651.0,-1.16,0.39,0.01,0.51
山煤国际,600546,2003-10-20,-2.59,-2.61,-2.58,-2.61,1371,1486081.0,-1.16,-1.16,-0.03,0.34
山煤国际,600546,2003-10-21,-2.61,-2.59,-2.59,-2.62,1859,2004854.0,-1.15,0.77,0.02,0.46
山煤国际,600546,2003-10-22,-2.59,-2.54,-2.54,-2.6,6195,6875795.0,-2.32,1.93,0.05,1.55
山煤国际,600546,2003-10-23,-2.55,-2.58,-2.52,-2.59,3747,4163087.0,-2.76,-1.57,-0.04,0.94
山煤国际,600546,2003-10-24,-2.57,-2.55,-2.54,-2.58,5360,5962749.0,-1.55,1.16,0.03,1.34
山煤国际,600546,2003-10-27,-2.54,-2.57,-2.54,-2.58,3305,3654822.0,-1.57,-0.78,-0.02,0.83
山煤国际,600546,2003-10-28,-2.58,-2.59,-2.55,-2.61,3351,3664898.0,-2.33,-0.78,-0.02,0.84
山煤国际,600546,2003-10-29,-2.59,-2.63,-2.57,-2.65,6889,7370563.0,-3.09,-1.54,-0.04,1.72
山煤国际,600546,2003-10-30,-2.65,-2.65,-2.62,-2.66,2623,2784387.0,-1.52,-0.76,-0.02,0.66
山煤国际,600546,2003-10-31,-2.64,-2.63,-2.6,-2.65,2324,2484633.0,-1.89,0.75,0.02,0.58
山煤国际,600546,2003-11-03,-2.64,-2.63,-2.62,-2.65,2679,2853945.0,-1.14,0.0,0.0,0.67
山煤国际,600546,2003-11-04,-2.63,-2.62,-2.58,-2.64,5617,6080281.0,-2.28,0.38,0.01,1.4
山煤国际,600546,2003-11-05,-2.61,-2.65,-2.59,-2.65,5387,5759945.0,-2.29,-1.15,-0.03,1.35
山煤国际,600546,2003-11-06,-2.65,-2.73,-2.65,-2.74,11394,11708990.0,-3.4,-3.02,-0.08,2.85
山煤国际,600546,2003-11-07,-2.73,-2.78,-2.73,-2.8,9589,9445254.0,-2.56,-1.83,-0.05,2.4
山煤国际,600546,2003-11-10,-2.82,-2.81,-2.78,-2.82,2755,2678674.0,-1.44,-1.08,-0.03,0.69
山煤国际,600546,2003-11-11,-2.81,-2.79,-2.78,-2.81,1816,1775021.0,-1.07,0.71,0.02,0.45
山煤国际,600546,2003-11-12,-2.8,-2.88,-2.8,-2.89,9213,8805592.0,-3.23,-3.23,-0.09,2.3
山煤国际,600546,2003-11-13,-2.88,-2.89,-2.87,-2.92,3332,3085456.0,-1.74,-0.35,-0.01,0.83
山煤国际,600546,2003-11-14,-2.88,-2.87,-2.87,-2.9,2303,2148598.0,-1.04,0.69,0.02,0.58
山煤国际,600546,2003-11-17,-2.87,-2.86,-2.85,-2.88,1805,1698851.0,-1.05,0.35,0.01,0.45
山煤国际,600546,2003-11-18,-2.86,-2.88,-2.86,-2.88,2083,1943097.0,-0.7,-0.7,-0.02,0.52
山煤国际,600546,2003-11-19,-2.87,-2.85,-2.85,-2.88,2624,2473183.0,-1.04,1.04,0.03,0.66
山煤国际,600546,2003-11-20,-2.85,-2.79,-2.79,-2.85,7264,7077860.0,-2.11,2.11,0.06,1.82
山煤国际,600546,2003-11-21,-2.8,-2.82,-2.77,-2.83,4052,3950207.0,-2.15,-1.08,-0.03,1.01
山煤国际,600546,2003-11-24,-2.82,-2.76,-2.74,-2.82,6120,6053186.0,-2.84,2.13,0.06,1.53
山煤国际,600546,2003-11-25,-2.76,-2.74,-2.7,-2.76,9888,10003933.0,-2.17,0.72,0.02,2.47
山煤国际,600546,2003-11-26,-2.76,-2.76,-2.74,-2.77,4026,4017838.0,-1.09,-0.73,-0.02,1.01
山煤国际,600546,2003-11-27,-2.76,-2.81,-2.76,-2.81,6999,6860812.0,-1.81,-1.81,-0.05,1.75
山煤国际,600546,2003-11-28,-2.81,-2.79,-2.78,-2.81,2425,2368475.0,-1.07,0.71,0.02,0.61
山煤国际,600546,2003-12-01,-2.79,-2.72,-2.72,-2.79,8202,8251392.0,-2.51,2.51,0.07,2.05
山煤国际,600546,2003-12-02,-2.73,-2.72,-2.69,-2.73,7907,8106933.0,-1.47,0.0,0.0,1.98
山煤国际,600546,2003-12-03,-2.72,-2.71,-2.68,-2.74,7178,7367873.0,-2.21,0.37,0.01,1.79
山煤国际,600546,2003-12-04,-2.72,-2.68,-2.67,-2.73,8019,8247518.0,-2.21,1.11,0.03,2.0
山煤国际,600546,2003-12-05,-2.68,-2.68,-2.66,-2.7,7732,8047444.0,-1.49,0.0,0.0,1.93
山煤国际,600546,2003-12-08,-2.67,-2.7,-2.66,-2.71,4334,4475639.0,-1.87,-0.75,-0.02,1.08
山煤国际,600546,2003-12-09,-2.72,-2.7,-2.7,-2.74,3432,3491421.0,-1.48,0.0,0.0,0.86
山煤国际,600546,2003-12-10,-2.7,-2.7,-2.69,-2.72,3306,3395628.0,-1.11,0.0,0.0,0.83
山煤国际,600546,2003-12-11,-2.7,-2.68,-2.66,-2.7,5684,5915576.0,-1.48,0.74,0.02,1.42
山煤国际,600546,2003-12-12,-2.68,-2.68,-2.65,-2.7,3709,3848453.0,-1.87,0.0,0.0,0.93
山煤国际,600546,2003-12-15,-2.69,-2.7,-2.68,-2.7,2183,2260677.0,-0.75,-0.75,-0.02,0.55
山煤国际,600546,2003-12-16,-2.7,-2.72,-2.7,-2.75,7570,7658965.0,-1.85,-0.74,-0.02,1.89
