股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
比亚迪,002594,2011-06-30,19.61,23.06,23.8,19.61,562925,1349342268.22,26.84,47.73,7.45,87.96
比亚迪,002594,2011-07-01,23.38,25.61,25.61,22.61,335613,898679187.4,13.01,11.06,2.55,52.44
比亚迪,002594,2011-07-04,26.49,28.41,28.41,26.19,219646,653517902.24,8.67,10.93,2.8,34.32
比亚迪,002594,2011-07-05,30.39,30.66,31.49,29.5,381081,1257045595.83,7.0,7.92,2.25,59.54
比亚迪,002594,2011-07-06,30.41,31.01,33.16,29.72,312967,1056613865.84,11.22,1.14,0.35,48.9
比亚迪,002594,2011-07-07,30.71,31.2,31.58,30.19,226450,753817699.41,4.48,0.61,0.19,35.38
比亚迪,002594,2011-07-08,31.01,30.68,31.27,29.47,175064,571756761.97,5.77,-1.67,-0.52,27.35
比亚迪,002594,2011-07-11,30.41,30.44,31.23,30.12,130967,431480979.87,3.62,-0.78,-0.24,20.46
比亚迪,002594,2011-07-12,30.09,29.12,30.24,28.81,180604,573997323.86,4.7,-4.34,-1.32,28.22
比亚迪,002594,2011-07-13,28.43,28.8,28.91,28.13,167815,519016769.86,2.68,-1.1,-0.32,26.22
比亚迪,002594,2011-07-14,28.8,27.61,29.18,26.94,193805,588273968.97,7.78,-4.13,-1.19,30.28
比亚迪,002594,2011-07-15,27.41,27.42,27.79,26.74,139468,413502318.22,3.8,-0.69,-0.19,21.79
比亚迪,002594,2011-07-18,27.4,29.65,30.21,27.32,313659,976900506.29,10.54,8.13,2.23,49.01
比亚迪,002594,2011-07-19,28.71,27.66,29.05,27.51,160857,488925108.62,5.19,-6.71,-1.99,25.13
比亚迪,002594,2011-07-20,28.11,28.01,28.86,27.7,110173,338149346.92,4.19,1.27,0.35,17.21
比亚迪,002594,2011-07-21,27.66,26.77,27.71,26.62,100731,295566876.91,3.89,-4.43,-1.24,15.74
