股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
美国航空,AAL,2014-01-10,26.75,27.05,27.53,26.45,12805020,0.0,0.0,0.0,0.0,4.9
美国航空,AAL,2014-06-23,42.0,42.06,42.58,41.5,18433342,0.0,3.99,55.49,15.01,2.56
美国航空,AAL,2014-06-24,41.84,40.87,42.31,40.46,13245968,0.0,4.4,-2.83,-1.19,1.84
美国航空,AAL,2014-06-25,40.6,41.61,41.7,40.0,10941244,0.0,4.16,1.81,0.74,1.52
美国航空,AAL,2014-06-26,41.66,42.25,42.3,41.2,11171674,0.0,2.64,1.54,0.64,1.55
美国航空,AAL,2014-06-27,42.0,41.7,42.45,41.61,30560874,0.0,1.99,-1.3,-0.55,4.24
美国航空,AAL,2014-06-30,41.74,40.66,41.78,40.53,10435593,0.0,3.0,-2.49,-1.04,1.45
美国航空,AAL,2014-07-01,41.14,41.56,41.6,40.75,9160934,0.0,2.09,2.21,0.9,1.27
美国航空,AAL,2014-07-02,40.59,39.65,40.65,39.12,19728875,0.0,3.68,-4.6,-1.91,2.74
美国航空,AAL,2014-07-03,40.31,39.32,40.64,39.1,8256874,0.0,3.88,-0.83,-0.33,1.15
美国航空,AAL,2014-07-07,39.42,37.8,39.42,37.62,14202977,0.0,4.58,-3.87,-1.52,1.97
美国航空,AAL,2014-07-08,36.84,37.96,38.03,35.6,26390443,0.0,6.43,0.42,0.16,3.66
美国航空,AAL,2014-07-09,39.78,39.68,40.05,38.2,20402671,0.0,4.87,4.53,1.72,2.83
美国航空,AAL,2014-07-10,38.7,40.52,40.68,38.47,11798299,0.0,5.57,2.12,0.84,1.64
美国航空,AAL,2014-07-11,40.61,40.58,40.93,40.22,8120908,0.0,1.75,0.15,0.06,1.13
美国航空,AAL,2014-07-14,40.96,40.68,41.29,40.43,7211644,0.0,2.12,0.25,0.1,1.0
美国航空,AAL,2014-07-15,41.7,41.18,41.7,41.0,6370198,0.0,1.72,1.23,0.5,0.88
美国航空,AAL,2014-07-17,40.74,39.4,41.14,39.35,13820511,0.0,4.35,-4.32,-1.78,1.92
美国航空,AAL,2014-07-18,39.93,40.62,40.92,39.85,8837179,0.0,2.72,3.1,1.22,1.23
美国航空,AAL,2014-07-21,40.61,40.18,40.65,39.95,5672030,0.0,1.72,-1.08,-0.44,0.79
美国航空,AAL,2014-07-22,40.4,40.08,40.59,39.85,6449944,0.0,1.84,-0.25,-0.1,0.9
美国航空,AAL,2014-07-23,40.42,41.03,41.36,40.35,10109492,0.0,2.52,2.37,0.95,1.4
美国航空,AAL,2014-07-24,40.2,39.86,41.65,39.4,17521932,0.0,5.48,-2.85,-1.17,2.43
美国航空,AAL,2014-07-25,39.95,39.38,40.38,39.03,10972046,0.0,3.39,-1.2,-0.48,1.52
美国航空,AAL,2014-07-28,39.57,37.99,39.65,37.51,14913336,0.0,5.43,-3.53,-1.39,2.07
美国航空,AAL,2014-07-29,38.35,37.23,38.55,37.09,10694851,0.0,3.84,-2.0,-0.76,1.49
美国航空,AAL,2014-07-30,37.6,37.25,37.96,36.99,10751455,0.0,2.61,0.05,0.02,1.49
美国航空,AAL,2014-07-31,36.7,36.65,37.2,35.85,13461103,0.0,3.62,-1.61,-0.6,1.87
美国航空,AAL,2014-08-01,36.55,37.23,37.33,36.23,8968289,0.0,3.0,1.58,0.58,1.25
美国航空,AAL,2014-08-04,37.29,35.94,37.65,35.43,11083773,0.0,5.96,-3.46,-1.29,1.54
美国航空,AAL,2014-08-05,35.69,34.98,36.25,34.54,10398146,0.0,4.76,-2.67,-0.96,1.44
美国航空,AAL,2014-08-06,34.36,35.26,35.8,33.94,9494940,0.0,5.32,0.8,0.28,1.32
美国航空,AAL,2014-08-07,35.5,34.66,36.21,34.3,9867994,0.0,5.42,-1.7,-0.6,1.37
美国航空,AAL,2014-08-08,34.36,34.98,35.18,33.03,20732377,0.0,6.2,0.92,0.32,2.88
美国航空,AAL,2014-08-11,35.59,35.77,36.17,35.15,8499228,0.0,2.92,2.26,0.79,1.18
美国航空,AAL,2014-08-12,35.94,35.32,35.94,35.07,6213136,0.0,2.43,-1.26,-0.45,0.86
美国航空,AAL,2014-08-13,35.44,35.92,36.26,35.24,6175190,0.0,2.89,1.7,0.6,0.86
美国航空,AAL,2014-08-14,36.3,37.37,37.41,36.26,10098897,0.0,3.2,4.04,1.45,1.4
美国航空,AAL,2014-08-15,37.78,36.99,37.88,36.59,9797734,0.0,3.45,-1.02,-0.38,1.36
美国航空,AAL,2014-08-18,37.4,38.46,38.7,37.4,10901510,0.0,3.51,3.97,1.47,1.51
美国航空,AAL,2014-08-19,38.76,38.23,38.8,38.06,5796599,0.0,1.92,-0.6,-0.23,0.8
美国航空,AAL,2014-08-20,38.2,38.4,38.6,37.83,6499787,0.0,2.01,0.44,0.17,0.9
美国航空,AAL,2014-08-21,38.55,37.31,38.65,37.24,8144388,0.0,3.67,-2.84,-1.09,1.13
美国航空,AAL,2014-08-22,37.4,37.65,38.01,37.35,5768404,0.0,1.77,0.91,0.34,0.8
美国航空,AAL,2014-08-25,38.03,37.22,38.08,37.2,7064101,0.0,2.34,-1.14,-0.43,0.98
美国航空,AAL,2014-08-26,37.35,36.89,37.55,36.87,5727884,0.0,1.83,-0.89,-0.33,0.8
美国航空,AAL,2014-08-27,37.16,36.79,37.2,36.48,6452785,0.0,1.95,-0.27,-0.1,0.9
美国航空,AAL,2014-08-28,36.51,36.97,37.2,36.5,3849832,0.0,1.9,0.49,0.18,0.53
美国航空,AAL,2014-08-29,36.9,36.68,37.15,36.16,6537558,0.0,2.68,-0.78,-0.29,0.91
美国航空,AAL,2014-09-02,36.8,38.3,38.34,36.69,10928145,0.0,4.5,4.42,1.62,1.52
美国航空,AAL,2014-09-03,37.53,36.94,37.7,36.47,9982655,0.0,3.21,-3.55,-1.36,1.39
美国航空,AAL,2014-09-04,37.17,36.27,37.78,36.16,11894871,0.0,4.39,-1.81,-0.67,1.65
美国航空,AAL,2014-09-05,36.31,35.65,36.51,35.51,11701533,0.0,2.76,-1.71,-0.62,1.62
美国航空,AAL,2014-09-08,35.76,36.03,36.2,35.76,7339069,0.0,1.23,1.07,0.38,1.02
美国航空,AAL,2014-09-09,35.43,35.76,36.48,35.18,8869396,0.0,3.61,-0.75,-0.27,1.23
美国航空,AAL,2014-09-10,35.73,36.38,36.67,35.71,8099952,0.0,2.68,1.73,0.62,1.12
美国航空,AAL,2014-09-11,36.53,35.89,36.84,35.73,10062347,0.0,3.05,-1.35,-0.49,1.4
美国航空,AAL,2014-09-12,35.89,35.45,36.31,35.43,8156579,0.0,2.45,-1.23,-0.44,1.13
美国航空,AAL,2014-09-15,35.4,34.87,35.6,34.64,7954042,0.0,2.71,-1.64,-0.58,1.1
美国航空,AAL,2014-09-16,34.8,35.78,35.81,34.61,6722474,0.0,3.44,2.61,0.91,0.93
美国航空,AAL,2014-09-17,35.72,35.26,36.04,34.84,6595752,0.0,3.35,-1.45,-0.52,0.92
美国航空,AAL,2014-09-18,35.5,35.85,35.91,35.4,4534513,0.0,1.45,1.67,0.59,0.63
美国航空,AAL,2014-09-19,35.86,34.43,36.05,34.43,14905033,0.0,4.52,-3.96,-1.42,2.07
美国航空,AAL,2014-09-22,34.8,33.38,34.8,33.24,10946951,0.0,4.53,-3.05,-1.05,1.52
美国航空,AAL,2014-09-23,32.84,33.13,33.57,32.44,12135994,0.0,3.39,-0.75,-0.25,1.69
美国航空,AAL,2014-09-24,33.27,33.92,34.14,32.98,8485964,0.0,3.5,2.38,0.79,1.18
美国航空,AAL,2014-09-25,33.68,33.01,33.78,32.66,10929138,0.0,3.3,-2.68,-0.91,1.52
美国航空,AAL,2014-09-26,33.05,33.73,33.92,32.82,8508699,0.0,3.33,2.18,0.72,1.18
美国航空,AAL,2014-09-29,33.15,32.83,33.55,32.74,7390780,0.0,2.4,-2.67,-0.9,1.03
美国航空,AAL,2014-09-30,32.85,33.28,33.65,32.14,10342765,0.0,4.6,1.37,0.45,1.44
美国航空,AAL,2014-10-01,32.52,32.19,32.74,31.65,19432196,0.0,3.28,-3.28,-1.09,2.71
美国航空,AAL,2014-10-02,32.27,31.73,33.18,31.31,21448754,0.0,5.81,-1.43,-0.46,2.99
美国航空,AAL,2014-10-03,32.46,34.03,34.12,32.41,15054680,0.0,5.39,7.25,2.3,2.1
美国航空,AAL,2014-10-06,34.11,32.73,34.3,32.66,12777717,0.0,4.82,-3.82,-1.3,1.78
美国航空,AAL,2014-10-07,32.55,31.89,32.82,31.86,9991352,0.0,2.93,-2.57,-0.84,1.39
美国航空,AAL,2014-10-08,32.33,30.8,32.35,30.4,22715705,0.0,6.11,-3.42,-1.09,3.17
美国航空,AAL,2014-10-09,31.3,29.78,31.5,29.74,22596867,0.0,5.71,-3.31,-1.02,3.15
美国航空,AAL,2014-10-10,29.35,28.58,30.05,27.58,30994235,0.0,8.29,-4.03,-1.2,4.32
美国航空,AAL,2014-10-13,28.87,26.37,29.19,25.9,34457514,0.0,11.51,-7.73,-2.21,4.8
美国航空,AAL,2014-10-14,27.09,29.31,29.98,27.08,27999622,0.0,11.0,11.15,2.94,3.9
美国航空,AAL,2014-10-15,28.02,29.48,30.42,27.29,39888569,0.0,10.68,0.58,0.17,5.56
美国航空,AAL,2014-10-16,28.43,30.77,31.2,27.8,24908655,0.0,11.53,4.38,1.29,3.47
美国航空,AAL,2014-10-17,31.68,31.18,32.14,30.61,15981551,0.0,4.97,1.33,0.41,2.23
美国航空,AAL,2014-10-20,31.99,33.02,33.19,31.8,13461479,0.0,4.46,5.9,1.84,1.88
美国航空,AAL,2014-10-21,33.94,35.64,35.68,33.82,25796768,0.0,5.63,7.93,2.62,3.6
美国航空,AAL,2014-10-22,35.85,34.84,36.02,34.74,18819573,0.0,3.59,-2.24,-0.8,2.62
美国航空,AAL,2014-10-23,35.23,36.28,37.98,34.6,33237011,0.0,9.7,4.13,1.44,4.63
美国航空,AAL,2014-10-24,36.4,37.62,37.75,36.38,17816436,0.0,3.78,3.69,1.34,2.48
美国航空,AAL,2014-10-27,37.4,37.71,38.2,37.09,13351651,0.0,2.95,0.24,0.09,1.86
美国航空,AAL,2014-10-28,37.91,38.04,38.55,37.55,12013360,0.0,2.65,0.88,0.33,1.67
美国航空,AAL,2014-10-29,37.87,37.74,38.2,37.04,15780831,0.0,3.05,-0.79,-0.3,2.2
美国航空,AAL,2014-10-30,37.81,38.2,38.59,37.52,10546672,0.0,2.84,1.22,0.46,1.47
美国航空,AAL,2014-10-31,39.0,39.25,39.65,38.7,12576681,0.0,2.49,2.75,1.05,1.75
美国航空,AAL,2014-11-03,39.34,39.9,39.99,39.33,8434889,0.0,1.68,1.66,0.65,1.18
美国航空,AAL,2014-11-04,40.73,40.6,41.6,40.39,17378045,0.0,3.03,1.75,0.7,2.42
美国航空,AAL,2014-11-05,41.22,40.15,41.25,39.99,11524182,0.0,3.1,-1.11,-0.45,1.61
美国航空,AAL,2014-11-06,40.49,41.04,42.03,40.49,14468069,0.0,3.84,2.22,0.89,2.02
美国航空,AAL,2014-11-07,41.04,41.1,41.39,40.53,8896048,0.0,2.1,0.15,0.06,1.24
美国航空,AAL,2014-11-10,40.4,41.73,41.84,39.57,13165536,0.0,5.52,1.53,0.63,1.84
美国航空,AAL,2014-11-11,41.9,41.34,42.37,41.22,11048087,0.0,2.76,-0.93,-0.39,1.54
美国航空,AAL,2014-11-12,41.15,41.33,41.53,40.74,7699112,0.0,1.91,-0.02,-0.01,1.07
美国航空,AAL,2014-11-13,41.44,42.02,42.36,41.39,11117075,0.0,2.35,1.67,0.69,1.55
美国航空,AAL,2014-11-14,41.9,41.91,42.44,41.56,8737329,0.0,2.09,-0.26,-0.11,1.22
美国航空,AAL,2014-11-17,41.87,41.59,42.48,41.53,8687055,0.0,2.27,-0.76,-0.32,1.21
