股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Ameris Bancorp,ABCB,2001-01-02,-1.88,-1.88,-1.88,-1.88,2468,0.0,0.0,0.0,0.0,0.0
Ameris Bancorp,ABCB,2001-01-03,-1.84,-1.88,-1.82,-1.88,5963,0.0,-3.19,0.0,0.0,0.01
Ameris Bancorp,ABCB,2001-01-04,-1.55,-1.5,-1.29,-1.67,10076,0.0,-20.21,20.21,0.38,0.01
Ameris Bancorp,ABCB,2001-01-05,-1.46,-1.54,-1.46,-1.88,2468,0.0,-28.0,-2.67,-0.04,0.0
Ameris Bancorp,ABCB,2001-01-08,-0.96,-1.63,-0.95,-1.63,20563,0.0,-44.16,-5.84,-0.09,0.03
Ameris Bancorp,ABCB,2001-01-09,-1.29,-1.46,-1.12,-1.46,17684,0.0,-20.86,10.43,0.17,0.03
Ameris Bancorp,ABCB,2001-01-10,-1.22,-1.2,-1.12,-1.46,8122,0.0,-23.29,17.81,0.26,0.01
Ameris Bancorp,ABCB,2001-01-11,-1.2,-1.08,-1.08,-1.29,45443,0.0,-17.5,10.0,0.12,0.07
Ameris Bancorp,ABCB,2001-01-12,-1.04,-1.12,-1.04,-1.2,1028,0.0,-14.81,-3.7,-0.04,0.0
Ameris Bancorp,ABCB,2001-01-16,-1.2,-1.12,-1.12,-1.2,3907,0.0,-7.14,0.0,0.0,0.01
Ameris Bancorp,ABCB,2001-01-17,-1.12,-1.12,-0.95,-1.12,1645,0.0,-15.18,0.0,0.0,0.0
Ameris Bancorp,ABCB,2001-01-18,-1.12,-1.42,-0.95,-1.42,11309,0.0,-41.96,-26.79,-0.3,0.02
Ameris Bancorp,ABCB,2001-01-19,-1.46,-1.79,-1.46,-2.05,12235,0.0,-41.55,-26.06,-0.37,0.02
Ameris Bancorp,ABCB,2001-01-22,-1.67,-1.46,-1.46,-1.67,12235,0.0,-11.73,18.44,0.33,0.02
Ameris Bancorp,ABCB,2001-01-23,-1.46,-1.46,-1.34,-1.46,3084,0.0,-8.22,0.0,0.0,0.0
Ameris Bancorp,ABCB,2001-01-24,-0.99,-0.99,-0.99,-1.04,2468,0.0,-3.42,32.19,0.47,0.0
Ameris Bancorp,ABCB,2001-01-25,-0.95,-0.95,-0.95,-0.95,1851,0.0,0.0,4.04,0.04,0.0
Ameris Bancorp,ABCB,2001-01-26,-0.99,-0.99,-0.99,-0.99,823,0.0,0.0,-4.21,-0.04,0.0
Ameris Bancorp,ABCB,2001-01-29,-0.99,-0.95,-0.79,-0.99,3701,0.0,-20.2,4.04,0.04,0.01
Ameris Bancorp,ABCB,2001-01-30,-0.66,-0.66,-0.66,-0.66,720,0.0,0.0,30.53,0.29,0.0
Ameris Bancorp,ABCB,2001-01-31,-0.79,-0.95,-0.79,-0.95,1439,0.0,-24.24,-43.94,-0.29,0.0
Ameris Bancorp,ABCB,2001-02-01,-0.44,-0.79,-0.4,-0.79,3084,0.0,-41.05,16.84,0.16,0.0
Ameris Bancorp,ABCB,2001-02-02,-0.46,-0.62,-0.44,-0.79,1028,0.0,-44.3,21.52,0.17,0.0
Ameris Bancorp,ABCB,2001-02-06,-0.69,-0.7,-0.62,-0.7,7917,0.0,-12.9,-12.9,-0.08,0.01
Ameris Bancorp,ABCB,2001-02-07,-0.7,-0.62,-0.62,-0.7,3290,0.0,-11.43,11.43,0.08,0.0
Ameris Bancorp,ABCB,2001-02-08,-0.66,-0.66,-0.28,-0.66,5038,0.0,-61.29,-6.45,-0.04,0.01
Ameris Bancorp,ABCB,2001-02-09,-0.28,-0.57,-0.28,-0.66,14805,0.0,-57.58,13.64,0.09,0.02
Ameris Bancorp,ABCB,2001-02-12,-0.74,-0.62,-0.62,-0.74,8636,0.0,-21.05,-8.77,-0.05,0.01
Ameris Bancorp,ABCB,2001-02-13,-0.53,-0.62,-0.53,-0.7,2879,0.0,-27.42,0.0,0.0,0.0
Ameris Bancorp,ABCB,2001-02-14,-0.62,-0.62,-0.62,-0.62,3496,0.0,0.0,0.0,0.0,0.01
Ameris Bancorp,ABCB,2001-02-15,-0.53,-0.32,-0.32,-0.62,2879,0.0,-48.39,48.39,0.3,0.0
Ameris Bancorp,ABCB,2001-02-16,-0.44,-0.44,-0.36,-0.44,13366,0.0,-25.0,-37.5,-0.12,0.02
Ameris Bancorp,ABCB,2001-02-20,-0.66,-0.19,-0.19,-0.66,18403,0.0,-106.82,56.82,0.25,0.03
Ameris Bancorp,ABCB,2001-02-21,-0.4,-0.79,-0.4,-0.79,9973,0.0,-205.26,-315.79,-0.6,0.01
Ameris Bancorp,ABCB,2001-02-22,-0.57,-0.7,-0.57,-0.79,2056,0.0,-27.85,11.39,0.09,0.0
Ameris Bancorp,ABCB,2001-02-23,-0.62,-0.53,-0.53,-0.62,14085,0.0,-12.86,24.29,0.17,0.02
Ameris Bancorp,ABCB,2001-02-26,-0.5,-0.62,-0.49,-0.62,823,0.0,-24.53,-16.98,-0.09,0.0
Ameris Bancorp,ABCB,2001-02-27,-0.62,-0.62,-0.62,-0.62,617,0.0,0.0,0.0,0.0,0.0
Ameris Bancorp,ABCB,2001-02-28,-0.57,-0.53,-0.53,-0.57,13571,0.0,-6.45,14.52,0.09,0.02
Ameris Bancorp,ABCB,2001-03-01,-0.57,-0.11,-0.11,-0.57,3701,0.0,-86.79,79.25,0.42,0.01
