股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
埃森哲,ACN,2009-09-16,-2.27,-2.01,-1.89,-2.45,6901870,0.0,0.0,0.0,0.0,1.1
埃森哲,ACN,2009-09-17,-2.27,-2.01,-1.89,-2.45,6901870,0.0,-27.86,0.0,0.0,1.1
埃森哲,ACN,2009-09-18,-2.27,-2.01,-1.89,-2.45,6901870,0.0,-27.86,0.0,0.0,1.1
埃森哲,ACN,2009-09-21,-1.01,-0.7,-0.56,-1.51,2782242,0.0,-47.26,65.17,1.31,0.44
埃森哲,ACN,2009-09-22,-0.62,0.19,0.24,-0.82,7884381,0.0,-151.43,127.14,0.89,1.26
埃森哲,ACN,2009-09-23,0.18,-0.36,0.22,-0.39,5156387,0.0,321.05,-289.47,-0.55,0.82
埃森哲,ACN,2009-09-24,-0.39,-0.8,-0.03,-0.87,5229435,0.0,-233.33,-122.22,-0.44,0.83
埃森哲,ACN,2009-09-25,-1.17,-0.5,-0.23,-1.23,1728538,0.0,-125.0,37.5,0.3,0.28
埃森哲,ACN,2009-09-28,-1.17,-0.5,-0.23,-1.23,1728538,0.0,-200.0,0.0,0.0,0.28
埃森哲,ACN,2009-09-29,1.04,0.5,1.05,0.26,4714046,0.0,-158.0,200.0,1.0,0.75
埃森哲,ACN,2009-09-30,0.75,0.52,0.8,0.19,4684069,0.0,122.0,4.0,0.02,0.75
埃森哲,ACN,2009-10-01,0.29,-0.23,0.75,-0.37,6207762,0.0,215.38,-144.23,-0.75,0.99
埃森哲,ACN,2009-10-02,0.36,0.75,1.49,0.15,11344711,0.0,-582.61,426.09,0.98,1.81
埃森哲,ACN,2009-10-05,0.94,1.24,1.49,0.65,6793163,0.0,112.0,65.33,0.49,1.08
埃森哲,ACN,2009-10-06,0.96,1.58,1.69,0.95,6850301,0.0,59.68,27.42,0.34,1.09
埃森哲,ACN,2009-10-07,1.32,1.66,1.84,1.26,4685344,0.0,36.71,5.06,0.08,0.75
埃森哲,ACN,2009-10-08,1.74,2.39,2.56,1.65,4345811,0.0,54.82,43.98,0.73,0.69
埃森哲,ACN,2009-10-09,2.24,2.32,2.37,1.8,3099604,0.0,23.85,-2.93,-0.07,0.49
埃森哲,ACN,2009-10-12,2.25,2.76,2.76,2.15,6621895,0.0,26.29,18.97,0.44,1.06
埃森哲,ACN,2009-10-13,2.77,2.67,2.77,2.08,4587569,0.0,25.0,-3.26,-0.09,0.64
埃森哲,ACN,2009-10-14,3.25,3.26,3.45,2.95,4658863,0.0,18.73,22.1,0.59,0.65
埃森哲,ACN,2009-10-15,3.15,2.8,3.15,2.64,4815921,0.0,15.64,-14.11,-0.46,0.67
埃森哲,ACN,2009-10-16,2.3,3.12,3.4,1.69,6575767,0.0,61.07,11.43,0.32,0.92
埃森哲,ACN,2009-10-19,2.12,2.69,2.82,2.0,8009192,0.0,26.28,-13.78,-0.43,1.12
埃森哲,ACN,2009-10-20,2.37,2.15,2.63,1.97,4784015,0.0,24.54,-20.07,-0.54,0.67
埃森哲,ACN,2009-10-21,2.16,2.39,2.97,1.94,4289456,0.0,47.91,11.16,0.24,0.6
埃森哲,ACN,2009-10-22,2.57,1.66,2.6,1.51,5475535,0.0,45.61,-30.54,-0.73,0.76
埃森哲,ACN,2009-10-23,1.7,1.77,2.4,1.7,2902976,0.0,42.17,6.63,0.11,0.4
埃森哲,ACN,2009-10-26,1.89,1.4,2.02,1.07,2885733,0.0,53.67,-20.9,-0.37,0.4
埃森哲,ACN,2009-10-27,1.46,1.36,1.68,1.04,3733805,0.0,45.71,-2.86,-0.04,0.52
埃森哲,ACN,2009-10-28,1.0,1.27,1.47,1.0,4992020,0.0,34.56,-6.62,-0.09,0.7
埃森哲,ACN,2009-10-29,0.53,1.61,1.87,0.53,4373254,0.0,105.51,26.77,0.34,0.61
埃森哲,ACN,2009-10-30,1.64,1.08,1.72,1.07,5062255,0.0,40.37,-32.92,-0.53,0.71
埃森哲,ACN,2009-11-02,1.0,1.62,1.73,0.93,3806636,0.0,74.07,50.0,0.54,0.53
埃森哲,ACN,2009-11-03,1.43,2.05,2.11,1.43,4591097,0.0,41.98,26.54,0.43,0.64
埃森哲,ACN,2009-11-04,2.19,2.53,2.84,2.01,4238520,0.0,40.49,23.41,0.48,0.59
埃森哲,ACN,2009-11-05,2.22,2.92,2.93,2.1,5306032,0.0,32.81,15.42,0.39,0.74
埃森哲,ACN,2009-11-06,2.82,3.24,3.27,2.52,4534476,0.0,25.68,10.96,0.32,0.63
埃森哲,ACN,2009-11-09,3.1,3.97,3.99,3.01,4270003,0.0,30.25,22.53,0.73,0.6
埃森哲,ACN,2009-11-10,3.75,3.41,3.75,3.3,2760158,0.0,11.34,-14.11,-0.56,0.38
埃森哲,ACN,2009-11-11,3.31,3.06,3.38,2.8,3100442,0.0,17.01,-10.26,-0.35,0.43
埃森哲,ACN,2009-11-12,3.09,3.39,3.52,2.98,2589714,0.0,17.65,10.78,0.33,0.36
埃森哲,ACN,2009-11-13,3.43,3.5,3.58,2.95,3162969,0.0,18.58,3.24,0.11,0.44
埃森哲,ACN,2009-11-16,3.71,3.84,3.93,3.52,2696201,0.0,11.71,9.71,0.34,0.38
埃森哲,ACN,2009-11-17,3.83,4.39,4.5,3.78,3776171,0.0,18.75,14.32,0.55,0.53
埃森哲,ACN,2009-11-18,4.32,4.0,4.44,3.92,3363381,0.0,11.85,-8.88,-0.39,0.47
埃森哲,ACN,2009-11-19,3.93,3.73,4.05,3.62,2418120,0.0,10.75,-6.75,-0.27,0.34
埃森哲,ACN,2009-11-20,3.7,3.76,3.92,3.41,3068383,0.0,13.67,0.8,0.03,0.43
埃森哲,ACN,2009-11-23,4.22,4.51,4.6,3.38,3069700,0.0,32.45,19.95,0.75,0.43
埃森哲,ACN,2009-11-24,4.37,4.55,4.93,4.37,2102733,0.0,12.42,0.89,0.04,0.29
埃森哲,ACN,2009-11-25,4.65,4.55,4.68,4.0,1482834,0.0,14.95,0.0,0.0,0.21
埃森哲,ACN,2009-11-27,3.89,4.51,4.58,3.75,1662909,0.0,18.24,-0.88,-0.04,0.23
埃森哲,ACN,2009-11-30,4.43,4.99,4.99,4.16,4273344,0.0,18.4,10.64,0.48,0.6
埃森哲,ACN,2009-12-01,5.25,5.47,5.78,5.19,3895621,0.0,11.82,9.62,0.48,0.54
埃森哲,ACN,2009-12-02,5.85,5.97,6.1,5.43,4236347,0.0,12.25,9.14,0.5,0.59
埃森哲,ACN,2009-12-03,5.93,5.95,6.19,5.84,3411941,0.0,5.86,-0.34,-0.02,0.48
埃森哲,ACN,2009-12-04,6.15,6.51,6.59,5.93,3014674,0.0,11.09,9.41,0.56,0.42
埃森哲,ACN,2009-12-07,6.23,6.84,7.33,6.23,3783258,0.0,16.9,5.07,0.33,0.53
埃森哲,ACN,2009-12-08,6.79,6.89,7.23,6.31,5889611,0.0,13.45,0.73,0.05,0.82
埃森哲,ACN,2009-12-09,5.69,6.23,6.3,5.25,4506680,0.0,15.24,-9.58,-0.66,0.63
埃森哲,ACN,2009-12-10,6.38,6.66,6.9,6.25,3200564,0.0,10.43,6.9,0.43,0.45
