股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
奥多比,ADBE,2000-01-03,16.68,16.26,16.74,15.93,3692000,0.0,4.86,-2.52,-0.42,3.09
奥多比,ADBE,2000-01-04,15.61,14.88,16.32,14.85,3906400,0.0,9.04,-8.49,-1.38,3.27
奥多比,ADBE,2000-01-05,14.43,15.18,15.55,14.43,7463600,0.0,7.53,2.02,0.3,6.25
奥多比,ADBE,2000-01-06,15.22,15.3,15.52,15.02,5110400,0.0,3.29,0.79,0.12,4.28
奥多比,ADBE,2000-01-07,15.26,16.05,16.05,15.08,4126400,0.0,6.34,4.9,0.75,3.45
奥多比,ADBE,2000-01-10,16.21,16.68,16.68,15.77,5493600,0.0,5.67,3.93,0.63,4.6
奥多比,ADBE,2000-01-11,16.66,15.52,16.68,15.46,4808000,0.0,7.31,-6.95,-1.16,4.02
奥多比,ADBE,2000-01-12,15.55,15.44,15.71,15.3,4025600,0.0,2.64,-0.52,-0.08,3.37
奥多比,ADBE,2000-01-13,15.57,16.27,16.36,15.55,2763600,0.0,5.25,5.38,0.83,2.31
奥多比,ADBE,2000-01-14,16.52,16.44,16.71,16.27,2568400,0.0,2.7,1.04,0.17,2.15
奥多比,ADBE,2000-01-18,16.13,15.86,16.33,15.86,2600800,0.0,2.86,-3.53,-0.58,2.18
奥多比,ADBE,2000-01-19,15.79,15.65,15.96,15.49,2279600,0.0,2.96,-1.32,-0.21,1.91
奥多比,ADBE,2000-01-20,15.77,15.82,16.02,15.24,2124400,0.0,4.98,1.09,0.17,1.78
奥多比,ADBE,2000-01-21,15.99,15.58,16.08,15.36,3450000,0.0,4.55,-1.52,-0.24,2.89
奥多比,ADBE,2000-01-24,15.64,15.01,15.74,14.9,2948000,0.0,5.39,-3.66,-0.57,2.47
奥多比,ADBE,2000-01-25,14.9,15.61,15.71,14.58,3783200,0.0,7.53,4.0,0.6,3.17
奥多比,ADBE,2000-01-26,15.65,15.16,15.93,15.1,2232800,0.0,5.32,-2.88,-0.45,1.87
奥多比,ADBE,2000-01-27,15.07,15.54,15.86,15.07,2932000,0.0,5.21,2.51,0.38,2.45
奥多比,ADBE,2000-01-28,15.16,14.26,15.33,14.02,2856000,0.0,8.43,-8.24,-1.28,2.39
奥多比,ADBE,2000-01-31,14.15,13.63,14.4,13.22,8229600,0.0,8.27,-4.42,-0.63,6.89
奥多比,ADBE,2000-02-01,13.83,13.83,14.08,13.65,3382800,0.0,3.15,1.47,0.2,2.83
奥多比,ADBE,2000-02-02,13.85,15.19,15.27,13.77,6704800,0.0,10.85,9.83,1.36,5.61
奥多比,ADBE,2000-02-03,15.82,17.13,17.15,15.71,9873600,0.0,9.48,12.77,1.94,8.26
奥多比,ADBE,2000-02-04,17.04,18.36,18.49,16.61,6758400,0.0,10.97,7.18,1.23,5.66
奥多比,ADBE,2000-02-07,18.3,19.13,19.22,17.93,6459600,0.0,7.03,4.19,0.77,5.41
奥多比,ADBE,2000-02-08,19.25,20.8,20.86,19.05,7148800,0.0,9.46,8.73,1.67,5.98
奥多比,ADBE,2000-02-09,20.83,21.75,21.8,20.58,7660800,0.0,5.87,4.57,0.95,6.41
奥多比,ADBE,2000-02-10,21.5,22.68,22.68,20.93,6588000,0.0,8.05,4.28,0.93,5.51
奥多比,ADBE,2000-02-11,22.36,22.47,22.68,21.58,3608400,0.0,4.85,-0.93,-0.21,3.02
奥多比,ADBE,2000-02-14,21.89,22.27,22.36,21.13,3497600,0.0,5.47,-0.89,-0.2,2.93
奥多比,ADBE,2000-02-15,21.96,22.08,22.86,21.43,3541200,0.0,6.42,-0.85,-0.19,2.96
奥多比,ADBE,2000-02-16,21.86,24.41,24.55,21.74,5361600,0.0,12.73,10.55,2.33,4.49
奥多比,ADBE,2000-02-17,24.61,25.25,25.39,23.89,5241200,0.0,6.15,3.44,0.84,4.39
奥多比,ADBE,2000-02-18,25.52,24.43,25.53,24.11,3155600,0.0,5.62,-3.25,-0.82,2.64
奥多比,ADBE,2000-02-22,24.32,24.43,24.77,22.47,3912800,0.0,9.41,0.0,0.0,3.27
奥多比,ADBE,2000-02-24,25.14,26.46,26.52,24.11,3450400,0.0,9.86,8.31,2.03,2.89
奥多比,ADBE,2000-02-25,25.74,24.49,25.97,24.36,2088000,0.0,6.08,-7.45,-1.97,1.75
奥多比,ADBE,2000-02-28,24.25,24.32,24.77,23.61,3274800,0.0,4.74,-0.69,-0.17,2.74
奥多比,ADBE,2000-02-29,24.86,25.36,25.61,24.64,3359200,0.0,3.99,4.28,1.04,2.81
奥多比,ADBE,2000-03-01,25.42,24.96,25.42,24.55,2552800,0.0,3.43,-1.58,-0.4,2.14
奥多比,ADBE,2000-03-02,23.93,20.02,23.93,19.86,12481600,0.0,16.31,-19.79,-4.94,10.44
奥多比,ADBE,2000-03-03,20.91,22.52,22.8,20.5,9305600,0.0,11.49,12.49,2.5,7.79
奥多比,ADBE,2000-03-06,22.18,21.32,22.27,20.86,3473200,0.0,6.26,-5.33,-1.2,2.91
奥多比,ADBE,2000-03-07,21.82,20.16,21.83,20.0,3033200,0.0,8.58,-5.44,-1.16,2.54
奥多比,ADBE,2000-03-08,20.25,19.63,20.27,19.49,4202800,0.0,3.87,-2.63,-0.53,3.52
奥多比,ADBE,2000-03-09,19.77,19.4,20.21,19.11,5011200,0.0,5.6,-1.17,-0.23,4.19
奥多比,ADBE,2000-03-10,19.74,20.68,21.29,19.72,7500400,0.0,8.09,6.6,1.28,6.28
奥多比,ADBE,2000-03-13,20.05,20.39,21.02,19.99,3223200,0.0,4.98,-1.4,-0.29,2.7
奥多比,ADBE,2000-03-14,21.74,20.22,22.08,19.86,6426400,0.0,10.89,-0.83,-0.17,5.38
