股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
阿彻丹尼尔斯米德兰,ADM,2000-01-03,-7.82,-7.82,-7.76,-7.94,893200,0.0,-2.34,-1.56,-0.12,0.15
阿彻丹尼尔斯米德兰,ADM,2000-01-04,-8.01,-7.94,-7.63,-8.01,986800,0.0,-4.86,-1.53,-0.12,0.16
阿彻丹尼尔斯米德兰,ADM,2000-01-05,-7.94,-8.13,-7.94,-8.19,986700,0.0,-3.15,-2.39,-0.19,0.16
阿彻丹尼尔斯米德兰,ADM,2000-01-06,-8.19,-8.07,-7.94,-8.26,816300,0.0,-3.94,0.74,0.06,0.13
阿彻丹尼尔斯米德兰,ADM,2000-01-07,-7.94,-7.88,-7.82,-8.01,1076000,0.0,-2.35,2.35,0.19,0.18
阿彻丹尼尔斯米德兰,ADM,2000-01-10,-7.82,-7.88,-7.63,-7.88,1346500,0.0,-3.17,0.0,0.0,0.22
阿彻丹尼尔斯米德兰,ADM,2000-01-11,-7.88,-8.07,-7.88,-8.07,991400,0.0,-2.41,-2.41,-0.19,0.16
阿彻丹尼尔斯米德兰,ADM,2000-01-12,-8.01,-7.76,-7.7,-8.07,1231300,0.0,-4.58,3.84,0.31,0.2
阿彻丹尼尔斯米德兰,ADM,2000-01-13,-7.82,-7.82,-7.51,-7.88,2666700,0.0,-4.77,-0.77,-0.06,0.44
阿彻丹尼尔斯米德兰,ADM,2000-01-14,-7.7,-7.32,-7.26,-7.88,2544700,0.0,-7.93,6.39,0.5,0.42
阿彻丹尼尔斯米德兰,ADM,2000-01-18,-7.26,-6.76,-6.58,-7.26,2713300,0.0,-9.29,7.65,0.56,0.45
阿彻丹尼尔斯米德兰,ADM,2000-01-19,-6.76,-6.45,-6.39,-6.82,2250100,0.0,-6.36,4.59,0.31,0.37
阿彻丹尼尔斯米德兰,ADM,2000-01-20,-6.45,-6.76,-6.39,-7.07,1385100,0.0,-10.54,-4.81,-0.31,0.23
阿彻丹尼尔斯米德兰,ADM,2000-01-21,-6.39,-6.82,-6.39,-7.01,1019800,0.0,-9.17,-0.89,-0.06,0.17
阿彻丹尼尔斯米德兰,ADM,2000-01-24,-6.82,-7.45,-6.76,-7.57,952000,0.0,-11.88,-9.24,-0.63,0.16
阿彻丹尼尔斯米德兰,ADM,2000-01-25,-7.57,-7.57,-7.51,-7.7,1045600,0.0,-2.55,-1.61,-0.12,0.17
阿彻丹尼尔斯米德兰,ADM,2000-01-26,-7.76,-7.63,-7.57,-7.76,1136900,0.0,-2.51,-0.79,-0.06,0.19
阿彻丹尼尔斯米德兰,ADM,2000-01-27,-7.7,-7.82,-7.63,-7.94,1139400,0.0,-4.06,-2.49,-0.19,0.19
阿彻丹尼尔斯米德兰,ADM,2000-01-28,-7.76,-8.01,-7.63,-8.07,1116900,0.0,-5.63,-2.43,-0.19,0.18
阿彻丹尼尔斯米德兰,ADM,2000-01-31,-7.94,-8.07,-7.82,-8.19,1344300,0.0,-4.62,-0.75,-0.06,0.22
阿彻丹尼尔斯米德兰,ADM,2000-02-01,-8.07,-7.82,-7.63,-8.19,1171600,0.0,-6.94,3.1,0.25,0.19
阿彻丹尼尔斯米德兰,ADM,2000-02-02,-7.85,-7.97,-7.78,-8.03,737400,0.0,-3.2,-1.92,-0.15,0.12
阿彻丹尼尔斯米德兰,ADM,2000-02-03,-7.91,-7.97,-7.85,-8.03,662100,0.0,-2.26,0.0,0.0,0.11
阿彻丹尼尔斯米德兰,ADM,2000-02-04,-7.85,-7.97,-7.59,-7.97,880300,0.0,-4.77,0.0,0.0,0.14
阿彻丹尼尔斯米德兰,ADM,2000-02-07,-7.97,-7.97,-7.78,-8.03,561200,0.0,-3.14,0.0,0.0,0.09
阿彻丹尼尔斯米德兰,ADM,2000-02-08,-7.97,-8.03,-7.85,-8.03,580700,0.0,-2.26,-0.75,-0.06,0.1
阿彻丹尼尔斯米德兰,ADM,2000-02-09,-8.03,-8.47,-8.03,-8.66,2198800,0.0,-7.85,-5.48,-0.44,0.36
阿彻丹尼尔斯米德兰,ADM,2000-02-10,-8.41,-8.78,-8.16,-8.85,1716200,0.0,-8.15,-3.66,-0.31,0.28
阿彻丹尼尔斯米德兰,ADM,2000-02-11,-8.66,-8.78,-8.28,-8.78,1149100,0.0,-5.69,0.0,0.0,0.19
阿彻丹尼尔斯米德兰,ADM,2000-02-14,-8.6,-8.6,-8.34,-8.72,1102900,0.0,-4.33,2.05,0.18,0.18
阿彻丹尼尔斯米德兰,ADM,2000-02-15,-8.6,-8.53,-8.34,-8.66,926900,0.0,-3.72,0.81,0.07,0.15
阿彻丹尼尔斯米德兰,ADM,2000-02-16,-8.6,-8.41,-8.34,-8.66,652300,0.0,-3.75,1.41,0.12,0.11
阿彻丹尼尔斯米德兰,ADM,2000-02-17,-8.34,-8.28,-8.22,-8.47,869700,0.0,-2.97,1.55,0.13,0.14
阿彻丹尼尔斯米德兰,ADM,2000-02-18,-8.34,-8.28,-8.22,-8.34,1081400,0.0,-1.45,0.0,0.0,0.18
阿彻丹尼尔斯米德兰,ADM,2000-02-22,-8.34,-8.28,-8.16,-8.47,1019500,0.0,-3.74,0.0,0.0,0.17
阿彻丹尼尔斯米德兰,ADM,2000-02-24,-8.66,-8.72,-8.66,-8.97,1038300,0.0,-3.74,-5.31,-0.44,0.17
阿彻丹尼尔斯米德兰,ADM,2000-02-25,-8.72,-9.03,-8.53,-9.03,1878500,0.0,-5.73,-3.56,-0.31,0.31
阿彻丹尼尔斯米德兰,ADM,2000-02-28,-9.03,-9.16,-8.41,-9.22,1843400,0.0,-8.97,-1.44,-0.13,0.3
阿彻丹尼尔斯米德兰,ADM,2000-02-29,-9.16,-9.66,-8.97,-9.66,2377900,0.0,-7.53,-5.46,-0.5,0.39
阿彻丹尼尔斯米德兰,ADM,2000-03-01,-9.78,-9.41,-9.35,-9.78,1882700,0.0,-4.45,2.59,0.25,0.31
阿彻丹尼尔斯米德兰,ADM,2000-03-02,-9.53,-9.78,-9.47,-9.84,1510300,0.0,-3.93,-3.93,-0.37,0.25
阿彻丹尼尔斯米德兰,ADM,2000-03-03,-9.78,-9.35,-9.22,-9.84,1865200,0.0,-6.34,4.4,0.43,0.31
阿彻丹尼尔斯米德兰,ADM,2000-03-06,-9.66,-9.84,-9.41,-9.84,1341400,0.0,-4.6,-5.24,-0.49,0.22
阿彻丹尼尔斯米德兰,ADM,2000-03-07,-9.84,-10.16,-9.84,-10.16,1178600,0.0,-3.25,-3.25,-0.32,0.19
阿彻丹尼尔斯米德兰,ADM,2000-03-08,-10.1,-10.1,-9.84,-10.22,864100,0.0,-3.74,0.59,0.06,0.14
阿彻丹尼尔斯米德兰,ADM,2000-03-09,-10.1,-10.22,-9.97,-10.28,1237600,0.0,-3.07,-1.19,-0.12,0.2
阿彻丹尼尔斯米德兰,ADM,2000-03-10,-9.97,-10.1,-9.78,-10.22,1190800,0.0,-4.31,1.17,0.12,0.2
阿彻丹尼尔斯米德兰,ADM,2000-03-13,-10.16,-10.22,-10.1,-10.35,1239900,0.0,-2.48,-1.19,-0.12,0.2
阿彻丹尼尔斯米德兰,ADM,2000-03-14,-10.28,-10.66,-10.22,-10.66,2415700,0.0,-4.31,-4.31,-0.44,0.4
阿彻丹尼尔斯米德兰,ADM,2000-03-15,-10.72,-10.47,-10.16,-10.91,4765900,0.0,-7.04,1.78,0.19,0.78
阿彻丹尼尔斯米德兰,ADM,2000-03-16,-10.16,-9.47,-9.22,-10.28,2779300,0.0,-10.12,9.55,1.0,0.46
阿彻丹尼尔斯米德兰,ADM,2000-03-17,-9.35,-9.16,-9.16,-9.53,2316200,0.0,-3.91,3.27,0.31,0.38
阿彻丹尼尔斯米德兰,ADM,2000-03-20,-9.28,-9.47,-9.09,-9.59,988800,0.0,-5.46,-3.38,-0.31,0.16
阿彻丹尼尔斯米德兰,ADM,2000-03-21,-9.47,-9.47,-9.03,-9.59,1711500,0.0,-5.91,0.0,0.0,0.28
阿彻丹尼尔斯米德兰,ADM,2000-03-22,-9.28,-9.22,-9.22,-9.59,1655600,0.0,-3.91,2.64,0.25,0.27
阿彻丹尼尔斯米德兰,ADM,2000-03-23,-9.22,-9.16,-8.97,-9.41,1822700,0.0,-4.77,0.65,0.06,0.3
阿彻丹尼尔斯米德兰,ADM,2000-03-24,-9.16,-9.47,-9.03,-9.66,1196100,0.0,-6.88,-3.38,-0.31,0.2
阿彻丹尼尔斯米德兰,ADM,2000-03-27,-9.59,-9.47,-9.47,-9.72,769700,0.0,-2.64,0.0,0.0,0.13
阿彻丹尼尔斯米德兰,ADM,2000-03-28,-9.53,-9.72,-9.41,-9.72,1099200,0.0,-3.27,-2.64,-0.25,0.18
阿彻丹尼尔斯米德兰,ADM,2000-03-29,-9.47,-9.66,-9.47,-9.78,1014500,0.0,-3.19,0.62,0.06,0.17
阿彻丹尼尔斯米德兰,ADM,2000-03-30,-9.59,-9.35,-9.28,-9.66,1597500,0.0,-3.93,3.21,0.31,0.26
阿彻丹尼尔斯米德兰,ADM,2000-03-31,-9.35,-9.41,-8.85,-9.47,1238800,0.0,-6.63,-0.64,-0.06,0.2
阿彻丹尼尔斯米德兰,ADM,2000-04-03,-9.16,-9.22,-8.97,-9.66,1044200,0.0,-7.33,2.02,0.19,0.17
阿彻丹尼尔斯米德兰,ADM,2000-04-04,-9.59,-9.16,-9.09,-9.59,1214200,0.0,-5.42,0.65,0.06,0.2
阿彻丹尼尔斯米德兰,ADM,2000-04-05,-9.41,-9.09,-9.03,-9.47,1303000,0.0,-4.8,0.76,0.07,0.21
阿彻丹尼尔斯米德兰,ADM,2000-04-06,-9.03,-8.97,-8.85,-9.16,1353600,0.0,-3.41,1.32,0.12,0.22
阿彻丹尼尔斯米德兰,ADM,2000-04-07,-9.09,-9.22,-8.85,-9.28,933200,0.0,-4.79,-2.79,-0.25,0.15
阿彻丹尼尔斯米德兰,ADM,2000-04-10,-9.09,-8.6,-8.47,-9.16,1966900,0.0,-7.48,6.72,0.62,0.32
阿彻丹尼尔斯米德兰,ADM,2000-04-11,-8.78,-8.72,-8.41,-8.91,1574700,0.0,-5.81,-1.4,-0.12,0.26
阿彻丹尼尔斯米德兰,ADM,2000-04-12,-8.66,-8.85,-8.41,-8.85,1145100,0.0,-5.05,-1.49,-0.13,0.19
阿彻丹尼尔斯米德兰,ADM,2000-04-13,-8.85,-8.66,-8.47,-8.97,1347000,0.0,-5.65,2.15,0.19,0.22
阿彻丹尼尔斯米德兰,ADM,2000-04-14,-9.16,-9.35,-8.66,-9.41,1229700,0.0,-8.66,-7.97,-0.69,0.2
阿彻丹尼尔斯米德兰,ADM,2000-04-17,-9.28,-9.16,-8.78,-9.59,1259800,0.0,-8.66,2.03,0.19,0.21
阿彻丹尼尔斯米德兰,ADM,2000-04-18,-9.28,-9.66,-9.22,-9.78,1742800,0.0,-6.11,-5.46,-0.5,0.29
阿彻丹尼尔斯米德兰,ADM,2000-04-19,-9.66,-9.72,-9.22,-9.97,1504700,0.0,-7.76,-0.62,-0.06,0.25
阿彻丹尼尔斯米德兰,ADM,2000-04-20,-9.84,-9.97,-9.53,-10.03,2665100,0.0,-5.14,-2.57,-0.25,0.44
阿彻丹尼尔斯米德兰,ADM,2000-04-24,-9.97,-9.78,-9.59,-10.22,1809900,0.0,-6.32,1.91,0.19,0.3
阿彻丹尼尔斯米德兰,ADM,2000-04-25,-10.03,-9.91,-9.78,-10.03,963400,0.0,-2.56,-1.33,-0.13,0.16
阿彻丹尼尔斯米德兰,ADM,2000-04-26,-9.84,-9.84,-9.72,-9.97,1249700,0.0,-2.52,0.71,0.07,0.21
阿彻丹尼尔斯米德兰,ADM,2000-04-27,-9.84,-9.78,-9.53,-9.91,1660000,0.0,-3.86,0.61,0.06,0.27
阿彻丹尼尔斯米德兰,ADM,2000-04-28,-9.84,-9.78,-9.59,-9.91,1206200,0.0,-3.27,0.0,0.0,0.2
阿彻丹尼尔斯米德兰,ADM,2000-05-01,-9.59,-9.47,-9.35,-9.72,1011400,0.0,-3.78,3.17,0.31,0.17
阿彻丹尼尔斯米德兰,ADM,2000-05-02,-9.59,-9.41,-9.28,-9.72,1324400,0.0,-4.65,0.63,0.06,0.22
阿彻丹尼尔斯米德兰,ADM,2000-05-03,-9.37,-9.49,-9.05,-9.55,1419400,0.0,-5.31,-0.85,-0.08,0.23
阿彻丹尼尔斯米德兰,ADM,2000-05-04,-9.55,-9.74,-9.31,-9.74,1258600,0.0,-4.53,-2.63,-0.25,0.21
阿彻丹尼尔斯米德兰,ADM,2000-05-05,-9.74,-9.62,-9.49,-9.8,722100,0.0,-3.18,1.23,0.12,0.12
阿彻丹尼尔斯米德兰,ADM,2000-05-08,-9.68,-9.49,-9.49,-9.68,409900,0.0,-1.98,1.35,0.13,0.07
阿彻丹尼尔斯米德兰,ADM,2000-05-09,-9.49,-9.55,-9.49,-9.74,883700,0.0,-2.63,-0.63,-0.06,0.14
阿彻丹尼尔斯米德兰,ADM,2000-05-10,-9.43,-9.37,-9.24,-9.55,1222000,0.0,-3.25,1.88,0.18,0.2
阿彻丹尼尔斯米德兰,ADM,2000-05-11,-9.31,-9.18,-9.12,-9.37,875100,0.0,-2.67,2.03,0.19,0.14
阿彻丹尼尔斯米德兰,ADM,2000-05-12,-9.12,-9.24,-9.05,-9.37,1128800,0.0,-3.49,-0.65,-0.06,0.19
阿彻丹尼尔斯米德兰,ADM,2000-05-15,-9.18,-9.18,-8.99,-9.24,1158800,0.0,-2.71,0.65,0.06,0.19
阿彻丹尼尔斯米德兰,ADM,2000-05-16,-9.18,-9.24,-9.12,-9.37,1273200,0.0,-2.72,-0.65,-0.06,0.21
阿彻丹尼尔斯米德兰,ADM,2000-05-17,-9.24,-9.05,-8.99,-9.31,890700,0.0,-3.46,2.06,0.19,0.15
阿彻丹尼尔斯米德兰,ADM,2000-05-18,-9.12,-9.05,-8.87,-9.18,1244700,0.0,-3.43,0.0,0.0,0.2
阿彻丹尼尔斯米德兰,ADM,2000-05-19,-9.12,-9.18,-8.93,-9.31,1168100,0.0,-4.2,-1.44,-0.13,0.19
阿彻丹尼尔斯米德兰,ADM,2000-05-22,-9.12,-8.56,-8.43,-9.24,1856800,0.0,-8.82,6.75,0.62,0.3
阿彻丹尼尔斯米德兰,ADM,2000-05-23,-8.62,-8.81,-8.62,-9.12,1945100,0.0,-5.84,-2.92,-0.25,0.32
阿彻丹尼尔斯米德兰,ADM,2000-05-24,-8.74,-7.93,-7.93,-8.81,3548200,0.0,-9.99,9.99,0.88,0.58
阿彻丹尼尔斯米德兰,ADM,2000-05-25,-7.68,-7.68,-7.49,-7.87,3221800,0.0,-4.79,3.15,0.25,0.53
阿彻丹尼尔斯米德兰,ADM,2000-05-26,-7.74,-7.74,-7.62,-7.81,1978400,0.0,-2.47,-0.78,-0.06,0.32
阿彻丹尼尔斯米德兰,ADM,2000-05-30,-7.68,-7.55,-7.49,-7.74,1994800,0.0,-3.23,2.45,0.19,0.33
阿彻丹尼尔斯米德兰,ADM,2000-05-31,-7.55,-7.74,-7.49,-7.99,1435300,0.0,-6.62,-2.52,-0.19,0.24
