股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
澳菲利,835296,2017-03-07,1.65,1.65,1.65,1.65,500,200000.0,0.0,0.0,0.0,0.18
澳菲利,835296,2017-03-08,2.65,2.65,2.65,2.65,20,10000.0,0.0,60.61,1.0,0.01
澳菲利,835296,2017-03-09,2.65,2.65,2.65,2.65,20,10000.0,0.0,0.0,0.0,0.01
澳菲利,835296,2017-03-10,2.65,2.65,2.65,2.65,10,5000.0,0.0,0.0,0.0,0.0
澳菲利,835296,2017-03-13,2.65,2.65,2.65,2.65,10,5000.0,0.0,0.0,0.0,0.0
澳菲利,835296,2017-03-14,2.65,2.65,2.65,2.65,20,10000.0,0.0,0.0,0.0,0.01
澳菲利,835296,2017-03-15,2.65,2.65,2.65,2.65,10,5000.0,0.0,0.0,0.0,0.0
澳菲利,835296,2017-03-16,2.65,2.65,2.65,2.65,10,5000.0,0.0,0.0,0.0,0.0
澳菲利,835296,2017-03-17,2.65,2.65,2.65,2.65,10,5000.0,0.0,0.0,0.0,0.0
澳菲利,835296,2017-03-20,2.65,4.65,4.65,2.65,20,12000.0,75.47,75.47,2.0,0.01
澳菲利,835296,2017-03-21,2.65,2.9,3.15,2.65,20,10500.0,10.75,-37.63,-1.75,0.01
澳菲利,835296,2017-03-22,2.65,1.65,2.65,1.65,20,9000.0,34.48,-43.1,-1.25,0.01
澳菲利,835296,2017-03-23,2.65,2.65,2.65,2.65,10,5000.0,0.0,60.61,1.0,0.0
澳菲利,835296,2017-03-24,2.65,1.55,2.65,1.55,20,8900.0,41.51,-41.51,-1.1,0.01
澳菲利,835296,2017-03-27,2.65,2.65,2.65,2.65,20,10000.0,0.0,70.97,1.1,0.01
澳菲利,835296,2017-03-28,2.65,2.65,2.65,2.65,10,5000.0,0.0,0.0,0.0,0.0
澳菲利,835296,2017-03-29,2.65,2.65,2.65,2.65,20,10000.0,0.0,0.0,0.0,0.01
澳菲利,835296,2017-03-30,2.65,2.65,2.65,2.65,20,10000.0,0.0,0.0,0.0,0.01
澳菲利,835296,2017-03-31,2.65,2.65,2.65,2.65,10,5000.0,0.0,0.0,0.0,0.0
澳菲利,835296,2017-04-05,3.15,3.15,3.15,3.15,10,5500.0,0.0,18.87,0.5,0.0
澳菲利,835296,2017-04-06,3.15,3.15,3.15,3.15,20,11000.0,0.0,0.0,0.0,0.01
