股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
美国国际集团,AIG,2000-01-03,1337.72,1295.32,1341.99,1282.79,166600,0.0,4.38,-4.13,-55.74,0.02
美国国际集团,AIG,2000-01-04,1262.79,1224.39,1271.06,1220.26,364100,0.0,3.92,-5.48,-70.93,0.05
美国国际集团,AIG,2000-01-05,1224.39,1227.59,1241.99,1197.72,266600,0.0,3.62,0.26,3.2,0.04
美国国际集团,AIG,2000-01-06,1229.46,1267.72,1291.06,1222.79,279200,0.0,5.56,3.27,40.13,0.04
美国国际集团,AIG,2000-01-07,1291.06,1369.46,1375.32,1286.12,328700,0.0,7.04,8.03,101.74,0.05
美国国际集团,AIG,2000-01-10,1369.46,1343.59,1371.99,1336.92,163000,0.0,2.56,-1.89,-25.87,0.02
美国国际集团,AIG,2000-01-11,1346.12,1320.26,1361.99,1296.12,194300,0.0,4.9,-1.74,-23.33,0.03
美国国际集团,AIG,2000-01-12,1322.79,1362.79,1384.39,1322.79,244500,0.0,4.67,3.22,42.53,0.03
美国国际集团,AIG,2000-01-13,1362.79,1402.79,1416.92,1362.79,233400,0.0,3.97,2.94,40.0,0.03
美国国际集团,AIG,2000-01-14,1406.92,1430.26,1436.12,1397.72,283400,0.0,2.74,1.96,27.47,0.04
美国国际集团,AIG,2000-01-18,1406.12,1354.39,1406.92,1347.72,249100,0.0,4.14,-5.3,-75.87,0.04
美国国际集团,AIG,2000-01-19,1357.72,1326.12,1375.32,1320.26,237000,0.0,4.07,-2.09,-28.27,0.03
美国国际集团,AIG,2000-01-20,1336.12,1313.99,1338.66,1282.79,219400,0.0,4.21,-0.91,-12.13,0.03
美国国际集团,AIG,2000-01-21,1312.79,1295.32,1312.79,1270.26,224100,0.0,3.24,-1.42,-18.67,0.03
美国国际集团,AIG,2000-01-24,1295.32,1263.59,1306.12,1247.72,168700,0.0,4.51,-2.45,-31.73,0.02
美国国际集团,AIG,2000-01-25,1261.99,1281.99,1291.99,1257.72,170200,0.0,2.71,1.46,18.4,0.02
美国国际集团,AIG,2000-01-26,1285.32,1316.12,1318.66,1279.46,213400,0.0,3.06,2.66,34.13,0.03
美国国际集团,AIG,2000-01-27,1317.72,1312.79,1321.99,1286.12,203200,0.0,2.73,-0.25,-3.33,0.03
美国国际集团,AIG,2000-01-28,1304.39,1269.46,1304.39,1256.12,228300,0.0,3.68,-3.3,-43.33,0.03
美国国际集团,AIG,2000-01-31,1276.12,1301.06,1301.06,1244.39,208900,0.0,4.46,2.49,31.6,0.03
美国国际集团,AIG,2000-02-01,1291.06,1274.39,1295.32,1256.12,210300,0.0,3.01,-2.05,-26.67,0.03
美国国际集团,AIG,2000-02-02,1281.06,1273.59,1288.66,1259.46,152100,0.0,2.29,-0.06,-0.8,0.02
美国国际集团,AIG,2000-02-03,1262.79,1260.26,1272.79,1217.72,377600,0.0,4.32,-1.05,-13.33,0.05
美国国际集团,AIG,2000-02-04,1268.66,1252.79,1274.39,1240.26,139300,0.0,2.71,-0.59,-7.47,0.02
美国国际集团,AIG,2000-02-07,1241.06,1211.06,1241.99,1206.92,253200,0.0,2.8,-3.33,-41.73,0.04
美国国际集团,AIG,2000-02-08,1194.39,1188.66,1213.59,1150.26,564200,0.0,5.23,-1.85,-22.4,0.08
美国国际集团,AIG,2000-02-09,1199.46,1206.92,1211.06,1182.79,357400,0.0,2.38,1.54,18.26,0.05
美国国际集团,AIG,2000-02-10,1222.79,1166.92,1224.39,1152.79,325800,0.0,5.93,-3.31,-40.0,0.05
美国国际集团,AIG,2000-02-11,1180.26,1173.59,1186.12,1160.26,234000,0.0,2.22,0.57,6.67,0.03
美国国际集团,AIG,2000-02-14,1181.06,1158.66,1191.99,1154.39,179000,0.0,3.2,-1.27,-14.93,0.03
美国国际集团,AIG,2000-02-15,1162.79,1195.32,1206.12,1149.46,307500,0.0,4.89,3.16,36.66,0.04
美国国际集团,AIG,2000-02-16,1176.12,1162.79,1182.79,1149.46,248700,0.0,2.79,-2.72,-32.53,0.04
美国国际集团,AIG,2000-02-17,1181.06,1144.39,1181.99,1134.39,225500,0.0,4.09,-1.58,-18.4,0.03
美国国际集团,AIG,2000-02-18,1132.79,1101.99,1139.46,1089.46,417000,0.0,4.37,-3.71,-42.4,0.06
美国国际集团,AIG,2000-02-22,1093.59,1066.12,1099.46,1049.46,446100,0.0,4.54,-3.26,-35.87,0.06
美国国际集团,AIG,2000-02-23,1052.79,1049.46,1063.59,1036.92,474200,0.0,2.5,-1.56,-16.66,0.07
美国国际集团,AIG,2000-02-24,1046.12,1017.72,1047.72,1012.79,394500,0.0,3.33,-3.02,-31.74,0.06
美国国际集团,AIG,2000-02-25,1021.06,1024.39,1045.32,1017.72,286000,0.0,2.71,0.66,6.67,0.04
美国国际集团,AIG,2000-02-28,1042.79,1071.99,1094.39,1042.79,367500,0.0,5.04,4.65,47.6,0.05
美国国际集团,AIG,2000-02-29,1082.79,1088.66,1108.66,1053.59,373000,0.0,5.14,1.56,16.67,0.05
美国国际集团,AIG,2000-03-01,1100.12,1104.26,1111.72,1078.39,242500,0.0,3.06,1.43,15.6,0.03
美国国际集团,AIG,2000-03-02,1100.92,1070.12,1105.06,1065.06,205400,0.0,3.62,-3.09,-34.14,0.03
美国国际集团,AIG,2000-03-03,1095.06,1075.06,1095.99,1051.72,232200,0.0,4.14,0.46,4.94,0.03
美国国际集团,AIG,2000-03-06,1071.72,1040.12,1071.72,1027.59,283000,0.0,4.1,-3.25,-34.94,0.04
美国国际集团,AIG,2000-03-07,1043.46,995.99,1044.26,970.12,384800,0.0,7.13,-4.24,-44.13,0.05
美国国际集团,AIG,2000-03-08,982.66,1016.79,1045.06,957.59,473400,0.0,8.78,2.09,20.8,0.07
美国国际集团,AIG,2000-03-09,1005.06,1015.99,1019.32,987.59,359000,0.0,3.12,-0.08,-0.8,0.05
美国国际集团,AIG,2000-03-10,1018.39,1016.79,1029.32,1000.12,289600,0.0,2.87,0.08,0.8,0.04
美国国际集团,AIG,2000-03-13,1003.46,1060.12,1062.66,998.39,320700,0.0,6.32,4.26,43.33,0.05
美国国际集团,AIG,2000-03-14,1066.79,1053.46,1066.79,1047.59,294800,0.0,1.81,-0.63,-6.66,0.04
美国国际集团,AIG,2000-03-15,1061.72,1129.32,1129.32,1047.59,600600,0.0,7.76,7.2,75.86,0.09
美国国际集团,AIG,2000-03-16,1146.79,1242.66,1246.79,1140.12,554700,0.0,9.45,10.04,113.34,0.08
美国国际集团,AIG,2000-03-17,1241.72,1208.39,1259.32,1199.32,368900,0.0,4.83,-2.76,-34.27,0.05
美国国际集团,AIG,2000-03-20,1223.46,1230.12,1235.99,1208.39,185500,0.0,2.28,1.8,21.73,0.03
美国国际集团,AIG,2000-03-21,1226.79,1250.12,1261.72,1220.92,304000,0.0,3.32,1.63,20.0,0.04
美国国际集团,AIG,2000-03-22,1241.72,1236.79,1244.26,1219.32,226000,0.0,2.0,-1.07,-13.33,0.03
美国国际集团,AIG,2000-03-23,1239.32,1300.92,1316.79,1237.59,323500,0.0,6.4,5.19,64.13,0.05
美国国际集团,AIG,2000-03-24,1310.12,1345.06,1355.06,1306.79,274900,0.0,3.71,3.39,44.14,0.04
美国国际集团,AIG,2000-03-27,1335.06,1298.39,1342.66,1293.46,215800,0.0,3.66,-3.47,-46.67,0.03
美国国际集团,AIG,2000-03-28,1275.06,1300.92,1322.66,1266.79,247200,0.0,4.3,0.19,2.53,0.04
美国国际集团,AIG,2000-03-29,1300.12,1329.32,1338.39,1288.39,250100,0.0,3.84,2.18,28.4,0.04
