股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
安朗杰,ALLE,2014-01-10,34.25,35.81,36.16,34.1,2008616,0.0,0.0,0.0,0.0,2.09
安朗杰,ALLE,2014-06-23,47.96,47.8,48.53,47.67,384484,0.0,2.4,33.48,11.99,0.4
安朗杰,ALLE,2014-06-24,47.54,46.92,47.8,46.73,580149,0.0,2.24,-1.84,-0.88,0.6
安朗杰,ALLE,2014-06-25,46.86,46.93,47.07,46.28,503851,0.0,1.68,0.02,0.01,0.52
安朗杰,ALLE,2014-06-26,46.96,46.56,47.02,46.41,335973,0.0,1.3,-0.79,-0.37,0.35
安朗杰,ALLE,2014-06-27,46.69,45.82,46.69,45.76,1095754,0.0,2.0,-1.59,-0.74,1.14
安朗杰,ALLE,2014-06-30,45.76,46.92,46.99,45.66,609870,0.0,2.9,2.4,1.1,0.63
安朗杰,ALLE,2014-07-01,47.01,47.3,47.7,47.01,424142,0.0,1.47,0.81,0.38,0.44
安朗杰,ALLE,2014-07-02,47.24,47.61,48.11,47.24,484627,0.0,1.84,0.66,0.31,0.5
安朗杰,ALLE,2014-07-03,47.7,47.4,47.98,47.26,138691,0.0,1.51,-0.44,-0.21,0.14
安朗杰,ALLE,2014-07-07,47.28,46.28,47.28,46.18,274690,0.0,2.32,-2.36,-1.12,0.28
安朗杰,ALLE,2014-07-08,46.28,45.75,46.28,45.23,424339,0.0,2.27,-1.15,-0.53,0.44
安朗杰,ALLE,2014-07-09,45.74,45.85,46.27,45.6,342748,0.0,1.46,0.22,0.1,0.36
安朗杰,ALLE,2014-07-10,45.09,45.84,46.12,44.86,495959,0.0,2.75,-0.02,-0.01,0.51
安朗杰,ALLE,2014-07-11,45.91,46.27,46.69,45.68,268986,0.0,2.2,0.94,0.43,0.28
安朗杰,ALLE,2014-07-14,46.34,46.22,46.81,45.86,426397,0.0,2.05,-0.11,-0.05,0.44
安朗杰,ALLE,2014-07-15,46.03,45.67,46.35,45.38,416047,0.0,2.1,-1.19,-0.55,0.43
安朗杰,ALLE,2014-07-17,45.29,44.51,45.41,44.42,408469,0.0,2.17,-2.54,-1.16,0.42
安朗杰,ALLE,2014-07-18,44.59,45.13,45.25,44.35,300214,0.0,2.02,1.39,0.62,0.31
安朗杰,ALLE,2014-07-21,45.03,45.0,45.29,44.8,265848,0.0,1.09,-0.29,-0.13,0.28
安朗杰,ALLE,2014-07-22,45.39,45.14,45.82,44.95,241958,0.0,1.93,0.31,0.14,0.25
安朗杰,ALLE,2014-07-23,45.16,44.69,45.33,44.34,362150,0.0,2.19,-1.0,-0.45,0.38
安朗杰,ALLE,2014-07-24,44.66,45.21,45.7,44.53,412194,0.0,2.62,1.16,0.52,0.43
安朗杰,ALLE,2014-07-25,44.87,45.34,45.49,44.63,473407,0.0,1.9,0.29,0.13,0.49
安朗杰,ALLE,2014-07-28,45.34,43.81,45.35,43.56,509675,0.0,3.95,-3.37,-1.53,0.53
安朗杰,ALLE,2014-07-29,43.76,42.69,44.1,42.66,575045,0.0,3.29,-2.56,-1.12,0.6
安朗杰,ALLE,2014-07-30,42.79,43.9,44.2,42.67,799281,0.0,3.58,2.83,1.21,0.83
安朗杰,ALLE,2014-07-31,41.14,41.67,42.97,40.17,1579727,0.0,6.38,-5.08,-2.23,1.64
安朗杰,ALLE,2014-08-01,41.67,40.6,41.72,39.83,902525,0.0,4.54,-2.57,-1.07,0.94
安朗杰,ALLE,2014-08-04,40.83,40.36,42.01,40.21,953853,0.0,4.43,-0.59,-0.24,0.99
