股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
应用材料,AMAT,2000-01-03,22.62,22.15,22.62,20.86,14376800,0.0,7.93,-0.18,-0.04,3.73
应用材料,AMAT,2000-01-04,20.96,20.58,21.83,20.52,22835200,0.0,5.91,-7.09,-1.57,5.92
应用材料,AMAT,2000-01-05,20.04,19.46,20.57,18.93,27808800,0.0,7.97,-5.44,-1.12,7.21
应用材料,AMAT,2000-01-06,19.08,19.51,20.24,18.58,22459200,0.0,8.53,0.26,0.05,5.82
应用材料,AMAT,2000-01-07,18.71,19.76,19.79,18.27,37739200,0.0,7.79,1.28,0.25,9.78
应用材料,AMAT,2000-01-10,20.3,22.11,22.32,20.15,30222400,0.0,10.98,11.89,2.35,7.83
应用材料,AMAT,2000-01-11,21.46,20.72,22.94,20.57,27277600,0.0,10.72,-6.29,-1.39,7.07
应用材料,AMAT,2000-01-12,21.02,22.29,22.33,19.99,30567600,0.0,11.29,7.58,1.57,7.92
应用材料,AMAT,2000-01-13,21.43,21.65,22.4,20.43,44216800,0.0,8.84,-2.87,-0.64,11.46
应用材料,AMAT,2000-01-14,22.97,24.43,25.27,22.9,61423600,0.0,10.95,12.84,2.78,15.92
应用材料,AMAT,2000-01-18,23.99,24.3,24.96,23.55,27741200,0.0,5.77,-0.53,-0.13,7.19
应用材料,AMAT,2000-01-19,24.4,26.12,26.33,24.08,29099200,0.0,9.26,7.49,1.82,7.54
应用材料,AMAT,2000-01-20,26.49,25.52,26.87,25.18,28191200,0.0,6.47,-2.3,-0.6,7.31
应用材料,AMAT,2000-01-21,25.93,25.83,26.21,24.97,30849200,0.0,4.86,1.21,0.31,8.0
应用材料,AMAT,2000-01-24,25.6,25.65,27.18,25.58,25371200,0.0,6.19,-0.7,-0.18,6.58
应用材料,AMAT,2000-01-25,25.88,26.63,26.85,24.33,32863200,0.0,9.82,3.82,0.98,8.52
应用材料,AMAT,2000-01-26,26.54,24.1,26.63,24.04,27243200,0.0,9.73,-9.5,-2.53,7.06
应用材料,AMAT,2000-01-27,24.82,24.4,25.6,23.87,27000800,0.0,7.18,1.24,0.3,7.0
应用材料,AMAT,2000-01-28,24.18,22.96,25.12,22.66,31503200,0.0,10.08,-5.9,-1.44,8.17
应用材料,AMAT,2000-01-31,22.69,24.83,24.91,22.58,30368800,0.0,10.15,8.14,1.87,7.87
应用材料,AMAT,2000-02-01,23.96,25.65,25.87,23.83,22814400,0.0,8.22,3.3,0.82,5.91
应用材料,AMAT,2000-02-02,25.54,26.47,27.3,25.43,27906800,0.0,7.29,3.2,0.82,7.23
应用材料,AMAT,2000-02-03,26.76,27.65,28.02,26.76,23618000,0.0,4.76,4.46,1.18,6.12
应用材料,AMAT,2000-02-04,27.93,26.87,28.24,26.74,19019200,0.0,5.42,-2.82,-0.78,4.93
应用材料,AMAT,2000-02-07,26.9,28.93,29.07,26.52,21459200,0.0,9.49,7.67,2.06,5.56
应用材料,AMAT,2000-02-08,29.21,30.8,30.9,28.65,37112000,0.0,7.78,6.46,1.87,9.62
应用材料,AMAT,2000-02-09,30.32,31.45,32.66,30.3,37778000,0.0,7.66,2.11,0.65,9.79
应用材料,AMAT,2000-02-10,31.46,34.21,34.21,30.83,27669200,0.0,10.75,8.78,2.76,7.17
应用材料,AMAT,2000-02-11,33.74,31.77,34.1,31.4,33145600,0.0,7.89,-7.13,-2.44,8.59
应用材料,AMAT,2000-02-14,32.43,30.79,32.93,30.46,30719200,0.0,7.77,-3.08,-0.98,7.96
应用材料,AMAT,2000-02-15,31.49,32.15,32.83,30.47,41118800,0.0,7.66,4.42,1.36,10.66
应用材料,AMAT,2000-02-16,34.27,33.87,34.96,33.4,50969200,0.0,4.85,5.35,1.72,13.21
应用材料,AMAT,2000-02-17,34.04,37.62,37.76,32.99,47545600,0.0,14.08,11.07,3.75,12.33
