股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Amcor plc,AMCR,2019-06-11,8.97,9.04,9.21,8.92,268169400,2999576208.0,0.0,0.0,0.0,16.52
Amcor plc,AMCR,2019-06-12,9.07,9.11,9.21,8.97,16955751,190696601.0,2.65,0.77,0.07,1.04
Amcor plc,AMCR,2019-06-13,9.05,8.88,9.05,8.65,15375399,168886830.0,4.39,-2.52,-0.23,0.95
Amcor plc,AMCR,2019-06-14,8.86,8.79,8.9,8.71,12995016,141943911.0,2.14,-1.01,-0.09,0.8
Amcor plc,AMCR,2019-06-17,8.63,8.51,8.69,8.47,11991150,128524911.0,2.5,-3.19,-0.28,0.74
Amcor plc,AMCR,2019-06-18,8.59,8.66,8.66,8.52,6940340,74669492.0,1.65,1.76,0.15,0.43
Amcor plc,AMCR,2019-06-19,8.61,8.45,8.63,8.32,7823884,83139417.0,3.58,-2.42,-0.21,0.48
Amcor plc,AMCR,2019-06-20,8.58,8.73,8.81,8.57,7407696,80572382.0,2.84,3.31,0.28,0.46
Amcor plc,AMCR,2019-06-21,8.79,8.88,8.92,8.71,15210912,167439348.0,2.41,1.72,0.15,0.94
Amcor plc,AMCR,2019-06-24,8.91,9.0,9.05,8.65,23175767,255684267.0,4.5,1.35,0.12,1.43
Amcor plc,AMCR,2019-06-25,9.08,9.32,9.36,9.01,12368227,141419793.0,3.89,3.56,0.32,0.76
Amcor plc,AMCR,2019-06-26,9.26,9.37,9.4,9.19,9356126,107434866.0,2.25,0.54,0.05,0.58
Amcor plc,AMCR,2019-06-27,9.43,9.35,9.46,9.33,5419324,62438782.0,1.39,-0.21,-0.02,0.33
Amcor plc,AMCR,2019-06-28,9.27,9.35,9.36,9.23,7604545,87164216.0,1.39,0.0,0.0,0.47
Amcor plc,AMCR,2019-07-01,9.24,9.29,9.29,9.16,7831894,89323109.0,1.39,-0.64,-0.06,0.48
Amcor plc,AMCR,2019-07-02,9.33,9.44,9.46,9.31,6608736,76435966.0,1.61,1.61,0.15,0.41
Amcor plc,AMCR,2019-07-03,9.62,9.54,9.63,9.51,3013458,35246481.0,1.27,1.06,0.1,0.19
Amcor plc,AMCR,2019-07-05,9.44,9.47,9.51,9.41,3565063,41343287.0,1.05,-0.73,-0.07,0.22
Amcor plc,AMCR,2019-07-08,9.34,9.3,9.37,9.21,3031014,34582860.0,1.69,-1.8,-0.17,0.19
Amcor plc,AMCR,2019-07-09,9.14,8.88,9.14,8.8,6699071,73979136.0,3.66,-4.52,-0.42,0.41
Amcor plc,AMCR,2019-07-10,8.89,8.82,8.97,8.8,3642419,40031466.0,1.91,-0.68,-0.06,0.22
Amcor plc,AMCR,2019-07-11,8.8,8.94,8.94,8.73,4404543,48526216.0,2.38,1.36,0.12,0.27
Amcor plc,AMCR,2019-07-12,8.96,9.01,9.02,8.85,5162567,57173877.0,1.9,0.78,0.07,0.32
Amcor plc,AMCR,2019-07-15,8.86,8.94,8.94,8.76,3025163,33436025.0,2.0,-0.78,-0.07,0.19
Amcor plc,AMCR,2019-07-16,8.95,8.76,8.95,8.68,5764858,62921259.0,3.02,-2.01,-0.18,0.35
Amcor plc,AMCR,2019-07-17,8.79,9.04,9.09,8.75,8203866,91435905.0,3.88,3.2,0.28,0.51
Amcor plc,AMCR,2019-07-18,9.03,9.14,9.23,8.74,8345719,93704164.0,5.42,1.11,0.1,0.51
Amcor plc,AMCR,2019-07-19,9.19,9.13,9.27,9.1,3358112,38050149.0,1.86,-0.11,-0.01,0.21
Amcor plc,AMCR,2019-07-22,8.93,8.6,8.93,8.52,8515464,91691401.0,4.49,-5.81,-0.53,0.52
