股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
阿美特克,AME,2001-01-02,-6.5,-6.51,-6.5,-6.54,1001700,0.0,0.0,0.0,0.0,3.09
阿美特克,AME,2001-01-03,-6.51,-6.47,-6.46,-6.51,646348,0.0,-0.77,0.61,0.04,1.99
阿美特克,AME,2001-01-04,-6.48,-6.47,-6.46,-6.48,299552,0.0,-0.31,0.0,0.0,0.92
阿美特克,AME,2001-01-05,-6.47,-6.47,-6.47,-6.48,410702,0.0,-0.15,0.0,0.0,1.27
阿美特克,AME,2001-01-08,-6.48,-6.42,-6.42,-6.48,740398,0.0,-0.93,0.77,0.05,2.28
阿美特克,AME,2001-01-09,-6.43,-6.45,-6.42,-6.45,730048,0.0,-0.47,-0.47,-0.03,2.25
阿美特克,AME,2001-01-10,-6.45,-6.41,-6.41,-6.45,512248,0.0,-0.62,0.62,0.04,1.58
阿美特克,AME,2001-01-11,-6.42,-6.43,-6.42,-6.43,349052,0.0,-0.16,-0.31,-0.02,1.08
阿美特克,AME,2001-01-12,-6.44,-6.43,-6.43,-6.45,960300,0.0,-0.31,0.0,0.0,2.96
阿美特克,AME,2001-01-16,-6.43,-6.46,-6.43,-6.47,508198,0.0,-0.62,-0.47,-0.03,1.57
阿美特克,AME,2001-01-17,-6.46,-6.42,-6.41,-6.46,457798,0.0,-0.77,0.62,0.04,1.41
阿美特克,AME,2001-01-18,-6.42,-6.45,-6.42,-6.45,423302,0.0,-0.47,-0.47,-0.03,1.3
阿美特克,AME,2001-01-19,-6.45,-6.43,-6.43,-6.45,278402,0.0,-0.31,0.31,0.02,0.86
阿美特克,AME,2001-01-22,-6.43,-6.44,-6.43,-6.45,332402,0.0,-0.31,-0.16,-0.01,1.02
阿美特克,AME,2001-01-23,-6.44,-6.44,-6.44,-6.45,315302,0.0,-0.16,0.0,0.0,0.97
阿美特克,AME,2001-01-24,-6.44,-6.44,-6.44,-6.44,182552,0.0,0.0,0.0,0.0,0.56
阿美特克,AME,2001-01-25,-6.44,-6.44,-6.44,-6.45,357152,0.0,-0.16,0.0,0.0,1.1
阿美特克,AME,2001-01-26,-6.44,-6.45,-6.44,-6.46,165452,0.0,-0.31,-0.16,-0.01,0.51
阿美特克,AME,2001-01-29,-6.45,-6.45,-6.45,-6.46,201002,0.0,-0.16,0.0,0.0,0.62
阿美特克,AME,2001-01-30,-6.46,-6.45,-6.45,-6.46,349952,0.0,-0.16,0.0,0.0,1.08
阿美特克,AME,2001-01-31,-6.45,-6.44,-6.43,-6.45,640048,0.0,-0.31,0.16,0.01,1.97
阿美特克,AME,2001-02-01,-6.44,-6.44,-6.44,-6.45,494698,0.0,-0.16,0.0,0.0,1.52
阿美特克,AME,2001-02-02,-6.44,-6.46,-6.44,-6.46,191552,0.0,-0.31,-0.31,-0.02,0.59
阿美特克,AME,2001-02-05,-6.45,-6.45,-6.45,-6.45,129150,0.0,0.0,0.15,0.01,0.4
阿美特克,AME,2001-02-06,-6.45,-6.45,-6.44,-6.45,451948,0.0,-0.16,0.0,0.0,1.39
阿美特克,AME,2001-02-07,-6.45,-6.45,-6.45,-6.45,179852,0.0,0.0,0.0,0.0,0.55
阿美特克,AME,2001-02-08,-6.45,-6.45,-6.45,-6.46,208202,0.0,-0.16,0.0,0.0,0.64
阿美特克,AME,2001-02-09,-6.45,-6.45,-6.45,-6.45,182102,0.0,0.0,0.0,0.0,0.56
阿美特克,AME,2001-02-12,-6.45,-6.43,-6.43,-6.45,370202,0.0,-0.31,0.31,0.02,1.14
阿美特克,AME,2001-02-13,-6.42,-6.42,-6.4,-6.42,319802,0.0,-0.31,0.16,0.01,0.99
阿美特克,AME,2001-02-14,-6.41,-6.4,-6.4,-6.42,246902,0.0,-0.31,0.31,0.02,0.76
阿美特克,AME,2001-02-15,-6.4,-6.39,-6.39,-6.4,226652,0.0,-0.16,0.16,0.01,0.7
阿美特克,AME,2001-02-16,-6.4,-6.43,-6.4,-6.43,390002,0.0,-0.47,-0.63,-0.04,1.2
阿美特克,AME,2001-02-20,-6.45,-6.44,-6.43,-6.47,306302,0.0,-0.62,-0.16,-0.01,0.94
阿美特克,AME,2001-02-21,-6.43,-6.42,-6.41,-6.44,296402,0.0,-0.47,0.31,0.02,0.91
阿美特克,AME,2001-02-22,-6.43,-6.43,-6.43,-6.43,147600,0.0,0.0,-0.16,-0.01,0.45
阿美特克,AME,2001-02-23,-6.43,-6.43,-6.43,-6.44,155552,0.0,-0.16,0.0,0.0,0.48
阿美特克,AME,2001-02-26,-6.43,-6.41,-6.4,-6.43,241052,0.0,-0.47,0.31,0.02,0.74
阿美特克,AME,2001-02-27,-6.4,-6.4,-6.38,-6.4,191552,0.0,-0.31,0.16,0.01,0.59
阿美特克,AME,2001-02-28,-6.41,-6.41,-6.41,-6.42,273452,0.0,-0.16,-0.16,-0.01,0.83
阿美特克,AME,2001-03-01,-6.41,-6.41,-6.41,-6.42,185252,0.0,-0.16,0.0,0.0,0.57
阿美特克,AME,2001-03-02,-6.41,-6.4,-6.39,-6.41,361202,0.0,-0.31,0.16,0.01,1.1
阿美特克,AME,2001-03-05,-6.4,-6.38,-6.38,-6.4,204602,0.0,-0.31,0.31,0.02,0.62
阿美特克,AME,2001-03-06,-6.39,-6.39,-6.38,-6.39,137250,0.0,-0.16,-0.16,-0.01,0.42
阿美特克,AME,2001-03-07,-6.39,-6.39,-6.37,-6.39,265352,0.0,-0.31,0.0,0.0,0.81
阿美特克,AME,2001-03-08,-6.39,-6.39,-6.39,-6.4,129150,0.0,-0.16,0.0,0.0,0.39
阿美特克,AME,2001-03-09,-6.4,-6.4,-6.4,-6.41,331952,0.0,-0.16,-0.16,-0.01,1.01
阿美特克,AME,2001-03-12,-6.4,-6.41,-6.4,-6.41,226202,0.0,-0.16,-0.16,-0.01,0.69
阿美特克,AME,2001-03-13,-6.4,-6.43,-6.4,-6.45,225302,0.0,-0.78,-0.31,-0.02,0.69
阿美特克,AME,2001-03-14,-6.43,-6.42,-6.41,-6.43,197852,0.0,-0.31,0.16,0.01,0.6
阿美特克,AME,2001-03-15,-6.43,-6.42,-6.42,-6.44,302252,0.0,-0.31,0.0,0.0,0.92
阿美特克,AME,2001-03-16,-6.42,-6.47,-6.42,-6.47,358952,0.0,-0.78,-0.78,-0.05,1.09
阿美特克,AME,2001-03-19,-6.48,-6.45,-6.44,-6.48,345452,0.0,-0.62,0.31,0.02,1.05
阿美特克,AME,2001-03-20,-6.45,-6.47,-6.45,-6.47,192452,0.0,-0.31,-0.31,-0.02,0.59
阿美特克,AME,2001-03-21,-6.47,-6.49,-6.47,-6.49,145800,0.0,-0.31,-0.31,-0.02,0.44
阿美特克,AME,2001-03-22,-6.49,-6.48,-6.48,-6.53,464998,0.0,-0.77,0.15,0.01,1.42
阿美特克,AME,2001-03-23,-6.48,-6.45,-6.45,-6.49,418352,0.0,-0.62,0.46,0.03,1.28
