股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
阿默普莱斯金融,AMP,2007-09-17,14.97,15.48,15.86,14.5,952200,0.0,0.0,0.0,0.0,0.4
阿默普莱斯金融,AMP,2007-09-18,15.63,17.73,18.28,15.51,2075260,0.0,17.89,14.53,2.25,0.87
阿默普莱斯金融,AMP,2007-09-19,18.52,18.27,18.7,17.31,2173300,0.0,7.84,3.05,0.54,0.91
阿默普莱斯金融,AMP,2007-09-20,18.11,17.79,18.45,17.69,1451400,0.0,4.16,-2.63,-0.48,0.61
阿默普莱斯金融,AMP,2007-09-21,18.12,17.69,18.46,17.59,1458400,0.0,4.89,-0.56,-0.1,0.61
阿默普莱斯金融,AMP,2007-09-24,17.35,18.0,18.68,17.33,1536400,0.0,7.63,1.75,0.31,0.64
阿默普莱斯金融,AMP,2007-09-25,17.63,17.21,17.88,17.0,1215800,0.0,4.89,-4.39,-0.79,0.51
阿默普莱斯金融,AMP,2007-09-26,17.55,18.03,18.44,17.41,1154300,0.0,5.98,4.76,0.82,0.48
阿默普莱斯金融,AMP,2007-09-27,18.04,19.41,19.56,17.94,1550100,0.0,8.99,7.65,1.38,0.65
阿默普莱斯金融,AMP,2007-09-28,19.49,19.57,19.64,18.86,1204900,0.0,4.02,0.82,0.16,0.5
阿默普莱斯金融,AMP,2007-10-01,19.71,20.57,20.57,19.46,1354600,0.0,5.67,5.11,1.0,0.57
阿默普莱斯金融,AMP,2007-10-02,20.77,20.89,21.02,20.12,1491100,0.0,4.38,1.56,0.32,0.62
阿默普莱斯金融,AMP,2007-10-03,20.34,20.46,20.74,20.13,1141000,0.0,2.92,-2.06,-0.43,0.48
阿默普莱斯金融,AMP,2007-10-04,20.56,21.49,21.53,20.56,1153100,0.0,4.74,5.03,1.03,0.48
阿默普莱斯金融,AMP,2007-10-05,22.16,22.43,22.49,21.93,1191300,0.0,2.61,4.37,0.94,0.5
阿默普莱斯金融,AMP,2007-10-08,22.11,21.95,22.45,21.9,583500,0.0,2.45,-2.14,-0.48,0.24
