股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
空气化工,APD,2000-01-03,-36.76,-37.26,-36.38,-37.32,551200,0.0,-2.57,-2.05,-0.75,0.24
空气化工,APD,2000-01-04,-37.57,-38.26,-37.51,-38.82,430100,0.0,-3.52,-2.68,-1.0,0.19
空气化工,APD,2000-01-05,-38.26,-38.07,-37.69,-39.01,665300,0.0,-3.45,0.5,0.19,0.29
空气化工,APD,2000-01-06,-37.57,-35.94,-34.63,-38.26,1373900,0.0,-9.54,5.59,2.13,0.6
空气化工,APD,2000-01-07,-35.88,-33.57,-33.07,-36.38,1199900,0.0,-9.21,6.59,2.37,0.52
空气化工,APD,2000-01-10,-35.07,-35.82,-34.44,-36.32,973600,0.0,-5.6,-6.7,-2.25,0.42
空气化工,APD,2000-01-11,-36.07,-37.38,-35.44,-37.63,1166200,0.0,-6.11,-4.36,-1.56,0.51
空气化工,APD,2000-01-12,-37.07,-36.82,-36.26,-37.32,1473100,0.0,-2.84,1.5,0.56,0.64
空气化工,APD,2000-01-13,-37.01,-37.07,-36.07,-37.07,444000,0.0,-2.72,-0.68,-0.25,0.19
空气化工,APD,2000-01-14,-37.07,-37.69,-36.76,-37.82,1187500,0.0,-2.86,-1.67,-0.62,0.52
空气化工,APD,2000-01-18,-37.94,-39.26,-37.69,-39.32,971400,0.0,-4.32,-4.17,-1.57,0.42
空气化工,APD,2000-01-19,-38.57,-39.2,-38.45,-39.38,814400,0.0,-2.37,0.15,0.06,0.36
空气化工,APD,2000-01-20,-39.45,-40.2,-39.45,-40.32,599500,0.0,-2.22,-2.55,-1.0,0.26
空气化工,APD,2000-01-21,-39.07,-41.13,-38.76,-41.57,923800,0.0,-6.99,-2.31,-0.93,0.4
空气化工,APD,2000-01-24,-39.32,-39.88,-39.32,-40.7,974600,0.0,-3.36,3.04,1.25,0.43
空气化工,APD,2000-01-25,-39.82,-39.01,-38.82,-40.32,1499500,0.0,-3.76,2.18,0.87,0.65
空气化工,APD,2000-01-26,-39.57,-38.57,-38.51,-40.2,998700,0.0,-4.33,1.13,0.44,0.44
空气化工,APD,2000-01-27,-39.2,-39.2,-38.88,-39.63,589200,0.0,-1.94,-1.63,-0.63,0.26
空气化工,APD,2000-01-28,-39.45,-40.26,-39.45,-41.07,861200,0.0,-4.13,-2.7,-1.06,0.38
空气化工,APD,2000-01-31,-40.01,-40.45,-40.01,-40.63,698600,0.0,-1.54,-0.47,-0.19,0.3
