股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
安费诺,APH,2000-01-03,-3.12,-3.13,-3.11,-3.15,524800,0.0,-1.27,0.63,0.02,1.27
安费诺,APH,2000-01-04,-3.14,-3.2,-3.14,-3.2,420800,0.0,-1.92,-2.24,-0.07,1.02
安费诺,APH,2000-01-05,-3.21,-3.24,-3.21,-3.29,456000,0.0,-2.5,-1.25,-0.04,1.11
安费诺,APH,2000-01-06,-3.25,-3.3,-3.25,-3.3,195200,0.0,-1.54,-1.85,-0.06,0.47
安费诺,APH,2000-01-07,-3.29,-3.28,-3.28,-3.33,452800,0.0,-1.52,0.61,0.02,1.1
安费诺,APH,2000-01-10,-3.27,-3.19,-3.18,-3.27,190400,0.0,-2.74,2.74,0.09,0.46
安费诺,APH,2000-01-11,-3.18,-3.14,-3.13,-3.19,310400,0.0,-1.88,1.57,0.05,0.75
安费诺,APH,2000-01-12,-3.11,-2.85,-2.79,-3.11,3260800,0.0,-10.19,9.24,0.29,7.91
安费诺,APH,2000-01-13,-2.84,-2.88,-2.8,-2.92,691200,0.0,-4.21,-1.05,-0.03,1.68
安费诺,APH,2000-01-14,-2.88,-2.83,-2.79,-2.88,288000,0.0,-3.13,1.74,0.05,0.7
安费诺,APH,2000-01-18,-2.76,-2.77,-2.7,-2.78,640000,0.0,-2.83,2.12,0.06,1.55
安费诺,APH,2000-01-19,-2.77,-2.79,-2.73,-2.83,480000,0.0,-3.61,-0.72,-0.02,1.16
安费诺,APH,2000-01-20,-2.75,-2.8,-2.7,-2.81,390400,0.0,-3.94,-0.36,-0.01,0.95
安费诺,APH,2000-01-21,-2.8,-2.9,-2.79,-2.9,295200,0.0,-3.93,-3.57,-0.1,0.72
安费诺,APH,2000-01-24,-2.89,-2.92,-2.81,-2.95,375200,0.0,-4.83,-0.69,-0.02,0.91
安费诺,APH,2000-01-25,-2.92,-2.98,-2.92,-3.0,203200,0.0,-2.74,-2.05,-0.06,0.49
安费诺,APH,2000-01-26,-2.98,-2.95,-2.93,-3.04,336000,0.0,-3.69,1.01,0.03,0.81
安费诺,APH,2000-01-27,-2.94,-2.98,-2.9,-2.99,275200,0.0,-3.05,-1.02,-0.03,0.67
安费诺,APH,2000-01-28,-2.98,-3.09,-2.96,-3.09,137600,0.0,-4.36,-3.69,-0.11,0.33
安费诺,APH,2000-01-31,-3.09,-3.11,-3.06,-3.14,336000,0.0,-2.59,-0.65,-0.02,0.81
安费诺,APH,2000-02-01,-3.11,-3.12,-3.1,-3.14,203200,0.0,-1.29,-0.32,-0.01,0.49
安费诺,APH,2000-02-02,-3.12,-3.08,-3.02,-3.12,177600,0.0,-3.21,1.28,0.04,0.43
安费诺,APH,2000-02-03,-3.06,-3.07,-3.05,-3.07,180800,0.0,-0.65,0.32,0.01,0.44
安费诺,APH,2000-02-04,-3.06,-3.03,-3.03,-3.06,115200,0.0,-0.98,1.3,0.04,0.28
安费诺,APH,2000-02-07,-3.06,-3.07,-3.04,-3.08,101600,0.0,-1.32,-1.32,-0.04,0.25
安费诺,APH,2000-02-08,-3.05,-3.05,-2.99,-3.05,257600,0.0,-1.95,0.65,0.02,0.62
安费诺,APH,2000-02-09,-3.05,-3.11,-3.05,-3.12,145600,0.0,-2.3,-1.97,-0.06,0.35
安费诺,APH,2000-02-10,-3.11,-3.14,-3.1,-3.16,116800,0.0,-1.93,-0.96,-0.03,0.28
安费诺,APH,2000-02-11,-3.14,-3.16,-3.12,-3.18,172000,0.0,-1.91,-0.64,-0.02,0.42
安费诺,APH,2000-02-14,-3.16,-2.67,-2.67,-3.17,3028000,0.0,-15.82,15.51,0.49,7.34
