股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
博通,AVGO,2016-02-01,42.71,47.05,48.06,42.33,4558976,0.0,0.0,0.0,0.0,1.65
博通,AVGO,2016-02-02,44.38,42.61,46.96,41.07,5897584,0.0,12.52,-9.44,-4.44,2.13
博通,AVGO,2016-02-03,46.62,40.73,46.98,39.66,5619376,0.0,17.18,-4.41,-1.88,2.03
博通,AVGO,2016-02-04,40.77,45.49,46.64,39.87,6082992,0.0,16.62,11.69,4.76,2.2
博通,AVGO,2016-02-05,46.37,37.73,46.37,36.35,7092922,0.0,22.03,-17.06,-7.76,2.57
博通,AVGO,2016-02-08,36.36,31.23,36.36,28.59,9124121,0.0,20.59,-17.23,-6.5,3.3
博通,AVGO,2016-02-09,29.2,29.08,35.09,28.14,6340018,0.0,22.25,-6.88,-2.15,2.29
博通,AVGO,2016-02-10,31.86,28.57,33.04,28.02,4547274,0.0,17.26,-1.75,-0.51,1.64
博通,AVGO,2016-02-11,25.87,25.68,27.01,23.62,6592272,0.0,11.87,-10.12,-2.89,2.38
博通,AVGO,2016-02-12,27.13,31.03,31.7,25.1,3996509,0.0,25.7,20.83,5.35,1.02
博通,AVGO,2016-02-16,32.64,35.61,36.16,32.32,3850397,0.0,12.38,14.76,4.58,0.99
博通,AVGO,2016-02-17,36.37,40.05,40.19,36.1,3264006,0.0,11.49,12.47,4.44,0.84
博通,AVGO,2016-02-18,41.13,36.44,41.36,35.45,3908455,0.0,14.76,-9.01,-3.61,1.0
博通,AVGO,2016-02-19,36.42,38.04,38.16,34.37,3109610,0.0,10.4,4.39,1.6,0.8
博通,AVGO,2016-02-22,39.37,40.01,41.8,38.86,2417121,0.0,7.73,5.18,1.97,0.62
博通,AVGO,2016-02-23,39.53,37.53,39.87,37.43,2235030,0.0,6.1,-6.2,-2.48,0.57
博通,AVGO,2016-02-24,35.88,39.71,40.62,34.78,2564767,0.0,15.56,5.81,2.18,0.66
博通,AVGO,2016-02-25,40.15,41.84,41.86,38.06,2564352,0.0,9.57,5.36,2.13,0.66
博通,AVGO,2016-02-26,43.57,42.48,44.34,41.62,2714054,0.0,6.5,1.53,0.64,0.7
博通,AVGO,2016-02-29,42.71,43.34,47.29,42.27,3590765,0.0,11.82,2.02,0.86,0.92
博通,AVGO,2016-03-01,44.74,47.8,48.01,43.99,4489855,0.0,9.28,10.29,4.46,1.15
博通,AVGO,2016-03-02,47.22,46.34,47.61,44.42,4383373,0.0,6.67,-3.05,-1.46,1.12
博通,AVGO,2016-03-03,47.12,46.7,48.22,43.67,5929264,0.0,9.82,0.78,0.36,1.52
博通,AVGO,2016-03-04,55.37,55.43,57.23,51.09,7239775,0.0,13.15,18.69,8.73,1.85
博通,AVGO,2016-03-07,54.13,52.88,55.6,49.94,4139571,0.0,10.21,-4.6,-2.55,1.06
博通,AVGO,2016-03-08,51.66,49.0,52.19,48.78,3319442,0.0,6.45,-7.34,-3.88,0.85
博通,AVGO,2016-03-09,50.12,51.33,51.9,49.84,3115229,0.0,4.2,4.76,2.33,0.8
博通,AVGO,2016-03-10,52.83,53.79,55.17,51.37,5454629,0.0,7.4,4.79,2.46,1.4
博通,AVGO,2016-03-11,55.36,58.19,59.39,55.12,5581877,0.0,7.94,8.18,4.4,1.43
博通,AVGO,2016-03-14,56.48,57.51,58.56,56.37,2844425,0.0,3.76,-1.17,-0.68,0.73
博通,AVGO,2016-03-15,57.87,57.84,59.35,55.45,3079942,0.0,6.78,0.57,0.33,0.79
博通,AVGO,2016-03-16,57.32,58.49,59.13,56.71,3490568,0.0,4.18,1.12,0.65,0.89
博通,AVGO,2016-03-17,57.23,61.41,61.58,57.23,4470522,0.0,7.44,4.99,2.92,1.14
博通,AVGO,2016-03-18,61.8,62.35,62.86,60.73,7056834,0.0,3.47,1.53,0.94,1.81
博通,AVGO,2016-03-21,62.45,62.75,62.86,60.69,2820364,0.0,3.48,0.64,0.4,0.72
博通,AVGO,2016-03-22,62.26,64.62,65.47,61.41,3394481,0.0,6.47,2.98,1.87,0.87
博通,AVGO,2016-03-23,64.68,62.85,65.18,62.2,2757715,0.0,4.61,-2.74,-1.77,0.71
博通,AVGO,2016-03-24,61.62,62.86,63.15,60.98,2564754,0.0,3.45,0.02,0.01,0.66
博通,AVGO,2016-03-28,63.14,62.96,63.36,61.93,1721920,0.0,2.27,0.16,0.1,0.44
博通,AVGO,2016-03-29,63.13,63.99,64.79,62.04,2676898,0.0,4.37,1.64,1.03,0.69
博通,AVGO,2016-03-30,64.86,66.79,67.14,64.4,2679219,0.0,4.28,4.38,2.8,0.69
博通,AVGO,2016-03-31,66.88,64.36,67.23,64.31,2496590,0.0,4.37,-3.64,-2.43,0.64
博通,AVGO,2016-04-01,63.9,67.66,67.78,61.02,2567076,0.0,10.5,5.13,3.3,0.66
博通,AVGO,2016-04-04,67.86,65.87,68.18,65.52,1776029,0.0,3.93,-2.65,-1.79,0.45
博通,AVGO,2016-04-05,64.31,64.89,66.91,64.31,5691898,0.0,3.95,-1.49,-0.98,1.46
博通,AVGO,2016-04-06,64.56,67.4,67.63,63.57,2809366,0.0,6.26,3.87,2.51,0.72
博通,AVGO,2016-04-07,67.34,64.83,67.81,64.55,2297378,0.0,4.84,-3.81,-2.57,0.59
博通,AVGO,2016-04-08,66.14,66.01,66.76,64.5,1852553,0.0,3.49,1.82,1.18,0.47
博通,AVGO,2016-04-11,67.29,65.47,67.66,65.46,1856712,0.0,3.33,-0.82,-0.54,0.48
博通,AVGO,2016-04-12,65.87,65.29,66.23,62.86,1652581,0.0,5.15,-0.27,-0.18,0.42
博通,AVGO,2016-04-13,66.33,69.34,69.51,65.47,2172417,0.0,6.19,6.2,4.05,0.56
博通,AVGO,2016-04-14,67.15,68.68,68.97,65.86,2755005,0.0,4.49,-0.95,-0.66,0.71
博通,AVGO,2016-04-15,67.99,65.35,68.2,64.38,2767842,0.0,5.56,-4.85,-3.33,0.71
博通,AVGO,2016-04-18,65.21,65.76,66.26,63.67,1529507,0.0,3.96,0.63,0.41,0.39
博通,AVGO,2016-04-19,66.31,60.93,66.62,60.65,2454575,0.0,9.08,-7.34,-4.83,0.63
博通,AVGO,2016-04-20,61.32,63.09,63.96,60.26,1943543,0.0,6.07,3.55,2.16,0.5
博通,AVGO,2016-04-21,62.76,61.21,63.14,60.3,1611202,0.0,4.5,-2.98,-1.88,0.41
博通,AVGO,2016-04-22,60.26,60.19,62.8,58.59,2569914,0.0,6.88,-1.67,-1.02,0.66
博通,AVGO,2016-04-25,60.11,58.96,60.72,58.63,1087065,0.0,3.47,-2.04,-1.23,0.28
博通,AVGO,2016-04-26,61.35,60.62,63.97,59.9,2621290,0.0,6.9,2.82,1.66,0.67
博通,AVGO,2016-04-27,57.07,61.39,63.22,56.36,3893366,0.0,11.32,1.27,0.77,1.0
