股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
美国运通,AXP,2000-01-03,23.83,21.41,23.83,21.0,5664300,0.0,11.59,-12.29,-3.0,1.27
美国运通,AXP,2000-01-04,20.77,19.43,20.96,18.71,9138900,0.0,10.51,-9.25,-1.98,2.04
美国运通,AXP,2000-01-05,19.24,18.15,20.11,18.15,7568100,0.0,10.09,-6.59,-1.28,1.69
美国运通,AXP,2000-01-06,17.57,19.15,19.86,17.57,9620400,0.0,12.62,5.51,1.0,2.15
美国运通,AXP,2000-01-07,19.32,19.88,20.24,18.57,5266200,0.0,8.72,3.81,0.73,1.18
美国运通,AXP,2000-01-10,20.07,20.59,21.26,19.7,4294500,0.0,7.85,3.57,0.71,0.96
美国运通,AXP,2000-01-11,20.53,21.07,22.4,20.32,6265800,0.0,10.1,2.33,0.48,1.4
美国运通,AXP,2000-01-12,21.05,20.8,22.03,20.22,5091600,0.0,8.59,-1.28,-0.27,1.14
美国运通,AXP,2000-01-13,21.24,21.07,21.82,20.49,5103900,0.0,6.39,1.3,0.27,1.14
美国运通,AXP,2000-01-14,21.72,22.24,22.78,21.63,5506200,0.0,5.46,5.55,1.17,1.23
美国运通,AXP,2000-01-18,21.74,19.59,21.74,19.57,5136000,0.0,9.76,-11.92,-2.65,1.15
美国运通,AXP,2000-01-19,20.24,18.72,20.65,18.65,5784600,0.0,10.21,-4.44,-0.87,1.29
美国运通,AXP,2000-01-20,19.15,19.54,20.61,18.53,9900600,0.0,11.11,4.38,0.82,2.22
美国运通,AXP,2000-01-21,20.07,19.63,20.32,19.38,5523900,0.0,4.81,0.46,0.09,1.24
美国运通,AXP,2000-01-24,20.49,19.74,21.74,19.28,8779200,0.0,12.53,0.56,0.11,1.96
美国运通,AXP,2000-01-25,19.61,21.86,21.99,19.61,8884800,0.0,12.06,10.74,2.12,1.99
美国运通,AXP,2000-01-26,22.4,22.32,23.76,22.24,11551200,0.0,6.95,2.1,0.46,2.58
美国运通,AXP,2000-01-27,22.74,23.38,23.82,22.42,5457900,0.0,6.27,4.75,1.06,1.22
美国运通,AXP,2000-01-28,22.78,21.82,23.15,21.65,6311400,0.0,6.42,-6.67,-1.56,1.41
美国运通,AXP,2000-01-31,21.4,23.99,24.32,21.34,6483300,0.0,13.66,9.95,2.17,1.45
美国运通,AXP,2000-02-01,23.92,25.4,25.57,23.67,8122500,0.0,7.92,5.88,1.41,1.82
美国运通,AXP,2000-02-02,25.24,23.8,25.24,23.61,7839900,0.0,6.42,-6.3,-1.6,1.75
美国运通,AXP,2000-02-03,23.9,23.36,24.24,22.61,6525300,0.0,6.85,-1.85,-0.44,1.46
美国运通,AXP,2000-02-04,23.36,22.88,23.61,22.61,4512300,0.0,4.28,-2.05,-0.48,1.01
美国运通,AXP,2000-02-07,22.88,23.22,23.7,22.72,3913200,0.0,4.28,1.49,0.34,0.88
美国运通,AXP,2000-02-08,23.57,23.4,24.17,23.32,4611600,0.0,3.66,0.78,0.18,1.03
美国运通,AXP,2000-02-09,23.36,21.26,23.36,20.74,6286500,0.0,11.2,-9.15,-2.14,1.41
美国运通,AXP,2000-02-10,21.28,20.57,22.24,20.28,5239800,0.0,9.22,-3.25,-0.69,1.17
美国运通,AXP,2000-02-11,20.74,20.24,21.76,19.72,5707800,0.0,9.92,-1.6,-0.33,1.28
美国运通,AXP,2000-02-14,20.24,20.4,21.72,20.24,4742700,0.0,7.31,0.79,0.16,1.06
美国运通,AXP,2000-02-15,20.49,22.11,22.28,20.34,4086000,0.0,9.51,8.38,1.71,0.91
美国运通,AXP,2000-02-16,21.24,20.35,21.32,19.78,6666900,0.0,6.97,-7.96,-1.76,1.49
美国运通,AXP,2000-02-17,20.49,18.38,20.9,16.7,12430200,0.0,20.64,-9.68,-1.97,2.78
美国运通,AXP,2000-02-18,18.36,15.15,18.38,14.2,13671000,0.0,22.74,-17.57,-3.23,3.06
美国运通,AXP,2000-02-22,15.57,15.45,15.82,14.95,12063000,0.0,5.74,1.98,0.3,2.7
美国运通,AXP,2000-02-23,15.4,15.11,15.97,14.63,9542700,0.0,8.67,-2.2,-0.34,2.14
美国运通,AXP,2000-02-24,14.95,12.4,15.26,12.03,17384100,0.0,21.38,-17.94,-2.71,3.89
美国运通,AXP,2000-02-25,12.78,10.65,13.74,10.4,14509200,0.0,26.94,-14.11,-1.75,3.25
美国运通,AXP,2000-02-28,11.24,13.28,14.24,11.24,14319600,0.0,28.17,24.69,2.63,3.2
美国运通,AXP,2000-02-29,14.4,13.8,14.47,12.9,7493400,0.0,11.82,3.92,0.52,1.68
美国运通,AXP,2000-03-01,14.74,14.24,14.88,13.13,6817500,0.0,12.68,3.19,0.44,1.54
美国运通,AXP,2000-03-02,14.74,13.59,14.88,13.2,7621800,0.0,11.8,-4.56,-0.65,1.72
美国运通,AXP,2000-03-03,14.99,13.57,15.2,12.82,7680900,0.0,17.51,-0.15,-0.02,1.73
美国运通,AXP,2000-03-06,13.57,12.15,13.65,11.95,6389400,0.0,12.53,-10.46,-1.42,1.44
美国运通,AXP,2000-03-07,12.24,11.19,12.4,10.44,9760500,0.0,16.13,-7.9,-0.96,2.2
美国运通,AXP,2000-03-08,11.28,9.99,11.28,9.42,9944400,0.0,16.62,-10.72,-1.2,2.25
美国运通,AXP,2000-03-09,10.36,9.99,10.53,8.9,11238000,0.0,16.32,0.0,0.0,2.54
美国运通,AXP,2000-03-10,10.11,11.3,12.34,9.67,10882500,0.0,26.73,13.11,1.31,2.46
美国运通,AXP,2000-03-13,10.32,11.26,12.86,9.86,8926500,0.0,26.55,-0.35,-0.04,2.02
美国运通,AXP,2000-03-14,12.32,11.88,13.2,11.69,8211900,0.0,13.41,5.51,0.62,1.85
美国运通,AXP,2000-03-15,11.99,13.36,13.82,11.47,9801000,0.0,19.78,12.46,1.48,2.21
美国运通,AXP,2000-03-16,14.74,16.99,17.92,14.57,15131400,0.0,25.07,27.17,3.63,3.42
