股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Bath & Body Works Inc,BBWI,2021-08-03,62.6,64.1,64.33,60.32,6044262,390011904.0,0.0,0.0,0.0,2.28
Bath & Body Works Inc,BBWI,2021-08-04,62.76,60.04,63.6,59.51,5994895,376999920.0,6.38,-6.33,-4.06,2.26
Bath & Body Works Inc,BBWI,2021-08-05,60.9,60.42,61.5,59.11,3979473,247201149.0,3.98,0.63,0.38,1.5
Bath & Body Works Inc,BBWI,2021-08-06,60.75,59.77,60.75,58.96,3275784,201854234.0,2.96,-1.08,-0.65,1.24
Bath & Body Works Inc,BBWI,2021-08-09,59.48,59.58,60.18,58.7,3126105,192119600.0,2.48,-0.32,-0.19,1.18
Bath & Body Works Inc,BBWI,2021-08-10,59.63,60.61,61.8,58.62,3130893,196489283.0,5.34,1.73,1.03,1.18
Bath & Body Works Inc,BBWI,2021-08-11,61.88,61.35,62.29,59.77,3873473,243491867.0,4.16,1.22,0.74,1.46
Bath & Body Works Inc,BBWI,2021-08-12,61.03,60.62,62.53,60.14,2959316,185692029.0,3.9,-1.19,-0.73,1.12
Bath & Body Works Inc,BBWI,2021-08-13,60.68,58.9,60.98,58.61,3645683,223529859.0,3.91,-2.84,-1.72,1.38
Bath & Body Works Inc,BBWI,2021-08-16,59.07,60.06,60.48,57.72,3425560,209843140.0,4.69,1.97,1.16,1.29
Bath & Body Works Inc,BBWI,2021-08-17,59.22,57.27,59.78,56.38,3738365,221721659.0,5.66,-4.65,-2.79,1.41
Bath & Body Works Inc,BBWI,2021-08-18,57.42,57.54,58.79,56.87,4160677,248117086.0,3.35,0.47,0.27,1.57
Bath & Body Works Inc,BBWI,2021-08-19,62.06,63.76,64.37,60.6,8623452,557127952.0,6.55,10.81,6.22,3.25
Bath & Body Works Inc,BBWI,2021-08-20,62.82,64.51,64.72,62.57,3995424,262407178.0,3.37,1.18,0.75,1.51
Bath & Body Works Inc,BBWI,2021-08-23,64.89,65.84,66.21,63.84,4120584,276285488.0,3.67,2.06,1.33,1.55
Bath & Body Works Inc,BBWI,2021-08-24,66.52,66.6,67.38,65.8,4454598,305392624.0,2.4,1.15,0.76,1.68
Bath & Body Works Inc,BBWI,2021-08-25,66.88,66.43,67.35,66.03,2345365,160070963.0,1.98,-0.26,-0.17,0.89
Bath & Body Works Inc,BBWI,2021-08-26,66.11,66.09,66.23,64.43,2553809,172047672.0,2.71,-0.51,-0.34,0.96
Bath & Body Works Inc,BBWI,2021-08-27,66.59,66.79,67.72,66.55,1877491,129066206.0,1.77,1.06,0.7,0.71
Bath & Body Works Inc,BBWI,2021-08-30,67.18,67.28,67.39,66.0,1562938,107542577.0,2.08,0.73,0.49,0.59
Bath & Body Works Inc,BBWI,2021-08-31,67.08,65.73,67.15,65.15,2953811,199151297.0,2.97,-2.3,-1.55,1.12
Bath & Body Works Inc,BBWI,2021-09-01,65.97,64.49,66.79,63.47,4424767,294588448.0,5.05,-1.89,-1.24,1.67
Bath & Body Works Inc,BBWI,2021-09-02,64.53,63.87,65.18,63.53,2183410,143792515.0,2.56,-0.96,-0.62,0.83
Bath & Body Works Inc,BBWI,2021-09-03,63.68,63.85,64.95,62.64,2114478,138019442.0,3.62,-0.03,-0.02,0.8
Bath & Body Works Inc,BBWI,2021-09-07,63.4,63.23,64.27,62.57,2554704,166524136.0,2.66,-0.97,-0.62,0.97
Bath & Body Works Inc,BBWI,2021-09-08,62.85,62.73,63.44,61.91,3082764,198788097.0,2.42,-0.79,-0.5,1.17
Bath & Body Works Inc,BBWI,2021-09-09,62.74,62.78,63.5,62.4,1801711,116587127.0,1.75,0.08,0.05,0.68
Bath & Body Works Inc,BBWI,2021-09-10,63.16,61.89,63.25,61.82,2020869,129904915.0,2.28,-1.42,-0.89,0.76
Bath & Body Works Inc,BBWI,2021-09-13,62.53,62.14,62.62,61.31,3276896,208707782.0,2.12,0.4,0.25,1.24
Bath & Body Works Inc,BBWI,2021-09-14,62.49,61.66,62.91,61.38,2522919,160694741.0,2.46,-0.77,-0.48,0.95
Bath & Body Works Inc,BBWI,2021-09-15,61.31,63.37,63.74,60.92,3184557,206260570.0,4.57,2.77,1.71,1.2
Bath & Body Works Inc,BBWI,2021-09-16,63.89,64.76,65.39,63.85,2217445,147424040.0,2.43,2.19,1.39,0.84
Bath & Body Works Inc,BBWI,2021-09-17,64.58,64.59,66.18,64.13,6159770,409286336.0,3.17,-0.26,-0.17,2.33
Bath & Body Works Inc,BBWI,2021-09-20,62.56,62.68,63.83,61.37,2105037,135193829.0,3.81,-2.96,-1.91,0.8
Bath & Body Works Inc,BBWI,2021-09-21,64.11,62.68,64.68,62.63,2008627,130704820.0,3.27,0.0,0.0,0.76
Bath & Body Works Inc,BBWI,2021-09-22,62.88,64.67,65.15,62.88,2430389,161011075.0,3.62,3.17,1.99,0.92
Bath & Body Works Inc,BBWI,2021-09-23,64.93,65.67,66.6,64.93,1550231,104912862.0,2.58,1.55,1.0,0.59
Bath & Body Works Inc,BBWI,2021-09-24,64.96,65.64,65.85,64.26,1675169,112575690.0,2.42,-0.05,-0.03,0.63
Bath & Body Works Inc,BBWI,2021-09-27,66.45,66.88,67.17,65.65,2198068,150549423.0,2.32,1.89,1.24,0.83
Bath & Body Works Inc,BBWI,2021-09-28,66.34,65.5,67.34,65.4,2260589,153949432.0,2.9,-2.06,-1.38,0.86
