股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
百思买,BBY,2000-01-03,-0.73,-0.73,-0.67,-2.39,19444500,0.0,-42.36,82.02,3.33,9.5
百思买,BBY,2000-01-04,-1.17,-0.89,-0.34,-1.95,11528700,0.0,-220.55,-21.92,-0.16,5.63
百思买,BBY,2000-01-05,-1.06,-1.06,-0.45,-3.06,11122500,0.0,-293.26,-19.1,-0.17,5.44
百思买,BBY,2000-01-06,-1.42,-1.28,-0.56,-1.78,5971200,0.0,-115.09,-20.75,-0.22,2.92
百思买,BBY,2000-01-07,-1.28,-0.5,-0.5,-1.39,5748800,0.0,-69.53,60.94,0.78,2.81
百思买,BBY,2000-01-10,-0.14,-0.78,0.14,-1.11,3802500,0.0,-250.0,-56.0,-0.28,1.86
百思买,BBY,2000-01-11,-1.03,-1.56,-0.95,-1.73,5269500,0.0,-100.0,-100.0,-0.78,2.57
百思买,BBY,2000-01-12,-1.95,-2.2,-1.45,-2.81,4094600,0.0,-87.18,-41.03,-0.64,2.0
百思买,BBY,2000-01-13,-2.2,-2.84,-1.7,-2.84,2748900,0.0,-51.82,-29.09,-0.64,1.34
百思买,BBY,2000-01-14,-1.81,-2.03,-1.67,-2.11,4424800,0.0,-15.49,28.52,0.81,2.16
百思买,BBY,2000-01-18,-2.31,-2.14,-2.06,-2.53,2461800,0.0,-23.15,-5.42,-0.11,1.2
百思买,BBY,2000-01-19,-1.98,-1.17,-0.62,-2.09,5825700,0.0,-68.69,45.33,0.97,2.85
百思买,BBY,2000-01-20,-1.06,-2.0,-1.06,-2.06,4661100,0.0,-85.47,-70.94,-0.83,2.28
百思买,BBY,2000-01-21,-1.95,-2.37,-1.89,-2.67,5493900,0.0,-39.0,-18.5,-0.37,2.68
百思买,BBY,2000-01-24,-1.98,-3.45,-1.89,-3.64,3113700,0.0,-73.84,-45.57,-1.08,1.52
百思买,BBY,2000-01-25,-3.45,-2.62,-2.62,-3.84,3495600,0.0,-35.36,24.06,0.83,1.71
百思买,BBY,2000-01-26,-2.73,-3.37,-2.64,-3.45,2533200,0.0,-30.92,-28.63,-0.75,1.24
百思买,BBY,2000-01-27,-3.26,-3.67,-3.0,-4.09,2173800,0.0,-32.34,-8.9,-0.3,1.06
百思买,BBY,2000-01-28,-3.62,-4.17,-3.62,-4.73,3393000,0.0,-30.25,-13.62,-0.5,1.66
百思买,BBY,2000-01-31,-4.5,-5.17,-4.42,-5.39,3938000,0.0,-23.26,-23.98,-1.0,1.92
百思买,BBY,2000-02-01,-5.17,-4.31,-4.06,-5.39,6062400,0.0,-25.73,16.63,0.86,2.96
百思买,BBY,2000-02-02,-4.39,-4.28,-4.11,-5.17,3405600,0.0,-24.59,0.7,0.03,1.66
百思买,BBY,2000-02-03,-3.95,-3.26,-3.11,-4.17,5199600,0.0,-24.77,23.83,1.02,2.54
百思买,BBY,2000-02-04,-2.34,-1.11,-1.03,-2.42,9254400,0.0,-42.64,65.95,2.15,4.52
百思买,BBY,2000-02-07,-1.67,-1.95,-1.56,-2.42,3891200,0.0,-77.48,-75.68,-0.84,1.9
百思买,BBY,2000-02-08,-1.95,-0.95,-0.73,-1.95,3763200,0.0,-62.56,51.28,1.0,1.84
百思买,BBY,2000-02-09,-0.67,-2.03,-0.67,-2.39,3148600,0.0,-181.05,-113.68,-1.08,1.54
百思买,BBY,2000-02-10,-2.0,-2.2,-1.78,-2.48,2849000,0.0,-34.48,-8.37,-0.17,1.39
百思买,BBY,2000-02-11,-1.98,-2.53,-1.98,-2.67,2269400,0.0,-31.36,-15.0,-0.33,1.11
百思买,BBY,2000-02-14,-2.39,-2.84,-2.28,-2.92,2989400,0.0,-25.3,-12.25,-0.31,1.46
百思买,BBY,2000-02-15,-2.84,-2.81,-2.64,-2.98,2691900,0.0,-11.97,1.06,0.03,1.32
百思买,BBY,2000-02-16,-2.84,-1.95,-1.59,-2.89,4544400,0.0,-46.26,30.6,0.86,2.22
百思买,BBY,2000-02-17,-1.56,-2.2,-1.56,-2.28,3886200,0.0,-36.92,-12.82,-0.25,1.9
百思买,BBY,2000-02-18,-2.22,-1.45,-0.73,-2.22,5545800,0.0,-67.73,34.09,0.75,2.71
百思买,BBY,2000-02-22,-2.0,-2.5,-1.92,-3.39,3775500,0.0,-101.38,-72.41,-1.05,1.84
百思买,BBY,2000-02-23,-1.5,-2.5,-1.48,-2.78,2399800,0.0,-52.0,0.0,0.0,1.17
百思买,BBY,2000-02-24,-2.48,-3.39,-2.48,-4.14,4234500,0.0,-66.4,-35.6,-0.89,2.07
百思买,BBY,2000-02-25,-3.39,-5.06,-3.28,-5.28,5467500,0.0,-59.0,-49.26,-1.67,2.67
百思买,BBY,2000-02-28,-4.98,-3.42,-3.26,-5.39,5053000,0.0,-42.09,32.41,1.64,2.52
百思买,BBY,2000-02-29,-2.62,-2.11,-1.92,-2.73,5271300,0.0,-23.68,38.3,1.31,2.63
百思买,BBY,2000-03-01,-2.11,-1.95,-1.64,-2.17,4171000,0.0,-25.12,7.58,0.16,2.08
百思买,BBY,2000-03-02,-1.56,-1.03,-0.67,-2.56,6695100,0.0,-96.92,47.18,0.92,3.34
百思买,BBY,2000-03-03,-0.5,0.5,1.58,-0.59,8706900,0.0,-210.68,148.54,1.53,4.35
百思买,BBY,2000-03-06,1.83,1.83,2.02,0.72,6129900,0.0,260.0,266.0,1.33,3.06
百思买,BBY,2000-03-07,1.61,-0.31,1.61,-0.45,4413600,0.0,112.57,-116.94,-2.14,2.2
百思买,BBY,2000-03-08,-0.17,0.69,0.69,-0.2,2251400,0.0,-287.1,322.58,1.0,1.12
百思买,BBY,2000-03-09,0.55,2.05,2.36,0.14,3371800,0.0,321.74,197.1,1.36,1.68
百思买,BBY,2000-03-10,2.22,1.33,2.22,1.0,2573400,0.0,59.51,-35.12,-0.72,1.28
百思买,BBY,2000-03-13,0.27,0.91,1.3,0.27,2568200,0.0,77.44,-31.58,-0.42,1.28
百思买,BBY,2000-03-14,0.91,1.47,1.89,0.66,2662600,0.0,135.16,61.54,0.56,1.33
百思买,BBY,2000-03-15,1.58,2.99,3.61,1.05,4152300,0.0,174.15,103.4,1.52,2.07
百思买,BBY,2000-03-16,4.25,6.72,7.08,4.05,11478200,0.0,101.34,124.75,3.73,5.73
百思买,BBY,2000-03-17,7.61,6.72,8.83,5.99,8411100,0.0,42.26,0.0,0.0,4.2
百思买,BBY,2000-03-20,6.61,5.1,6.61,4.66,4152600,0.0,29.02,-24.11,-1.62,2.07
百思买,BBY,2000-03-21,4.88,6.27,6.69,4.22,4485600,0.0,48.43,22.94,1.17,2.24
百思买,BBY,2000-03-22,6.22,7.61,7.77,5.83,4111800,0.0,30.94,21.37,1.34,2.05
百思买,BBY,2000-03-23,7.38,9.5,9.61,6.83,5967000,0.0,36.53,24.84,1.89,2.98
百思买,BBY,2000-03-24,9.16,8.25,10.02,8.22,4245800,0.0,18.95,-13.16,-1.25,2.12
百思买,BBY,2000-03-27,8.14,7.22,8.16,6.44,2620800,0.0,20.85,-12.48,-1.03,1.31
百思买,BBY,2000-03-28,7.05,10.05,10.19,6.77,7518600,0.0,47.37,39.2,2.83,3.75
百思买,BBY,2000-03-29,9.72,10.5,10.5,8.72,4629000,0.0,17.71,4.48,0.45,2.31
百思买,BBY,2000-03-30,9.61,10.91,11.61,9.5,8217000,0.0,20.1,3.9,0.41,4.1
百思买,BBY,2000-03-31,10.94,11.83,11.94,9.61,4473000,0.0,21.36,8.43,0.92,2.23
百思买,BBY,2000-04-03,11.83,10.47,13.1,10.44,5046300,0.0,22.49,-11.5,-1.36,2.52
