股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
宁波富邦,600768,2000-01-04,10.47,11.39,11.39,10.35,15242,24689000.0,10.05,10.05,1.04,5.7
宁波富邦,600768,2000-01-05,11.4,11.38,11.94,11.12,18241,30620000.0,7.2,-0.09,-0.01,6.82
宁波富邦,600768,2000-01-06,11.25,11.74,11.92,11.17,16210,27265000.0,6.59,3.16,0.36,6.06
宁波富邦,600768,2000-01-07,11.79,11.46,12.19,11.35,27605,47215000.0,7.16,-2.39,-0.28,10.32
宁波富邦,600768,2000-01-10,11.35,12.61,12.61,11.35,33892,60303000.0,10.99,10.03,1.15,12.67
宁波富邦,600768,2000-01-11,12.69,12.97,13.87,12.17,41039,78024000.0,13.48,2.85,0.36,15.34
宁波富邦,600768,2000-01-12,12.85,12.15,13.75,12.12,32181,60963000.0,12.57,-6.32,-0.82,12.03
宁波富邦,600768,2000-01-13,12.07,11.94,12.36,11.67,9273,16144000.0,5.68,-1.73,-0.21,3.47
宁波富邦,600768,2000-01-14,12.01,12.08,12.47,11.88,8047,14223000.0,4.94,1.17,0.14,3.01
宁波富邦,600768,2000-01-17,12.12,12.64,12.74,12.12,9345,16988000.0,5.13,4.64,0.56,3.49
宁波富邦,600768,2000-01-18,12.67,11.77,12.83,11.74,8926,15684000.0,8.62,-6.88,-0.87,3.34
宁波富邦,600768,2000-01-19,11.74,12.0,12.05,11.6,6217,10643000.0,3.82,1.95,0.23,2.32
宁波富邦,600768,2000-01-20,11.94,12.36,12.48,11.75,5983,10648000.0,6.08,3.0,0.36,2.24
宁波富邦,600768,2000-01-21,12.5,13.06,13.53,12.24,18652,35038000.0,10.44,5.66,0.7,6.97
宁波富邦,600768,2000-01-24,13.65,14.37,14.37,13.61,39487,81842000.0,5.82,10.03,1.31,14.76
宁波富邦,600768,2000-01-25,15.07,14.44,15.56,13.82,37032,79178000.0,12.11,0.49,0.07,13.84
宁波富邦,600768,2000-01-26,14.36,15.9,15.9,14.03,26458,59117000.0,12.95,10.11,1.46,9.89
宁波富邦,600768,2000-01-27,16.31,16.74,17.07,15.9,21934,52625000.0,7.36,5.28,0.84,8.2
宁波富邦,600768,2000-01-28,16.74,17.35,18.15,16.38,22933,56775000.0,10.57,3.64,0.61,8.57
宁波富邦,600768,2000-02-14,18.23,19.09,19.09,18.23,26184,71412000.0,4.96,10.03,1.74,9.79
宁波富邦,600768,2000-02-15,19.38,20.42,21.01,19.31,26801,79920000.0,8.91,6.97,1.33,10.02
宁波富邦,600768,2000-02-16,20.42,20.28,21.84,19.1,27273,79621000.0,13.42,-0.69,-0.14,10.19
宁波富邦,600768,2000-02-17,20.28,18.24,20.76,18.24,37891,102829000.0,12.43,-10.06,-2.04,14.16
宁波富邦,600768,2000-02-18,16.41,17.99,18.54,16.41,27083,65917000.0,11.68,-1.37,-0.25,10.12
