股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Bio Rad实验室-A,BIO,2010-04-13,106.31,106.35,106.97,105.61,21101,0.0,0.0,0.0,0.0,0.08
Bio Rad实验室-A,BIO,2010-04-14,106.56,108.47,108.47,106.25,48461,0.0,2.09,1.99,2.12,0.18
Bio Rad实验室-A,BIO,2010-04-19,107.6,106.98,108.03,105.79,97513,0.0,2.07,-1.37,-1.49,0.35
Bio Rad实验室-A,BIO,2010-04-20,107.08,108.96,108.96,107.08,44116,0.0,1.76,1.85,1.98,0.16
Bio Rad实验室-A,BIO,2010-04-21,109.0,109.5,110.25,108.67,83524,0.0,1.45,0.5,0.54,0.3
Bio Rad实验室-A,BIO,2010-04-22,109.16,110.12,110.46,108.56,58458,0.0,1.74,0.57,0.62,0.21
Bio Rad实验室-A,BIO,2010-04-23,110.45,111.42,112.29,109.9,49111,0.0,2.17,1.18,1.3,0.18
Bio Rad实验室-A,BIO,2010-04-26,111.11,110.82,112.44,110.67,47223,0.0,1.59,-0.54,-0.6,0.17
Bio Rad实验室-A,BIO,2010-04-27,110.01,111.02,111.95,110.0,62612,0.0,1.76,0.18,0.2,0.23
Bio Rad实验室-A,BIO,2010-04-28,111.2,110.96,111.54,110.08,49500,0.0,1.32,-0.05,-0.06,0.18
Bio Rad实验室-A,BIO,2010-04-29,111.41,111.72,112.5,110.49,59482,0.0,1.81,0.68,0.76,0.22
Bio Rad实验室-A,BIO,2010-04-30,112.0,111.69,112.68,111.5,93815,0.0,1.06,-0.03,-0.03,0.34
Bio Rad实验室-A,BIO,2010-05-03,111.84,113.63,113.68,111.84,46355,0.0,1.65,1.74,1.94,0.17
Bio Rad实验室-A,BIO,2010-05-04,113.1,111.81,113.1,111.08,38491,0.0,1.78,-1.6,-1.82,0.14
Bio Rad实验室-A,BIO,2010-05-05,104.13,103.65,107.41,102.9,242638,0.0,4.03,-7.3,-8.16,0.88
Bio Rad实验室-A,BIO,2010-05-06,103.07,98.0,120.1,89.56,329913,0.0,29.46,-5.45,-5.65,1.2
Bio Rad实验室-A,BIO,2010-05-07,98.88,97.51,98.88,96.16,130383,0.0,2.78,-0.5,-0.49,0.47
Bio Rad实验室-A,BIO,2010-05-10,125.0,97.45,125.01,96.56,132723,0.0,29.18,-0.06,-0.06,0.48
Bio Rad实验室-A,BIO,2010-05-11,97.01,98.45,99.32,97.01,160145,0.0,2.37,1.03,1.0,0.58
Bio Rad实验室-A,BIO,2010-05-12,98.45,99.0,99.25,97.01,90837,0.0,2.28,0.56,0.55,0.33
Bio Rad实验室-A,BIO,2010-05-13,99.0,98.16,99.83,97.69,102880,0.0,2.16,-0.85,-0.84,0.37
Bio Rad实验室-A,BIO,2010-05-14,97.65,93.58,98.15,93.41,122228,0.0,4.83,-4.67,-4.58,0.44
Bio Rad实验室-A,BIO,2010-05-17,94.45,96.68,96.83,94.01,135549,0.0,3.01,3.31,3.1,0.49
Bio Rad实验室-A,BIO,2010-05-18,96.94,95.74,97.74,95.36,86467,0.0,2.46,-0.97,-0.94,0.31
Bio Rad实验室-A,BIO,2010-05-19,95.26,93.69,95.26,93.35,90158,0.0,1.99,-2.14,-2.05,0.33
Bio Rad实验室-A,BIO,2010-05-20,92.84,90.27,93.25,90.15,75509,0.0,3.31,-3.65,-3.42,0.27
Bio Rad实验室-A,BIO,2010-05-21,89.39,91.61,92.13,88.65,80472,0.0,3.86,1.48,1.34,0.29
Bio Rad实验室-A,BIO,2010-05-24,91.86,90.08,91.86,89.79,54852,0.0,2.26,-1.67,-1.53,0.2
Bio Rad实验室-A,BIO,2010-05-25,88.38,90.68,91.03,88.0,88220,0.0,3.36,0.67,0.6,0.32
Bio Rad实验室-A,BIO,2010-05-26,90.51,90.38,92.15,90.07,545973,0.0,2.29,-0.33,-0.3,1.98
Bio Rad实验室-A,BIO,2010-05-27,91.04,94.94,95.1,90.93,85854,0.0,4.61,5.05,4.56,0.31
Bio Rad实验室-A,BIO,2010-05-28,94.52,93.57,94.94,93.11,46784,0.0,1.93,-1.44,-1.37,0.17
Bio Rad实验室-A,BIO,2010-06-01,92.81,91.01,92.95,91.01,70539,0.0,2.07,-2.74,-2.56,0.26
Bio Rad实验室-A,BIO,2010-06-02,91.09,92.76,92.99,91.0,63058,0.0,2.19,1.92,1.75,0.23
Bio Rad实验室-A,BIO,2010-06-03,92.37,93.95,94.14,92.07,61022,0.0,2.23,1.28,1.19,0.22
Bio Rad实验室-A,BIO,2010-06-04,91.54,90.0,92.75,89.87,57242,0.0,3.07,-4.2,-3.95,0.21
Bio Rad实验室-A,BIO,2010-06-07,90.39,89.69,90.54,89.26,58264,0.0,1.42,-0.34,-0.31,0.21
Bio Rad实验室-A,BIO,2010-06-08,90.03,87.66,90.07,87.25,160261,0.0,3.14,-2.26,-2.03,0.58
Bio Rad实验室-A,BIO,2010-06-09,87.75,86.01,87.75,85.57,99767,0.0,2.49,-1.88,-1.65,0.36
Bio Rad实验室-A,BIO,2010-06-10,86.95,86.74,87.14,86.51,122212,0.0,0.73,0.85,0.73,0.44
Bio Rad实验室-A,BIO,2010-06-11,86.5,87.27,87.47,85.86,141308,0.0,1.86,0.61,0.53,0.51
Bio Rad实验室-A,BIO,2010-06-14,87.6,87.53,88.5,87.2,97417,0.0,1.49,0.3,0.26,0.35
Bio Rad实验室-A,BIO,2010-06-15,88.42,88.95,89.3,88.05,123541,0.0,1.43,1.62,1.42,0.45
Bio Rad实验室-A,BIO,2010-06-16,88.75,89.1,89.35,88.53,95551,0.0,0.92,0.17,0.15,0.35
Bio Rad实验室-A,BIO,2010-06-17,89.57,90.7,91.04,89.21,105699,0.0,2.05,1.8,1.6,0.38
Bio Rad实验室-A,BIO,2010-06-18,90.71,90.42,91.17,89.59,128585,0.0,1.74,-0.31,-0.28,0.47
Bio Rad实验室-A,BIO,2010-06-21,90.78,90.19,91.0,89.89,133267,0.0,1.23,-0.25,-0.23,0.48
Bio Rad实验室-A,BIO,2010-06-22,90.1,89.58,90.76,89.51,145477,0.0,1.39,-0.68,-0.61,0.53
Bio Rad实验室-A,BIO,2010-06-23,89.51,88.93,89.51,87.74,72664,0.0,1.98,-0.73,-0.65,0.26
Bio Rad实验室-A,BIO,2010-06-24,88.7,86.99,89.18,86.98,55126,0.0,2.47,-2.18,-1.94,0.2
Bio Rad实验室-A,BIO,2010-06-25,87.49,87.55,87.93,86.0,386981,0.0,2.22,0.64,0.56,1.4
Bio Rad实验室-A,BIO,2010-06-28,87.0,88.71,89.12,87.0,54527,0.0,2.42,1.32,1.16,0.2
Bio Rad实验室-A,BIO,2010-06-29,88.04,86.54,88.44,86.54,171522,0.0,2.14,-2.45,-2.17,0.62
Bio Rad实验室-A,BIO,2010-06-30,86.69,86.49,87.46,86.33,140002,0.0,1.31,-0.06,-0.05,0.51
Bio Rad实验室-A,BIO,2010-07-01,86.06,85.3,86.12,83.71,216576,0.0,2.79,-1.38,-1.19,0.79
Bio Rad实验室-A,BIO,2010-07-02,85.67,85.57,86.26,84.57,77290,0.0,1.98,0.32,0.27,0.28
Bio Rad实验室-A,BIO,2010-07-06,86.85,86.32,87.34,85.24,151469,0.0,2.45,0.88,0.75,0.55
Bio Rad实验室-A,BIO,2010-07-07,86.76,88.85,89.03,86.76,104002,0.0,2.63,2.93,2.53,0.38
Bio Rad实验室-A,BIO,2010-07-08,89.54,88.77,89.74,88.21,47596,0.0,1.72,-0.09,-0.08,0.17
Bio Rad实验室-A,BIO,2010-07-09,88.59,88.86,89.36,88.47,26835,0.0,1.0,0.1,0.09,0.1
Bio Rad实验室-A,BIO,2010-07-12,88.34,87.54,88.67,87.22,31294,0.0,1.63,-1.49,-1.32,0.11
Bio Rad实验室-A,BIO,2010-07-13,88.18,89.43,89.76,88.18,64152,0.0,1.8,2.16,1.89,0.23
Bio Rad实验室-A,BIO,2010-07-14,88.8,89.81,89.84,88.02,46850,0.0,2.04,0.42,0.38,0.17
Bio Rad实验室-A,BIO,2010-07-15,89.74,89.27,90.35,88.6,37974,0.0,1.95,-0.6,-0.54,0.14
Bio Rad实验室-A,BIO,2010-07-16,88.84,87.92,88.84,87.48,95570,0.0,1.52,-1.51,-1.35,0.35
Bio Rad实验室-A,BIO,2010-07-19,88.08,87.54,88.25,87.42,27517,0.0,0.94,-0.43,-0.38,0.1
Bio Rad实验室-A,BIO,2010-07-20,86.55,87.98,88.06,86.36,44267,0.0,1.94,0.5,0.44,0.16
Bio Rad实验室-A,BIO,2010-07-21,88.0,87.58,88.92,87.4,110663,0.0,1.73,-0.45,-0.4,0.4
Bio Rad实验室-A,BIO,2010-07-22,88.08,88.57,89.56,88.08,78832,0.0,1.69,1.13,0.99,0.29
Bio Rad实验室-A,BIO,2010-07-23,88.53,89.38,89.48,87.83,57945,0.0,1.86,0.91,0.81,0.21
Bio Rad实验室-A,BIO,2010-07-26,89.79,90.83,90.86,89.31,80895,0.0,1.73,1.62,1.45,0.29
Bio Rad实验室-A,BIO,2010-07-27,91.04,89.63,91.56,89.53,105726,0.0,2.23,-1.32,-1.2,0.38
Bio Rad实验室-A,BIO,2010-07-28,89.63,89.31,90.49,89.0,97159,0.0,1.66,-0.36,-0.32,0.35
Bio Rad实验室-A,BIO,2010-07-29,89.63,88.77,89.63,88.11,118089,0.0,1.7,-0.6,-0.54,0.43
