股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
贝壳,BEKE,2020-08-13,34.91,37.29,37.34,31.64,49492408,1710649008.0,28.72,87.86,17.44,4.39
贝壳,BEKE,2020-08-14,33.66,32.85,35.8,32.35,10652165,365686144.0,9.25,-11.91,-4.44,0.94
贝壳,BEKE,2020-08-17,33.3,38.57,38.85,33.25,8806517,318360512.0,17.05,17.41,5.72,0.78
贝壳,BEKE,2020-08-18,39.98,40.35,42.85,37.96,7961931,325660976.0,12.68,4.61,1.78,0.71
贝壳,BEKE,2020-08-19,40.35,42.22,47.95,39.75,13581216,583043824.0,20.32,4.63,1.87,1.2
贝壳,BEKE,2020-08-20,44.0,40.6,45.03,39.91,6842934,287833600.0,12.13,-3.84,-1.62,0.61
贝壳,BEKE,2020-08-21,39.92,41.72,42.65,39.85,3465579,144799204.0,6.9,2.76,1.12,0.31
贝壳,BEKE,2020-08-24,42.33,45.91,46.05,42.18,5073926,227741226.0,9.28,10.04,4.19,0.45
贝壳,BEKE,2020-08-25,46.27,51.05,52.48,46.02,5798112,286011888.0,14.07,11.2,5.14,0.51
贝壳,BEKE,2020-08-26,50.32,49.62,53.0,48.0,3448596,172781638.0,9.79,-2.8,-1.43,0.31
贝壳,BEKE,2020-08-27,49.27,46.75,49.61,45.88,2613266,124127037.0,7.52,-5.78,-2.87,0.23
贝壳,BEKE,2020-08-28,48.43,49.6,49.73,46.87,2423873,117768812.0,6.12,6.1,2.85,0.21
贝壳,BEKE,2020-08-31,49.96,51.14,52.42,49.1,12952887,662118432.0,6.69,3.1,1.54,1.15
贝壳,BEKE,2020-09-01,50.85,53.85,53.85,50.35,2004346,104937904.0,6.84,5.3,2.71,0.18
贝壳,BEKE,2020-09-02,54.26,49.35,54.45,48.45,3943939,196737312.0,11.14,-8.36,-4.5,0.35
贝壳,BEKE,2020-09-03,48.25,46.54,49.25,45.43,2702989,126488821.0,7.74,-5.69,-2.81,0.24
贝壳,BEKE,2020-09-04,46.05,45.29,47.18,43.63,2434230,109276315.0,7.63,-2.69,-1.25,0.22
贝壳,BEKE,2020-09-08,44.02,43.92,44.72,42.79,4601854,202065807.0,4.26,-3.02,-1.37,0.41
贝壳,BEKE,2020-09-09,44.44,45.64,47.52,44.27,2466668,113464428.0,7.4,3.92,1.72,0.22
贝壳,BEKE,2020-09-10,46.15,49.49,49.85,45.85,3128348,153301244.0,8.76,8.44,3.85,0.28
贝壳,BEKE,2020-09-11,49.85,48.38,52.35,47.86,1635763,82005935.0,9.07,-2.24,-1.11,0.15
贝壳,BEKE,2020-09-14,49.16,52.56,52.92,49.16,1874750,97314215.0,7.77,8.64,4.18,0.17
贝壳,BEKE,2020-09-15,52.56,54.03,54.04,51.71,1525542,80701606.0,4.43,2.8,1.47,0.14
贝壳,BEKE,2020-09-16,53.65,60.57,61.85,52.45,6044332,346903120.0,17.4,12.1,6.54,0.54
贝壳,BEKE,2020-09-17,57.41,57.4,60.1,55.75,5100872,294576192.0,7.18,-5.23,-3.17,0.45
贝壳,BEKE,2020-09-18,59.85,58.22,59.87,55.95,2298274,133686087.0,6.83,1.43,0.82,0.2
贝壳,BEKE,2020-09-21,56.43,53.36,56.43,51.86,1668241,89232014.0,7.85,-8.35,-4.86,0.15
贝壳,BEKE,2020-09-22,53.6,52.23,56.45,50.58,1540047,80928370.0,11.0,-2.12,-1.13,0.14
贝壳,BEKE,2020-09-23,52.85,53.83,54.8,52.35,1262719,67464184.0,4.69,3.06,1.6,0.11
贝壳,BEKE,2020-09-24,52.2,56.07,56.35,52.13,1152816,63398752.0,7.84,4.16,2.24,0.1
贝壳,BEKE,2020-09-25,55.89,56.82,57.58,54.91,845775,47791990.0,4.76,1.34,0.75,0.08
贝壳,BEKE,2020-09-28,57.81,61.24,61.65,57.46,2175155,131251393.0,7.37,7.78,4.42,0.19
贝壳,BEKE,2020-09-29,59.85,65.48,67.35,59.75,3549933,231903342.0,12.41,6.92,4.24,0.31
贝壳,BEKE,2020-09-30,65.18,61.15,65.5,58.65,4509090,277523424.0,10.46,-6.61,-4.33,0.39
贝壳,BEKE,2020-10-01,61.76,61.9,62.84,60.07,887726,55177198.0,4.53,1.23,0.75,0.08
贝壳,BEKE,2020-10-02,60.72,58.85,60.85,58.81,1341301,80488236.0,3.3,-4.93,-3.05,0.12
贝壳,BEKE,2020-10-05,60.31,59.85,60.42,58.37,2440383,145271896.0,3.48,1.7,1.0,0.21
贝壳,BEKE,2020-10-06,60.2,64.03,64.98,58.95,2177199,136133935.0,10.08,6.98,4.18,0.19
贝壳,BEKE,2020-10-07,64.05,62.51,65.07,61.85,863760,54358843.0,5.03,-2.37,-1.52,0.08
贝壳,BEKE,2020-10-08,62.71,64.69,65.33,62.02,862449,55584284.0,5.3,3.49,2.18,0.08
贝壳,BEKE,2020-10-09,64.85,66.3,66.45,63.57,871360,57137798.0,4.45,2.49,1.61,0.08
贝壳,BEKE,2020-10-12,66.37,64.3,66.98,62.17,2782977,180143144.0,7.25,-3.02,-2.0,0.24
贝壳,BEKE,2020-10-13,64.68,64.31,66.35,62.57,1183326,76508871.0,5.88,0.02,0.01,0.1
贝壳,BEKE,2020-10-14,64.45,65.24,66.24,63.65,984175,64093674.0,4.03,1.45,0.93,0.09
贝壳,BEKE,2020-10-15,63.87,69.57,71.25,63.36,1807009,124041644.0,12.09,6.64,4.33,0.16
贝壳,BEKE,2020-10-16,69.85,71.19,73.63,69.85,1570713,112845562.0,5.43,2.33,1.62,0.14
贝壳,BEKE,2020-10-19,71.65,69.42,74.59,67.97,1625683,115983602.0,9.3,-2.49,-1.77,0.14
贝壳,BEKE,2020-10-20,69.86,69.3,71.65,68.11,1012242,70986315.0,5.1,-0.17,-0.12,0.09
贝壳,BEKE,2020-10-21,69.3,70.98,72.5,69.0,1088196,77449896.0,5.05,2.42,1.68,0.1
贝壳,BEKE,2020-10-22,70.84,75.61,76.35,70.12,1325892,98009935.0,8.78,6.52,4.63,0.12
贝壳,BEKE,2020-10-23,75.15,69.84,75.15,69.01,1910025,134595932.0,8.12,-7.63,-5.77,0.17
贝壳,BEKE,2020-10-26,69.53,69.69,72.08,68.35,1742199,121863109.0,5.34,-0.21,-0.15,0.15
贝壳,BEKE,2020-10-27,70.35,70.45,71.62,69.57,1280333,90360438.0,2.94,1.09,0.76,0.11
贝壳,BEKE,2020-10-28,69.47,72.9,74.14,68.75,1617775,116560013.0,7.65,3.48,2.45,0.14
贝壳,BEKE,2020-10-29,73.05,71.43,73.06,69.45,1760917,125741983.0,4.95,-2.02,-1.47,0.15
贝壳,BEKE,2020-10-30,70.85,69.6,71.96,67.95,2995946,209601349.0,5.61,-2.56,-1.83,0.26
贝壳,BEKE,2020-11-02,70.93,69.67,71.65,68.68,1633493,114889776.0,4.27,0.1,0.07,0.14
贝壳,BEKE,2020-11-03,69.67,66.67,70.32,64.95,1893456,127411735.0,7.71,-4.31,-3.0,0.17
贝壳,BEKE,2020-11-04,67.2,75.17,75.29,67.2,1746559,125957132.0,12.13,12.75,8.5,0.15
贝壳,BEKE,2020-11-05,76.87,72.54,77.22,70.68,1689129,123688682.0,8.7,-3.5,-2.63,0.15
贝壳,BEKE,2020-11-06,72.85,75.5,75.98,71.45,1483631,111610624.0,6.24,4.08,2.96,0.13
贝壳,BEKE,2020-11-09,75.12,71.85,75.26,70.5,1957264,141058061.0,6.3,-4.83,-3.65,0.17
贝壳,BEKE,2020-11-10,70.45,67.55,71.82,66.87,2598061,181494749.0,6.89,-5.98,-4.3,0.23
贝壳,BEKE,2020-11-11,69.54,69.45,69.81,66.87,2009853,138378112.0,4.35,2.81,1.9,0.18
贝壳,BEKE,2020-11-12,71.04,67.49,72.25,67.49,2835512,198178647.0,6.85,-2.82,-1.96,0.25
贝壳,BEKE,2020-11-13,71.43,72.38,74.33,70.35,3297109,240785714.0,5.9,7.25,4.89,0.29
贝壳,BEKE,2020-11-16,74.85,73.41,79.25,72.0,4379945,333062432.0,10.02,1.42,1.03,0.38
贝壳,BEKE,2020-11-17,69.95,67.45,71.66,66.53,5092608,347524656.0,6.99,-8.12,-5.96,0.45
贝壳,BEKE,2020-11-18,68.06,61.02,68.13,60.74,4325588,274435248.0,10.96,-9.53,-6.43,0.38
贝壳,BEKE,2020-11-19,57.6,59.2,62.23,57.47,15527513,926871440.0,7.8,-2.98,-1.82,1.36
贝壳,BEKE,2020-11-20,61.59,60.65,63.31,59.85,8445376,521635856.0,5.84,2.45,1.45,0.74
贝壳,BEKE,2020-11-23,62.32,62.82,63.0,61.45,5297492,332000720.0,2.56,3.58,2.17,0.45
贝壳,BEKE,2020-11-24,63.82,63.93,65.33,62.53,5508366,352870352.0,4.46,1.77,1.11,0.47
贝壳,BEKE,2020-11-25,62.05,60.35,64.1,60.03,3527196,216782879.0,6.37,-5.6,-3.58,0.3
贝壳,BEKE,2020-11-27,62.24,64.31,66.64,61.63,3446272,224036963.0,8.3,6.56,3.96,0.29
贝壳,BEKE,2020-11-30,64.86,65.18,65.45,61.91,4392075,283951648.0,5.5,1.35,0.87,0.37
贝壳,BEKE,2020-12-01,65.65,64.24,67.65,63.85,2376988,155536555.0,5.83,-1.44,-0.94,0.2
贝壳,BEKE,2020-12-02,62.35,62.52,63.03,60.61,2337887,145806043.0,3.77,-2.68,-1.72,0.2
贝壳,BEKE,2020-12-03,62.86,62.97,64.31,62.8,2536249,160942502.0,2.42,0.72,0.45,0.22
贝壳,BEKE,2020-12-04,63.35,61.87,63.39,61.2,2504488,155202808.0,3.48,-1.75,-1.1,0.21
贝壳,BEKE,2020-12-07,62.35,62.04,64.75,61.79,1738645,108917489.0,4.78,0.27,0.17,0.15
贝壳,BEKE,2020-12-08,62.4,65.42,66.24,62.25,3917802,255026410.0,6.43,5.45,3.38,0.33
贝壳,BEKE,2020-12-09,65.84,67.05,68.72,65.48,3067792,206857249.0,4.95,2.49,1.63,0.26
贝壳,BEKE,2020-12-10,65.68,67.85,68.69,65.24,2386763,160105918.0,5.15,1.19,0.8,0.2
贝壳,BEKE,2020-12-11,67.91,65.98,68.98,65.07,2669386,177273597.0,5.76,-2.76,-1.87,0.23
贝壳,BEKE,2020-12-14,65.85,65.67,69.14,65.58,2566195,172587371.0,5.4,-0.47,-0.31,0.22
贝壳,BEKE,2020-12-15,66.26,63.47,67.01,63.05,2557548,164190822.0,6.03,-3.35,-2.2,0.22
贝壳,BEKE,2020-12-16,64.25,62.84,64.25,62.0,1580892,99456077.0,3.54,-0.99,-0.63,0.13
贝壳,BEKE,2020-12-17,63.09,62.72,64.19,62.05,1491868,93993369.0,3.41,-0.19,-0.12,0.13
贝壳,BEKE,2020-12-18,63.85,64.31,65.25,62.95,2789797,179041217.0,3.67,2.54,1.59,0.24
贝壳,BEKE,2020-12-21,63.85,66.67,67.62,63.59,3629176,240765828.0,6.27,3.67,2.36,0.31
贝壳,BEKE,2020-12-22,66.63,67.51,68.05,65.22,1824830,122854706.0,4.24,1.26,0.84,0.15
贝壳,BEKE,2020-12-23,68.32,67.82,69.8,67.47,2380647,162664700.0,3.45,0.46,0.31,0.2
贝壳,BEKE,2020-12-24,66.33,65.19,67.73,64.09,1217184,79819731.0,5.37,-3.88,-2.63,0.1
贝壳,BEKE,2020-12-28,65.5,62.25,66.31,61.65,3056331,192005649.0,7.15,-4.51,-2.94,0.26
贝壳,BEKE,2020-12-29,64.05,62.1,64.19,61.25,1836772,114461062.0,4.72,-0.24,-0.15,0.16
贝壳,BEKE,2020-12-30,62.86,63.67,64.32,62.72,1162653,73998483.0,2.58,2.53,1.57,0.1
贝壳,BEKE,2020-12-31,63.75,61.39,63.81,60.85,1626324,100739137.0,4.65,-3.58,-2.28,0.14
贝壳,BEKE,2021-01-04,62.12,57.36,62.21,56.08,5471046,319559136.0,9.99,-6.56,-4.03,0.46
贝壳,BEKE,2021-01-05,57.85,61.59,61.95,56.95,4258973,258635441.0,8.72,7.37,4.23,0.36
贝壳,BEKE,2021-01-06,61.49,61.65,62.81,61.03,2345767,145113728.0,2.89,0.1,0.06,0.2
贝壳,BEKE,2021-01-07,61.85,62.81,62.91,60.2,3607508,223866753.0,4.4,1.88,1.16,0.3
贝壳,BEKE,2021-01-08,63.37,65.13,66.65,63.37,3761516,245812825.0,5.22,3.69,2.32,0.32
贝壳,BEKE,2021-01-11,65.05,64.14,65.21,62.85,1696781,109045416.0,3.62,-1.52,-0.99,0.14
贝壳,BEKE,2021-01-12,65.64,65.84,67.1,64.26,2093088,137585094.0,4.43,2.65,1.7,0.18
贝壳,BEKE,2021-01-13,65.81,63.79,66.24,62.92,1896112,121661242.0,5.04,-3.11,-2.05,0.16
贝壳,BEKE,2021-01-14,64.05,62.39,64.48,62.06,2186326,137537034.0,3.79,-2.19,-1.4,0.18
贝壳,BEKE,2021-01-15,62.45,62.23,63.71,61.25,1834607,114080637.0,3.94,-0.26,-0.16,0.15
贝壳,BEKE,2021-01-19,64.94,63.22,65.0,62.29,2567584,162502429.0,4.35,1.59,0.99,0.22
贝壳,BEKE,2021-01-20,64.03,72.66,72.8,64.01,7673387,537867680.0,13.9,14.93,9.44,0.65
贝壳,BEKE,2021-01-21,69.97,73.25,77.85,69.7,4644036,340606480.0,11.22,0.81,0.59,0.39
贝壳,BEKE,2021-01-22,72.65,71.3,72.9,69.45,3328476,236876756.0,4.71,-2.66,-1.95,0.28
贝壳,BEKE,2021-01-25,72.35,70.65,76.55,68.36,5495642,397355104.0,11.49,-0.91,-0.65,0.46
贝壳,BEKE,2021-01-26,69.86,63.57,69.87,63.42,6114799,401785040.0,9.13,-10.02,-7.08,0.52
贝壳,BEKE,2021-01-27,61.65,61.69,63.05,59.85,4432674,273023504.0,5.03,-2.96,-1.88,0.37
贝壳,BEKE,2021-01-28,61.85,59.26,62.07,58.66,5370978,322208368.0,5.53,-3.94,-2.43,0.45
贝壳,BEKE,2021-01-29,60.05,58.95,60.36,58.14,3190114,188959124.0,3.75,-0.52,-0.31,0.27
贝壳,BEKE,2021-02-01,61.37,60.82,63.02,59.86,3839072,234690104.0,5.36,3.17,1.87,0.32
贝壳,BEKE,2021-02-02,63.84,64.4,64.6,61.54,3559943,225271003.0,5.03,5.89,3.58,0.3
贝壳,BEKE,2021-02-03,65.5,62.91,65.93,62.5,3067082,195422056.0,5.33,-2.31,-1.49,0.26
贝壳,BEKE,2021-02-04,62.71,64.83,65.8,61.46,3819984,245318114.0,6.9,3.05,1.92,0.32
贝壳,BEKE,2021-02-05,65.81,62.47,65.99,61.95,3140229,198615232.0,6.23,-3.64,-2.36,0.27
贝壳,BEKE,2021-02-08,61.86,62.05,62.39,60.13,3803197,233076254.0,3.62,-0.67,-0.42,0.32
贝壳,BEKE,2021-02-09,63.34,66.07,68.43,61.7,5595136,370094160.0,10.85,6.48,4.02,0.47
贝壳,BEKE,2021-02-10,66.35,68.8,72.47,66.35,6589838,460403168.0,9.26,4.13,2.73,0.56
贝壳,BEKE,2021-02-11,69.95,70.65,71.47,68.43,4866615,342815296.0,4.42,2.69,1.85,0.41
贝壳,BEKE,2021-02-12,69.07,67.17,72.05,65.95,3074253,212022906.0,8.63,-4.93,-3.48,0.26
贝壳,BEKE,2021-02-16,67.26,67.85,68.84,65.73,9272358,626587088.0,4.63,1.01,0.68,0.78
贝壳,BEKE,2021-02-17,66.24,66.52,67.72,65.1,3821165,253508683.0,3.86,-1.96,-1.33,0.32
贝壳,BEKE,2021-02-18,65.14,64.14,65.84,63.15,5948624,383800064.0,4.04,-3.58,-2.38,0.5
贝壳,BEKE,2021-02-19,65.35,69.24,69.71,65.2,6825649,470199696.0,7.03,7.95,5.1,0.58
贝壳,BEKE,2021-02-22,69.85,76.54,76.77,68.26,13726920,995736288.0,12.29,10.54,7.3,1.16
贝壳,BEKE,2021-02-23,73.55,70.41,74.4,67.99,8323188,587755520.0,8.37,-8.01,-6.13,0.7
贝壳,BEKE,2021-02-24,69.13,68.06,70.3,67.41,4548961,313234304.0,4.1,-3.34,-2.35,0.38
贝壳,BEKE,2021-02-25,70.9,64.71,71.33,64.01,3241881,216207291.0,10.76,-4.92,-3.35,0.27
贝壳,BEKE,2021-02-26,63.71,63.68,66.81,61.96,7266164,468321856.0,7.49,-1.59,-1.03,0.61
贝壳,BEKE,2021-03-01,67.26,66.01,67.43,65.25,3755419,248823452.0,3.42,3.66,2.33,0.32
贝壳,BEKE,2021-03-02,67.01,64.18,68.07,63.58,3695412,240582990.0,6.8,-2.77,-1.83,0.31
贝壳,BEKE,2021-03-03,64.31,59.79,64.85,59.11,3692934,225352571.0,8.94,-6.84,-4.39,0.31
贝壳,BEKE,2021-03-04,57.84,52.53,58.49,48.47,10499642,563251424.0,16.76,-12.14,-7.26,0.89
贝壳,BEKE,2021-03-05,52.85,52.28,53.25,47.33,11907496,596335040.0,11.27,-0.48,-0.25,1.01
贝壳,BEKE,2021-03-08,50.35,46.93,51.15,46.01,6760084,325235888.0,9.83,-10.23,-5.35,0.57
贝壳,BEKE,2021-03-09,48.84,53.6,54.15,48.7,5104802,265753020.0,11.61,14.21,6.67,0.43
贝壳,BEKE,2021-03-10,54.17,53.56,55.57,52.37,5167224,280118048.0,5.97,-0.07,-0.04,0.44
贝壳,BEKE,2021-03-11,58.89,59.31,60.59,56.41,4605502,272679072.0,7.8,10.74,5.75,0.39
贝壳,BEKE,2021-03-12,57.65,58.81,58.94,56.79,2642550,153456879.0,3.63,-0.84,-0.5,0.22
贝壳,BEKE,2021-03-15,58.68,59.35,60.79,58.01,4617635,277182432.0,4.73,0.92,0.54,0.39
贝壳,BEKE,2021-03-16,62.85,65.15,72.34,62.37,11923368,817678080.0,16.8,9.77,5.8,1.01
贝壳,BEKE,2021-03-17,65.15,66.85,67.23,63.26,4562439,297472512.0,6.09,2.61,1.7,0.39
贝壳,BEKE,2021-03-18,64.54,60.64,65.35,59.84,9085685,570346400.0,8.24,-9.29,-6.21,0.77
贝壳,BEKE,2021-03-19,60.84,63.85,64.55,58.86,4631066,290211792.0,9.38,5.29,3.21,0.39
贝壳,BEKE,2021-03-22,63.85,64.29,65.03,62.26,4251337,273679232.0,4.34,0.69,0.44,0.36
贝壳,BEKE,2021-03-23,63.84,60.51,63.84,59.61,3527138,215497621.0,6.58,-5.88,-3.78,0.3
贝壳,BEKE,2021-03-24,59.85,52.66,60.1,52.09,4747359,261879310.0,13.24,-12.97,-7.85,0.4
