股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Baker Hughes Co-A,BKR,2021-12-07,23.18,23.62,23.65,23.05,8147524,203328108.0,0.0,0.0,0.0,0.79
Baker Hughes Co-A,BKR,2021-12-08,23.78,23.44,23.78,23.32,5565743,138892356.0,1.95,-0.76,-0.18,0.54
Baker Hughes Co-A,BKR,2021-12-09,23.09,23.36,23.45,22.98,4315141,106902070.0,2.01,-0.34,-0.08,0.42
Baker Hughes Co-A,BKR,2021-12-10,23.35,23.93,24.01,23.35,5996722,151652027.0,2.83,2.44,0.57,0.58
Baker Hughes Co-A,BKR,2021-12-13,23.78,23.05,24.02,22.91,7927006,195564762.0,4.64,-3.68,-0.88,0.76
Baker Hughes Co-A,BKR,2021-12-14,22.89,22.57,23.22,22.49,8449616,204965215.0,3.17,-2.08,-0.48,0.82
Baker Hughes Co-A,BKR,2021-12-15,22.59,22.32,22.64,21.34,8881169,208760787.0,5.76,-1.11,-0.25,0.86
Baker Hughes Co-A,BKR,2021-12-16,22.93,22.76,23.27,22.57,7545510,183818725.0,3.14,1.97,0.44,0.73
Baker Hughes Co-A,BKR,2021-12-17,22.3,22.17,22.54,21.52,19818478,469361136.0,4.48,-2.59,-0.59,1.91
Baker Hughes Co-A,BKR,2021-12-20,21.48,21.56,21.78,21.26,7535057,173324829.0,2.35,-2.75,-0.61,0.73
Baker Hughes Co-A,BKR,2021-12-21,21.94,22.28,22.38,21.86,6491925,154151350.0,2.41,3.34,0.72,0.63
Baker Hughes Co-A,BKR,2021-12-22,22.24,22.41,22.46,21.93,3421881,81535440.0,2.38,0.58,0.13,0.33
Baker Hughes Co-A,BKR,2021-12-23,22.57,22.71,22.87,22.45,3146586,76297900.0,1.87,1.34,0.3,0.3
Baker Hughes Co-A,BKR,2021-12-27,22.54,23.11,23.12,22.2,3437319,84063631.0,4.05,1.76,0.4,0.33
Baker Hughes Co-A,BKR,2021-12-28,23.17,23.07,23.27,22.82,3180041,78096678.0,1.95,-0.17,-0.04,0.31
Baker Hughes Co-A,BKR,2021-12-29,23.01,22.76,23.08,22.67,4302830,104733805.0,1.78,-1.34,-0.31,0.42
Baker Hughes Co-A,BKR,2021-12-30,22.64,22.44,22.85,22.35,3986511,95833985.0,2.2,-1.41,-0.32,0.38
Baker Hughes Co-A,BKR,2021-12-31,22.31,22.55,22.62,22.24,3861274,92583831.0,1.69,0.49,0.11,0.38
Baker Hughes Co-A,BKR,2022-01-03,22.59,23.53,23.56,22.59,4790654,119150799.0,4.3,4.35,0.98,0.47
Baker Hughes Co-A,BKR,2022-01-04,23.87,24.08,24.43,23.79,7798668,199722582.0,2.72,2.34,0.55,0.76
Baker Hughes Co-A,BKR,2022-01-05,24.5,24.17,24.7,24.11,7700503,199178125.0,2.45,0.37,0.09,0.75
Baker Hughes Co-A,BKR,2022-01-06,24.86,24.44,25.08,24.07,5841858,151695765.0,4.18,1.12,0.27,0.57
Baker Hughes Co-A,BKR,2022-01-07,24.49,24.61,24.68,24.3,6915207,180146462.0,1.55,0.7,0.17,0.67
Baker Hughes Co-A,BKR,2022-01-10,24.61,24.56,24.75,24.03,9974132,258169064.0,2.93,-0.2,-0.05,0.97
Baker Hughes Co-A,BKR,2022-01-11,24.77,25.45,25.54,24.63,9988388,267862590.0,3.71,3.62,0.89,0.97
Baker Hughes Co-A,BKR,2022-01-12,25.66,25.22,25.72,24.98,8317926,222136219.0,2.91,-0.9,-0.23,0.81
Baker Hughes Co-A,BKR,2022-01-13,24.9,24.76,25.49,24.67,9390824,248819837.0,3.25,-1.82,-0.46,0.92
Baker Hughes Co-A,BKR,2022-01-14,24.74,25.95,26.04,24.53,12025866,326801904.0,6.1,4.81,1.19,1.17
Baker Hughes Co-A,BKR,2022-01-18,26.26,25.29,26.33,25.0,10407593,280453088.0,5.13,-2.54,-0.66,1.01
Baker Hughes Co-A,BKR,2022-01-19,25.6,24.78,25.67,24.73,10458938,276685008.0,3.72,-2.02,-0.51,1.02
Baker Hughes Co-A,BKR,2022-01-20,25.79,25.21,26.37,25.1,12793337,348977152.0,5.13,1.74,0.43,1.25
Baker Hughes Co-A,BKR,2022-01-21,24.99,25.73,26.15,24.79,15878162,432510944.0,5.39,2.06,0.52,1.55
Baker Hughes Co-A,BKR,2022-01-24,25.17,25.56,25.6,24.01,11878560,313878624.0,6.18,-0.66,-0.17,1.16
Baker Hughes Co-A,BKR,2022-01-25,25.44,26.42,26.65,24.37,13512781,370981824.0,8.92,3.36,0.86,1.32
Baker Hughes Co-A,BKR,2022-01-26,26.6,26.01,26.87,25.62,12946619,357891168.0,4.73,-1.55,-0.41,1.26
Baker Hughes Co-A,BKR,2022-01-27,26.74,25.79,26.89,25.16,11477656,313947168.0,6.65,-0.85,-0.22,1.12
Baker Hughes Co-A,BKR,2022-01-28,25.58,25.65,26.03,24.97,8108440,218990469.0,4.11,-0.54,-0.14,0.79
Baker Hughes Co-A,BKR,2022-01-31,25.01,25.93,26.27,25.0,11173046,305501024.0,4.95,1.09,0.28,1.09
Baker Hughes Co-A,BKR,2022-02-01,25.51,25.99,26.38,25.24,8566143,235344541.0,4.4,0.23,0.06,0.83
Baker Hughes Co-A,BKR,2022-02-02,25.68,25.36,25.95,25.17,9553201,257164716.0,3.0,-2.42,-0.63,0.93
Baker Hughes Co-A,BKR,2022-02-03,25.4,24.85,25.47,24.7,8933893,235951944.0,3.04,-2.01,-0.51,0.87
Baker Hughes Co-A,BKR,2022-02-04,25.01,25.26,25.61,24.92,7713699,205366084.0,2.78,1.65,0.41,0.75
Baker Hughes Co-A,BKR,2022-02-07,25.24,26.2,26.56,25.15,9541234,262761954.0,5.58,3.72,0.94,0.93
Baker Hughes Co-A,BKR,2022-02-08,26.2,26.03,26.32,25.43,5726872,156182770.0,3.4,-0.65,-0.17,0.56
Baker Hughes Co-A,BKR,2022-02-09,26.1,26.32,26.84,25.99,7297485,202760760.0,3.27,1.11,0.29,0.71
Baker Hughes Co-A,BKR,2022-02-10,26.12,26.11,26.93,25.89,7381195,204714222.0,3.95,-0.8,-0.21,0.72
Baker Hughes Co-A,BKR,2022-02-11,26.34,27.81,27.95,26.21,10092442,291463264.0,6.66,6.51,1.7,0.98
Baker Hughes Co-A,BKR,2022-02-14,27.56,27.21,27.85,26.82,7327434,208826782.0,3.7,-2.16,-0.6,0.71
Baker Hughes Co-A,BKR,2022-02-15,26.5,27.46,27.5,26.33,6366377,182134354.0,4.3,0.92,0.25,0.62
Baker Hughes Co-A,BKR,2022-02-16,27.67,28.38,28.78,27.67,10323183,306655664.0,4.04,3.35,0.92,1.0
Baker Hughes Co-A,BKR,2022-02-17,28.28,28.1,28.54,27.96,5502435,162423571.0,2.04,-0.99,-0.28,0.54
Baker Hughes Co-A,BKR,2022-02-18,27.69,27.78,28.25,27.38,5039059,146653310.0,3.1,-1.14,-0.32,0.49
Baker Hughes Co-A,BKR,2022-02-22,28.42,27.27,28.64,27.08,15256002,440166032.0,5.62,-1.84,-0.51,1.48
Baker Hughes Co-A,BKR,2022-02-23,27.3,27.72,28.1,27.1,7211749,209519500.0,3.67,1.65,0.45,0.7
Baker Hughes Co-A,BKR,2022-02-24,28.12,27.39,28.18,26.57,11866324,338466080.0,5.81,-1.19,-0.33,1.15
Baker Hughes Co-A,BKR,2022-02-25,27.57,28.17,28.27,27.27,7092237,207918702.0,3.65,2.85,0.78,0.69
Baker Hughes Co-A,BKR,2022-02-28,27.92,28.05,28.35,27.59,11034447,323138240.0,2.7,-0.43,-0.12,1.07
Baker Hughes Co-A,BKR,2022-03-01,28.28,27.01,28.45,26.39,12167290,345312080.0,7.34,-3.71,-1.04,1.18
Baker Hughes Co-A,BKR,2022-03-02,27.71,29.06,29.32,27.7,11545586,346049376.0,6.0,7.59,2.05,1.12
Baker Hughes Co-A,BKR,2022-03-03,28.61,29.88,30.05,28.61,13542761,419001728.0,4.96,2.82,0.82,1.32
Baker Hughes Co-A,BKR,2022-03-04,29.52,31.89,31.95,29.44,14328507,465057568.0,8.4,6.73,2.01,1.39
Baker Hughes Co-A,BKR,2022-03-07,31.87,33.45,34.59,31.87,19497452,680423776.0,8.53,4.89,1.56,1.9
Baker Hughes Co-A,BKR,2022-03-08,33.93,33.47,35.59,32.84,22307555,789386528.0,8.22,0.06,0.02,2.17
Baker Hughes Co-A,BKR,2022-03-09,32.57,32.48,33.49,31.41,21479175,727658784.0,6.21,-2.96,-0.99,2.09
Baker Hughes Co-A,BKR,2022-03-10,32.61,35.41,35.57,32.6,13964313,500157152.0,9.14,9.02,2.93,1.36
Baker Hughes Co-A,BKR,2022-03-11,34.72,36.31,37.08,34.72,15390712,576942960.0,6.66,2.54,0.9,1.5
Baker Hughes Co-A,BKR,2022-03-14,35.34,35.65,36.15,34.96,12763473,469968368.0,3.28,-1.82,-0.66,1.24
Baker Hughes Co-A,BKR,2022-03-15,34.14,33.54,34.95,33.15,14491526,508507776.0,5.05,-5.92,-2.11,1.41
Baker Hughes Co-A,BKR,2022-03-16,33.38,32.32,33.64,31.25,20716707,698329392.0,7.13,-3.64,-1.22,2.02
Baker Hughes Co-A,BKR,2022-03-17,32.92,33.65,33.88,32.59,15890316,552993504.0,3.99,4.12,1.33,1.55
Baker Hughes Co-A,BKR,2022-03-18,33.35,33.96,34.22,33.29,24795616,872646096.0,2.76,0.92,0.31,2.41
Baker Hughes Co-A,BKR,2022-03-21,34.68,34.89,35.8,34.56,19941481,726774224.0,3.65,2.74,0.93,1.94
Baker Hughes Co-A,BKR,2022-03-22,34.83,35.21,35.63,34.57,16908549,616227136.0,3.04,0.92,0.32,1.65
Baker Hughes Co-A,BKR,2022-03-23,35.67,36.26,36.76,35.38,15181171,569655152.0,3.92,2.98,1.05,1.48
Baker Hughes Co-A,BKR,2022-03-24,36.16,36.96,38.45,36.09,13293939,515062960.0,6.51,1.93,0.7,1.3
Baker Hughes Co-A,BKR,2022-03-25,36.6,37.39,37.41,36.6,11992292,461771984.0,2.19,1.16,0.43,1.17
Baker Hughes Co-A,BKR,2022-03-28,36.59,35.67,36.61,35.41,7384683,273949680.0,3.21,-4.6,-1.72,0.72
Baker Hughes Co-A,BKR,2022-03-29,34.87,35.34,35.39,33.84,13402999,487873552.0,4.35,-0.93,-0.33,1.31
Baker Hughes Co-A,BKR,2022-03-30,35.98,36.02,36.23,35.28,9134079,339624880.0,2.69,1.92,0.68,0.89
Baker Hughes Co-A,BKR,2022-03-31,35.72,35.08,36.44,34.77,11010217,403717152.0,4.64,-2.61,-0.94,1.07
Baker Hughes Co-A,BKR,2022-04-01,35.37,35.09,35.87,34.78,8558884,312588432.0,3.11,0.03,0.01,0.83
Baker Hughes Co-A,BKR,2022-04-04,35.36,35.1,35.46,34.47,8290980,300303968.0,2.82,0.03,0.01,0.81
Baker Hughes Co-A,BKR,2022-04-05,35.07,34.19,35.97,34.01,12705262,456732464.0,5.58,-2.59,-0.91,1.24
Baker Hughes Co-A,BKR,2022-04-06,34.55,34.39,35.06,33.96,8523606,305704752.0,3.22,0.58,0.2,0.83
Baker Hughes Co-A,BKR,2022-04-07,34.35,34.79,34.89,33.75,9536282,341091184.0,3.31,1.16,0.4,0.93
Baker Hughes Co-A,BKR,2022-04-08,34.98,36.19,36.27,34.95,12765845,476094864.0,3.79,4.02,1.4,1.24
Baker Hughes Co-A,BKR,2022-04-11,35.39,35.14,35.85,35.07,7655541,280899520.0,2.16,-2.9,-1.05,0.75
Baker Hughes Co-A,BKR,2022-04-12,35.2,34.99,35.84,34.72,8028347,292070048.0,3.19,-0.43,-0.15,0.78
Baker Hughes Co-A,BKR,2022-04-13,35.54,35.89,35.99,34.73,6849920,254954022.0,3.6,2.57,0.9,0.67
Baker Hughes Co-A,BKR,2022-04-14,35.49,35.96,36.31,35.44,6853481,255260911.0,2.42,0.2,0.07,0.67
Baker Hughes Co-A,BKR,2022-04-18,36.27,36.1,36.58,35.84,10120482,378682384.0,2.06,0.39,0.14,0.99
Baker Hughes Co-A,BKR,2022-04-19,35.81,35.41,36.32,35.18,10263986,379299200.0,3.16,-1.91,-0.69,1.0
Baker Hughes Co-A,BKR,2022-04-20,34.64,34.0,35.04,31.47,23404058,805396432.0,10.08,-3.98,-1.41,2.28
Baker Hughes Co-A,BKR,2022-04-21,34.22,31.58,34.32,30.95,19153676,638057184.0,9.91,-7.12,-2.42,1.87
Baker Hughes Co-A,BKR,2022-04-22,31.27,30.87,32.69,30.69,12918241,423532512.0,6.33,-2.25,-0.71,1.26
Baker Hughes Co-A,BKR,2022-04-25,29.65,29.41,29.98,28.13,16705398,506997904.0,5.99,-4.73,-1.46,1.63
Baker Hughes Co-A,BKR,2022-04-26,29.79,30.02,31.3,29.69,17393749,552309536.0,5.47,2.07,0.61,1.7
Baker Hughes Co-A,BKR,2022-04-27,30.13,29.95,30.62,29.54,9187907,287924416.0,3.6,-0.23,-0.07,0.9
Baker Hughes Co-A,BKR,2022-04-28,30.17,30.64,31.07,29.53,11759061,373645760.0,5.14,2.3,0.69,1.15
Baker Hughes Co-A,BKR,2022-04-29,30.69,29.69,30.89,29.49,13335262,418476000.0,4.57,-3.1,-0.95,1.3
Baker Hughes Co-A,BKR,2022-05-02,29.41,29.58,30.03,28.91,8737819,269073152.0,3.77,-0.37,-0.11,0.85
Baker Hughes Co-A,BKR,2022-05-03,29.4,30.17,30.37,29.27,9766532,306178432.0,3.72,1.99,0.59,0.95
Baker Hughes Co-A,BKR,2022-05-04,30.86,31.51,31.63,29.75,11857631,382245888.0,6.23,4.44,1.34,1.16
Baker Hughes Co-A,BKR,2022-05-05,31.59,30.69,31.78,29.89,9915466,317383440.0,6.0,-2.6,-0.82,0.97
Baker Hughes Co-A,BKR,2022-05-06,30.9,30.8,31.23,30.24,6917602,220597917.0,3.23,0.36,0.11,0.67
Baker Hughes Co-A,BKR,2022-05-09,30.32,28.72,30.32,28.64,13366329,408916128.0,5.45,-6.75,-2.08,1.3
Baker Hughes Co-A,BKR,2022-05-10,29.03,29.49,30.15,28.76,8439259,259233086.0,4.84,2.68,0.77,0.82
Baker Hughes Co-A,BKR,2022-05-11,30.19,31.16,31.45,29.92,13027737,421989888.0,5.19,5.66,1.67,1.27
Baker Hughes Co-A,BKR,2022-05-12,30.8,30.58,31.09,29.55,12987113,409338624.0,4.94,-1.86,-0.58,1.27
