股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
布林克,BCO,2001-01-02,10.19,10.13,10.69,10.07,177100,0.0,0.0,0.0,0.0,0.34
布林克,BCO,2001-01-03,10.07,10.69,10.95,10.07,184300,0.0,8.69,5.53,0.56,0.36
布林克,BCO,2001-01-04,10.45,10.57,10.88,10.19,243900,0.0,6.45,-1.12,-0.12,0.47
布林克,BCO,2001-01-05,10.57,10.07,10.57,10.07,89100,0.0,4.73,-4.73,-0.5,0.17
布林克,BCO,2001-01-08,10.07,9.95,10.07,9.19,139300,0.0,8.74,-1.19,-0.12,0.27
布林克,BCO,2001-01-09,10.01,10.32,10.38,9.57,117800,0.0,8.14,3.72,0.37,0.23
布林克,BCO,2001-01-10,10.32,10.63,10.69,9.63,137200,0.0,10.27,3.0,0.31,0.26
布林克,BCO,2001-01-11,10.51,10.69,10.95,10.51,148400,0.0,4.14,0.56,0.06,0.29
布林克,BCO,2001-01-12,10.69,10.82,11.13,10.69,210100,0.0,4.12,1.22,0.13,0.41
布林克,BCO,2001-01-16,10.57,11.95,12.13,10.57,146500,0.0,14.42,10.44,1.13,0.28
布林克,BCO,2001-01-17,12.07,11.95,12.57,11.76,168900,0.0,6.78,0.0,0.0,0.33
布林克,BCO,2001-01-18,11.82,11.76,11.95,11.57,153200,0.0,3.18,-1.59,-0.19,0.3
布林克,BCO,2001-01-19,11.57,11.76,11.82,11.57,110000,0.0,2.13,0.0,0.0,0.21
布林克,BCO,2001-01-22,11.57,11.45,11.69,11.38,175000,0.0,2.64,-2.64,-0.31,0.34
布林克,BCO,2001-01-23,11.19,11.82,11.88,11.19,232800,0.0,6.03,3.23,0.37,0.45
布林克,BCO,2001-01-24,11.88,12.45,13.01,11.88,152400,0.0,9.56,5.33,0.63,0.29
布林克,BCO,2001-01-25,12.26,11.45,12.32,11.45,115000,0.0,6.99,-8.03,-1.0,0.22
布林克,BCO,2001-01-26,11.57,11.26,11.76,11.07,94600,0.0,6.03,-1.66,-0.19,0.18
布林克,BCO,2001-01-29,10.97,11.44,11.47,10.97,103700,0.0,4.44,1.6,0.18,0.2
布林克,BCO,2001-01-30,11.19,11.56,11.57,11.13,78300,0.0,3.85,1.05,0.12,0.15
布林克,BCO,2001-01-31,11.56,11.38,11.57,11.02,256500,0.0,4.76,-1.56,-0.18,0.5
布林克,BCO,2001-02-01,11.17,8.97,11.17,8.72,585600,0.0,21.53,-21.18,-2.41,1.13
布林克,BCO,2001-02-02,9.17,8.46,9.17,8.43,479200,0.0,8.25,-5.69,-0.51,0.93
布林克,BCO,2001-02-05,8.57,8.83,8.97,8.47,296400,0.0,5.91,4.37,0.37,0.57
布林克,BCO,2001-02-06,8.85,9.05,9.08,8.75,205300,0.0,3.74,2.49,0.22,0.4
布林克,BCO,2001-02-07,8.92,9.42,9.57,8.85,264400,0.0,7.96,4.09,0.37,0.51
布林克,BCO,2001-02-08,9.17,9.12,9.51,9.0,185400,0.0,5.41,-3.18,-0.3,0.36
布林克,BCO,2001-02-09,9.07,9.53,9.77,8.97,230500,0.0,8.77,4.5,0.41,0.45
布林克,BCO,2001-02-12,9.67,9.77,9.82,9.67,169100,0.0,1.57,2.52,0.24,0.33
布林克,BCO,2001-02-13,9.76,9.72,9.85,9.58,100300,0.0,2.76,-0.51,-0.05,0.19
布林克,BCO,2001-02-14,9.57,9.75,9.97,9.57,507900,0.0,4.12,0.31,0.03,0.98
布林克,BCO,2001-02-15,9.6,9.96,10.09,9.6,157200,0.0,5.03,2.15,0.21,0.3
布林克,BCO,2001-02-16,10.2,9.7,10.2,9.6,733100,0.0,6.02,-2.61,-0.26,1.42
布林克,BCO,2001-02-20,9.72,9.34,9.72,9.29,113700,0.0,4.43,-3.71,-0.36,0.22
布林克,BCO,2001-02-21,9.34,9.52,9.89,9.34,187500,0.0,5.89,1.93,0.18,0.36
布林克,BCO,2001-02-22,9.53,9.54,9.79,9.39,94800,0.0,4.2,0.21,0.02,0.18
布林克,BCO,2001-02-23,9.64,9.83,10.03,9.44,220100,0.0,6.18,3.04,0.29,0.43
布林克,BCO,2001-02-26,9.84,10.09,10.34,9.83,81500,0.0,5.19,2.64,0.26,0.16
布林克,BCO,2001-02-27,9.99,10.0,10.57,9.97,141500,0.0,5.95,-0.89,-0.09,0.27
布林克,BCO,2001-02-28,10.14,10.44,10.53,10.09,121000,0.0,4.4,4.4,0.44,0.23
布林克,BCO,2001-03-01,10.49,10.39,10.49,10.1,146900,0.0,3.74,-0.48,-0.05,0.28
