股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
百时美施贵宝,BMY,2000-01-03,29.57,29.76,30.19,28.95,3396500,0.0,4.2,0.85,0.25,0.17
百时美施贵宝,BMY,2000-01-04,26.2,24.88,26.38,24.26,10081300,0.0,7.12,-16.4,-4.88,0.51
百时美施贵宝,BMY,2000-01-05,25.57,24.51,25.82,24.07,6874400,0.0,7.03,-1.49,-0.37,0.35
百时美施贵宝,BMY,2000-01-06,24.57,25.32,25.63,23.82,6968900,0.0,7.38,3.3,0.81,0.35
百时美施贵宝,BMY,2000-01-07,27.07,34.07,35.07,26.82,10387300,0.0,32.58,34.56,8.75,0.52
百时美施贵宝,BMY,2000-01-10,34.19,33.32,34.19,32.32,6770400,0.0,5.49,-2.2,-0.75,0.34
百时美施贵宝,BMY,2000-01-11,33.32,32.38,33.57,32.07,5413300,0.0,4.5,-2.82,-0.94,0.27
百时美施贵宝,BMY,2000-01-12,32.38,32.19,33.19,32.13,3548200,0.0,3.27,-0.59,-0.19,0.18
百时美施贵宝,BMY,2000-01-13,32.82,30.94,32.88,30.63,4189800,0.0,6.99,-3.88,-1.25,0.21
百时美施贵宝,BMY,2000-01-14,32.94,32.76,32.94,31.32,4317200,0.0,5.24,5.88,1.82,0.22
百时美施贵宝,BMY,2000-01-18,31.19,30.88,32.19,30.57,3600000,0.0,4.95,-5.74,-1.88,0.18
百时美施贵宝,BMY,2000-01-19,30.88,29.63,31.63,29.26,3986500,0.0,7.67,-4.05,-1.25,0.2
百时美施贵宝,BMY,2000-01-20,29.82,27.45,30.01,27.01,4388200,0.0,10.12,-7.36,-2.18,0.22
百时美施贵宝,BMY,2000-01-21,26.57,26.76,27.45,25.07,5581000,0.0,8.67,-2.51,-0.69,0.28
百时美施贵宝,BMY,2000-01-24,28.57,24.26,28.7,23.57,4866700,0.0,19.17,-9.34,-2.5,0.25
百时美施贵宝,BMY,2000-01-25,24.95,25.45,26.32,24.76,6032100,0.0,6.43,4.91,1.19,0.3
百时美施贵宝,BMY,2000-01-26,25.45,27.07,27.32,25.07,6528000,0.0,8.84,6.37,1.62,0.33
百时美施贵宝,BMY,2000-01-27,28.07,27.82,28.38,27.38,7299500,0.0,3.69,2.77,0.75,0.37
百时美施贵宝,BMY,2000-01-28,28.95,29.82,31.32,28.45,7226500,0.0,10.32,7.19,2.0,0.36
百时美施贵宝,BMY,2000-01-31,29.82,31.82,32.57,27.76,5227900,0.0,16.13,6.71,2.0,0.26
百时美施贵宝,BMY,2000-02-01,29.82,30.19,30.82,28.82,4210800,0.0,6.29,-5.12,-1.63,0.21
百时美施贵宝,BMY,2000-02-02,30.57,30.38,30.76,29.69,3289100,0.0,3.54,0.63,0.19,0.17
百时美施贵宝,BMY,2000-02-03,30.82,30.94,31.13,29.38,2945100,0.0,5.76,1.84,0.56,0.15
百时美施贵宝,BMY,2000-02-04,30.94,30.26,31.13,29.07,2959000,0.0,6.66,-2.2,-0.68,0.15
百时美施贵宝,BMY,2000-02-07,29.82,29.82,30.26,28.2,3215600,0.0,6.81,-1.45,-0.44,0.16
百时美施贵宝,BMY,2000-02-08,30.01,29.32,30.07,27.88,4480100,0.0,7.34,-1.68,-0.5,0.23
百时美施贵宝,BMY,2000-02-09,28.82,28.07,29.07,27.57,3378000,0.0,5.12,-4.26,-1.25,0.17
百时美施贵宝,BMY,2000-02-10,28.2,26.95,28.2,25.95,3839900,0.0,8.02,-3.99,-1.12,0.19
百时美施贵宝,BMY,2000-02-11,25.95,25.57,26.32,25.32,3417200,0.0,3.71,-5.12,-1.38,0.17
百时美施贵宝,BMY,2000-02-14,25.7,26.7,27.45,25.7,3160400,0.0,6.84,4.42,1.13,0.16
百时美施贵宝,BMY,2000-02-15,27.07,27.63,27.82,26.26,4698100,0.0,5.84,3.48,0.93,0.24
百时美施贵宝,BMY,2000-02-16,27.63,29.13,29.38,27.57,4308400,0.0,6.55,5.43,1.5,0.22
百时美施贵宝,BMY,2000-02-17,29.82,29.07,29.82,28.57,4263600,0.0,4.29,-0.21,-0.06,0.22
百时美施贵宝,BMY,2000-02-18,28.32,25.32,28.32,25.32,5826300,0.0,10.32,-12.9,-3.75,0.29
百时美施贵宝,BMY,2000-02-22,26.07,25.51,26.57,24.95,5536900,0.0,6.4,0.75,0.19,0.28
百时美施贵宝,BMY,2000-02-23,26.07,25.51,26.51,25.2,3956000,0.0,5.14,0.0,0.0,0.2
百时美施贵宝,BMY,2000-02-24,24.7,23.45,25.2,22.82,5759400,0.0,9.33,-8.08,-2.06,0.29
百时美施贵宝,BMY,2000-02-25,23.57,22.2,23.76,20.95,5044600,0.0,11.98,-5.33,-1.25,0.25
百时美施贵宝,BMY,2000-02-28,21.07,21.88,22.76,21.07,5333200,0.0,7.61,-1.44,-0.32,0.27
百时美施贵宝,BMY,2000-02-29,22.7,22.82,24.7,22.2,4807400,0.0,11.43,4.3,0.94,0.24
百时美施贵宝,BMY,2000-03-01,22.26,16.82,22.57,15.82,14829000,0.0,29.58,-26.29,-6.0,0.75
百时美施贵宝,BMY,2000-03-02,17.63,18.27,19.13,17.2,10513600,0.0,11.47,8.62,1.45,0.53
百时美施贵宝,BMY,2000-03-03,18.07,17.07,18.13,15.82,8989100,0.0,12.64,-6.57,-1.2,0.45
百时美施贵宝,BMY,2000-03-06,16.07,12.01,16.07,11.32,17427100,0.0,27.83,-29.64,-5.06,0.88
百时美施贵宝,BMY,2000-03-07,12.01,9.07,12.82,8.01,17169400,0.0,40.05,-24.48,-2.94,0.87
