股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
布罗德里奇金融,BR,2009-09-16,-0.31,0.07,0.11,-0.37,1067323,0.0,0.0,0.0,0.0,0.77
布罗德里奇金融,BR,2009-09-17,-0.31,0.07,0.11,-0.37,1067323,0.0,685.71,0.0,0.0,0.77
布罗德里奇金融,BR,2009-09-18,-0.31,0.07,0.11,-0.37,1067323,0.0,685.71,0.0,0.0,0.77
布罗德里奇金融,BR,2009-09-21,-1.61,-1.25,-1.22,-1.83,1819901,0.0,871.43,-1885.71,-1.32,1.31
布罗德里奇金融,BR,2009-09-22,-1.21,-1.19,-1.09,-1.37,666057,0.0,-22.4,4.8,0.06,0.48
布罗德里奇金融,BR,2009-09-23,-1.21,-1.18,-0.84,-1.31,1091473,0.0,-39.5,0.84,0.01,0.78
布罗德里奇金融,BR,2009-09-24,-1.17,-1.18,-1.07,-1.49,842386,0.0,-35.59,0.0,0.0,0.6
布罗德里奇金融,BR,2009-09-25,-1.27,-1.55,-1.1,-1.6,288713,0.0,-42.37,-31.36,-0.37,0.21
布罗德里奇金融,BR,2009-09-28,-1.27,-1.55,-1.1,-1.6,288713,0.0,-32.26,0.0,0.0,0.21
布罗德里奇金融,BR,2009-09-29,-1.37,-1.2,-1.02,-1.46,735040,0.0,-28.39,22.58,0.35,0.53
布罗德里奇金融,BR,2009-09-30,-1.23,-1.64,-1.23,-1.86,1716860,0.0,-52.5,-36.67,-0.44,1.23
布罗德里奇金融,BR,2009-10-01,-1.65,-1.76,-1.58,-1.81,1416861,0.0,-14.02,-7.32,-0.12,1.02
布罗德里奇金融,BR,2009-10-02,-1.84,-1.91,-1.6,-1.96,921326,0.0,-20.45,-8.52,-0.15,0.66
布罗德里奇金融,BR,2009-10-05,-1.91,-1.6,-1.56,-1.94,611663,0.0,-19.9,16.23,0.31,0.44
布罗德里奇金融,BR,2009-10-06,-1.48,-1.46,-1.42,-1.71,1265521,0.0,-18.13,8.75,0.14,0.91
布罗德里奇金融,BR,2009-10-07,-1.44,-1.46,-1.32,-1.69,1197824,0.0,-25.34,0.0,0.0,0.86
布罗德里奇金融,BR,2009-10-08,-1.46,-1.31,-1.28,-1.6,1150090,0.0,-21.92,10.27,0.15,0.83
布罗德里奇金融,BR,2009-10-09,-1.39,-1.25,-1.22,-1.45,952966,0.0,-17.56,4.58,0.06,0.68
布罗德里奇金融,BR,2009-10-12,-1.14,-1.02,-1.02,-1.27,575577,0.0,-20.0,18.4,0.23,0.41
布罗德里奇金融,BR,2009-10-13,-1.02,-1.08,-1.02,-1.25,691849,0.0,-22.55,-5.88,-0.06,0.5
布罗德里奇金融,BR,2009-10-14,-0.97,-0.52,-0.5,-0.97,1028372,0.0,-43.52,51.85,0.56,0.74
布罗德里奇金融,BR,2009-10-15,-0.65,-0.21,-0.21,-0.71,1297122,0.0,-96.15,59.62,0.31,0.93
布罗德里奇金融,BR,2009-10-16,-0.27,-0.21,-0.04,-0.38,974581,0.0,-161.9,0.0,0.0,0.7
布罗德里奇金融,BR,2009-10-19,-0.15,-0.1,0.09,-0.32,821595,0.0,-195.24,52.38,0.11,0.59
布罗德里奇金融,BR,2009-10-20,-0.05,0.08,0.12,-0.28,704269,0.0,-400.0,180.0,0.18,0.51
布罗德里奇金融,BR,2009-10-21,0.1,-0.25,0.64,-0.28,1470745,0.0,1150.0,-412.5,-0.33,1.06
布罗德里奇金融,BR,2009-10-22,-0.3,-0.43,-0.19,-0.63,670897,0.0,-176.0,-72.0,-0.18,0.48
布罗德里奇金融,BR,2009-10-23,-0.3,-0.39,-0.3,-0.9,910020,0.0,-139.53,9.3,0.04,0.65
布罗德里奇金融,BR,2009-10-26,-0.38,-0.35,0.12,-0.52,1005564,0.0,-164.1,10.26,0.04,0.72
布罗德里奇金融,BR,2009-10-27,-0.36,-0.47,-0.08,-0.53,864546,0.0,-128.57,-34.29,-0.12,0.62
布罗德里奇金融,BR,2009-10-28,-0.56,-0.76,-0.21,-0.78,965053,0.0,-121.28,-61.7,-0.29,0.69
布罗德里奇金融,BR,2009-10-29,-0.59,-0.64,-0.56,-0.88,905019,0.0,-42.11,15.79,0.12,0.65
布罗德里奇金融,BR,2009-10-30,-0.73,-0.93,-0.61,-1.17,1073869,0.0,-87.5,-45.31,-0.29,0.77
布罗德里奇金融,BR,2009-11-02,-0.88,-0.92,-0.55,-1.09,898362,0.0,-58.06,1.08,0.01,0.64
布罗德里奇金融,BR,2009-11-03,-0.74,-0.06,0.14,-0.95,1332377,0.0,-118.48,93.48,0.86,0.96
布罗德里奇金融,BR,2009-11-04,0.04,-0.05,0.32,-0.13,672658,0.0,-750.0,16.67,0.01,0.48
布罗德里奇金融,BR,2009-11-05,0.1,0.34,0.43,-0.04,631825,0.0,-940.0,780.0,0.39,0.45
布罗德里奇金融,BR,2009-11-06,0.28,0.83,0.85,0.17,786869,0.0,200.0,144.12,0.49,0.56
布罗德里奇金融,BR,2009-11-09,0.8,1.25,1.28,0.76,616170,0.0,62.65,50.6,0.42,0.44
布罗德里奇金融,BR,2009-11-10,1.11,1.05,1.33,0.95,937659,0.0,30.4,-16.0,-0.2,0.67
布罗德里奇金融,BR,2009-11-11,1.11,0.51,1.13,0.3,830511,0.0,79.05,-51.43,-0.54,0.6
布罗德里奇金融,BR,2009-11-12,0.6,0.38,0.96,0.36,763428,0.0,117.65,-25.49,-0.13,0.55
布罗德里奇金融,BR,2009-11-13,0.39,0.61,0.73,0.31,375605,0.0,110.53,60.53,0.23,0.27
布罗德里奇金融,BR,2009-11-16,0.77,1.18,1.35,0.54,749717,0.0,132.79,93.44,0.57,0.54
布罗德里奇金融,BR,2009-11-17,1.13,1.14,1.37,0.89,848628,0.0,40.68,-3.39,-0.04,0.61
布罗德里奇金融,BR,2009-11-18,1.03,0.8,1.06,0.71,664182,0.0,30.7,-29.82,-0.34,0.48
布罗德里奇金融,BR,2009-11-19,0.68,0.55,1.48,0.33,840008,0.0,143.75,-31.25,-0.25,0.6
布罗德里奇金融,BR,2009-11-20,0.45,0.57,0.58,0.31,586256,0.0,49.09,3.64,0.02,0.42
布罗德里奇金融,BR,2009-11-23,0.67,0.95,1.13,0.67,452798,0.0,80.7,66.67,0.38,0.33
布罗德里奇金融,BR,2009-11-24,1.09,0.97,1.16,0.78,453165,0.0,40.0,2.11,0.02,0.33
布罗德里奇金融,BR,2009-11-25,0.92,0.89,1.0,0.83,221852,0.0,17.53,-8.25,-0.08,0.16
布罗德里奇金融,BR,2009-11-27,0.43,0.22,0.53,0.17,246281,0.0,40.45,-75.28,-0.67,0.18
布罗德里奇金融,BR,2009-11-30,0.15,0.26,0.27,-0.3,568982,0.0,259.09,18.18,0.04,0.41
布罗德里奇金融,BR,2009-12-01,0.3,0.45,0.55,0.2,535624,0.0,134.62,73.08,0.19,0.38
布罗德里奇金融,BR,2009-12-02,0.47,0.93,1.05,0.42,794012,0.0,140.0,106.67,0.48,0.57
布罗德里奇金融,BR,2009-12-03,1.03,0.89,1.18,0.85,544244,0.0,35.48,-4.3,-0.04,0.39
布罗德里奇金融,BR,2009-12-04,1.04,1.14,1.25,0.91,519889,0.0,38.2,28.09,0.25,0.37
