股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
博格华纳,BWA,2001-01-02,-12.24,-12.24,-12.21,-12.25,657600,0.0,0.0,0.0,0.0,2.51
博格华纳,BWA,2001-01-03,-12.26,-12.16,-12.16,-12.26,900400,0.0,-0.82,0.65,0.08,3.43
博格华纳,BWA,2001-01-04,-12.17,-12.14,-12.1,-12.18,808800,0.0,-0.66,0.16,0.02,3.08
博格华纳,BWA,2001-01-05,-12.15,-12.2,-12.15,-12.2,692400,0.0,-0.41,-0.49,-0.06,2.64
博格华纳,BWA,2001-01-08,-12.2,-12.18,-12.18,-12.24,494400,0.0,-0.49,0.16,0.02,1.89
博格华纳,BWA,2001-01-09,-12.2,-12.24,-12.2,-12.24,800400,0.0,-0.33,-0.49,-0.06,3.05
博格华纳,BWA,2001-01-10,-12.24,-12.25,-12.24,-12.27,669200,0.0,-0.25,-0.08,-0.01,2.55
博格华纳,BWA,2001-01-11,-12.24,-12.23,-12.22,-12.26,483200,0.0,-0.33,0.16,0.02,1.84
博格华纳,BWA,2001-01-12,-12.23,-12.24,-12.23,-12.26,274800,0.0,-0.25,-0.08,-0.01,1.05
博格华纳,BWA,2001-01-16,-12.24,-12.24,-12.21,-12.29,902400,0.0,-0.65,0.0,0.0,3.44
博格华纳,BWA,2001-01-17,-12.23,-12.21,-12.19,-12.23,390000,0.0,-0.33,0.25,0.03,1.49
博格华纳,BWA,2001-01-18,-12.21,-12.23,-12.2,-12.23,196000,0.0,-0.25,-0.16,-0.02,0.75
博格华纳,BWA,2001-01-19,-12.23,-12.26,-12.22,-12.26,335600,0.0,-0.33,-0.25,-0.03,1.28
博格华纳,BWA,2001-01-22,-12.26,-12.24,-12.22,-12.27,504800,0.0,-0.41,0.16,0.02,1.92
博格华纳,BWA,2001-01-23,-12.24,-12.21,-12.2,-12.24,295200,0.0,-0.33,0.25,0.03,1.13
博格华纳,BWA,2001-01-24,-12.21,-12.23,-12.21,-12.23,127200,0.0,-0.16,-0.16,-0.02,0.49
博格华纳,BWA,2001-01-25,-12.23,-12.17,-12.17,-12.23,554800,0.0,-0.49,0.49,0.06,2.12
博格华纳,BWA,2001-01-26,-12.18,-12.17,-12.17,-12.2,494000,0.0,-0.25,0.0,0.0,1.88
博格华纳,BWA,2001-01-29,-12.17,-12.15,-12.14,-12.17,488000,0.0,-0.25,0.16,0.02,1.86
博格华纳,BWA,2001-01-30,-12.14,-12.15,-12.14,-12.17,976000,0.0,-0.25,0.0,0.0,3.72
博格华纳,BWA,2001-01-31,-12.15,-12.15,-12.15,-12.15,737200,0.0,0.0,0.0,0.0,2.81
博格华纳,BWA,2001-02-01,-12.15,-12.14,-12.14,-12.15,1258800,0.0,-0.08,0.08,0.01,4.8
