股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
波士顿地产,BXP,2000-01-03,-58.48,-58.91,-58.48,-59.1,59900,0.0,-1.06,-0.74,-0.43,0.09
波士顿地产,BXP,2000-01-04,-58.91,-59.41,-58.85,-59.47,95800,0.0,-1.05,-0.85,-0.5,0.14
波士顿地产,BXP,2000-01-05,-59.41,-59.16,-59.04,-59.47,101000,0.0,-0.72,0.42,0.25,0.15
波士顿地产,BXP,2000-01-06,-59.04,-58.6,-58.48,-59.29,143100,0.0,-1.37,0.95,0.56,0.21
波士顿地产,BXP,2000-01-07,-58.66,-57.48,-57.35,-58.66,139000,0.0,-2.24,1.91,1.12,0.2
波士顿地产,BXP,2000-01-10,-57.48,-57.22,-57.16,-57.66,189100,0.0,-0.87,0.45,0.26,0.28
波士顿地产,BXP,2000-01-11,-57.22,-57.54,-57.16,-57.72,85300,0.0,-0.98,-0.56,-0.32,0.13
波士顿地产,BXP,2000-01-12,-57.41,-58.04,-57.41,-58.16,61100,0.0,-1.3,-0.87,-0.5,0.09
波士顿地产,BXP,2000-01-13,-58.04,-57.85,-57.79,-58.1,40800,0.0,-0.53,0.33,0.19,0.06
波士顿地产,BXP,2000-01-14,-57.97,-58.04,-57.72,-58.35,64400,0.0,-1.09,-0.33,-0.19,0.09
波士顿地产,BXP,2000-01-18,-57.97,-58.35,-57.97,-58.48,73000,0.0,-0.88,-0.53,-0.31,0.11
波士顿地产,BXP,2000-01-19,-58.48,-58.35,-58.23,-58.6,100500,0.0,-0.63,0.0,0.0,0.15
波士顿地产,BXP,2000-01-20,-58.54,-58.72,-58.29,-58.79,158700,0.0,-0.86,-0.63,-0.37,0.23
波士顿地产,BXP,2000-01-21,-58.72,-59.04,-58.6,-59.35,272300,0.0,-1.28,-0.54,-0.32,0.4
波士顿地产,BXP,2000-01-24,-58.85,-59.16,-58.6,-59.16,117100,0.0,-0.95,-0.2,-0.12,0.17
波士顿地产,BXP,2000-01-25,-58.91,-59.04,-58.85,-59.16,135300,0.0,-0.52,0.2,0.12,0.2
波士顿地产,BXP,2000-01-26,-59.1,-58.91,-58.6,-59.1,119700,0.0,-0.85,0.22,0.13,0.18
波士顿地产,BXP,2000-01-27,-58.98,-59.04,-58.91,-59.1,118600,0.0,-0.32,-0.22,-0.13,0.17
波士顿地产,BXP,2000-01-28,-59.04,-59.16,-58.91,-59.47,228200,0.0,-0.95,-0.2,-0.12,0.34
波士顿地产,BXP,2000-01-31,-59.1,-59.6,-59.1,-59.6,127900,0.0,-0.85,-0.74,-0.44,0.19
波士顿地产,BXP,2000-02-01,-59.47,-59.79,-59.16,-60.6,2240200,0.0,-2.42,-0.32,-0.19,3.3
