股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
花旗集团,C,2001-01-02,4704.85,4588.15,4716.45,4547.45,1383580,0.0,0.0,0.0,0.0,0.03
花旗集团,C,2001-01-03,4588.15,5002.25,5008.05,4576.55,3636950,0.0,9.4,9.03,414.1,0.07
花旗集团,C,2001-01-04,5019.75,5072.25,5229.65,5002.25,3024480,0.0,4.55,1.4,70.0,0.06
花旗集团,C,2001-01-05,5031.35,4885.65,5060.55,4833.15,2455680,0.0,4.48,-3.68,-186.6,0.05
花旗集团,C,2001-01-08,4879.75,4856.45,4926.45,4798.15,1217430,0.0,2.63,-0.6,-29.2,0.02
花旗集团,C,2001-01-09,4856.45,4745.65,4897.35,4739.85,1406920,0.0,3.24,-2.28,-110.8,0.03
花旗集团,C,2001-01-10,4734.05,4908.95,4949.75,4716.45,1633530,0.0,4.92,3.44,163.3,0.03
花旗集团,C,2001-01-11,4914.75,5008.05,5037.25,4891.45,1488390,0.0,2.97,2.02,99.1,0.03
花旗集团,C,2001-01-12,4984.75,4833.15,4990.55,4757.35,1440080,0.0,4.66,-3.49,-174.9,0.03
花旗集团,C,2001-01-16,4780.65,4978.95,4996.35,4728.15,1581350,0.0,5.55,3.02,145.8,0.03
花旗集团,C,2001-01-17,4961.35,4897.35,5002.25,4827.35,1427260,0.0,3.51,-1.64,-81.6,0.03
花旗集团,C,2001-01-18,4908.95,4938.05,4938.05,4856.45,1515350,0.0,1.67,0.83,40.7,0.03
花旗集团,C,2001-01-19,4938.05,4949.75,4996.35,4914.75,1294900,0.0,1.65,0.24,11.7,0.03
花旗集团,C,2001-01-22,4978.95,4903.05,5031.35,4821.45,1682560,0.0,4.24,-0.94,-46.7,0.03
花旗集团,C,2001-01-23,4938.05,4996.35,5048.95,4897.35,1258620,0.0,3.09,1.9,93.3,0.03
花旗集团,C,2001-01-24,5025.55,5083.95,5130.55,4967.25,1685520,0.0,3.27,1.75,87.6,0.03
花旗集团,C,2001-01-25,5101.35,5037.25,5159.65,4961.35,1352150,0.0,3.9,-0.92,-46.7,0.03
花旗集团,C,2001-01-26,5043.05,5025.55,5078.05,4967.25,1325390,0.0,2.2,-0.23,-11.7,0.03
花旗集团,C,2001-01-29,5073.35,5120.05,5138.65,5045.35,1011610,0.0,1.86,1.88,94.5,0.02
花旗集团,C,2001-01-30,5147.95,5120.05,5151.75,5055.65,1281960,0.0,1.88,0.0,0.0,0.03
花旗集团,C,2001-01-31,5166.65,5098.55,5193.75,5026.75,1669450,0.0,3.26,-0.42,-21.5,0.03
花旗集团,C,2001-02-01,5079.45,5113.05,5158.75,5058.95,1105070,0.0,1.96,0.28,14.5,0.02
花旗集团,C,2001-02-02,5113.05,5052.35,5167.15,5009.45,925340,0.0,3.08,-1.19,-60.7,0.02
花旗集团,C,2001-02-05,5121.45,5130.75,5149.35,5057.05,952730,0.0,1.83,1.55,78.4,0.02
花旗集团,C,2001-02-06,5130.75,5021.55,5130.75,5009.45,956400,0.0,2.36,-2.13,-109.2,0.02
花旗集团,C,2001-02-07,5070.15,4949.75,5073.85,4921.75,1051780,0.0,3.03,-1.43,-71.8,0.02
花旗集团,C,2001-02-08,4986.15,4925.45,5006.65,4892.85,1033940,0.0,2.3,-0.49,-24.3,0.02
花旗集团,C,2001-02-09,4958.15,4920.85,4962.75,4869.55,1205990,0.0,1.89,-0.09,-4.6,0.02
花旗集团,C,2001-02-12,4920.85,5051.45,5056.05,4918.95,842230,0.0,2.79,2.65,130.6,0.02
花旗集团,C,2001-02-13,5056.05,4971.15,5099.05,4939.45,1159830,0.0,3.16,-1.59,-80.3,0.02
花旗集团,C,2001-02-14,4981.45,4883.55,4994.55,4869.55,1150090,0.0,2.51,-1.76,-87.6,0.02
花旗集团,C,2001-02-15,4906.85,4922.65,4981.45,4875.15,1029060,0.0,2.18,0.8,39.1,0.02
花旗集团,C,2001-02-16,4860.15,4916.15,5004.75,4857.35,1199820,0.0,2.99,-0.13,-6.5,0.02
花旗集团,C,2001-02-20,4917.05,4654.95,4943.25,4612.95,1459200,0.0,6.72,-5.31,-261.2,0.03
花旗集团,C,2001-02-21,4590.55,4384.35,4664.25,4351.65,1957950,0.0,6.72,-5.81,-270.6,0.04
花旗集团,C,2001-02-22,4398.35,4412.35,4465.55,4197.75,2343690,0.0,6.11,0.64,28.0,0.05
花旗集团,C,2001-02-23,4402.95,4375.05,4458.95,4123.05,1893690,0.0,7.61,-0.85,-37.3,0.04
花旗集团,C,2001-02-26,4402.95,4570.95,4570.95,4376.85,1426780,0.0,4.44,4.48,195.9,0.03
花旗集团,C,2001-02-27,4542.95,4524.25,4701.55,4435.65,1746240,0.0,5.82,-1.02,-46.7,0.03
花旗集团,C,2001-02-28,4542.95,4466.45,4561.55,4393.65,1574360,0.0,3.71,-1.28,-57.8,0.03
花旗集团,C,2001-03-01,4384.35,4416.95,4437.55,4287.35,1549810,0.0,3.36,-1.11,-49.5,0.03
花旗集团,C,2001-03-02,4375.05,4356.35,4495.35,4311.55,1497660,0.0,4.16,-1.37,-60.6,0.03
花旗集团,C,2001-03-05,4393.65,4379.65,4427.25,4306.95,1286730,0.0,2.76,0.53,23.3,0.03
花旗集团,C,2001-03-06,4486.95,4415.15,4519.65,4387.15,1306730,0.0,3.03,0.81,35.5,0.03
花旗集团,C,2001-03-07,4449.65,4584.95,4587.75,4404.85,1072500,0.0,4.14,3.85,169.8,0.02
花旗集团,C,2001-03-08,4584.95,4612.95,4682.95,4542.95,1185810,0.0,3.05,0.61,28.0,0.02
花旗集团,C,2001-03-09,4566.25,4461.75,4567.25,4430.95,1163230,0.0,2.95,-3.28,-151.2,0.02
花旗集团,C,2001-03-12,4333.05,4272.35,4375.05,4193.05,1907780,0.0,4.08,-4.24,-189.4,0.04
花旗集团,C,2001-03-13,4267.75,4392.75,4397.35,4197.75,2127520,0.0,4.67,2.82,120.4,0.04
花旗集团,C,2001-03-14,4123.05,4067.15,4249.05,3992.45,2715960,0.0,5.84,-7.41,-325.6,0.05
花旗集团,C,2001-03-15,4165.05,4207.05,4253.75,4155.75,1885330,0.0,2.41,3.44,139.9,0.04
花旗集团,C,2001-03-16,4174.45,4123.05,4288.25,4123.05,2025110,0.0,3.93,-2.0,-84.0,0.04
花旗集团,C,2001-03-19,4174.45,4197.75,4239.75,4043.75,1401390,0.0,4.75,1.81,74.7,0.03
花旗集团,C,2001-03-20,4258.35,4011.15,4258.35,3959.85,1817120,0.0,7.11,-4.45,-186.6,0.04
花旗集团,C,2001-03-21,4012.05,3819.85,4076.45,3669.65,2259170,0.0,10.14,-4.77,-191.3,0.04
花旗集团,C,2001-03-22,3777.85,3665.95,3810.55,3516.65,3259350,0.0,7.69,-4.03,-153.9,0.06
花旗集团,C,2001-03-23,3749.95,3875.85,3899.15,3726.55,2098000,0.0,4.71,5.73,209.9,0.04
花旗集团,C,2001-03-26,3945.85,4001.85,4020.45,3901.05,1483760,0.0,3.08,3.25,126.0,0.03
花旗集团,C,2001-03-27,4015.75,4211.75,4216.35,3903.85,2233150,0.0,7.81,5.25,209.9,0.04
花旗集团,C,2001-03-28,4141.75,4085.75,4151.05,4034.45,1521390,0.0,2.77,-2.99,-126.0,0.03
花旗集团,C,2001-03-29,4057.75,4048.45,4111.95,4003.65,1194330,0.0,2.65,-0.91,-37.3,0.02
花旗集团,C,2001-03-30,4043.75,4074.55,4081.15,3945.85,1808750,0.0,3.34,0.64,26.1,0.04
花旗集团,C,2001-04-02,4034.45,4141.75,4193.05,3992.45,1675800,0.0,4.92,1.65,67.2,0.03
