股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
康尼格拉,CAG,2000-01-03,-0.75,-0.38,-0.31,-1.31,1663700,0.0,-178.57,32.14,0.18,0.34
康尼格拉,CAG,2000-01-04,-1.0,-0.81,-0.63,-1.06,2176900,0.0,-113.16,-113.16,-0.43,0.44
康尼格拉,CAG,2000-01-05,-0.88,-1.19,-0.75,-1.25,1195100,0.0,-61.73,-46.91,-0.38,0.24
康尼格拉,CAG,2000-01-06,-1.25,-0.56,-0.5,-1.38,1544600,0.0,-73.95,52.94,0.63,0.31
康尼格拉,CAG,2000-01-07,0.44,-0.06,0.62,-0.25,1326400,0.0,-155.36,89.29,0.5,0.27
康尼格拉,CAG,2000-01-10,-0.06,-0.25,0.56,-0.5,926100,0.0,-1766.67,-316.67,-0.19,0.19
康尼格拉,CAG,2000-01-11,-0.63,0.5,0.69,-0.63,1294200,0.0,-528.0,300.0,0.75,0.26
康尼格拉,CAG,2000-01-12,0.31,0.56,1.19,0.31,1401700,0.0,176.0,12.0,0.06,0.28
康尼格拉,CAG,2000-01-13,0.31,-0.13,0.44,-0.25,744800,0.0,123.21,-123.21,-0.69,0.15
康尼格拉,CAG,2000-01-14,-0.38,-0.88,-0.31,-1.0,1624800,0.0,-530.77,-576.92,-0.75,0.33
康尼格拉,CAG,2000-01-18,-0.88,-0.81,-0.63,-1.19,1496800,0.0,-63.64,7.95,0.07,0.3
康尼格拉,CAG,2000-01-19,-1.06,-0.5,-0.44,-1.06,1374400,0.0,-76.54,38.27,0.31,0.28
康尼格拉,CAG,2000-01-20,-0.63,-0.19,-0.06,-0.75,1663400,0.0,-138.0,62.0,0.31,0.34
康尼格拉,CAG,2000-01-21,-0.06,-0.13,0.25,-0.56,1556200,0.0,-426.32,31.58,0.06,0.32
康尼格拉,CAG,2000-01-24,-0.19,-0.75,0.0,-0.88,787700,0.0,-676.92,-476.92,-0.62,0.16
康尼格拉,CAG,2000-01-25,-1.0,-1.31,-0.63,-1.31,1230800,0.0,-90.67,-74.67,-0.56,0.25
康尼格拉,CAG,2000-01-26,-1.3,-1.8,-0.99,-2.05,1752700,0.0,-80.92,-37.4,-0.49,0.36
康尼格拉,CAG,2000-01-27,-1.3,-1.99,-1.18,-2.11,992600,0.0,-51.67,-10.56,-0.19,0.2
康尼格拉,CAG,2000-01-28,-1.99,-2.36,-1.99,-2.68,987800,0.0,-34.67,-18.59,-0.37,0.2
康尼格拉,CAG,2000-01-31,-2.36,-1.61,-1.3,-2.99,1008200,0.0,-71.61,31.78,0.75,0.2
康尼格拉,CAG,2000-02-01,-1.93,-1.99,-1.8,-2.36,1002000,0.0,-34.78,-23.6,-0.38,0.2
康尼格拉,CAG,2000-02-02,-2.24,-2.8,-2.05,-3.55,1327000,0.0,-75.38,-40.7,-0.81,0.27
康尼格拉,CAG,2000-02-03,-2.8,-2.49,-2.18,-3.18,1678500,0.0,-35.71,11.07,0.31,0.34
康尼格拉,CAG,2000-02-04,-2.49,-2.05,-1.99,-2.68,1440900,0.0,-27.71,17.67,0.44,0.29
康尼格拉,CAG,2000-02-07,-2.05,-2.55,-2.05,-2.86,897400,0.0,-39.51,-24.39,-0.5,0.18
康尼格拉,CAG,2000-02-08,-2.55,-2.49,-2.49,-2.86,671600,0.0,-14.51,2.35,0.06,0.14
康尼格拉,CAG,2000-02-09,-2.55,-3.18,-2.49,-3.24,1535300,0.0,-30.12,-27.71,-0.69,0.31
康尼格拉,CAG,2000-02-10,-3.18,-3.99,-2.74,-4.11,1704900,0.0,-43.08,-25.47,-0.81,0.35
康尼格拉,CAG,2000-02-11,-3.74,-4.18,-3.55,-4.49,1340700,0.0,-23.56,-4.76,-0.19,0.27
