股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Carrier Global Corp,CARR,2020-04-03,11.58,14.75,14.83,11.21,66934307,1083070992.0,0.0,0.0,0.0,7.73
Carrier Global Corp,CARR,2020-04-06,14.89,13.27,14.98,12.68,37137984,587990560.0,15.59,-10.03,-1.48,4.29
Carrier Global Corp,CARR,2020-04-07,13.03,13.08,13.63,12.38,23486014,356978224.0,9.42,-1.43,-0.19,2.71
Carrier Global Corp,CARR,2020-04-08,12.33,12.09,13.08,11.56,49372738,698007056.0,11.62,-7.57,-0.99,5.7
Carrier Global Corp,CARR,2020-04-09,11.83,12.61,13.33,11.73,34992602,509226832.0,13.23,4.3,0.52,4.04
Carrier Global Corp,CARR,2020-04-13,12.33,11.82,12.33,11.81,21497372,306039728.0,4.12,-6.26,-0.79,2.48
Carrier Global Corp,CARR,2020-04-14,11.83,11.7,12.03,11.61,22350019,311313888.0,3.55,-1.02,-0.12,2.58
Carrier Global Corp,CARR,2020-04-15,11.36,11.19,11.49,10.77,14990657,199388836.0,6.15,-4.36,-0.51,1.73
Carrier Global Corp,CARR,2020-04-16,10.98,10.72,11.08,10.09,21745223,276618176.0,8.85,-4.2,-0.47,2.51
Carrier Global Corp,CARR,2020-04-17,11.13,11.57,11.66,10.76,21336525,285673152.0,8.4,7.93,0.85,2.46
Carrier Global Corp,CARR,2020-04-20,11.33,12.28,12.57,11.31,20032206,288930736.0,10.89,6.14,0.71,2.31
Carrier Global Corp,CARR,2020-04-21,12.05,12.52,13.08,12.01,16235874,239329921.0,8.71,1.95,0.24,1.87
Carrier Global Corp,CARR,2020-04-22,12.78,12.62,12.99,12.05,12543284,185643746.0,7.51,0.8,0.1,1.45
Carrier Global Corp,CARR,2020-04-23,12.53,13.55,13.75,12.44,12226022,189002151.0,10.38,7.37,0.93,1.41
Carrier Global Corp,CARR,2020-04-24,13.43,14.08,14.5,13.12,17393081,278119424.0,10.18,3.91,0.53,2.01
