股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
卡特彼勒,CAT,2000-01-03,-32.09,-31.62,-31.44,-32.09,5055000,0.0,-2.01,2.44,0.79,1.43
卡特彼勒,CAT,2000-01-04,-31.62,-31.94,-31.06,-31.94,6181400,0.0,-2.78,-1.01,-0.32,1.75
卡特彼勒,CAT,2000-01-05,-31.94,-31.37,-30.84,-31.94,6398600,0.0,-3.44,1.78,0.57,1.81
卡特彼勒,CAT,2000-01-06,-30.66,-30.12,-29.81,-30.66,5140600,0.0,-2.71,3.98,1.25,1.45
卡特彼勒,CAT,2000-01-07,-29.56,-29.28,-28.37,-29.56,6360200,0.0,-3.95,2.79,0.84,1.8
卡特彼勒,CAT,2000-01-10,-29.28,-30.16,-28.66,-30.19,3682200,0.0,-5.23,-3.01,-0.88,1.04
卡特彼勒,CAT,2000-01-11,-30.16,-30.56,-29.34,-30.56,3945600,0.0,-4.05,-1.33,-0.4,1.12
卡特彼勒,CAT,2000-01-12,-30.37,-30.12,-29.78,-30.37,3401000,0.0,-1.93,1.44,0.44,0.96
卡特彼勒,CAT,2000-01-13,-29.91,-29.84,-29.25,-29.91,3129400,0.0,-2.19,0.93,0.28,0.88
卡特彼勒,CAT,2000-01-14,-29.84,-29.97,-29.5,-30.0,3044400,0.0,-1.68,-0.44,-0.13,0.86
卡特彼勒,CAT,2000-01-18,-29.9,-30.8,-29.9,-30.83,4054200,0.0,-3.1,-2.77,-0.83,1.15
卡特彼勒,CAT,2000-01-19,-30.8,-31.12,-30.43,-31.12,3424600,0.0,-2.24,-1.04,-0.32,0.97
卡特彼勒,CAT,2000-01-20,-31.12,-32.21,-30.8,-32.24,4279200,0.0,-4.63,-3.5,-1.09,1.21
卡特彼勒,CAT,2000-01-21,-32.21,-32.08,-31.8,-32.96,5000000,0.0,-3.6,0.4,0.13,1.41
卡特彼勒,CAT,2000-01-24,-32.15,-33.12,-32.15,-33.24,5385600,0.0,-3.4,-3.24,-1.04,1.52
卡特彼勒,CAT,2000-01-25,-33.27,-33.96,-33.27,-34.49,6084200,0.0,-3.68,-2.54,-0.84,1.72
卡特彼勒,CAT,2000-01-26,-33.96,-33.3,-32.93,-34.08,4188200,0.0,-3.39,1.94,0.66,1.18
卡特彼勒,CAT,2000-01-27,-33.3,-33.49,-32.99,-33.77,3340800,0.0,-2.34,-0.57,-0.19,0.94
卡特彼勒,CAT,2000-01-28,-33.49,-34.02,-33.18,-34.02,4851600,0.0,-2.51,-1.58,-0.53,1.37
卡特彼勒,CAT,2000-01-31,-34.02,-34.55,-33.8,-34.55,3677000,0.0,-2.2,-1.56,-0.53,1.04
卡特彼勒,CAT,2000-02-01,-34.4,-34.18,-33.74,-34.4,2930200,0.0,-1.91,1.07,0.37,0.83
卡特彼勒,CAT,2000-02-02,-34.18,-34.05,-33.4,-34.33,2933600,0.0,-2.72,0.38,0.13,0.83
卡特彼勒,CAT,2000-02-03,-34.15,-34.62,-34.15,-34.71,4343400,0.0,-1.64,-1.67,-0.57,1.23
卡特彼勒,CAT,2000-02-04,-34.62,-34.62,-34.37,-35.15,4122000,0.0,-2.25,0.0,0.0,1.17
卡特彼勒,CAT,2000-02-07,-34.87,-35.15,-34.87,-35.4,4089800,0.0,-1.53,-1.53,-0.53,1.16
卡特彼勒,CAT,2000-02-08,-35.15,-35.27,-35.02,-35.77,5848400,0.0,-2.13,-0.34,-0.12,1.65
