股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
芝加哥期权交易所,CBOE,2018-09-17,95.63,95.71,96.0,94.55,470556,49221613.0,11.76,676.24,83.38,0.42
芝加哥期权交易所,CBOE,2018-09-18,95.71,97.12,98.63,95.61,1293526,137751459.0,3.16,1.47,1.41,1.16
芝加哥期权交易所,CBOE,2018-09-19,96.81,97.87,98.12,95.65,666365,70940584.0,2.54,0.77,0.75,0.6
芝加哥期权交易所,CBOE,2018-09-20,97.32,98.11,98.38,96.19,1138737,121622839.0,2.24,0.25,0.24,1.02
芝加哥期权交易所,CBOE,2018-09-21,99.08,98.08,100.05,97.68,1705780,183520759.0,2.42,-0.03,-0.03,1.53
芝加哥期权交易所,CBOE,2018-09-24,98.19,96.22,98.19,95.99,901504,95528808.0,2.24,-1.9,-1.86,0.81
芝加哥期权交易所,CBOE,2018-09-25,93.15,92.92,95.98,90.53,1364519,138729336.0,5.66,-3.43,-3.3,1.22
芝加哥期权交易所,CBOE,2018-09-26,92.91,89.8,93.27,89.21,1264125,125906748.0,4.37,-3.36,-3.12,1.13
芝加哥期权交易所,CBOE,2018-09-27,89.5,88.69,89.93,88.15,882236,86449511.0,1.98,-1.24,-1.11,0.79
芝加哥期权交易所,CBOE,2018-09-28,87.9,86.89,88.91,86.5,918790,88884525.0,2.72,-2.03,-1.8,0.82
芝加哥期权交易所,CBOE,2018-10-01,86.43,87.96,88.17,86.25,759466,73128259.0,2.21,1.23,1.07,0.68
芝加哥期权交易所,CBOE,2018-10-02,87.95,87.55,88.48,87.12,721254,69765860.0,1.55,-0.47,-0.41,0.65
芝加哥期权交易所,CBOE,2018-10-03,88.29,86.57,88.29,86.31,910350,87423441.0,2.26,-1.12,-0.98,0.82
芝加哥期权交易所,CBOE,2018-10-04,86.55,86.36,86.93,84.69,1162190,110293004.0,2.59,-0.24,-0.21,1.04
芝加哥期权交易所,CBOE,2018-10-05,85.11,88.14,89.43,85.11,1034239,100609632.0,5.0,2.06,1.78,0.93
芝加哥期权交易所,CBOE,2018-10-08,88.45,90.85,91.06,87.97,883860,87507292.0,3.51,3.07,2.71,0.79
芝加哥期权交易所,CBOE,2018-10-09,89.7,92.33,92.9,89.7,1204615,122119616.0,3.52,1.63,1.48,1.08
芝加哥期权交易所,CBOE,2018-10-10,91.67,92.89,94.13,91.08,1151133,117541545.0,3.3,0.61,0.56,1.03
芝加哥期权交易所,CBOE,2018-10-11,93.24,91.73,93.34,91.26,1413946,143301249.0,2.24,-1.25,-1.16,1.27
芝加哥期权交易所,CBOE,2018-10-12,91.38,91.04,92.93,90.04,941306,94365022.0,3.15,-0.75,-0.69,0.84
芝加哥期权交易所,CBOE,2018-10-15,88.66,90.19,93.21,87.7,937002,93157554.0,6.05,-0.93,-0.85,0.84
芝加哥期权交易所,CBOE,2018-10-16,90.2,93.72,93.99,90.2,725511,73877867.0,4.2,3.91,3.53,0.65
芝加哥期权交易所,CBOE,2018-10-17,91.62,93.57,94.36,90.46,1138938,116209159.0,4.16,-0.16,-0.15,1.02
芝加哥期权交易所,CBOE,2018-10-18,94.32,94.23,95.19,92.43,607510,62548927.0,2.95,0.71,0.66,0.54
