股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
嘉年华邮轮(US),CCL,2000-01-03,25.17,26.05,26.3,24.42,1534100,0.0,6.97,-3.45,-0.93,0.25
嘉年华邮轮(US),CCL,2000-01-04,26.67,25.48,26.73,25.36,1062500,0.0,5.26,-2.19,-0.57,0.17
嘉年华邮轮(US),CCL,2000-01-05,25.48,27.05,27.73,25.48,1676900,0.0,8.83,6.16,1.57,0.27
嘉年华邮轮(US),CCL,2000-01-06,26.98,27.73,28.48,26.3,1441400,0.0,8.06,2.51,0.68,0.24
嘉年华邮轮(US),CCL,2000-01-07,26.17,27.17,27.73,26.17,1816100,0.0,5.63,-2.02,-0.56,0.3
嘉年华邮轮(US),CCL,2000-01-10,27.67,29.3,29.98,27.61,1893900,0.0,8.72,7.84,2.13,0.31
嘉年华邮轮(US),CCL,2000-01-11,29.23,29.67,29.73,28.73,1162700,0.0,3.41,1.26,0.37,0.19
嘉年华邮轮(US),CCL,2000-01-12,29.55,27.36,29.61,27.23,1643300,0.0,8.02,-7.79,-2.31,0.27
嘉年华邮轮(US),CCL,2000-01-13,27.36,29.17,29.61,27.17,1670900,0.0,8.92,6.62,1.81,0.27
嘉年华邮轮(US),CCL,2000-01-14,28.92,29.73,30.42,28.67,1841900,0.0,6.0,1.92,0.56,0.3
嘉年华邮轮(US),CCL,2000-01-18,28.67,29.17,29.42,28.55,1205500,0.0,2.93,-1.88,-0.56,0.2
嘉年华邮轮(US),CCL,2000-01-19,29.17,29.42,30.3,29.05,1424400,0.0,4.29,0.86,0.25,0.23
嘉年华邮轮(US),CCL,2000-01-20,29.73,28.36,30.05,28.36,633400,0.0,5.74,-3.6,-1.06,0.1
嘉年华邮轮(US),CCL,2000-01-21,29.8,25.8,29.8,25.17,1780200,0.0,16.33,-9.03,-2.56,0.29
嘉年华邮轮(US),CCL,2000-01-24,25.17,22.3,25.17,21.92,4532000,0.0,12.6,-13.57,-3.5,0.74
嘉年华邮轮(US),CCL,2000-01-25,22.42,21.42,23.23,21.05,3590800,0.0,9.78,-3.95,-0.88,0.59
嘉年华邮轮(US),CCL,2000-01-26,21.55,23.11,24.42,21.05,3157500,0.0,15.73,7.89,1.69,0.52
嘉年华邮轮(US),CCL,2000-01-27,21.67,21.92,22.92,21.48,2372000,0.0,6.23,-5.15,-1.19,0.39
嘉年华邮轮(US),CCL,2000-01-28,21.67,23.67,23.67,21.17,3435600,0.0,11.41,7.98,1.75,0.56
嘉年华邮轮(US),CCL,2000-01-31,23.67,24.23,24.67,22.92,2473300,0.0,7.39,2.37,0.56,0.4
嘉年华邮轮(US),CCL,2000-02-01,24.23,24.23,24.61,23.42,1653100,0.0,4.91,0.0,0.0,0.27
嘉年华邮轮(US),CCL,2000-02-02,25.17,24.17,25.17,23.92,1653000,0.0,5.16,-0.25,-0.06,0.27
