股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
Ceridian HCM Holding Inc,CDAY,2018-04-26,28.9,31.21,31.75,28.65,13590152,404677088.0,14.09,41.86,9.21,10.21
Ceridian HCM Holding Inc,CDAY,2018-04-27,30.95,30.52,31.5,29.68,1744866,53069659.0,5.83,-2.21,-0.69,1.31
Ceridian HCM Holding Inc,CDAY,2018-04-30,30.76,31.58,32.0,30.21,638939,19929029.0,5.87,3.47,1.06,0.48
Ceridian HCM Holding Inc,CDAY,2018-05-01,31.42,31.48,32.4,31.26,858596,27199861.0,3.61,-0.32,-0.1,0.64
Ceridian HCM Holding Inc,CDAY,2018-05-02,31.5,32.75,33.65,31.52,845513,27482216.0,6.77,4.03,1.27,0.63
Ceridian HCM Holding Inc,CDAY,2018-05-03,32.63,33.79,34.43,32.53,1807868,60950967.0,5.8,3.18,1.04,1.36
Ceridian HCM Holding Inc,CDAY,2018-05-04,33.88,34.09,34.89,33.8,679622,23226255.0,3.23,0.89,0.3,0.51
Ceridian HCM Holding Inc,CDAY,2018-05-07,34.09,33.99,34.7,33.9,325618,11130699.0,2.35,-0.29,-0.1,0.24
Ceridian HCM Holding Inc,CDAY,2018-05-08,34.48,32.95,34.77,32.46,413943,13687923.0,6.8,-3.06,-1.04,0.31
Ceridian HCM Holding Inc,CDAY,2018-05-09,33.13,33.47,34.25,33.05,466652,15809394.0,3.64,1.58,0.52,0.35
Ceridian HCM Holding Inc,CDAY,2018-05-10,33.59,33.13,33.87,32.83,731641,24302917.0,3.11,-1.02,-0.34,0.55
Ceridian HCM Holding Inc,CDAY,2018-05-11,33.32,34.38,34.63,33.17,241875,8221961.0,4.41,3.77,1.25,0.18
Ceridian HCM Holding Inc,CDAY,2018-05-14,34.5,36.48,37.13,33.36,868316,31485575.0,10.97,6.11,2.1,0.65
Ceridian HCM Holding Inc,CDAY,2018-05-15,36.61,36.95,37.31,36.46,565839,20876650.0,2.33,1.29,0.47,0.42
Ceridian HCM Holding Inc,CDAY,2018-05-16,37.41,37.2,37.41,35.74,219216,8027103.0,4.52,0.68,0.25,0.16
