股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
CDW Corp,CDW,2013-07-25,8.71,10.35,10.35,8.37,232319,0.0,36.87,92.74,4.98,0.16
CDW Corp,CDW,2013-07-26,10.49,9.96,10.51,9.42,141279,0.0,10.53,-3.77,-0.39,0.1
CDW Corp,CDW,2013-07-29,9.87,10.07,10.37,9.43,85116,0.0,9.44,1.1,0.11,0.06
CDW Corp,CDW,2013-07-30,10.08,9.97,10.17,9.17,94624,0.0,9.93,-0.99,-0.1,0.07
CDW Corp,CDW,2013-07-31,10.16,9.87,10.16,9.56,52504,0.0,6.02,-1.0,-0.1,0.04
CDW Corp,CDW,2013-08-01,9.82,10.03,10.16,9.53,181580,0.0,6.38,1.62,0.16,0.13
CDW Corp,CDW,2013-08-02,10.04,10.8,10.87,9.54,224497,0.0,13.26,7.68,0.77,0.15
CDW Corp,CDW,2013-08-05,10.8,11.16,11.37,10.63,104757,0.0,6.85,3.33,0.36,0.07
CDW Corp,CDW,2013-08-06,11.2,11.18,11.47,10.96,419337,0.0,4.57,0.18,0.02,0.29
CDW Corp,CDW,2013-08-07,11.17,11.32,11.36,11.01,82839,0.0,3.13,1.25,0.14,0.06
CDW Corp,CDW,2013-08-08,11.37,11.44,11.47,11.17,74099,0.0,2.65,1.06,0.12,0.04
CDW Corp,CDW,2013-08-09,11.22,11.42,11.49,11.22,67385,0.0,2.36,-0.17,-0.02,0.04
CDW Corp,CDW,2013-08-12,11.22,11.53,11.57,11.22,116194,0.0,3.06,0.96,0.11,0.07
CDW Corp,CDW,2013-08-13,11.51,11.77,11.92,11.22,102402,0.0,6.07,2.08,0.24,0.06
CDW Corp,CDW,2013-08-14,11.67,11.73,11.77,11.52,72051,0.0,2.12,-0.34,-0.04,0.04
CDW Corp,CDW,2013-08-15,11.77,11.37,11.77,11.17,280081,0.0,5.12,-3.07,-0.36,0.16
CDW Corp,CDW,2013-08-16,11.35,11.42,11.46,11.17,82196,0.0,2.55,0.44,0.05,0.05
CDW Corp,CDW,2013-08-19,11.37,11.46,11.51,11.06,196075,0.0,3.94,0.35,0.04,0.11
CDW Corp,CDW,2013-08-20,11.44,11.48,12.12,11.24,137969,0.0,7.68,0.17,0.02,0.08
CDW Corp,CDW,2013-08-21,11.44,11.4,11.67,11.17,89014,0.0,4.36,-0.7,-0.08,0.05
CDW Corp,CDW,2013-08-22,11.42,11.38,11.66,11.22,52627,0.0,3.86,-0.18,-0.02,0.03
CDW Corp,CDW,2013-08-23,11.33,11.64,11.68,11.24,38913,0.0,3.87,2.28,0.26,0.02
CDW Corp,CDW,2013-08-26,11.64,11.35,11.64,11.32,126470,0.0,2.75,-2.49,-0.29,0.07
CDW Corp,CDW,2013-08-27,11.24,10.59,11.28,10.37,280735,0.0,8.02,-6.7,-0.76,0.16
CDW Corp,CDW,2013-08-28,10.58,10.35,10.81,10.27,78298,0.0,5.1,-2.27,-0.24,0.05
CDW Corp,CDW,2013-08-29,10.23,10.45,10.51,9.64,171539,0.0,8.41,0.97,0.1,0.1
CDW Corp,CDW,2013-08-30,10.38,10.3,10.53,10.22,110897,0.0,2.97,-1.44,-0.15,0.06
CDW Corp,CDW,2013-09-03,10.53,10.9,11.54,10.15,94026,0.0,13.5,5.83,0.6,0.05
CDW Corp,CDW,2013-09-04,10.83,11.38,11.38,10.39,117880,0.0,9.08,4.4,0.48,0.07
CDW Corp,CDW,2013-09-05,11.28,11.69,12.12,11.17,84418,0.0,8.35,2.72,0.31,0.05
CDW Corp,CDW,2013-09-06,11.68,11.61,12.12,11.35,102950,0.0,6.59,-0.68,-0.08,0.06
CDW Corp,CDW,2013-09-09,11.64,11.33,11.89,11.02,123670,0.0,7.49,-2.41,-0.28,0.07
CDW Corp,CDW,2013-09-10,11.37,11.4,11.61,10.96,125620,0.0,5.74,0.62,0.07,0.07
CDW Corp,CDW,2013-09-11,11.27,11.79,11.89,10.88,124726,0.0,8.86,3.42,0.39,0.07
CDW Corp,CDW,2013-09-12,11.77,11.46,11.91,11.39,672190,0.0,4.41,-2.8,-0.33,0.39
CDW Corp,CDW,2013-09-13,11.39,11.87,11.89,11.27,213804,0.0,5.41,3.58,0.41,0.12
CDW Corp,CDW,2013-09-16,12.02,12.24,12.34,11.62,186973,0.0,6.07,3.12,0.37,0.11
CDW Corp,CDW,2013-09-17,12.19,11.6,12.35,11.46,315482,0.0,7.27,-5.23,-0.64,0.18
CDW Corp,CDW,2013-09-18,11.45,12.15,12.36,11.33,273644,0.0,8.88,4.74,0.55,0.16
CDW Corp,CDW,2013-09-19,11.97,11.83,12.27,11.53,336878,0.0,6.09,-2.63,-0.32,0.2
CDW Corp,CDW,2013-09-20,11.73,11.26,11.9,11.05,1109587,0.0,7.19,-4.82,-0.57,0.65
CDW Corp,CDW,2013-09-23,11.27,12.22,12.32,11.11,442359,0.0,10.75,8.53,0.96,0.26
CDW Corp,CDW,2013-09-24,12.24,12.67,12.76,12.22,393039,0.0,4.42,3.68,0.45,0.23
