股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
CF实业,CF,2007-09-17,-0.89,-0.56,-0.4,-0.9,1369900,0.0,-4.74,94.69,9.98,2.46
CF实业,CF,2007-09-18,-0.43,0.03,0.08,-0.84,1487600,0.0,-164.29,105.36,0.59,2.67
CF实业,CF,2007-09-19,0.16,0.25,0.81,-0.16,1451400,0.0,3233.33,733.33,0.22,2.61
CF实业,CF,2007-09-20,0.26,0.2,0.48,0.09,2568600,0.0,156.0,-20.0,-0.05,4.61
CF实业,CF,2007-09-21,0.39,1.0,1.1,0.34,4961800,0.0,380.0,400.0,0.8,8.91
CF实业,CF,2007-09-24,1.0,0.34,1.48,0.07,1768650,0.0,141.0,-66.0,-0.66,3.18
CF实业,CF,2007-09-25,0.18,1.01,1.06,0.18,1374823,0.0,258.82,197.06,0.67,2.47
CF实业,CF,2007-09-26,1.23,0.98,1.35,0.82,1241600,0.0,52.48,-2.97,-0.03,2.23
CF实业,CF,2007-09-27,1.12,1.48,1.52,1.1,1218700,0.0,42.86,51.02,0.5,2.19
CF实业,CF,2007-09-28,1.51,1.48,1.71,1.21,1135000,0.0,33.78,0.0,0.0,2.04
CF实业,CF,2007-10-01,1.48,1.49,1.92,1.26,1740700,0.0,44.59,0.68,0.01,3.12
CF实业,CF,2007-10-02,1.63,1.06,1.73,1.0,1384700,0.0,48.99,-28.86,-0.43,2.48
CF实业,CF,2007-10-03,1.13,0.12,1.13,-0.04,2062800,0.0,110.38,-88.68,-0.94,3.69
CF实业,CF,2007-10-04,0.19,0.86,0.86,0.19,1529100,0.0,558.33,616.67,0.74,2.74
CF实业,CF,2007-10-05,1.09,0.89,1.22,0.83,1017100,0.0,45.35,3.49,0.03,1.82
CF实业,CF,2007-10-08,0.94,0.62,0.96,0.43,683700,0.0,59.55,-30.34,-0.27,1.22
CF实业,CF,2007-10-09,0.78,0.96,1.23,0.61,1826700,0.0,100.0,54.84,0.34,3.27
CF实业,CF,2007-10-10,0.74,1.06,1.11,0.68,1608700,0.0,44.79,10.42,0.1,2.88
CF实业,CF,2007-10-11,1.2,0.51,1.56,0.44,2279000,0.0,105.66,-51.89,-0.55,4.08
CF实业,CF,2007-10-12,0.72,1.46,1.75,0.63,2060300,0.0,219.61,186.27,0.95,3.69
CF实业,CF,2007-10-15,1.63,1.27,1.79,0.99,1007600,0.0,54.79,-13.01,-0.19,1.8
CF实业,CF,2007-10-16,1.19,1.29,1.47,0.97,798600,0.0,39.37,1.57,0.02,1.43
CF实业,CF,2007-10-17,1.47,1.36,1.6,1.0,870800,0.0,46.51,5.43,0.07,1.56
CF实业,CF,2007-10-18,1.26,1.86,1.87,1.21,1055000,0.0,48.53,36.76,0.5,1.89
CF实业,CF,2007-10-19,1.84,2.09,2.49,1.76,2756200,0.0,39.25,12.37,0.23,4.93
CF实业,CF,2007-10-22,1.85,1.62,1.87,1.12,1638400,0.0,35.89,-22.49,-0.47,2.93
CF实业,CF,2007-10-23,1.86,2.6,2.7,1.86,1338900,0.0,51.85,60.49,0.98,2.4
CF实业,CF,2007-10-24,3.0,2.92,3.16,2.45,2852500,0.0,27.31,12.31,0.32,5.11
CF实业,CF,2007-10-25,2.9,3.24,3.45,2.74,8622300,0.0,24.32,10.96,0.32,15.43
CF实业,CF,2007-10-26,3.36,3.38,4.07,3.22,2156079,0.0,26.23,4.32,0.14,3.86
CF实业,CF,2007-10-29,3.77,3.9,4.19,3.7,1994200,0.0,14.5,15.38,0.52,3.57
CF实业,CF,2007-10-30,5.44,3.65,5.52,3.51,5632000,0.0,51.54,-6.41,-0.25,10.08
CF实业,CF,2007-10-31,3.34,3.88,4.01,3.3,3598600,0.0,19.45,6.3,0.23,6.44
