股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
创富港,836090,2016-09-19,7.76,7.76,7.76,7.76,1000,3000000.0,0.0,0.0,0.0,0.31
创富港,836090,2016-09-23,7.76,7.76,7.76,7.76,1500,4500000.0,0.0,0.0,0.0,0.46
创富港,836090,2019-07-16,6.56,6.56,6.56,6.56,10,12470.0,0.0,-15.46,-1.2,0.0
创富港,836090,2019-07-18,6.55,6.55,6.55,6.55,2260,1480300.0,0.0,-0.15,-0.01,0.7
创富港,836090,2019-07-22,9.99,9.99,9.99,9.99,10,9990.0,0.0,52.52,3.44,0.0
创富港,836090,2019-07-26,9.99,9.99,9.99,9.99,10,9990.0,0.0,0.0,0.0,0.0
创富港,836090,2019-08-07,9.99,9.99,9.99,9.99,10,9990.0,0.0,0.0,0.0,0.0
创富港,836090,2019-08-09,9.99,9.99,9.99,9.99,10,9990.0,0.0,0.0,0.0,0.0
创富港,836090,2019-08-14,12.99,12.99,12.99,12.99,10,12990.0,0.0,30.03,3.0,0.0
创富港,836090,2019-08-22,6.55,6.55,6.55,6.55,880,576400.0,0.0,-49.58,-6.44,0.27
创富港,836090,2019-08-28,6.55,6.55,6.55,6.55,1200,786000.0,0.0,0.0,0.0,0.37
创富港,836090,2019-08-29,9.98,9.98,9.98,9.98,10,9980.0,0.0,52.37,3.43,0.0
创富港,836090,2019-10-22,6.5,6.5,6.5,6.5,1900,1235000.0,0.0,-34.87,-3.48,0.59
创富港,836090,2019-10-23,9.88,9.88,9.88,9.88,10,9880.0,0.0,52.0,3.38,0.0
创富港,836090,2019-11-19,12.5,12.5,12.5,12.5,60,75000.0,0.0,26.52,2.62,0.02
创富港,836090,2020-06-01,16.0,16.0,16.0,16.0,35,56000.0,0.0,28.0,3.5,0.01
创富港,836090,2020-06-22,18.0,18.0,18.0,18.0,20,36000.0,0.0,12.5,2.0,0.01
创富港,836090,2020-07-07,20.0,20.0,20.0,20.0,30,60000.0,0.0,11.11,2.0,0.01
