股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
丘奇&德怀特,CHD,2001-01-02,-9.56,-9.59,-9.55,-9.6,402600,0.0,0.0,0.0,0.0,1.05
丘奇&德怀特,CHD,2001-01-03,-9.58,-9.63,-9.58,-9.64,514200,0.0,-0.63,-0.42,-0.04,1.34
丘奇&德怀特,CHD,2001-01-04,-9.62,-9.69,-9.62,-9.69,199200,0.0,-0.73,-0.62,-0.06,0.52
丘奇&德怀特,CHD,2001-01-05,-9.68,-9.69,-9.67,-9.71,311601,0.0,-0.41,0.0,0.0,0.81
丘奇&德怀特,CHD,2001-01-08,-9.68,-9.56,-9.55,-9.68,557400,0.0,-1.34,1.34,0.13,1.45
丘奇&德怀特,CHD,2001-01-09,-9.56,-9.57,-9.53,-9.58,393999,0.0,-0.52,-0.1,-0.01,1.03
丘奇&德怀特,CHD,2001-01-10,-9.58,-9.53,-9.52,-9.59,552600,0.0,-0.73,0.42,0.04,1.44
丘奇&德怀特,CHD,2001-01-11,-9.55,-9.54,-9.51,-9.56,1047399,0.0,-0.52,-0.1,-0.01,2.73
丘奇&德怀特,CHD,2001-01-12,-9.54,-9.52,-9.52,-9.55,217599,0.0,-0.31,0.21,0.02,0.57
丘奇&德怀特,CHD,2001-01-16,-9.53,-9.53,-9.51,-9.54,234999,0.0,-0.32,-0.11,-0.01,0.61
丘奇&德怀特,CHD,2001-01-17,-9.53,-9.51,-9.49,-9.55,281001,0.0,-0.63,0.21,0.02,0.73
丘奇&德怀特,CHD,2001-01-18,-9.51,-9.49,-9.48,-9.55,493800,0.0,-0.74,0.21,0.02,1.29
丘奇&德怀特,CHD,2001-01-19,-9.5,-9.48,-9.48,-9.51,170601,0.0,-0.32,0.11,0.01,0.44
丘奇&德怀特,CHD,2001-01-22,-9.48,-9.45,-9.43,-9.48,746001,0.0,-0.53,0.32,0.03,1.94
丘奇&德怀特,CHD,2001-01-23,-9.45,-9.42,-9.42,-9.47,325599,0.0,-0.53,0.32,0.03,0.85
丘奇&德怀特,CHD,2001-01-24,-9.43,-9.44,-9.41,-9.46,312801,0.0,-0.53,-0.21,-0.02,0.82
丘奇&德怀特,CHD,2001-01-25,-9.44,-9.43,-9.42,-9.45,159600,0.0,-0.32,0.11,0.01,0.42
丘奇&德怀特,CHD,2001-01-26,-9.44,-9.48,-9.44,-9.48,226599,0.0,-0.42,-0.53,-0.05,0.59
丘奇&德怀特,CHD,2001-01-29,-9.47,-9.48,-9.46,-9.48,173400,0.0,-0.21,0.0,0.0,0.45
丘奇&德怀特,CHD,2001-01-30,-9.46,-9.43,-9.41,-9.46,218199,0.0,-0.53,0.53,0.05,0.57
丘奇&德怀特,CHD,2001-01-31,-9.43,-9.4,-9.4,-9.44,278601,0.0,-0.42,0.32,0.03,0.73
丘奇&德怀特,CHD,2001-02-01,-9.41,-9.41,-9.41,-9.45,233601,0.0,-0.43,-0.11,-0.01,0.61
丘奇&德怀特,CHD,2001-02-02,-9.46,-9.62,-9.46,-9.63,3239199,0.0,-1.81,-2.23,-0.21,8.44
丘奇&德怀特,CHD,2001-02-05,-9.61,-9.58,-9.56,-9.61,574200,0.0,-0.52,0.42,0.04,1.5
丘奇&德怀特,CHD,2001-02-06,-9.56,-9.6,-9.56,-9.6,329799,0.0,-0.42,-0.21,-0.02,0.86
丘奇&德怀特,CHD,2001-02-07,-9.6,-9.57,-9.57,-9.6,227601,0.0,-0.31,0.31,0.03,0.59
丘奇&德怀特,CHD,2001-02-08,-9.56,-9.58,-9.55,-9.59,460599,0.0,-0.42,-0.1,-0.01,1.2
丘奇&德怀特,CHD,2001-02-09,-9.58,-9.57,-9.56,-9.59,505200,0.0,-0.31,0.1,0.01,1.32
丘奇&德怀特,CHD,2001-02-12,-9.57,-9.59,-9.56,-9.6,287001,0.0,-0.42,-0.21,-0.02,0.75
丘奇&德怀特,CHD,2001-02-13,-9.59,-9.6,-9.56,-9.61,301599,0.0,-0.52,-0.1,-0.01,0.79
丘奇&德怀特,CHD,2001-02-14,-9.61,-9.62,-9.61,-9.62,245001,0.0,-0.1,-0.21,-0.02,0.64
丘奇&德怀特,CHD,2001-02-15,-9.62,-9.63,-9.62,-9.64,133401,0.0,-0.21,-0.1,-0.01,0.35
丘奇&德怀特,CHD,2001-02-16,-9.64,-9.59,-9.58,-9.64,216801,0.0,-0.62,0.42,0.04,0.56
丘奇&德怀特,CHD,2001-02-20,-9.59,-9.59,-9.56,-9.6,259401,0.0,-0.42,0.0,0.0,0.68
丘奇&德怀特,CHD,2001-02-21,-9.6,-9.61,-9.6,-9.61,293001,0.0,-0.1,-0.21,-0.02,0.76
丘奇&德怀特,CHD,2001-02-22,-9.61,-9.61,-9.61,-9.62,357801,0.0,-0.1,0.0,0.0,0.93
丘奇&德怀特,CHD,2001-02-23,-9.61,-9.62,-9.61,-9.64,242601,0.0,-0.31,-0.1,-0.01,0.63
丘奇&德怀特,CHD,2001-02-26,-9.61,-9.62,-9.6,-9.62,246801,0.0,-0.21,0.0,0.0,0.64
丘奇&德怀特,CHD,2001-02-27,-9.62,-9.6,-9.59,-9.62,249201,0.0,-0.31,0.21,0.02,0.65
丘奇&德怀特,CHD,2001-02-28,-9.61,-9.57,-9.56,-9.61,348201,0.0,-0.52,0.31,0.03,0.9
丘奇&德怀特,CHD,2001-03-01,-9.57,-9.6,-9.57,-9.6,216801,0.0,-0.31,-0.31,-0.03,0.56
丘奇&德怀特,CHD,2001-03-02,-9.6,-9.59,-9.56,-9.61,206799,0.0,-0.52,0.1,0.01,0.54
丘奇&德怀特,CHD,2001-03-05,-9.58,-9.58,-9.56,-9.58,94800,0.0,-0.21,0.1,0.01,0.25
丘奇&德怀特,CHD,2001-03-06,-9.57,-9.57,-9.57,-9.6,178800,0.0,-0.31,0.1,0.01,0.46
丘奇&德怀特,CHD,2001-03-07,-9.57,-9.53,-9.52,-9.57,412599,0.0,-0.52,0.42,0.04,1.07
丘奇&德怀特,CHD,2001-03-08,-9.53,-9.53,-9.53,-9.56,249399,0.0,-0.31,0.0,0.0,0.65
丘奇&德怀特,CHD,2001-03-09,-9.54,-9.54,-9.53,-9.55,162201,0.0,-0.21,-0.1,-0.01,0.42
丘奇&德怀特,CHD,2001-03-12,-9.56,-9.56,-9.53,-9.56,325599,0.0,-0.31,-0.21,-0.02,0.84
丘奇&德怀特,CHD,2001-03-13,-9.55,-9.58,-9.54,-9.58,473400,0.0,-0.42,-0.21,-0.02,1.23
丘奇&德怀特,CHD,2001-03-14,-9.57,-9.57,-9.55,-9.59,149001,0.0,-0.42,0.1,0.01,0.39
丘奇&德怀特,CHD,2001-03-15,-9.58,-9.61,-9.58,-9.61,153600,0.0,-0.31,-0.42,-0.04,0.4
丘奇&德怀特,CHD,2001-03-16,-9.61,-9.6,-9.57,-9.61,278799,0.0,-0.42,0.1,0.01,0.72
丘奇&德怀特,CHD,2001-03-19,-9.6,-9.57,-9.56,-9.6,137601,0.0,-0.42,0.31,0.03,0.36
丘奇&德怀特,CHD,2001-03-20,-9.57,-9.56,-9.53,-9.58,339801,0.0,-0.52,0.1,0.01,0.88
丘奇&德怀特,CHD,2001-03-21,-9.56,-9.59,-9.56,-9.6,120000,0.0,-0.42,-0.31,-0.03,0.31
丘奇&德怀特,CHD,2001-03-22,-9.58,-9.59,-9.58,-9.64,291999,0.0,-0.63,0.0,0.0,0.76
丘奇&德怀特,CHD,2001-03-23,-9.59,-9.61,-9.58,-9.64,306999,0.0,-0.63,-0.21,-0.02,0.8
丘奇&德怀特,CHD,2001-03-26,-9.6,-9.64,-9.59,-9.64,419199,0.0,-0.52,-0.31,-0.03,1.09
丘奇&德怀特,CHD,2001-03-27,-9.63,-9.59,-9.59,-9.64,365001,0.0,-0.52,0.52,0.05,0.95
丘奇&德怀特,CHD,2001-03-28,-9.59,-9.63,-9.58,-9.63,249801,0.0,-0.52,-0.42,-0.04,0.65
丘奇&德怀特,CHD,2001-03-29,-9.62,-9.65,-9.58,-9.66,288999,0.0,-0.83,-0.21,-0.02,0.75
丘奇&德怀特,CHD,2001-03-30,-9.65,-9.57,-9.56,-9.65,902601,0.0,-0.93,0.83,0.08,2.34
丘奇&德怀特,CHD,2001-04-02,-9.57,-9.5,-9.46,-9.57,536400,0.0,-1.15,0.73,0.07,1.39
丘奇&德怀特,CHD,2001-04-03,-9.5,-9.48,-9.47,-9.5,512199,0.0,-0.32,0.21,0.02,1.33
丘奇&德怀特,CHD,2001-04-04,-9.48,-9.41,-9.41,-9.48,635400,0.0,-0.74,0.74,0.07,1.65
丘奇&德怀特,CHD,2001-04-05,-9.41,-9.42,-9.4,-9.44,482400,0.0,-0.43,-0.11,-0.01,1.25
丘奇&德怀特,CHD,2001-04-06,-9.42,-9.47,-9.42,-9.47,276399,0.0,-0.53,-0.53,-0.05,0.72
丘奇&德怀特,CHD,2001-04-09,-9.48,-9.42,-9.39,-9.48,429999,0.0,-0.95,0.53,0.05,1.11
丘奇&德怀特,CHD,2001-04-10,-9.42,-9.42,-9.4,-9.44,380199,0.0,-0.42,0.0,0.0,0.99
丘奇&德怀特,CHD,2001-04-11,-9.43,-9.43,-9.4,-9.44,503799,0.0,-0.42,-0.11,-0.01,1.31
丘奇&德怀特,CHD,2001-04-12,-9.44,-9.42,-9.41,-9.44,321801,0.0,-0.32,0.11,0.01,0.83
丘奇&德怀特,CHD,2001-04-16,-9.45,-9.43,-9.41,-9.46,251799,0.0,-0.53,-0.11,-0.01,0.65
丘奇&德怀特,CHD,2001-04-17,-9.43,-9.44,-9.43,-9.46,240999,0.0,-0.32,-0.11,-0.01,0.62
丘奇&德怀特,CHD,2001-04-18,-9.45,-9.46,-9.42,-9.46,251001,0.0,-0.42,-0.21,-0.02,0.65
丘奇&德怀特,CHD,2001-04-19,-9.45,-9.45,-9.45,-9.47,104400,0.0,-0.21,0.11,0.01,0.27
丘奇&德怀特,CHD,2001-04-20,-9.48,-9.45,-9.44,-9.48,260601,0.0,-0.42,0.0,0.0,0.68
丘奇&德怀特,CHD,2001-04-23,-9.44,-9.44,-9.44,-9.45,134001,0.0,-0.11,0.11,0.01,0.35
丘奇&德怀特,CHD,2001-04-24,-9.44,-9.47,-9.44,-9.47,77601,0.0,-0.32,-0.32,-0.03,0.2
丘奇&德怀特,CHD,2001-04-25,-9.46,-9.42,-9.41,-9.47,202401,0.0,-0.63,0.53,0.05,0.52
丘奇&德怀特,CHD,2001-04-26,-9.44,-9.43,-9.42,-9.45,237999,0.0,-0.32,-0.11,-0.01,0.62
丘奇&德怀特,CHD,2001-04-27,-9.39,-9.4,-9.38,-9.43,570399,0.0,-0.53,0.32,0.03,1.48
丘奇&德怀特,CHD,2001-04-30,-9.41,-9.45,-9.4,-9.46,662601,0.0,-0.64,-0.53,-0.05,1.72
丘奇&德怀特,CHD,2001-05-01,-9.45,-9.45,-9.45,-9.46,525399,0.0,-0.11,0.0,0.0,1.36
丘奇&德怀特,CHD,2001-05-02,-9.45,-9.45,-9.45,-9.47,680001,0.0,-0.21,0.0,0.0,1.76
丘奇&德怀特,CHD,2001-05-03,-9.44,-9.44,-9.44,-9.46,616200,0.0,-0.21,0.11,0.01,1.6
丘奇&德怀特,CHD,2001-05-04,-9.44,-9.44,-9.44,-9.46,252201,0.0,-0.21,0.0,0.0,0.65
丘奇&德怀特,CHD,2001-05-07,-9.43,-9.45,-9.43,-9.46,199200,0.0,-0.32,-0.11,-0.01,0.52
丘奇&德怀特,CHD,2001-05-08,-9.44,-9.39,-9.39,-9.45,471000,0.0,-0.63,0.63,0.06,1.22
丘奇&德怀特,CHD,2001-05-09,-9.4,-9.39,-9.38,-9.42,277401,0.0,-0.43,0.0,0.0,0.72
丘奇&德怀特,CHD,2001-05-10,-9.39,-9.39,-9.38,-9.39,114201,0.0,-0.11,0.0,0.0,0.3
丘奇&德怀特,CHD,2001-05-11,-9.39,-9.4,-9.38,-9.4,240801,0.0,-0.21,-0.11,-0.01,0.62
丘奇&德怀特,CHD,2001-05-14,-9.39,-9.39,-9.39,-9.4,192201,0.0,-0.11,0.11,0.01,0.5
丘奇&德怀特,CHD,2001-05-15,-9.38,-9.38,-9.38,-9.39,172200,0.0,-0.11,0.11,0.01,0.45
丘奇&德怀特,CHD,2001-05-16,-9.38,-9.33,-9.33,-9.38,304401,0.0,-0.53,0.53,0.05,0.79
丘奇&德怀特,CHD,2001-05-17,-9.34,-9.34,-9.32,-9.36,410199,0.0,-0.43,-0.11,-0.01,1.06
丘奇&德怀特,CHD,2001-05-18,-9.34,-9.34,-9.31,-9.35,167400,0.0,-0.43,0.0,0.0,0.43
丘奇&德怀特,CHD,2001-05-21,-9.34,-9.29,-9.29,-9.34,460599,0.0,-0.54,0.54,0.05,1.19
丘奇&德怀特,CHD,2001-05-22,-9.29,-9.31,-9.28,-9.31,336999,0.0,-0.32,-0.22,-0.02,0.87
丘奇&德怀特,CHD,2001-05-23,-9.32,-9.32,-9.27,-9.32,272601,0.0,-0.54,-0.11,-0.01,0.71
丘奇&德怀特,CHD,2001-05-24,-9.32,-9.33,-9.31,-9.34,545400,0.0,-0.32,-0.11,-0.01,1.41
丘奇&德怀特,CHD,2001-05-25,-9.34,-9.34,-9.33,-9.35,452799,0.0,-0.21,-0.11,-0.01,1.17
丘奇&德怀特,CHD,2001-05-29,-9.34,-9.35,-9.33,-9.36,488400,0.0,-0.32,-0.11,-0.01,1.27
丘奇&德怀特,CHD,2001-05-30,-9.34,-9.35,-9.33,-9.36,414999,0.0,-0.32,0.0,0.0,1.08
丘奇&德怀特,CHD,2001-05-31,-9.34,-9.35,-9.33,-9.36,209199,0.0,-0.32,0.0,0.0,0.54
丘奇&德怀特,CHD,2001-06-01,-9.36,-9.35,-9.35,-9.37,729000,0.0,-0.21,0.0,0.0,1.89
丘奇&德怀特,CHD,2001-06-04,-9.35,-9.32,-9.31,-9.35,997401,0.0,-0.43,0.32,0.03,2.58
丘奇&德怀特,CHD,2001-06-05,-9.3,-9.28,-9.27,-9.31,403800,0.0,-0.43,0.43,0.04,1.05
丘奇&德怀特,CHD,2001-06-06,-9.28,-9.31,-9.27,-9.31,194601,0.0,-0.43,-0.32,-0.03,0.5
丘奇&德怀特,CHD,2001-06-07,-9.31,-9.31,-9.28,-9.34,162201,0.0,-0.64,0.0,0.0,0.42
丘奇&德怀特,CHD,2001-06-08,-9.3,-9.32,-9.3,-9.33,68400,0.0,-0.32,-0.11,-0.01,0.18
丘奇&德怀特,CHD,2001-06-11,-9.32,-9.34,-9.32,-9.35,204801,0.0,-0.32,-0.21,-0.02,0.53
丘奇&德怀特,CHD,2001-06-12,-9.33,-9.34,-9.33,-9.36,138201,0.0,-0.32,0.0,0.0,0.36
丘奇&德怀特,CHD,2001-06-13,-9.35,-9.36,-9.35,-9.36,246399,0.0,-0.11,-0.21,-0.02,0.64
丘奇&德怀特,CHD,2001-06-14,-9.36,-9.37,-9.35,-9.37,139800,0.0,-0.21,-0.11,-0.01,0.36
丘奇&德怀特,CHD,2001-06-15,-9.39,-9.37,-9.35,-9.39,251799,0.0,-0.43,0.0,0.0,0.65
丘奇&德怀特,CHD,2001-06-18,-9.36,-9.39,-9.35,-9.39,93201,0.0,-0.43,-0.21,-0.02,0.24
丘奇&德怀特,CHD,2001-06-19,-9.39,-9.38,-9.38,-9.4,191601,0.0,-0.21,0.11,0.01,0.5
丘奇&德怀特,CHD,2001-06-20,-9.39,-9.37,-9.36,-9.39,161001,0.0,-0.32,0.11,0.01,0.42
丘奇&德怀特,CHD,2001-06-21,-9.37,-9.39,-9.35,-9.39,141600,0.0,-0.43,-0.21,-0.02,0.37
丘奇&德怀特,CHD,2001-06-22,-9.39,-9.39,-9.38,-9.4,170001,0.0,-0.21,0.0,0.0,0.44
丘奇&德怀特,CHD,2001-06-25,-9.39,-9.43,-9.39,-9.44,232401,0.0,-0.53,-0.43,-0.04,0.6
丘奇&德怀特,CHD,2001-06-26,-9.43,-9.43,-9.4,-9.45,261801,0.0,-0.53,0.0,0.0,0.68
丘奇&德怀特,CHD,2001-06-27,-9.42,-9.4,-9.39,-9.43,136200,0.0,-0.42,0.32,0.03,0.35
丘奇&德怀特,CHD,2001-06-28,-9.41,-9.39,-9.38,-9.41,298599,0.0,-0.32,0.11,0.01,0.77
丘奇&德怀特,CHD,2001-06-29,-9.39,-9.35,-9.33,-9.4,754200,0.0,-0.75,0.43,0.04,1.95
丘奇&德怀特,CHD,2001-07-02,-9.35,-9.4,-9.35,-9.4,299199,0.0,-0.53,-0.53,-0.05,0.78
丘奇&德怀特,CHD,2001-07-03,-9.4,-9.41,-9.39,-9.42,183600,0.0,-0.32,-0.11,-0.01,0.48
丘奇&德怀特,CHD,2001-07-05,-9.41,-9.39,-9.38,-9.41,438999,0.0,-0.32,0.21,0.02,1.14
丘奇&德怀特,CHD,2001-07-06,-9.4,-9.39,-9.39,-9.41,341199,0.0,-0.21,0.0,0.0,0.88
丘奇&德怀特,CHD,2001-07-09,-9.39,-9.42,-9.39,-9.43,182001,0.0,-0.43,-0.32,-0.03,0.47
丘奇&德怀特,CHD,2001-07-10,-9.42,-9.41,-9.38,-9.42,274401,0.0,-0.42,0.11,0.01,0.71
丘奇&德怀特,CHD,2001-07-11,-9.41,-9.42,-9.39,-9.43,162201,0.0,-0.43,-0.11,-0.01,0.42
丘奇&德怀特,CHD,2001-07-12,-9.42,-9.41,-9.41,-9.44,117600,0.0,-0.32,0.11,0.01,0.3
丘奇&德怀特,CHD,2001-07-13,-9.41,-9.43,-9.41,-9.44,182400,0.0,-0.32,-0.21,-0.02,0.47
丘奇&德怀特,CHD,2001-07-16,-9.43,-9.41,-9.39,-9.43,175200,0.0,-0.42,0.21,0.02,0.45
丘奇&德怀特,CHD,2001-07-17,-9.41,-9.41,-9.41,-9.43,269799,0.0,-0.21,0.0,0.0,0.7
丘奇&德怀特,CHD,2001-07-18,-9.41,-9.42,-9.41,-9.43,124800,0.0,-0.21,-0.11,-0.01,0.32
丘奇&德怀特,CHD,2001-07-19,-9.41,-9.4,-9.39,-9.41,156000,0.0,-0.21,0.21,0.02,0.4
丘奇&德怀特,CHD,2001-07-20,-9.4,-9.4,-9.39,-9.4,129801,0.0,-0.11,0.0,0.0,0.34
丘奇&德怀特,CHD,2001-07-23,-9.39,-9.42,-9.39,-9.44,114000,0.0,-0.53,-0.21,-0.02,0.3
丘奇&德怀特,CHD,2001-07-24,-9.43,-9.45,-9.42,-9.46,241599,0.0,-0.42,-0.32,-0.03,0.63
丘奇&德怀特,CHD,2001-07-25,-9.45,-9.42,-9.42,-9.45,170001,0.0,-0.32,0.32,0.03,0.44
丘奇&德怀特,CHD,2001-07-26,-9.42,-9.42,-9.42,-9.45,121800,0.0,-0.32,0.0,0.0,0.32
丘奇&德怀特,CHD,2001-07-27,-9.41,-9.44,-9.4,-9.44,186801,0.0,-0.42,-0.21,-0.02,0.48
丘奇&德怀特,CHD,2001-07-30,-9.45,-9.42,-9.42,-9.45,189801,0.0,-0.32,0.21,0.02,0.49
丘奇&德怀特,CHD,2001-07-31,-9.42,-9.36,-9.35,-9.42,404199,0.0,-0.74,0.64,0.06,1.05
丘奇&德怀特,CHD,2001-08-01,-9.37,-9.33,-9.33,-9.38,252999,0.0,-0.53,0.32,0.03,0.66
丘奇&德怀特,CHD,2001-08-02,-9.34,-9.32,-9.32,-9.34,177000,0.0,-0.21,0.11,0.01,0.46
丘奇&德怀特,CHD,2001-08-03,-9.34,-9.34,-9.32,-9.36,146400,0.0,-0.43,-0.21,-0.02,0.38
丘奇&德怀特,CHD,2001-08-06,-9.34,-9.35,-9.34,-9.36,120201,0.0,-0.21,-0.11,-0.01,0.31
丘奇&德怀特,CHD,2001-08-07,-9.35,-9.36,-9.35,-9.37,621000,0.0,-0.21,-0.11,-0.01,1.61
丘奇&德怀特,CHD,2001-08-08,-9.35,-9.36,-9.34,-9.36,186600,0.0,-0.21,0.0,0.0,0.48
丘奇&德怀特,CHD,2001-08-09,-9.36,-9.34,-9.34,-9.36,199800,0.0,-0.21,0.21,0.02,0.52
丘奇&德怀特,CHD,2001-08-10,-9.33,-9.3,-9.29,-9.33,211599,0.0,-0.43,0.43,0.04,0.55
