股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
特许通讯,CHTR,2011-01-26,45.65,46.75,47.1,45.09,1024565,0.0,9.56,122.41,25.73,0.89
特许通讯,CHTR,2011-01-27,46.8,46.59,47.01,46.59,19676,0.0,0.9,-0.34,-0.16,0.02
特许通讯,CHTR,2011-01-28,46.71,46.5,46.71,45.6,38058,0.0,2.38,-0.19,-0.09,0.03
特许通讯,CHTR,2011-01-31,46.73,46.46,47.05,44.8,80055,0.0,4.84,-0.09,-0.04,0.07
特许通讯,CHTR,2011-02-01,46.38,46.06,46.46,46.04,101031,0.0,0.9,-0.86,-0.4,0.09
特许通讯,CHTR,2011-02-02,46.27,46.04,46.46,46.01,52878,0.0,0.98,-0.04,-0.02,0.05
特许通讯,CHTR,2011-02-03,46.01,46.46,46.56,46.01,664929,0.0,1.19,0.91,0.42,0.58
特许通讯,CHTR,2011-02-04,46.58,46.45,46.58,46.31,151480,0.0,0.58,-0.02,-0.01,0.13
特许通讯,CHTR,2011-02-07,46.46,46.45,46.48,46.33,99741,0.0,0.32,0.0,0.0,0.09
特许通讯,CHTR,2011-02-08,46.73,48.54,48.89,46.4,744289,0.0,5.36,4.5,2.09,0.65
特许通讯,CHTR,2011-02-09,48.63,50.12,50.33,48.34,687862,0.0,4.1,3.26,1.58,0.6
特许通讯,CHTR,2011-02-10,50.23,51.0,51.17,49.96,284122,0.0,2.41,1.76,0.88,0.25
特许通讯,CHTR,2011-02-11,50.95,51.99,52.5,50.95,837869,0.0,3.04,1.94,0.99,0.73
特许通讯,CHTR,2011-02-14,51.9,52.38,52.53,51.75,638186,0.0,1.5,0.75,0.39,0.56
特许通讯,CHTR,2011-02-15,52.05,52.1,52.4,51.96,160381,0.0,0.84,-0.53,-0.28,0.14
特许通讯,CHTR,2011-02-16,52.02,51.24,52.21,50.83,266136,0.0,2.65,-1.65,-0.86,0.23
特许通讯,CHTR,2011-02-17,50.95,51.52,51.78,50.94,62728,0.0,1.64,0.55,0.28,0.05
特许通讯,CHTR,2011-02-18,51.58,51.37,51.71,51.0,40604,0.0,1.38,-0.29,-0.15,0.04
特许通讯,CHTR,2011-02-22,51.17,50.54,51.68,50.48,61026,0.0,2.34,-1.62,-0.83,0.05
特许通讯,CHTR,2011-02-23,50.82,49.75,51.81,49.52,86121,0.0,4.53,-1.56,-0.79,0.08
特许通讯,CHTR,2011-02-24,49.93,49.78,50.04,49.51,30748,0.0,1.07,0.06,0.03,0.03
特许通讯,CHTR,2011-02-25,49.9,50.33,50.44,49.4,597598,0.0,2.09,1.1,0.55,0.52
特许通讯,CHTR,2011-02-28,50.85,50.63,51.53,50.61,185375,0.0,1.83,0.6,0.3,0.16
特许通讯,CHTR,2011-03-01,50.39,51.91,53.48,50.39,249565,0.0,6.1,2.53,1.28,0.22
特许通讯,CHTR,2011-03-02,52.67,54.0,54.97,51.39,333211,0.0,6.9,4.03,2.09,0.29
特许通讯,CHTR,2011-03-03,53.55,52.93,54.44,52.62,203798,0.0,3.37,-1.98,-1.07,0.18
特许通讯,CHTR,2011-03-04,52.37,53.09,53.32,52.36,134839,0.0,1.81,0.3,0.16,0.12
特许通讯,CHTR,2011-03-07,52.56,53.34,53.93,52.23,170509,0.0,3.2,0.47,0.25,0.15
特许通讯,CHTR,2011-03-08,53.65,53.26,53.84,53.08,66124,0.0,1.42,-0.15,-0.08,0.06
特许通讯,CHTR,2011-03-09,53.26,53.1,53.6,52.95,144178,0.0,1.22,-0.3,-0.16,0.13
特许通讯,CHTR,2011-03-10,52.63,52.52,52.91,52.15,207460,0.0,1.43,-1.09,-0.58,0.18
特许通讯,CHTR,2011-03-11,51.16,52.89,53.1,51.15,57986,0.0,3.71,0.7,0.37,0.05
特许通讯,CHTR,2011-03-14,52.78,51.46,52.78,51.42,95485,0.0,2.57,-2.7,-1.43,0.08
特许通讯,CHTR,2011-03-15,50.64,50.39,51.04,50.03,76866,0.0,1.96,-2.08,-1.07,0.07
特许通讯,CHTR,2011-03-16,50.13,50.86,51.62,50.13,285349,0.0,2.96,0.93,0.47,0.25
特许通讯,CHTR,2011-03-17,50.92,52.05,52.16,50.92,62471,0.0,2.44,2.34,1.19,0.05
特许通讯,CHTR,2011-03-18,52.06,53.51,53.75,52.06,411379,0.0,3.25,2.8,1.46,0.36
特许通讯,CHTR,2011-03-21,53.55,54.07,54.35,53.23,80930,0.0,2.09,1.05,0.56,0.07
特许通讯,CHTR,2011-03-22,54.88,53.84,55.22,53.72,158232,0.0,2.77,-0.43,-0.23,0.14
特许通讯,CHTR,2011-03-23,54.12,54.02,54.58,53.61,67403,0.0,1.8,0.33,0.18,0.06
特许通讯,CHTR,2011-03-24,55.3,55.18,55.65,53.89,411602,0.0,3.26,2.15,1.16,0.36
特许通讯,CHTR,2011-03-25,55.02,55.1,55.75,54.69,572477,0.0,1.92,-0.14,-0.08,0.5
特许通讯,CHTR,2011-03-28,54.21,54.44,55.33,54.21,246693,0.0,2.03,-1.2,-0.66,0.22
特许通讯,CHTR,2011-03-29,54.75,54.39,54.75,54.08,241139,0.0,1.23,-0.09,-0.05,0.21
特许通讯,CHTR,2011-03-30,54.72,54.75,55.1,54.41,236980,0.0,1.27,0.66,0.36,0.21
特许通讯,CHTR,2011-03-31,55.04,56.01,56.07,54.92,340251,0.0,2.1,2.3,1.26,0.31
特许通讯,CHTR,2011-04-01,56.43,57.15,57.4,56.36,275231,0.0,1.86,2.04,1.14,0.25
特许通讯,CHTR,2011-04-04,57.35,57.51,57.59,57.05,125796,0.0,0.94,0.63,0.36,0.11
特许通讯,CHTR,2011-04-05,57.69,58.5,58.65,57.47,177972,0.0,2.05,1.72,0.99,0.16
特许通讯,CHTR,2011-04-06,59.78,61.38,61.46,59.71,954631,0.0,2.99,4.92,2.88,0.87
特许通讯,CHTR,2011-04-07,61.31,61.29,61.44,60.29,409369,0.0,1.87,-0.15,-0.09,0.37
特许通讯,CHTR,2011-04-08,61.31,60.63,61.36,60.0,135613,0.0,2.22,-1.08,-0.66,0.12
特许通讯,CHTR,2011-04-11,59.47,60.01,60.41,58.04,233363,0.0,3.91,-1.02,-0.62,0.21
特许通讯,CHTR,2011-04-12,59.55,60.56,60.62,58.92,228036,0.0,2.83,0.92,0.55,0.21
特许通讯,CHTR,2011-04-13,60.8,60.7,61.25,60.45,71925,0.0,1.32,0.23,0.14,0.07
特许通讯,CHTR,2011-04-14,59.96,61.15,61.23,59.96,251474,0.0,2.09,0.74,0.45,0.23
特许通讯,CHTR,2011-04-15,61.03,61.17,61.48,60.93,206186,0.0,0.9,0.03,0.02,0.19
特许通讯,CHTR,2011-04-18,60.82,60.55,61.73,60.28,132959,0.0,2.37,-1.01,-0.62,0.12
特许通讯,CHTR,2011-04-19,60.88,60.58,61.11,60.04,197657,0.0,1.77,0.05,0.03,0.18
