股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
信诺,CI,2000-01-03,10.89,10.27,10.95,10.06,2100600,0.0,8.11,-6.38,-0.7,1.24
信诺,CI,2000-01-04,9.41,10.16,10.24,9.08,2074800,0.0,11.3,-1.07,-0.11,1.22
信诺,CI,2000-01-05,10.1,10.06,10.66,10.06,1571700,0.0,5.91,-0.98,-0.1,0.93
信诺,CI,2000-01-06,10.06,11.31,12.04,10.06,2020800,0.0,19.68,12.43,1.25,1.19
信诺,CI,2000-01-07,12.12,12.49,12.58,11.77,1745100,0.0,7.16,10.43,1.18,1.03
信诺,CI,2000-01-10,12.43,12.33,12.66,12.24,2413200,0.0,3.36,-1.28,-0.16,1.42
信诺,CI,2000-01-11,12.12,11.6,12.12,11.56,1694400,0.0,4.54,-5.92,-0.73,1.0
信诺,CI,2000-01-12,11.49,11.64,11.64,11.41,1873500,0.0,1.98,0.34,0.04,1.1
信诺,CI,2000-01-13,11.45,12.16,12.41,11.37,1854000,0.0,8.93,4.47,0.52,1.09
信诺,CI,2000-01-14,11.66,10.99,11.93,10.83,1870200,0.0,9.05,-9.62,-1.17,1.1
信诺,CI,2000-01-18,10.37,10.45,10.87,10.12,1783200,0.0,6.82,-4.91,-0.54,1.05
信诺,CI,2000-01-19,10.54,9.93,10.87,9.72,2132400,0.0,11.0,-4.98,-0.52,1.26
信诺,CI,2000-01-20,9.99,9.43,10.16,9.33,1742400,0.0,8.36,-5.04,-0.5,1.03
信诺,CI,2000-01-21,9.49,8.97,9.49,8.52,2505900,0.0,10.29,-4.88,-0.46,1.48
信诺,CI,2000-01-24,8.95,8.1,8.95,8.04,1635900,0.0,10.14,-9.7,-0.87,0.96
信诺,CI,2000-01-25,8.37,7.95,8.45,7.87,1566900,0.0,7.16,-1.85,-0.15,0.92
信诺,CI,2000-01-26,8.54,8.37,8.79,8.08,2630700,0.0,8.93,5.28,0.42,1.55
信诺,CI,2000-01-27,8.45,8.27,8.7,7.95,1492500,0.0,8.96,-1.19,-0.1,0.88
信诺,CI,2000-01-28,8.12,8.31,8.58,8.08,2556900,0.0,6.05,0.48,0.04,1.51
信诺,CI,2000-01-31,8.12,8.04,8.29,7.56,1299300,0.0,8.78,-3.25,-0.27,0.77
信诺,CI,2000-02-01,8.12,8.08,8.41,8.06,1232700,0.0,4.35,0.5,0.04,0.73
信诺,CI,2000-02-02,8.45,8.7,8.87,8.33,3348300,0.0,6.68,7.67,0.62,1.99
信诺,CI,2000-02-03,8.79,9.06,9.31,8.49,3167700,0.0,9.43,4.14,0.36,1.88
信诺,CI,2000-02-04,9.31,9.41,9.47,9.2,2310000,0.0,2.98,3.86,0.35,1.37
信诺,CI,2000-02-07,9.54,9.54,9.58,9.14,2150700,0.0,4.68,1.38,0.13,1.28
信诺,CI,2000-02-08,8.7,9.04,9.37,8.33,3476100,0.0,10.9,-5.24,-0.5,2.06
信诺,CI,2000-02-09,9.45,9.79,9.95,8.99,5376000,0.0,10.62,8.3,0.75,3.19
信诺,CI,2000-02-10,10.12,10.41,10.54,10.06,3902700,0.0,4.9,6.33,0.62,2.32
信诺,CI,2000-02-11,10.7,10.74,10.91,10.62,3105000,0.0,2.79,3.17,0.33,1.84
信诺,CI,2000-02-14,10.83,10.77,10.83,10.54,1366500,0.0,2.7,0.28,0.03,0.81
信诺,CI,2000-02-15,10.79,10.56,10.81,10.29,3454800,0.0,4.83,-1.95,-0.21,2.05
信诺,CI,2000-02-16,10.49,10.39,10.77,10.37,3724200,0.0,3.79,-1.61,-0.17,2.21
信诺,CI,2000-02-17,10.49,10.62,10.74,10.33,2419200,0.0,3.95,2.21,0.23,1.44
信诺,CI,2000-02-18,10.12,9.79,10.45,9.74,2945700,0.0,6.69,-7.82,-0.83,1.75
信诺,CI,2000-02-22,9.79,9.39,9.95,9.2,2637300,0.0,7.66,-4.09,-0.4,1.56
信诺,CI,2000-02-23,9.29,9.12,9.62,8.91,3466800,0.0,7.56,-2.88,-0.27,2.06
信诺,CI,2000-02-24,9.12,8.45,9.12,8.45,2924400,0.0,7.35,-7.35,-0.67,1.73
信诺,CI,2000-02-25,8.54,8.12,8.95,8.04,2479800,0.0,10.77,-3.91,-0.33,1.47
信诺,CI,2000-02-28,8.12,8.74,8.79,8.12,3046800,0.0,8.25,7.64,0.62,1.81
信诺,CI,2000-02-29,8.54,8.72,9.08,8.49,2889300,0.0,6.75,-0.23,-0.02,1.71
信诺,CI,2000-03-01,8.81,8.29,9.02,8.08,6096600,0.0,10.78,-4.93,-0.43,3.62
信诺,CI,2000-03-02,8.2,7.47,8.22,7.33,2805600,0.0,10.74,-9.89,-0.82,1.66
信诺,CI,2000-03-03,7.56,7.87,8.14,7.56,2576700,0.0,7.76,5.35,0.4,1.53
信诺,CI,2000-03-06,7.79,7.02,7.81,6.83,1979100,0.0,12.45,-10.8,-0.85,1.17
信诺,CI,2000-03-07,6.45,5.97,6.45,5.6,3075600,0.0,12.11,-14.96,-1.05,1.82
信诺,CI,2000-03-08,5.87,5.68,6.2,5.58,2286900,0.0,10.39,-4.86,-0.29,1.36
信诺,CI,2000-03-09,5.68,5.56,5.72,5.33,2711100,0.0,6.87,-2.11,-0.12,1.61
信诺,CI,2000-03-10,5.64,5.47,5.76,5.31,2064300,0.0,8.09,-1.62,-0.09,1.22
信诺,CI,2000-03-13,5.43,4.62,5.43,4.58,2551800,0.0,15.54,-15.54,-0.85,1.51
信诺,CI,2000-03-14,4.7,4.68,5.31,4.64,2446500,0.0,14.5,1.3,0.06,1.45
信诺,CI,2000-03-15,4.7,5.91,6.14,4.7,3483300,0.0,30.77,26.28,1.23,2.07
信诺,CI,2000-03-16,5.91,6.22,6.56,5.79,5724300,0.0,13.03,5.25,0.31,3.4
信诺,CI,2000-03-17,5.72,5.24,5.95,4.47,7123200,0.0,23.79,-15.76,-0.98,4.23
信诺,CI,2000-03-20,5.18,5.89,6.04,5.18,3840600,0.0,16.41,12.4,0.65,2.28
信诺,CI,2000-03-21,5.93,7.62,7.62,5.93,4388100,0.0,28.69,29.37,1.73,2.6
信诺,CI,2000-03-22,7.51,8.04,8.51,7.26,3964200,0.0,16.4,5.51,0.42,2.35
信诺,CI,2000-03-23,8.06,8.6,9.33,7.89,2940600,0.0,17.91,6.97,0.56,1.74
信诺,CI,2000-03-24,8.68,9.64,9.89,8.56,2956500,0.0,15.47,12.09,1.04,1.75
信诺,CI,2000-03-27,9.64,9.45,9.89,9.22,2955600,0.0,6.95,-1.97,-0.19,1.75
信诺,CI,2000-03-28,9.22,8.49,9.31,8.49,3888900,0.0,8.68,-10.16,-0.96,2.31
信诺,CI,2000-03-29,8.49,8.93,9.26,8.43,2718300,0.0,9.78,5.18,0.44,1.61
信诺,CI,2000-03-30,9.01,10.2,10.56,8.85,2855100,0.0,19.15,14.22,1.27,1.69
信诺,CI,2000-03-31,9.89,9.47,10.68,9.47,2646900,0.0,11.86,-7.16,-0.73,1.57
信诺,CI,2000-04-03,9.72,10.89,11.1,9.72,1932600,0.0,14.57,14.99,1.42,1.15
信诺,CI,2000-04-04,10.89,10.22,10.89,9.56,3038100,0.0,12.21,-6.15,-0.67,1.8
信诺,CI,2000-04-05,10.22,10.62,10.87,10.2,2100000,0.0,6.56,3.91,0.4,1.25
信诺,CI,2000-04-06,10.56,10.83,11.31,10.35,2259900,0.0,9.04,1.98,0.21,1.34
信诺,CI,2000-04-07,10.74,9.95,11.06,9.89,1596600,0.0,10.8,-8.13,-0.88,0.95
信诺,CI,2000-04-10,10.01,11.16,11.6,9.99,2381100,0.0,16.18,12.16,1.21,1.41
信诺,CI,2000-04-11,11.89,12.39,13.2,11.74,3511500,0.0,13.08,11.02,1.23,2.08
信诺,CI,2000-04-12,12.22,12.47,13.06,12.1,1977300,0.0,7.75,0.65,0.08,1.17
信诺,CI,2000-04-13,12.47,12.49,12.81,12.08,2389800,0.0,5.85,0.16,0.02,1.42
信诺,CI,2000-04-14,12.33,11.12,12.33,10.87,2459100,0.0,11.69,-10.97,-1.37,1.46
信诺,CI,2000-04-17,11.2,11.2,11.7,10.81,2510700,0.0,8.0,0.72,0.08,1.49
信诺,CI,2000-04-18,11.2,11.33,11.47,10.89,1681800,0.0,5.18,1.16,0.13,1.0
信诺,CI,2000-04-19,10.56,10.72,11.14,10.14,1948500,0.0,8.83,-5.38,-0.61,1.16
信诺,CI,2000-04-20,10.47,11.68,12.01,10.47,2238600,0.0,14.37,8.96,0.96,1.33
信诺,CI,2000-04-24,11.64,12.14,12.14,11.31,2181000,0.0,7.11,3.94,0.46,1.29
信诺,CI,2000-04-25,12.01,11.54,12.04,11.22,1656600,0.0,6.75,-4.94,-0.6,0.98
信诺,CI,2000-04-26,11.56,11.37,11.72,10.97,1447500,0.0,6.5,-1.47,-0.17,0.86
信诺,CI,2000-04-27,11.29,10.72,11.41,10.39,1981500,0.0,8.97,-5.72,-0.65,1.18
信诺,CI,2000-04-28,10.22,10.81,10.81,9.76,2169000,0.0,9.79,0.84,0.09,1.29
信诺,CI,2000-05-01,10.72,10.54,10.72,10.33,2267400,0.0,3.61,-2.5,-0.27,1.35
信诺,CI,2000-05-02,10.06,9.22,10.08,9.18,4966500,0.0,8.54,-12.52,-1.32,2.95
信诺,CI,2000-05-03,8.89,8.93,9.72,8.68,3916500,0.0,11.28,-3.15,-0.29,2.32
信诺,CI,2000-05-04,9.56,9.81,10.08,9.31,2899800,0.0,8.62,9.85,0.88,1.72
信诺,CI,2000-05-05,9.76,9.54,10.06,9.41,2554800,0.0,6.63,-2.75,-0.27,1.52
信诺,CI,2000-05-08,9.62,10.49,10.66,9.62,2172300,0.0,10.9,9.96,0.95,1.29
信诺,CI,2000-05-09,10.31,10.14,10.89,10.06,2473500,0.0,7.91,-3.34,-0.35,1.47
信诺,CI,2000-05-10,10.14,9.56,10.14,9.39,1838400,0.0,7.4,-5.72,-0.58,1.09
