股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
联信银行,CMA,2000-01-03,5.72,4.48,5.72,4.05,1102400,0.0,27.15,-27.15,-1.67,0.7
联信银行,CMA,2000-01-04,4.11,2.63,4.11,2.44,665700,0.0,37.28,-41.29,-1.85,0.43
联信银行,CMA,2000-01-05,2.13,2.5,3.0,2.13,774000,0.0,33.08,-4.94,-0.13,0.49
联信银行,CMA,2000-01-06,2.5,3.74,3.99,2.5,573100,0.0,59.6,49.6,1.24,0.37
联信银行,CMA,2000-01-07,3.86,3.68,3.99,3.37,490800,0.0,16.58,-1.6,-0.06,0.31
联信银行,CMA,2000-01-10,2.26,2.26,3.49,1.95,592100,0.0,41.85,-38.59,-1.42,0.38
联信银行,CMA,2000-01-11,1.76,1.15,1.76,0.96,646700,0.0,35.4,-49.12,-1.11,0.41
联信银行,CMA,2000-01-12,1.15,1.89,2.01,1.08,572700,0.0,80.87,64.35,0.74,0.37
联信银行,CMA,2000-01-13,2.01,2.32,2.75,1.95,1152500,0.0,42.33,22.75,0.43,0.74
联信银行,CMA,2000-01-14,3.25,3.56,3.86,3.06,698400,0.0,34.48,53.45,1.24,0.45
联信银行,CMA,2000-01-18,3.49,2.57,3.49,2.01,462200,0.0,41.57,-27.81,-0.99,0.3
联信银行,CMA,2000-01-19,2.75,2.69,3.62,2.63,986900,0.0,38.52,4.67,0.12,0.63
联信银行,CMA,2000-01-20,2.69,0.84,2.69,0.84,734800,0.0,68.77,-68.77,-1.85,0.47
联信银行,CMA,2000-01-21,0.84,0.34,0.9,0.1,646900,0.0,95.24,-59.52,-0.5,0.41
联信银行,CMA,2000-01-24,0.59,-0.03,0.84,-0.4,491400,0.0,364.71,-108.82,-0.37,0.31
联信银行,CMA,2000-01-25,-0.27,-0.09,0.53,-0.4,513900,0.0,-3100.0,-200.0,-0.06,0.33
联信银行,CMA,2000-01-26,-0.46,1.7,1.89,-0.52,501700,0.0,-2677.78,1988.89,1.79,0.32
联信银行,CMA,2000-01-27,1.83,2.38,2.5,1.64,454100,0.0,50.59,40.0,0.68,0.29
联信银行,CMA,2000-01-28,2.38,2.01,2.57,1.64,1044000,0.0,39.08,-15.55,-0.37,0.67
联信银行,CMA,2000-01-31,2.38,3.68,3.93,2.26,542400,0.0,83.08,83.08,1.67,0.35
联信银行,CMA,2000-02-01,3.74,3.56,3.99,3.37,713300,0.0,16.85,-3.26,-0.12,0.46
联信银行,CMA,2000-02-02,3.56,3.31,3.62,3.06,673800,0.0,15.73,-7.02,-0.25,0.43
联信银行,CMA,2000-02-03,3.25,3.49,3.56,2.75,838100,0.0,24.47,5.44,0.18,0.54
联信银行,CMA,2000-02-04,3.25,2.81,3.74,2.81,698000,0.0,26.65,-19.48,-0.68,0.45
联信银行,CMA,2000-02-07,2.81,1.95,2.88,1.76,397800,0.0,39.86,-30.6,-0.86,0.25
联信银行,CMA,2000-02-08,2.2,2.26,2.88,2.13,344100,0.0,38.46,15.9,0.31,0.22
联信银行,CMA,2000-02-09,2.13,1.45,2.26,1.39,409300,0.0,38.5,-35.84,-0.81,0.26
联信银行,CMA,2000-02-10,1.27,-0.15,1.33,-0.46,531800,0.0,123.45,-110.34,-1.6,0.34
联信银行,CMA,2000-02-11,-0.21,-0.09,0.96,-0.58,660500,0.0,-1026.67,40.0,0.06,0.42
联信银行,CMA,2000-02-14,-0.09,-0.64,0.28,-0.95,390800,0.0,-1366.67,-611.11,-0.55,0.25
联信银行,CMA,2000-02-15,-0.58,0.16,0.47,-1.02,414700,0.0,-232.81,125.0,0.8,0.26
联信银行,CMA,2000-02-16,-0.09,0.1,0.47,-0.77,520100,0.0,775.0,-37.5,-0.06,0.33
联信银行,CMA,2000-02-17,0.41,-0.71,0.78,-1.02,490800,0.0,1800.0,-810.0,-0.81,0.31
联信银行,CMA,2000-02-18,-0.95,-2.44,-0.95,-3.12,946500,0.0,-305.63,-243.66,-1.73,0.6
联信银行,CMA,2000-02-22,-2.44,-2.68,-1.94,-3.55,1064300,0.0,-65.98,-9.84,-0.24,0.68
联信银行,CMA,2000-02-24,-3.24,-3.67,-3.24,-4.66,801000,0.0,-52.99,-36.94,-0.99,0.51
联信银行,CMA,2000-02-25,-3.92,-5.09,-2.68,-5.4,1301200,0.0,-74.11,-38.69,-1.42,0.83
联信银行,CMA,2000-02-28,-4.17,-2.81,-2.44,-4.29,997700,0.0,-36.35,44.79,2.28,0.64
联信银行,CMA,2000-02-29,-2.81,-3.61,-2.81,-4.23,461200,0.0,-50.53,-28.47,-0.8,0.29
联信银行,CMA,2000-03-01,-3.86,-4.17,-3.73,-4.72,483600,0.0,-27.42,-15.51,-0.56,0.31
联信银行,CMA,2000-03-02,-4.54,-4.6,-4.41,-5.46,457200,0.0,-25.18,-10.31,-0.43,0.29
联信银行,CMA,2000-03-03,-3.61,-3.73,-3.55,-4.72,633700,0.0,-25.43,18.91,0.87,0.4
联信银行,CMA,2000-03-06,-4.04,-4.23,-3.73,-4.54,351700,0.0,-21.72,-13.4,-0.5,0.22
联信银行,CMA,2000-03-07,-4.29,-5.65,-4.29,-6.08,412500,0.0,-42.32,-33.57,-1.42,0.26
联信银行,CMA,2000-03-08,-5.4,-6.57,-5.4,-6.95,605000,0.0,-27.43,-16.28,-0.92,0.39
联信银行,CMA,2000-03-09,-6.64,-6.27,-6.02,-6.64,429500,0.0,-9.44,4.57,0.3,0.27
联信银行,CMA,2000-03-10,-6.08,-6.33,-5.83,-6.39,347300,0.0,-8.93,-0.96,-0.06,0.22
联信银行,CMA,2000-03-13,-6.21,-5.53,-5.15,-6.65,426100,0.0,-23.7,12.64,0.8,0.27
联信银行,CMA,2000-03-14,-5.78,-5.34,-4.4,-6.28,773800,0.0,-34.0,3.44,0.19,0.49
联信银行,CMA,2000-03-15,-5.4,-2.59,-2.59,-5.4,1151200,0.0,-52.62,51.5,2.75,0.74
联信银行,CMA,2000-03-16,0.16,1.85,3.41,-0.21,1825200,0.0,-139.77,171.43,4.44,1.17
联信银行,CMA,2000-03-17,1.97,1.91,3.03,1.72,785500,0.0,70.81,3.24,0.06,0.5
联信银行,CMA,2000-03-20,1.66,-0.03,1.66,-0.21,438400,0.0,97.91,-101.57,-1.94,0.28
联信银行,CMA,2000-03-21,0.16,2.54,3.03,0.16,760700,0.0,-9566.67,8566.67,2.57,0.49
联信银行,CMA,2000-03-22,2.54,3.41,3.53,2.16,696300,0.0,53.94,34.25,0.87,0.44
