股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
康卡斯特,CMCSA,2000-01-03,6.85,6.29,7.04,5.77,1166800,0.0,19.07,-5.56,-0.37,0.03
康卡斯特,CMCSA,2000-01-04,5.91,5.12,6.41,4.71,531800,0.0,27.03,-18.6,-1.17,0.01
康卡斯特,CMCSA,2000-01-05,4.96,4.75,5.04,4.33,414400,0.0,13.87,-7.23,-0.37,0.01
康卡斯特,CMCSA,2000-01-06,4.62,5.29,5.75,4.5,551600,0.0,26.32,11.37,0.54,0.01
康卡斯特,CMCSA,2000-01-07,5.33,4.83,5.33,4.58,369300,0.0,14.18,-8.7,-0.46,0.01
康卡斯特,CMCSA,2000-01-10,5.94,6.64,7.12,5.66,1170200,0.0,30.23,37.47,1.81,0.03
康卡斯特,CMCSA,2000-01-11,6.87,5.19,6.96,5.04,1057000,0.0,28.92,-21.84,-1.45,0.03
康卡斯特,CMCSA,2000-01-12,5.33,5.77,6.33,5.0,765000,0.0,25.63,11.18,0.58,0.02
康卡斯特,CMCSA,2000-01-13,6.02,6.62,6.69,5.98,361800,0.0,12.31,14.73,0.85,0.01
康卡斯特,CMCSA,2000-01-14,6.89,6.98,7.25,6.71,492900,0.0,8.16,5.44,0.36,0.01
康卡斯特,CMCSA,2000-01-18,6.75,6.87,7.16,6.35,856400,0.0,11.6,-1.58,-0.11,0.02
康卡斯特,CMCSA,2000-01-19,7.04,7.85,8.04,7.0,911600,0.0,15.14,14.26,0.98,0.02
康卡斯特,CMCSA,2000-01-20,8.05,7.33,8.16,7.16,420600,0.0,12.74,-6.62,-0.52,0.01
康卡斯特,CMCSA,2000-01-21,7.5,7.25,7.62,6.98,407700,0.0,8.73,-1.09,-0.08,0.01
康卡斯特,CMCSA,2000-01-24,7.37,6.87,7.52,6.77,303800,0.0,10.34,-5.24,-0.38,0.01
康卡斯特,CMCSA,2000-01-25,6.62,5.94,6.71,5.58,374400,0.0,16.45,-13.54,-0.93,0.01
康卡斯特,CMCSA,2000-01-26,5.89,6.23,6.37,5.66,262500,0.0,11.95,4.88,0.29,0.01
康卡斯特,CMCSA,2000-01-27,6.33,6.23,7.28,6.14,244500,0.0,18.3,0.0,0.0,0.01
康卡斯特,CMCSA,2000-01-28,6.14,5.04,6.14,5.0,269200,0.0,18.3,-19.1,-1.19,0.01
康卡斯特,CMCSA,2000-01-31,5.22,5.08,5.23,4.29,450900,0.0,18.65,0.79,0.04,0.01
