股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
CMS能源,CMS,2000-01-03,2.96,1.52,3.02,1.52,1618100,0.0,46.73,-52.65,-1.69,1.39
CMS能源,CMS,2000-01-04,1.58,1.89,2.02,1.58,460000,0.0,28.95,24.34,0.37,0.4
CMS能源,CMS,2000-01-05,1.83,2.71,3.02,1.71,1843600,0.0,69.31,43.39,0.82,1.59
CMS能源,CMS,2000-01-06,2.71,2.46,3.14,2.14,370200,0.0,36.9,-9.23,-0.25,0.32
CMS能源,CMS,2000-01-07,2.89,3.14,3.27,2.64,532000,0.0,25.61,27.64,0.68,0.46
CMS能源,CMS,2000-01-10,2.96,2.71,3.33,2.46,262200,0.0,27.71,-13.69,-0.43,0.23
CMS能源,CMS,2000-01-11,2.58,3.52,3.58,2.58,1471700,0.0,36.9,29.89,0.81,1.27
CMS能源,CMS,2000-01-12,3.33,3.33,3.52,3.08,1522800,0.0,12.5,-5.4,-0.19,1.31
CMS能源,CMS,2000-01-13,3.58,3.64,4.02,3.33,494200,0.0,20.72,9.31,0.31,0.43
CMS能源,CMS,2000-01-14,3.64,3.21,3.64,2.89,280500,0.0,20.6,-11.81,-0.43,0.24
CMS能源,CMS,2000-01-18,3.02,2.58,3.02,2.46,423900,0.0,17.45,-19.63,-0.63,0.37
CMS能源,CMS,2000-01-19,2.64,2.89,3.14,2.52,513600,0.0,24.03,12.02,0.31,0.44
CMS能源,CMS,2000-01-20,2.96,2.96,3.14,2.33,392300,0.0,28.03,2.42,0.07,0.34
CMS能源,CMS,2000-01-21,3.02,3.39,3.64,2.64,571400,0.0,33.78,14.53,0.43,0.49
CMS能源,CMS,2000-01-24,3.52,3.27,4.08,3.27,661400,0.0,23.89,-3.54,-0.12,0.57
CMS能源,CMS,2000-01-25,3.33,2.71,3.33,2.52,717000,0.0,24.77,-17.13,-0.56,0.62
CMS能源,CMS,2000-01-26,2.89,2.46,2.89,2.02,1108900,0.0,32.1,-9.23,-0.25,0.96
CMS能源,CMS,2000-01-27,2.71,2.02,2.71,1.96,573600,0.0,30.49,-17.89,-0.44,0.49
CMS能源,CMS,2000-01-28,1.77,1.52,2.27,1.46,516700,0.0,40.1,-24.75,-0.5,0.45
CMS能源,CMS,2000-01-31,1.77,2.02,2.39,1.33,983400,0.0,69.74,32.89,0.5,0.85
CMS能源,CMS,2000-02-01,-1.86,-4.48,-1.36,-5.23,4029500,0.0,191.58,-321.78,-6.5,3.47
CMS能源,CMS,2000-02-02,-4.98,-6.61,-4.98,-7.67,6260500,0.0,-60.04,-47.54,-2.13,5.4
CMS能源,CMS,2000-02-03,-6.79,-6.04,-5.67,-6.92,5046300,0.0,-18.91,8.62,0.57,4.35
CMS能源,CMS,2000-02-04,-5.75,-7.25,-5.62,-7.5,3316600,0.0,-31.13,-20.03,-1.21,2.86
CMS能源,CMS,2000-02-07,-7.25,-7.31,-7.06,-7.56,702700,0.0,-6.9,-0.83,-0.06,0.61
CMS能源,CMS,2000-02-08,-7.25,-7.31,-6.93,-7.37,811100,0.0,-6.02,0.0,0.0,0.7
CMS能源,CMS,2000-02-09,-7.31,-7.68,-7.25,-7.81,1283100,0.0,-7.66,-5.06,-0.37,1.11
CMS能源,CMS,2000-02-10,-7.68,-8.87,-7.68,-9.56,2793600,0.0,-24.48,-15.49,-1.19,2.41
CMS能源,CMS,2000-02-11,-8.81,-9.0,-8.81,-9.56,1121900,0.0,-8.46,-1.47,-0.13,0.97
CMS能源,CMS,2000-02-14,-8.87,-8.43,-8.25,-9.0,716900,0.0,-8.33,6.33,0.57,0.62
CMS能源,CMS,2000-02-15,-8.12,-8.25,-7.87,-8.37,749700,0.0,-5.93,2.14,0.18,0.65
CMS能源,CMS,2000-02-16,-8.5,-8.93,-8.31,-9.12,920000,0.0,-9.82,-8.24,-0.68,0.79
CMS能源,CMS,2000-02-17,-8.93,-9.25,-8.93,-9.62,1282300,0.0,-7.73,-3.58,-0.32,1.11
CMS能源,CMS,2000-02-18,-9.31,-9.31,-9.12,-9.68,911200,0.0,-6.05,-0.65,-0.06,0.79
CMS能源,CMS,2000-02-22,-9.31,-9.37,-9.25,-9.68,688400,0.0,-4.62,-0.64,-0.06,0.59
CMS能源,CMS,2000-02-23,-9.18,-10.06,-9.18,-10.12,1081600,0.0,-10.03,-7.36,-0.69,0.93
CMS能源,CMS,2000-02-24,-9.93,-10.62,-9.93,-10.75,701700,0.0,-8.15,-5.57,-0.56,0.6
CMS能源,CMS,2000-02-25,-10.62,-11.18,-10.62,-11.43,761400,0.0,-7.63,-5.27,-0.56,0.66
CMS能源,CMS,2000-02-28,-10.93,-11.12,-10.93,-11.56,819700,0.0,-5.64,0.54,0.06,0.71
CMS能源,CMS,2000-02-29,-11.0,-10.87,-10.68,-11.06,916600,0.0,-3.42,2.25,0.25,0.83
CMS能源,CMS,2000-03-01,-10.87,-10.68,-10.62,-10.93,490900,0.0,-2.85,1.75,0.19,0.45
CMS能源,CMS,2000-03-02,-10.68,-10.75,-10.37,-10.75,1123900,0.0,-3.56,-0.66,-0.07,1.02
