股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
康西哥,CNC,2003-10-16,2.14,2.16,2.16,2.13,121000,0.0,0.0,0.0,0.0,0.02
康西哥,CNC,2003-10-17,2.17,2.19,2.19,2.16,230200,0.0,1.39,1.39,0.03,0.04
康西哥,CNC,2003-10-20,2.19,2.16,2.19,2.16,147000,0.0,1.37,-1.37,-0.03,0.03
康西哥,CNC,2003-10-21,2.16,2.16,2.18,2.13,127600,0.0,2.31,0.0,0.0,0.02
康西哥,CNC,2003-10-22,2.16,2.12,2.16,2.11,122800,0.0,2.31,-1.85,-0.04,0.02
康西哥,CNC,2003-10-23,2.13,2.12,2.14,2.12,86000,0.0,0.94,0.0,0.0,0.02
康西哥,CNC,2003-10-24,2.11,2.12,2.13,2.06,167200,0.0,3.3,0.0,0.0,0.03
康西哥,CNC,2003-10-27,2.12,2.2,2.23,2.12,304200,0.0,5.19,3.77,0.08,0.06
康西哥,CNC,2003-10-28,2.2,2.06,2.2,2.05,767400,0.0,6.82,-6.36,-0.14,0.14
康西哥,CNC,2003-10-29,2.04,2.02,2.06,2.01,524400,0.0,2.43,-1.94,-0.04,0.1
康西哥,CNC,2003-10-30,1.99,1.97,2.02,1.97,293400,0.0,2.48,-2.48,-0.05,0.05
康西哥,CNC,2003-10-31,1.98,1.91,2.0,1.91,377000,0.0,4.57,-3.05,-0.06,0.07
康西哥,CNC,2003-11-03,1.92,1.97,1.97,1.92,398800,0.0,2.62,3.14,0.06,0.07
康西哥,CNC,2003-11-04,1.98,1.95,1.99,1.94,276400,0.0,2.54,-1.02,-0.02,0.05
康西哥,CNC,2003-11-05,1.95,1.91,1.95,1.9,174800,0.0,2.56,-2.05,-0.04,0.03
康西哥,CNC,2003-11-06,1.92,1.94,1.94,1.9,197400,0.0,2.09,1.57,0.03,0.04
康西哥,CNC,2003-11-07,1.94,1.95,1.96,1.92,221600,0.0,2.06,0.52,0.01,0.04
康西哥,CNC,2003-11-10,1.93,1.93,1.94,1.92,191000,0.0,1.03,-1.03,-0.02,0.04
康西哥,CNC,2003-11-11,1.93,1.86,1.93,1.86,202400,0.0,3.63,-3.63,-0.07,0.04
康西哥,CNC,2003-11-12,1.86,1.84,1.86,1.78,448200,0.0,4.3,-1.08,-0.02,0.08
康西哥,CNC,2003-11-13,1.85,1.88,1.89,1.84,184000,0.0,2.72,2.17,0.04,0.03
康西哥,CNC,2003-11-14,1.88,1.82,1.89,1.82,192800,0.0,3.72,-3.19,-0.06,0.04
康西哥,CNC,2003-11-17,1.82,1.8,1.82,1.75,266200,0.0,3.85,-1.1,-0.02,0.05
康西哥,CNC,2003-11-18,1.8,1.79,1.81,1.77,233200,0.0,2.22,-0.56,-0.01,0.04
康西哥,CNC,2003-11-19,1.79,1.8,1.81,1.76,293600,0.0,2.79,0.56,0.01,0.05
康西哥,CNC,2003-11-20,1.8,1.75,1.8,1.75,241000,0.0,2.78,-2.78,-0.05,0.05
