股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中点能源,CNP,2000-01-03,1.96,1.47,2.02,1.35,682300,0.0,32.21,-29.33,-0.61,0.11
中点能源,CNP,2000-01-04,1.35,1.71,1.78,1.35,1258000,0.0,29.25,16.33,0.24,0.2
中点能源,CNP,2000-01-05,1.65,2.64,3.07,1.65,780700,0.0,83.04,54.39,0.93,0.12
中点能源,CNP,2000-01-06,2.94,2.76,3.19,2.76,1140500,0.0,16.29,4.55,0.12,0.18
中点能源,CNP,2000-01-07,3.01,3.13,3.31,2.88,674600,0.0,15.58,13.41,0.37,0.11
中点能源,CNP,2000-01-10,3.01,2.82,3.13,2.76,307900,0.0,11.82,-9.9,-0.31,0.05
中点能源,CNP,2000-01-11,2.7,2.64,2.94,2.39,631000,0.0,19.5,-6.38,-0.18,0.1
中点能源,CNP,2000-01-12,2.39,3.01,3.13,2.39,412400,0.0,28.03,14.02,0.37,0.07
中点能源,CNP,2000-01-13,3.01,2.94,3.13,2.64,633700,0.0,16.28,-2.33,-0.07,0.1
中点能源,CNP,2000-01-14,2.45,2.33,2.64,2.33,506800,0.0,10.54,-20.75,-0.61,0.08
中点能源,CNP,2000-01-18,2.21,2.15,2.45,1.96,518100,0.0,21.03,-7.73,-0.18,0.08
中点能源,CNP,2000-01-19,2.02,2.33,2.51,2.02,431700,0.0,22.79,8.37,0.18,0.07
中点能源,CNP,2000-01-20,2.21,2.08,2.27,1.96,367600,0.0,13.3,-10.73,-0.25,0.06
中点能源,CNP,2000-01-21,2.21,2.27,2.39,1.96,875100,0.0,20.67,9.13,0.19,0.14
中点能源,CNP,2000-01-24,2.27,1.65,2.33,1.59,663200,0.0,32.6,-27.31,-0.62,0.11
中点能源,CNP,2000-01-25,1.9,0.67,2.08,0.42,799400,0.0,100.61,-59.39,-0.98,0.13
中点能源,CNP,2000-01-26,0.79,1.53,1.65,0.61,897800,0.0,155.22,128.36,0.86,0.14
中点能源,CNP,2000-01-27,1.41,1.65,1.9,1.41,481100,0.0,32.03,7.84,0.12,0.08
中点能源,CNP,2000-01-28,1.47,1.41,1.84,1.16,793000,0.0,41.21,-14.55,-0.24,0.13
中点能源,CNP,2000-01-31,1.47,2.02,2.02,1.41,435300,0.0,43.26,43.26,0.61,0.07
中点能源,CNP,2000-02-01,1.96,1.53,2.02,1.35,365600,0.0,33.17,-24.26,-0.49,0.06
中点能源,CNP,2000-02-02,1.84,1.71,1.9,1.53,613200,0.0,24.18,11.76,0.18,0.1
中点能源,CNP,2000-02-03,2.21,3.25,3.31,2.08,1693300,0.0,71.93,90.06,1.54,0.27
中点能源,CNP,2000-02-04,3.25,2.51,3.25,2.21,1217700,0.0,32.0,-22.77,-0.74,0.19
中点能源,CNP,2000-02-07,2.39,2.21,2.45,2.02,537800,0.0,17.13,-11.95,-0.3,0.09
