股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
科帕特,CPRT,2001-01-02,0.57,0.53,0.57,0.52,240900,0.0,0.0,0.0,0.0,0.44
科帕特,CPRT,2001-01-03,0.52,0.55,0.56,0.52,293300,0.0,7.55,3.77,0.02,0.54
科帕特,CPRT,2001-01-04,0.54,0.54,0.58,0.54,307500,0.0,7.27,-1.82,-0.01,0.56
科帕特,CPRT,2001-01-05,0.54,0.54,0.54,0.51,465800,0.0,5.56,0.0,0.0,0.85
科帕特,CPRT,2001-01-08,0.53,0.54,0.54,0.5,150500,0.0,7.41,0.0,0.0,0.28
科帕特,CPRT,2001-01-09,0.53,0.52,0.53,0.51,332800,0.0,3.7,-3.7,-0.02,0.61
科帕特,CPRT,2001-01-10,0.51,0.51,0.52,0.51,189200,0.0,1.92,-1.92,-0.01,0.35
科帕特,CPRT,2001-01-11,0.51,0.5,0.51,0.46,812000,0.0,9.8,-1.96,-0.01,1.49
科帕特,CPRT,2001-01-12,0.49,0.5,0.5,0.49,886500,0.0,2.0,0.0,0.0,1.62
科帕特,CPRT,2001-01-16,0.49,0.48,0.5,0.47,752600,0.0,6.0,-4.0,-0.02,1.38
科帕特,CPRT,2001-01-17,0.47,0.47,0.49,0.46,608400,0.0,6.25,-2.08,-0.01,1.12
科帕特,CPRT,2001-01-18,0.47,0.47,0.48,0.46,458000,0.0,4.26,0.0,0.0,0.84
科帕特,CPRT,2001-01-19,0.48,0.47,0.48,0.47,255900,0.0,2.13,0.0,0.0,0.47
科帕特,CPRT,2001-01-22,0.48,0.49,0.5,0.45,221700,0.0,10.64,4.26,0.02,0.41
科帕特,CPRT,2001-01-23,0.48,0.51,0.51,0.47,339600,0.0,8.16,4.08,0.02,0.62
科帕特,CPRT,2001-01-24,0.49,0.48,0.5,0.48,69000,0.0,3.92,-5.88,-0.03,0.13
科帕特,CPRT,2001-01-25,0.48,0.5,0.51,0.48,118400,0.0,6.25,4.17,0.02,0.22
科帕特,CPRT,2001-01-26,0.51,0.51,0.52,0.5,131500,0.0,4.0,2.0,0.01,0.24
科帕特,CPRT,2001-01-29,0.5,0.52,0.52,0.5,162200,0.0,3.92,1.96,0.01,0.3
科帕特,CPRT,2001-01-30,0.51,0.52,0.53,0.51,199700,0.0,3.85,0.0,0.0,0.37
科帕特,CPRT,2001-01-31,0.54,0.52,0.54,0.51,366600,0.0,5.77,0.0,0.0,0.67
科帕特,CPRT,2001-02-01,0.52,0.52,0.52,0.51,83400,0.0,1.92,0.0,0.0,0.15
科帕特,CPRT,2001-02-02,0.51,0.5,0.52,0.5,63400,0.0,3.85,-3.85,-0.02,0.12
科帕特,CPRT,2001-02-05,0.5,0.5,0.52,0.49,62400,0.0,6.0,0.0,0.0,0.11
科帕特,CPRT,2001-02-06,0.5,0.51,0.52,0.5,325600,0.0,4.0,2.0,0.01,0.6
科帕特,CPRT,2001-02-07,0.51,0.53,0.53,0.51,198200,0.0,3.92,3.92,0.02,0.36
科帕特,CPRT,2001-02-08,0.53,0.54,0.57,0.53,240300,0.0,7.55,1.89,0.01,0.44
科帕特,CPRT,2001-02-09,0.54,0.52,0.55,0.51,79500,0.0,7.41,-3.7,-0.02,0.15
科帕特,CPRT,2001-02-12,0.51,0.55,0.58,0.51,281700,0.0,13.46,5.77,0.03,0.52
科帕特,CPRT,2001-02-13,0.55,0.55,0.57,0.55,165500,0.0,3.64,0.0,0.0,0.3
科帕特,CPRT,2001-02-14,0.55,0.53,0.55,0.53,121600,0.0,3.64,-3.64,-0.02,0.22
科帕特,CPRT,2001-02-15,0.54,0.56,0.56,0.54,63100,0.0,3.77,5.66,0.03,0.12
科帕特,CPRT,2001-02-16,0.55,0.54,0.56,0.54,79200,0.0,3.57,-3.57,-0.02,0.15
科帕特,CPRT,2001-02-20,0.54,0.54,0.55,0.53,63400,0.0,3.7,0.0,0.0,0.12
科帕特,CPRT,2001-02-21,0.53,0.54,0.55,0.53,93000,0.0,3.7,0.0,0.0,0.17
科帕特,CPRT,2001-02-22,0.54,0.55,0.56,0.53,164900,0.0,5.56,1.85,0.01,0.3
科帕特,CPRT,2001-02-23,0.55,0.55,0.56,0.53,72300,0.0,5.45,0.0,0.0,0.13
科帕特,CPRT,2001-02-26,0.55,0.57,0.58,0.54,133300,0.0,7.27,3.64,0.02,0.24
科帕特,CPRT,2001-02-27,0.58,0.51,0.58,0.5,233700,0.0,14.04,-10.53,-0.06,0.43
科帕特,CPRT,2001-02-28,0.52,0.53,0.53,0.51,635200,0.0,3.92,3.92,0.02,1.16
科帕特,CPRT,2001-03-01,0.52,0.57,0.59,0.52,450500,0.0,13.21,7.55,0.04,0.83
科帕特,CPRT,2001-03-02,0.57,0.56,0.57,0.55,240800,0.0,3.51,-1.75,-0.01,0.44
科帕特,CPRT,2001-03-05,0.55,0.58,0.6,0.55,251600,0.0,8.93,3.57,0.02,0.46
科帕特,CPRT,2001-03-06,0.59,0.57,0.59,0.57,146800,0.0,3.45,-1.72,-0.01,0.27
科帕特,CPRT,2001-03-07,0.58,0.58,0.59,0.58,344700,0.0,1.75,1.75,0.01,0.63
科帕特,CPRT,2001-03-08,0.58,0.6,0.6,0.58,512300,0.0,3.45,3.45,0.02,0.94
科帕特,CPRT,2001-03-09,0.58,0.61,0.61,0.58,281300,0.0,5.0,1.67,0.01,0.52
