股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
思科,CSCO,2000-01-03,41.09,40.15,41.25,37.9,53076000,0.0,8.44,1.18,0.47,1.31
思科,CSCO,2000-01-04,38.87,37.12,39.62,37.0,50805600,0.0,6.53,-7.55,-3.03,1.25
思科,CSCO,2000-01-05,36.15,36.97,38.37,34.75,68524000,0.0,9.75,-0.4,-0.15,1.69
思科,CSCO,2000-01-06,36.53,36.12,37.06,35.43,48242600,0.0,4.41,-2.3,-0.85,1.19
思科,CSCO,2000-01-07,35.81,39.06,39.12,35.81,62260600,0.0,9.16,8.14,2.94,1.53
思科,CSCO,2000-01-10,40.37,41.03,41.12,39.18,50583000,0.0,4.97,5.04,1.97,1.24
思科,CSCO,2000-01-11,40.18,39.37,40.93,38.62,43210200,0.0,5.63,-4.05,-1.66,1.06
思科,CSCO,2000-01-12,39.56,38.03,39.87,37.87,40757800,0.0,5.08,-3.4,-1.34,1.0
思科,CSCO,2000-01-13,39.12,39.22,39.37,38.0,34494400,0.0,3.6,3.13,1.19,0.85
思科,CSCO,2000-01-14,40.25,39.9,40.75,38.62,43623000,0.0,5.43,1.73,0.68,1.07
思科,CSCO,2000-01-18,39.87,42.12,42.37,39.75,59568600,0.0,6.57,5.56,2.22,1.47
思科,CSCO,2000-01-19,41.97,42.28,42.62,40.65,45597000,0.0,4.68,0.38,0.16,1.12
思科,CSCO,2000-01-20,42.81,42.31,43.68,41.84,41731200,0.0,4.35,0.07,0.03,1.03
思科,CSCO,2000-01-21,43.56,43.75,43.81,42.34,44974600,0.0,3.47,3.4,1.44,1.11
思科,CSCO,2000-01-24,44.0,40.65,44.0,40.37,43787800,0.0,8.3,-7.09,-3.1,1.08
思科,CSCO,2000-01-25,40.37,42.18,42.56,39.65,55379800,0.0,7.16,3.76,1.53,1.36
思科,CSCO,2000-01-26,41.84,39.72,42.0,39.62,35308800,0.0,5.64,-5.83,-2.46,0.87
思科,CSCO,2000-01-27,40.53,39.43,41.43,38.0,47908600,0.0,8.64,-0.73,-0.29,1.18
思科,CSCO,2000-01-28,39.4,38.06,40.81,37.62,49564400,0.0,8.09,-3.47,-1.37,1.22
思科,CSCO,2000-01-31,37.59,40.87,40.93,36.12,66914600,0.0,12.64,7.38,2.81,1.65
思科,CSCO,2000-02-01,41.01,45.03,45.18,40.9,87263000,0.0,10.47,10.18,4.16,2.15
思科,CSCO,2000-02-02,44.18,43.06,45.0,42.62,68449200,0.0,5.29,-4.37,-1.97,1.68
思科,CSCO,2000-02-03,43.56,45.03,45.43,43.37,48675200,0.0,4.78,4.58,1.97,1.2
思科,CSCO,2000-02-04,45.9,46.68,47.37,45.43,52970000,0.0,4.31,3.66,1.65,1.3
思科,CSCO,2000-02-07,48.15,48.72,48.81,47.4,48933400,0.0,3.02,4.37,2.04,1.2
思科,CSCO,2000-02-08,50.06,49.03,50.12,47.97,72100800,0.0,4.41,0.64,0.31,1.77
思科,CSCO,2000-02-09,52.75,50.53,53.62,49.34,107807600,0.0,8.73,3.06,1.5,2.65
思科,CSCO,2000-02-10,51.44,54.09,54.25,50.4,64314000,0.0,7.62,7.05,3.56,1.58
思科,CSCO,2000-02-11,52.69,51.59,52.94,50.19,75471000,0.0,5.08,-4.62,-2.5,1.86
思科,CSCO,2000-02-14,52.59,51.37,52.59,49.59,49103800,0.0,5.82,-0.43,-0.22,1.21
思科,CSCO,2000-02-15,51.0,50.12,51.19,48.78,61367200,0.0,4.69,-2.43,-1.25,1.51
思科,CSCO,2000-02-16,50.06,49.71,50.87,49.5,46274000,0.0,2.73,-0.82,-0.41,1.14
思科,CSCO,2000-02-17,50.59,51.37,51.44,49.93,39656600,0.0,3.04,3.34,1.66,0.98
思科,CSCO,2000-02-18,51.47,49.03,51.53,48.9,41600000,0.0,5.12,-4.56,-2.34,1.02
思科,CSCO,2000-02-22,49.4,48.09,49.65,46.75,61144400,0.0,5.91,-1.92,-0.94,1.5
思科,CSCO,2000-02-23,49.62,55.44,55.62,49.28,105707800,0.0,13.18,15.28,7.35,2.6
思科,CSCO,2000-02-24,54.75,54.75,55.0,52.37,74976000,0.0,4.74,-1.24,-0.69,1.85
思科,CSCO,2000-02-25,54.44,52.5,54.75,51.65,46451200,0.0,5.66,-4.11,-2.25,1.14
思科,CSCO,2000-02-28,51.51,51.4,52.72,49.93,52048400,0.0,5.31,-2.1,-1.1,1.28
思科,CSCO,2000-02-29,52.3,52.22,53.09,50.76,41688600,0.0,4.53,1.6,0.82,1.03
思科,CSCO,2000-03-01,52.47,51.97,53.81,51.12,39469400,0.0,5.15,-0.48,-0.25,0.97
思科,CSCO,2000-03-02,51.69,52.5,52.87,51.09,31939200,0.0,3.43,1.02,0.53,0.79
思科,CSCO,2000-03-03,53.37,54.84,55.59,53.06,38053800,0.0,4.82,4.46,2.34,0.94
思科,CSCO,2000-03-06,54.72,54.19,55.12,53.34,33787600,0.0,3.25,-1.19,-0.65,0.83
思科,CSCO,2000-03-07,55.0,52.15,55.03,51.5,42309600,0.0,6.51,-3.76,-2.04,1.04
思科,CSCO,2000-03-08,52.75,52.31,53.62,51.12,48042400,0.0,4.79,0.31,0.16,1.18
思科,CSCO,2000-03-09,53.06,55.78,56.11,52.19,67248600,0.0,7.49,6.63,3.47,1.65
思科,CSCO,2000-03-10,55.69,54.31,57.06,54.15,48013600,0.0,5.22,-2.64,-1.47,1.18
思科,CSCO,2000-03-13,53.62,54.22,56.14,53.12,47557200,0.0,5.56,-0.17,-0.09,1.17
思科,CSCO,2000-03-14,54.59,52.0,55.19,51.97,58617400,0.0,5.94,-4.09,-2.22,1.44
思科,CSCO,2000-03-15,52.87,50.44,53.62,49.43,62863600,0.0,8.06,-3.0,-1.56,1.55
思科,CSCO,2000-03-16,51.0,51.96,52.81,48.28,75486200,0.0,8.98,3.01,1.52,1.86
思科,CSCO,2000-03-17,51.62,53.62,54.09,51.62,53047600,0.0,4.75,3.19,1.66,1.31
思科,CSCO,2000-03-20,53.62,53.19,54.5,52.4,39242200,0.0,3.92,-0.8,-0.43,0.97
思科,CSCO,2000-03-21,53.37,56.55,56.81,52.59,57357400,0.0,7.93,6.32,3.36,1.41
思科,CSCO,2000-03-22,56.94,58.31,59.5,55.56,59111600,0.0,6.97,3.11,1.76,1.45
思科,CSCO,2000-03-23,59.24,63.93,65.06,58.12,76967200,0.0,11.9,9.64,5.62,1.89
