股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
西维斯健康,CVS,2000-01-03,-3.6,-4.69,-3.51,-5.13,6503000,0.0,-44.26,-28.14,-1.03,1.69
西维斯健康,CVS,2000-01-04,-4.85,-4.85,-4.5,-5.16,5667000,0.0,-14.07,-3.41,-0.16,1.47
西维斯健康,CVS,2000-01-05,-4.79,-3.82,-3.63,-4.82,5694000,0.0,-24.54,21.24,1.03,1.48
西维斯健康,CVS,2000-01-06,-3.91,-5.22,-3.91,-5.5,7203200,0.0,-41.62,-36.65,-1.4,1.87
西维斯健康,CVS,2000-01-07,-5.1,-4.79,-4.72,-5.94,6967000,0.0,-23.37,8.24,0.43,1.81
西维斯健康,CVS,2000-01-10,-3.91,-4.82,-3.63,-5.41,8786400,0.0,-37.16,-0.63,-0.03,2.29
西维斯健康,CVS,2000-01-11,-4.79,-4.75,-4.16,-4.88,6508400,0.0,-14.94,1.45,0.07,1.69
西维斯健康,CVS,2000-01-12,-4.72,-4.79,-4.57,-5.28,4623800,0.0,-14.95,-0.84,-0.04,1.2
西维斯健康,CVS,2000-01-13,-4.79,-5.16,-4.75,-5.32,5123000,0.0,-11.9,-7.72,-0.37,1.33
西维斯健康,CVS,2000-01-14,-5.19,-5.66,-5.19,-6.28,13150200,0.0,-21.12,-9.69,-0.5,3.42
西维斯健康,CVS,2000-01-18,-5.78,-5.6,-5.38,-5.91,5487000,0.0,-9.36,1.06,0.06,1.43
西维斯健康,CVS,2000-01-19,-5.63,-5.69,-5.47,-5.88,4270800,0.0,-7.32,-1.61,-0.09,1.11
西维斯健康,CVS,2000-01-20,-5.79,-6.68,-5.76,-7.23,9132000,0.0,-25.83,-17.4,-0.99,2.38
西维斯健康,CVS,2000-01-21,-6.54,-6.29,-6.07,-6.7,7913600,0.0,-9.43,5.84,0.39,2.06
西维斯健康,CVS,2000-01-24,-6.17,-6.32,-5.95,-6.51,6917600,0.0,-8.9,-0.48,-0.03,1.8
西维斯健康,CVS,2000-01-25,-6.29,-6.54,-6.07,-6.57,3447000,0.0,-7.91,-3.48,-0.22,0.9
西维斯健康,CVS,2000-01-26,-6.45,-6.51,-6.1,-6.7,3412200,0.0,-9.17,0.46,0.03,0.89
西维斯健康,CVS,2000-01-27,-6.29,-6.82,-6.29,-7.04,2785400,0.0,-11.52,-4.76,-0.31,0.72
西维斯健康,CVS,2000-01-28,-6.73,-6.14,-5.67,-6.95,4434400,0.0,-18.77,9.97,0.68,1.15
西维斯健康,CVS,2000-01-31,-6.1,-6.07,-6.04,-6.39,3364800,0.0,-5.7,1.14,0.07,0.88
西维斯健康,CVS,2000-02-01,-6.14,-6.01,-6.01,-6.51,3393400,0.0,-8.24,0.99,0.06,0.88
西维斯健康,CVS,2000-02-02,-5.79,-5.17,-4.54,-5.89,7380000,0.0,-22.46,13.98,0.84,1.92
西维斯健康,CVS,2000-02-03,-5.07,-4.67,-4.07,-5.32,4574200,0.0,-24.18,9.67,0.5,1.19
西维斯健康,CVS,2000-02-04,-4.79,-5.29,-4.29,-5.39,5162200,0.0,-23.55,-13.28,-0.62,1.34
西维斯健康,CVS,2000-02-07,-4.76,-5.32,-4.76,-5.48,4836600,0.0,-13.61,-0.57,-0.03,1.26
西维斯健康,CVS,2000-02-08,-4.04,-3.54,-3.1,-4.79,15600200,0.0,-31.77,33.46,1.78,4.06
西维斯健康,CVS,2000-02-09,-3.54,-4.04,-3.54,-4.14,8177600,0.0,-16.95,-14.12,-0.5,2.13
西维斯健康,CVS,2000-02-10,-3.17,-3.23,-2.79,-3.54,9923200,0.0,-18.56,20.05,0.81,2.58
西维斯健康,CVS,2000-02-11,-3.2,-3.73,-3.2,-3.76,4843200,0.0,-17.34,-15.48,-0.5,1.26
西维斯健康,CVS,2000-02-14,-3.7,-3.6,-3.51,-4.14,4464000,0.0,-16.89,3.49,0.13,1.16
西维斯健康,CVS,2000-02-15,-3.57,-3.85,-3.57,-4.04,4554000,0.0,-13.06,-6.94,-0.25,1.18
西维斯健康,CVS,2000-02-16,-4.11,-4.14,-3.98,-4.26,5016200,0.0,-7.27,-7.53,-0.29,1.31
西维斯健康,CVS,2000-02-17,-4.11,-4.42,-3.95,-4.45,4763000,0.0,-12.08,-6.76,-0.28,1.24
西维斯健康,CVS,2000-02-18,-4.48,-4.98,-4.32,-5.14,3720200,0.0,-18.55,-12.67,-0.56,0.97
西维斯健康,CVS,2000-02-22,-4.86,-4.45,-4.32,-5.04,3887000,0.0,-14.46,10.64,0.53,1.01
西维斯健康,CVS,2000-02-24,-4.07,-5.04,-4.07,-5.2,6994800,0.0,-25.39,-13.26,-0.59,1.82
西维斯健康,CVS,2000-02-25,-5.29,-5.17,-4.67,-5.67,4431400,0.0,-19.84,-2.58,-0.13,1.15
西维斯健康,CVS,2000-02-28,-5.04,-5.61,-5.04,-5.79,3982400,0.0,-14.51,-8.51,-0.44,1.04
西维斯健康,CVS,2000-02-29,-5.54,-6.04,-5.51,-6.17,7560800,0.0,-11.76,-7.66,-0.43,1.97
西维斯健康,CVS,2000-03-01,-5.95,-6.82,-5.92,-7.2,7675800,0.0,-21.19,-12.91,-0.78,2.0
西维斯健康,CVS,2000-03-02,-6.85,-8.23,-6.82,-8.35,13191400,0.0,-22.43,-20.67,-1.41,3.43
西维斯健康,CVS,2000-03-03,-8.23,-8.32,-7.95,-8.54,11975400,0.0,-7.17,-1.09,-0.09,3.12
西维斯健康,CVS,2000-03-06,-7.98,-8.08,-7.82,-8.42,12381400,0.0,-7.21,2.88,0.24,3.22
西维斯健康,CVS,2000-03-07,-7.79,-9.54,-7.6,-9.67,12175200,0.0,-25.62,-18.07,-1.46,3.17
西维斯健康,CVS,2000-03-08,-8.54,-7.98,-7.79,-8.82,7896400,0.0,-10.8,16.35,1.56,2.05
西维斯健康,CVS,2000-03-09,-7.98,-7.57,-7.54,-8.45,4268200,0.0,-11.4,5.14,0.41,1.11
西维斯健康,CVS,2000-03-10,-7.79,-8.29,-7.76,-8.35,5118000,0.0,-7.79,-9.51,-0.72,1.33
西维斯健康,CVS,2000-03-13,-8.54,-8.1,-7.85,-8.57,4766600,0.0,-8.69,2.29,0.19,1.24
西维斯健康,CVS,2000-03-14,-7.85,-8.17,-7.79,-8.17,4616400,0.0,-4.69,-0.86,-0.07,1.2
西维斯健康,CVS,2000-03-15,-7.92,-7.23,-7.23,-7.95,4258600,0.0,-8.81,11.51,0.94,1.11
西维斯健康,CVS,2000-03-16,-6.29,-5.39,-5.17,-6.6,7614400,0.0,-19.78,25.45,1.84,1.98
西维斯健康,CVS,2000-03-17,-5.35,-5.54,-5.26,-5.76,4556800,0.0,-9.28,-2.78,-0.15,1.19
西维斯健康,CVS,2000-03-20,-5.51,-6.04,-5.42,-6.6,2965200,0.0,-21.3,-9.03,-0.5,0.77
西维斯健康,CVS,2000-03-21,-6.04,-4.95,-4.86,-6.36,5918000,0.0,-24.83,18.05,1.09,1.54
西维斯健康,CVS,2000-03-22,-5.04,-4.98,-4.79,-5.54,4739600,0.0,-15.15,-0.61,-0.03,1.23
西维斯健康,CVS,2000-03-23,-4.95,-5.32,-4.95,-5.73,2730400,0.0,-15.66,-6.83,-0.34,0.71
西维斯健康,CVS,2000-03-24,-5.51,-5.57,-5.45,-6.67,7280400,0.0,-22.93,-4.7,-0.25,1.89
西维斯健康,CVS,2000-03-27,-5.92,-6.48,-5.89,-6.98,5056400,0.0,-19.57,-16.34,-0.91,1.32
西维斯健康,CVS,2000-03-28,-6.1,-6.45,-5.82,-6.64,4895800,0.0,-12.65,0.46,0.03,1.27
西维斯健康,CVS,2000-03-29,-6.39,-5.32,-5.2,-6.39,4162400,0.0,-18.45,17.52,1.13,1.08
西维斯健康,CVS,2000-03-30,-5.45,-4.98,-4.79,-5.48,3358800,0.0,-12.97,6.39,0.34,0.87
西维斯健康,CVS,2000-03-31,-5.14,-4.76,-4.54,-5.2,4599200,0.0,-13.25,4.42,0.22,1.2
西维斯健康,CVS,2000-04-03,-4.76,-4.2,-3.92,-4.79,3758200,0.0,-18.28,11.76,0.56,0.98
西维斯健康,CVS,2000-04-04,-4.2,-3.04,-1.29,-4.2,8723800,0.0,-69.29,27.62,1.16,2.27
西维斯健康,CVS,2000-04-05,-3.17,-3.23,-2.95,-3.7,6644600,0.0,-24.67,-6.25,-0.19,1.73
西维斯健康,CVS,2000-04-06,-3.29,-4.14,-3.26,-4.54,4038600,0.0,-39.63,-28.17,-0.91,1.05
西维斯健康,CVS,2000-04-07,-4.04,-4.14,-3.57,-4.32,1890600,0.0,-18.12,0.0,0.0,0.49
西维斯健康,CVS,2000-04-10,-4.11,-4.2,-3.89,-4.51,2286200,0.0,-14.98,-1.45,-0.06,0.59
西维斯健康,CVS,2000-04-11,-4.54,-2.82,-2.76,-4.73,5905800,0.0,-46.9,32.86,1.38,1.54
西维斯健康,CVS,2000-04-12,-2.04,-1.6,-0.54,-2.26,9418800,0.0,-60.99,43.26,1.22,2.45
西维斯健康,CVS,2000-04-13,-1.51,-1.35,-0.98,-1.89,5221400,0.0,-56.88,15.63,0.25,1.36
西维斯健康,CVS,2000-04-14,-1.48,-2.54,-1.48,-2.73,5132800,0.0,-92.59,-88.15,-1.19,1.34
西维斯健康,CVS,2000-04-17,-2.76,-2.57,-2.42,-3.17,4292200,0.0,-29.53,-1.18,-0.03,1.12
西维斯健康,CVS,2000-04-18,-2.64,-1.95,-1.42,-2.64,3938000,0.0,-47.47,24.12,0.62,1.02
西维斯健康,CVS,2000-04-19,-1.17,-1.79,-1.17,-1.95,3639000,0.0,-40.0,8.21,0.16,0.95
西维斯健康,CVS,2000-04-20,-2.04,-1.61,-1.51,-2.04,2319000,0.0,-29.61,10.06,0.18,0.6
西维斯健康,CVS,2000-04-24,-1.54,-1.51,-1.32,-1.79,2841200,0.0,-29.19,6.21,0.1,0.74
西维斯健康,CVS,2000-04-25,-1.48,-0.14,-0.11,-1.61,5575000,0.0,-99.34,90.73,1.37,1.45
西维斯健康,CVS,2000-04-26,-0.26,-1.08,-0.26,-1.23,4485200,0.0,-692.86,-671.43,-0.94,1.17
西维斯健康,CVS,2000-04-27,-1.39,-1.39,-1.23,-1.54,3002000,0.0,-28.7,-28.7,-0.31,0.78
西维斯健康,CVS,2000-04-28,-1.48,-1.76,-1.2,-1.83,3565800,0.0,-45.32,-26.62,-0.37,0.93
西维斯健康,CVS,2000-05-01,-1.76,-1.67,-1.57,-2.32,2856400,0.0,-42.61,5.11,0.09,0.74
西维斯健康,CVS,2000-05-02,-1.45,-1.08,-0.82,-1.51,2993400,0.0,-41.32,35.33,0.59,0.78
西维斯健康,CVS,2000-05-03,-1.32,-2.73,-1.29,-3.67,10531400,0.0,-220.37,-152.78,-1.65,2.74
西维斯健康,CVS,2000-05-04,-2.86,-2.73,-2.61,-3.14,3613600,0.0,-19.41,0.0,0.0,0.94
西维斯健康,CVS,2000-05-05,-2.64,-2.26,-1.83,-2.67,2619200,0.0,-30.77,17.22,0.47,0.68
西维斯健康,CVS,2000-05-08,-2.26,-1.14,-0.7,-2.45,3748000,0.0,-77.43,49.56,1.12,0.98
西维斯健康,CVS,2000-05-09,-0.89,-1.45,-0.82,-2.32,8088600,0.0,-131.58,-27.19,-0.31,2.1
西维斯健康,CVS,2000-05-10,-1.54,-1.76,-1.54,-2.11,4439200,0.0,-39.31,-21.38,-0.31,1.15
西维斯健康,CVS,2000-05-11,-1.76,-1.89,-1.42,-1.95,2995400,0.0,-30.11,-7.39,-0.13,0.78
西维斯健康,CVS,2000-05-12,-2.32,-2.58,-2.11,-2.82,3737000,0.0,-37.57,-36.51,-0.69,0.97
西维斯健康,CVS,2000-05-15,-2.58,-2.04,-1.92,-2.89,2626600,0.0,-37.6,20.93,0.54,0.68
西维斯健康,CVS,2000-05-16,-1.95,-2.11,-1.61,-2.14,2785000,0.0,-25.98,-3.43,-0.07,0.72
西维斯健康,CVS,2000-05-17,-2.86,-2.61,-2.36,-3.01,3342200,0.0,-30.81,-23.7,-0.5,0.87
西维斯健康,CVS,2000-05-18,-2.58,-2.76,-2.42,-2.89,1921000,0.0,-18.01,-5.75,-0.15,0.5
西维斯健康,CVS,2000-05-19,-3.07,-3.14,-2.95,-3.45,1767600,0.0,-18.12,-13.77,-0.38,0.46
西维斯健康,CVS,2000-05-22,-3.17,-3.26,-2.98,-3.76,1761000,0.0,-24.84,-3.82,-0.12,0.46
西维斯健康,CVS,2000-05-23,-3.39,-2.82,-2.67,-3.39,3331600,0.0,-22.09,13.5,0.44,0.87
西维斯健康,CVS,2000-05-24,-2.92,-3.48,-2.73,-3.79,4456800,0.0,-37.59,-23.4,-0.66,1.16
西维斯健康,CVS,2000-05-25,-2.82,-2.86,-2.7,-3.17,4218000,0.0,-13.51,17.82,0.62,1.1
西维斯健康,CVS,2000-05-26,-2.7,-3.39,-2.42,-3.54,2929000,0.0,-39.16,-18.53,-0.53,0.76
西维斯健康,CVS,2000-05-30,-3.39,-2.67,-2.45,-3.67,2529800,0.0,-35.99,21.24,0.72,0.66
西维斯健康,CVS,2000-05-31,-2.67,-1.76,-1.29,-3.01,4178000,0.0,-64.42,34.08,0.91,1.09
西维斯健康,CVS,2000-06-01,-1.89,-0.92,-0.92,-1.92,3186800,0.0,-56.82,47.73,0.84,0.83
西维斯健康,CVS,2000-06-05,-2.51,-2.7,-2.45,-3.01,4565000,0.0,-60.87,-193.48,-1.78,1.19
