股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
道明尼能源,D,2000-01-03,-32.12,-32.55,-32.12,-32.58,2073400,0.0,-1.44,-1.75,-0.56,1.11
道明尼能源,D,2000-01-04,-32.55,-32.09,-32.05,-32.73,3330800,0.0,-2.09,1.41,0.46,1.79
道明尼能源,D,2000-01-05,-31.87,-31.56,-31.29,-31.87,6406600,0.0,-1.81,1.65,0.53,3.44
道明尼能源,D,2000-01-06,-31.32,-31.35,-31.07,-31.47,4833600,0.0,-1.27,0.67,0.21,2.59
道明尼能源,D,2000-01-07,-31.38,-31.35,-31.16,-31.44,3335200,0.0,-0.89,0.0,0.0,1.79
道明尼能源,D,2000-01-10,-31.13,-31.35,-31.13,-31.38,2612400,0.0,-0.8,0.0,0.0,1.4
道明尼能源,D,2000-01-11,-31.38,-31.29,-31.16,-31.44,2376600,0.0,-0.89,0.19,0.06,1.28
道明尼能源,D,2000-01-12,-31.29,-31.13,-30.83,-31.29,3530000,0.0,-1.47,0.51,0.16,1.89
道明尼能源,D,2000-01-13,-31.13,-30.86,-30.83,-31.13,4820000,0.0,-0.96,0.87,0.27,2.59
道明尼能源,D,2000-01-14,-30.8,-30.83,-30.77,-30.95,3940800,0.0,-0.58,0.1,0.03,2.12
道明尼能源,D,2000-01-18,-30.83,-30.86,-30.77,-31.01,2310800,0.0,-0.78,-0.1,-0.03,1.24
道明尼能源,D,2000-01-19,-30.67,-30.52,-30.4,-30.77,3779800,0.0,-1.2,1.1,0.34,2.03
道明尼能源,D,2000-01-20,-30.52,-30.43,-30.4,-30.58,3099800,0.0,-0.59,0.29,0.09,1.66
道明尼能源,D,2000-01-21,-30.43,-30.49,-30.34,-30.52,4584200,0.0,-0.59,-0.2,-0.06,2.46
道明尼能源,D,2000-01-24,-30.37,-30.43,-30.09,-30.49,790000,0.0,-1.31,0.2,0.06,0.42
道明尼能源,D,2000-01-25,-30.43,-30.64,-30.34,-30.77,1290000,0.0,-1.41,-0.69,-0.21,0.69
道明尼能源,D,2000-01-26,-30.34,-30.3,-30.3,-30.52,1105600,0.0,-0.72,1.11,0.34,0.59
道明尼能源,D,2000-01-27,-30.3,-30.37,-30.3,-30.4,903000,0.0,-0.33,-0.23,-0.07,0.48
道明尼能源,D,2000-01-28,-31.26,-31.32,-30.89,-31.5,5532800,0.0,-2.01,-3.13,-0.95,2.97
道明尼能源,D,2000-01-31,-31.2,-30.77,-30.77,-31.29,3462000,0.0,-1.66,1.76,0.55,1.86
道明尼能源,D,2000-02-01,-30.77,-31.1,-30.77,-31.23,2273200,0.0,-1.49,-1.07,-0.33,1.22
道明尼能源,D,2000-02-02,-31.07,-30.95,-30.89,-31.2,1335600,0.0,-1.0,0.48,0.15,0.72
道明尼能源,D,2000-02-03,-30.52,-30.67,-30.43,-30.7,6594800,0.0,-0.87,0.9,0.28,3.54
道明尼能源,D,2000-02-04,-30.61,-31.04,-30.52,-31.04,3685800,0.0,-1.7,-1.21,-0.37,1.98
道明尼能源,D,2000-02-07,-30.95,-31.2,-30.89,-31.26,2388200,0.0,-1.19,-0.52,-0.16,1.28
道明尼能源,D,2000-02-08,-31.26,-31.23,-30.98,-31.29,2985000,0.0,-0.99,-0.1,-0.03,1.6
