股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
达达,DADA,2020-06-05,18.3,15.99,18.5,15.24,7825932,133128521.0,20.38,-0.06,-0.01,3.52
达达,DADA,2020-06-08,17.08,17.0,17.49,16.25,2676102,44976944.0,7.75,6.32,1.01,1.2
达达,DADA,2020-06-09,17.3,16.04,17.49,15.7,1749103,28974522.0,10.53,-5.65,-0.96,0.79
达达,DADA,2020-06-10,16.15,15.25,16.75,14.8,3953970,61308400.0,12.16,-4.93,-0.79,1.78
达达,DADA,2020-06-11,14.75,14.75,15.1,14.67,1107996,16369018.0,2.82,-3.28,-0.5,0.5
达达,DADA,2020-06-12,15.01,14.75,15.1,14.7,652888,9697478.0,2.71,0.0,0.0,0.29
达达,DADA,2020-06-15,14.69,15.0,15.3,14.6,1458865,21917022.0,4.75,1.69,0.25,0.66
达达,DADA,2020-06-16,15.48,16.75,16.75,15.11,1089071,17362163.0,10.93,11.67,1.75,0.49
达达,DADA,2020-06-17,16.75,20.12,20.18,16.75,3992345,73225300.0,20.48,20.12,3.37,1.8
达达,DADA,2020-06-18,21.27,22.47,23.0,19.38,4652061,99259629.0,17.99,11.68,2.35,2.09
达达,DADA,2020-06-19,22.32,22.12,23.96,20.95,1797798,40194331.0,13.4,-1.56,-0.35,0.81
达达,DADA,2020-06-22,22.58,20.13,22.7,20.0,1457403,30511703.0,12.21,-9.0,-1.99,0.66
达达,DADA,2020-06-23,20.71,21.95,21.98,20.56,1293420,27841863.0,7.05,9.04,1.82,0.58
达达,DADA,2020-06-24,21.5,20.9,24.62,20.2,2631929,59065731.0,20.14,-4.78,-1.05,1.18
达达,DADA,2020-06-25,21.25,24.59,24.89,20.25,2210002,49389520.0,22.2,17.66,3.69,0.99
达达,DADA,2020-06-26,23.81,24.94,25.06,22.3,1325131,31858338.0,11.22,1.42,0.35,0.6
达达,DADA,2020-06-29,25.13,21.12,25.5,21.0,2393386,55209284.0,18.04,-15.32,-3.82,1.08
达达,DADA,2020-06-30,22.0,22.3,23.57,21.66,1954263,43597976.0,9.04,5.59,1.18,0.87
达达,DADA,2020-07-01,22.42,23.15,23.93,21.57,1676140,38178219.0,10.58,3.81,0.85,0.75
达达,DADA,2020-07-02,23.7,26.38,26.4,23.7,2028587,50960246.0,11.66,13.95,3.23,0.9
达达,DADA,2020-07-06,27.69,27.69,29.0,26.61,2358318,65620242.0,9.06,4.97,1.31,1.05
达达,DADA,2020-07-07,27.68,26.26,27.77,25.63,1149987,30190457.0,7.73,-5.16,-1.43,0.51
达达,DADA,2020-07-08,27.0,29.78,30.59,26.8,1668639,48572578.0,14.43,13.4,3.52,0.74
达达,DADA,2020-07-09,30.4,32.42,34.94,30.4,2611131,85116894.0,15.25,8.87,2.64,1.16
达达,DADA,2020-07-10,32.24,30.84,32.59,30.6,1142605,35447735.0,6.14,-4.87,-1.58,0.51
达达,DADA,2020-07-13,30.85,27.78,31.75,27.5,1549227,45932725.0,13.78,-9.92,-3.06,0.69
达达,DADA,2020-07-14,27.29,26.68,27.78,25.0,1114665,29257157.0,10.01,-3.96,-1.1,0.5
达达,DADA,2020-07-15,27.29,29.48,29.63,27.1,795393,22433909.0,9.48,10.49,2.8,0.35
达达,DADA,2020-07-16,27.3,26.6,28.16,26.35,1079154,29146914.0,6.14,-9.77,-2.88,0.48
达达,DADA,2020-07-17,27.32,26.93,27.32,26.23,451292,12027105.0,4.1,1.24,0.33,0.2
达达,DADA,2020-07-20,27.02,27.33,27.88,25.57,722672,19255132.0,8.58,1.49,0.4,0.32
达达,DADA,2020-07-21,27.37,27.89,28.31,27.01,471989,13081790.0,4.76,2.05,0.56,0.21
达达,DADA,2020-07-22,27.0,26.99,27.49,25.89,547835,14643864.0,5.74,-3.23,-0.9,0.24
达达,DADA,2020-07-23,27.03,25.59,27.27,25.28,696779,18045107.0,7.37,-5.19,-1.4,0.31
达达,DADA,2020-07-24,24.39,22.92,24.39,21.81,1351404,31181172.0,10.08,-10.43,-2.67,0.6
达达,DADA,2020-07-27,23.12,21.89,23.2,21.52,491959,10997594.0,7.33,-4.49,-1.03,0.22
达达,DADA,2020-07-28,21.89,22.77,23.78,21.89,565317,13074571.0,8.63,4.02,0.88,0.25
达达,DADA,2020-07-29,23.0,23.54,24.2,23.0,359056,8502034.0,5.27,3.38,0.77,0.16
达达,DADA,2020-07-30,23.4,23.24,23.9,22.6,252388,5901610.0,5.52,-1.27,-0.3,0.11
达达,DADA,2020-07-31,23.07,23.15,24.1,22.66,337038,7837388.0,6.2,-0.39,-0.09,0.15
达达,DADA,2020-08-03,23.58,25.7,25.8,23.5,606710,15101816.0,9.94,11.02,2.55,0.27
达达,DADA,2020-08-04,26.13,27.7,28.49,26.0,961037,26173598.0,9.69,7.78,2.0,0.43
达达,DADA,2020-08-05,28.0,27.94,28.4,26.18,498687,13710634.0,8.01,0.87,0.24,0.22
达达,DADA,2020-08-06,27.6,27.34,27.85,26.9,302121,8249259.0,3.4,-2.15,-0.6,0.13
达达,DADA,2020-08-07,26.41,24.7,27.34,24.11,854683,21457749.0,11.81,-9.66,-2.64,0.38
达达,DADA,2020-08-10,24.88,24.63,25.95,23.55,534760,13138606.0,9.72,-0.28,-0.07,0.24
达达,DADA,2020-08-11,25.3,25.5,26.5,24.7,398036,10231441.0,7.31,3.53,0.87,0.18
