股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
达乐,DG,2010-04-13,13.21,13.99,14.14,13.15,1791905,0.0,12.44,75.75,6.03,0.53
达乐,DG,2010-04-14,14.11,14.48,14.82,13.65,999969,0.0,8.36,3.5,0.49,0.29
达乐,DG,2010-04-19,15.56,15.97,16.51,15.08,1889189,0.0,9.88,10.29,1.49,0.55
达乐,DG,2010-04-20,16.21,15.21,16.21,15.04,1273209,0.0,7.33,-4.76,-0.76,0.37
达乐,DG,2010-04-21,15.16,15.15,15.41,14.86,1229011,0.0,3.62,-0.39,-0.06,0.36
达乐,DG,2010-04-22,14.97,16.49,16.58,14.96,1441396,0.0,10.69,8.84,1.34,0.42
达乐,DG,2010-04-23,16.63,16.34,16.65,16.13,668252,0.0,3.15,-0.91,-0.15,0.2
达乐,DG,2010-04-26,15.51,16.54,16.66,15.39,1181078,0.0,7.77,1.22,0.2,0.35
达乐,DG,2010-04-27,16.3,15.95,16.7,15.9,952900,0.0,4.84,-3.57,-0.59,0.28
达乐,DG,2010-04-28,15.99,15.97,16.87,15.5,795196,0.0,8.59,0.13,0.02,0.23
达乐,DG,2010-04-29,16.02,16.09,16.41,15.54,830065,0.0,5.45,0.75,0.12,0.24
达乐,DG,2010-04-30,16.09,15.53,16.2,15.28,879575,0.0,5.72,-3.48,-0.56,0.26
达乐,DG,2010-05-03,15.55,15.98,16.25,15.39,424125,0.0,5.54,2.9,0.45,0.12
达乐,DG,2010-05-04,15.51,15.6,15.89,14.83,754789,0.0,6.63,-2.38,-0.38,0.22
达乐,DG,2010-05-05,15.25,15.48,15.72,15.1,555954,0.0,3.97,-0.77,-0.12,0.16
达乐,DG,2010-05-06,15.31,14.87,16.01,14.55,1625316,0.0,9.43,-3.94,-0.61,0.48
达乐,DG,2010-05-07,14.86,14.15,15.09,13.7,1395615,0.0,9.35,-4.84,-0.72,0.41
达乐,DG,2010-05-10,14.86,14.68,15.61,14.28,1048151,0.0,9.4,3.75,0.53,0.31
达乐,DG,2010-05-11,14.27,14.94,15.32,14.27,686326,0.0,7.15,1.77,0.26,0.2
达乐,DG,2010-05-12,15.24,16.32,16.44,15.1,1070363,0.0,8.97,9.24,1.38,0.31
达乐,DG,2010-05-13,16.32,16.4,16.9,15.94,1661302,0.0,5.88,0.49,0.08,0.49
达乐,DG,2010-05-14,16.35,16.23,16.69,15.97,2256324,0.0,4.39,-1.04,-0.17,0.66
达乐,DG,2010-05-17,16.32,16.41,16.96,16.02,1259760,0.0,5.79,1.11,0.18,0.37
达乐,DG,2010-05-18,16.67,16.25,16.92,16.02,763006,0.0,5.48,-0.98,-0.16,0.22
达乐,DG,2010-05-19,16.2,16.66,17.16,16.09,949359,0.0,6.58,2.52,0.41,0.28
达乐,DG,2010-05-20,16.27,15.99,16.52,15.87,969899,0.0,3.9,-4.02,-0.67,0.28
达乐,DG,2010-05-21,15.7,16.51,16.79,15.59,1039488,0.0,7.5,3.25,0.52,0.3
达乐,DG,2010-05-24,16.56,16.97,17.3,16.5,1703235,0.0,4.85,2.79,0.46,0.5
达乐,DG,2010-05-25,16.34,17.57,17.6,16.18,1768665,0.0,8.37,3.54,0.6,0.52
达乐,DG,2010-05-26,17.96,17.4,18.34,17.18,4954390,0.0,6.6,-0.97,-0.17,1.45
达乐,DG,2010-05-27,18.03,17.6,18.17,17.32,1255988,0.0,4.89,1.15,0.2,0.37
达乐,DG,2010-05-28,17.42,17.19,17.78,17.1,968685,0.0,3.86,-2.33,-0.41,0.28
达乐,DG,2010-06-01,17.19,17.5,17.94,17.04,667166,0.0,5.24,1.8,0.31,0.2
达乐,DG,2010-06-02,17.8,18.32,18.32,17.57,1251019,0.0,4.29,4.69,0.82,0.37
达乐,DG,2010-06-03,18.02,17.66,18.36,17.25,773542,0.0,6.06,-3.6,-0.66,0.23
达乐,DG,2010-06-04,17.21,17.0,17.46,16.54,895757,0.0,5.21,-3.74,-0.66,0.26
达乐,DG,2010-06-07,17.15,16.19,17.46,15.8,1242667,0.0,9.76,-4.76,-0.81,0.36
达乐,DG,2010-06-08,17.31,16.79,17.31,16.21,3250841,0.0,6.79,3.71,0.6,0.95
达乐,DG,2010-06-09,17.15,16.96,17.41,16.81,1581303,0.0,3.57,1.01,0.17,0.46
达乐,DG,2010-06-10,17.91,16.94,18.19,16.62,1344967,0.0,9.26,-0.12,-0.02,0.39
达乐,DG,2010-06-11,16.65,16.93,16.97,16.37,485615,0.0,3.54,-0.06,-0.01,0.14
达乐,DG,2010-06-14,17.13,17.18,17.62,16.86,2304901,0.0,4.49,1.48,0.25,0.68
达乐,DG,2010-06-15,17.15,16.96,17.46,16.45,1501041,0.0,5.88,-1.28,-0.22,0.44
达乐,DG,2010-06-16,16.94,17.26,17.49,16.84,1516714,0.0,3.83,1.77,0.3,0.44
达乐,DG,2010-06-17,17.22,16.86,17.45,16.46,909601,0.0,5.74,-2.32,-0.4,0.27
达乐,DG,2010-06-18,16.67,17.11,17.25,16.64,739253,0.0,3.62,1.48,0.25,0.22
达乐,DG,2010-06-21,17.35,16.59,17.35,16.46,1226418,0.0,5.2,-3.04,-0.52,0.36
达乐,DG,2010-06-22,16.6,15.85,17.04,15.74,2754112,0.0,7.84,-4.46,-0.74,0.81
达乐,DG,2010-06-23,15.99,16.09,16.37,15.72,1023788,0.0,4.1,1.51,0.24,0.3
达乐,DG,2010-06-24,16.05,16.09,16.12,15.62,881154,0.0,3.11,0.0,0.0,0.26
达乐,DG,2010-06-25,15.96,16.04,16.3,15.12,2382553,0.0,7.33,-0.31,-0.05,0.7
达乐,DG,2010-06-28,16.03,15.87,16.09,15.7,310416,0.0,2.43,-1.06,-0.17,0.09
达乐,DG,2010-06-29,15.35,15.35,15.69,14.8,1157861,0.0,5.61,-3.28,-0.52,0.34
达乐,DG,2010-06-30,15.24,14.51,15.68,14.17,1636777,0.0,9.84,-5.47,-0.84,0.48
达乐,DG,2010-07-01,14.47,15.09,15.12,14.33,1657965,0.0,5.44,4.0,0.58,0.49
达乐,DG,2010-07-02,15.24,14.97,15.55,14.81,424645,0.0,4.9,-0.8,-0.12,0.12
达乐,DG,2010-07-06,15.12,14.96,15.36,14.73,559972,0.0,4.21,-0.07,-0.01,0.16
达乐,DG,2010-07-07,14.4,14.91,14.93,13.57,3463611,0.0,9.09,-0.33,-0.05,1.02
达乐,DG,2010-07-08,15.09,14.59,15.35,14.3,1826526,0.0,7.04,-2.15,-0.32,0.54
达乐,DG,2010-07-09,14.56,15.1,15.11,14.32,866395,0.0,5.41,3.5,0.51,0.25
达乐,DG,2010-07-12,15.08,14.43,15.08,14.24,1033187,0.0,5.56,-4.44,-0.67,0.3
达乐,DG,2010-07-13,14.6,14.66,14.86,14.39,672505,0.0,3.26,1.59,0.23,0.2
达乐,DG,2010-07-14,14.67,15.19,15.42,14.58,1069511,0.0,5.73,3.62,0.53,0.31
达乐,DG,2010-07-15,15.25,16.76,17.13,15.13,1981563,0.0,13.17,10.34,1.57,0.58
达乐,DG,2010-07-16,16.74,16.05,16.74,15.94,1425417,0.0,4.77,-4.24,-0.71,0.42
达乐,DG,2010-07-19,16.16,16.23,16.53,15.98,724241,0.0,3.43,1.12,0.18,0.21
达乐,DG,2010-07-20,15.96,16.48,16.49,15.74,640586,0.0,4.62,1.54,0.25,0.19
达乐,DG,2010-07-21,16.63,15.88,16.63,15.67,791551,0.0,5.83,-3.64,-0.6,0.23
达乐,DG,2010-07-22,16.02,15.94,16.28,15.76,388258,0.0,3.27,0.38,0.06,0.11
达乐,DG,2010-07-23,15.99,16.33,16.42,15.87,770311,0.0,3.45,2.45,0.39,0.23
