股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
奎斯特诊疗,DGX,2000-01-03,-18.15,-18.36,-18.12,-18.42,414400,0.0,-1.65,-0.77,-0.14,0.93
奎斯特诊疗,DGX,2000-01-04,-18.4,-18.37,-18.34,-18.45,926800,0.0,-0.6,-0.05,-0.01,2.09
奎斯特诊疗,DGX,2000-01-05,-18.36,-18.43,-18.36,-18.48,637600,0.0,-0.65,-0.33,-0.06,1.44
奎斯特诊疗,DGX,2000-01-06,-18.47,-18.4,-18.4,-18.58,456400,0.0,-0.98,0.16,0.03,1.03
奎斯特诊疗,DGX,2000-01-07,-18.4,-18.11,-18.09,-18.43,1613200,0.0,-1.85,1.58,0.29,3.64
奎斯特诊疗,DGX,2000-01-10,-18.09,-17.97,-17.75,-18.09,632400,0.0,-1.88,0.77,0.14,1.43
奎斯特诊疗,DGX,2000-01-11,-18.01,-17.98,-17.89,-18.06,584400,0.0,-0.95,-0.06,-0.01,1.32
奎斯特诊疗,DGX,2000-01-12,-18.0,-18.01,-18.0,-18.11,697600,0.0,-0.61,-0.17,-0.03,1.57
奎斯特诊疗,DGX,2000-01-13,-17.97,-17.72,-17.65,-17.97,711200,0.0,-1.78,1.61,0.29,1.6
奎斯特诊疗,DGX,2000-01-14,-17.7,-18.08,-17.7,-18.08,247600,0.0,-2.14,-2.03,-0.36,0.56
奎斯特诊疗,DGX,2000-01-18,-18.11,-17.93,-17.92,-18.12,488000,0.0,-1.11,0.83,0.15,1.1
奎斯特诊疗,DGX,2000-01-19,-17.97,-17.98,-17.86,-17.98,753600,0.0,-0.67,-0.28,-0.05,1.7
奎斯特诊疗,DGX,2000-01-20,-17.93,-17.93,-17.92,-18.0,338800,0.0,-0.44,0.28,0.05,0.76
奎斯特诊疗,DGX,2000-01-21,-18.01,-17.93,-17.9,-18.01,960000,0.0,-0.61,0.0,0.0,2.16
奎斯特诊疗,DGX,2000-01-24,-17.95,-17.92,-17.89,-17.95,377600,0.0,-0.33,0.06,0.01,0.85
奎斯特诊疗,DGX,2000-01-25,-17.92,-17.84,-17.78,-17.95,1645200,0.0,-0.95,0.45,0.08,3.71
奎斯特诊疗,DGX,2000-01-26,-17.84,-16.86,-16.64,-17.84,1594400,0.0,-6.73,5.49,0.98,3.59
奎斯特诊疗,DGX,2000-01-27,-16.84,-17.61,-16.76,-17.61,1410000,0.0,-5.04,-4.45,-0.75,3.18
奎斯特诊疗,DGX,2000-01-28,-17.54,-17.45,-17.25,-17.54,1099200,0.0,-1.65,0.91,0.16,2.48
奎斯特诊疗,DGX,2000-01-31,-17.4,-17.36,-17.32,-17.4,600000,0.0,-0.46,0.52,0.09,1.35
奎斯特诊疗,DGX,2000-02-01,-17.36,-17.48,-17.36,-17.56,222000,0.0,-1.15,-0.69,-0.12,0.5
奎斯特诊疗,DGX,2000-02-02,-17.45,-17.47,-17.32,-17.51,465200,0.0,-1.09,0.06,0.01,1.05
奎斯特诊疗,DGX,2000-02-03,-17.36,-17.25,-17.14,-17.37,506400,0.0,-1.32,1.26,0.22,1.14
奎斯特诊疗,DGX,2000-02-04,-17.23,-17.06,-16.95,-17.23,474400,0.0,-1.62,1.1,0.19,1.07
奎斯特诊疗,DGX,2000-02-07,-17.09,-17.0,-16.97,-17.09,772000,0.0,-0.7,0.35,0.06,1.74
奎斯特诊疗,DGX,2000-02-08,-17.0,-16.92,-16.92,-17.0,453600,0.0,-0.47,0.47,0.08,1.02
奎斯特诊疗,DGX,2000-02-09,-16.86,-16.82,-16.72,-16.98,890000,0.0,-1.54,0.59,0.1,2.01
奎斯特诊疗,DGX,2000-02-10,-16.73,-16.76,-16.7,-16.81,413600,0.0,-0.65,0.36,0.06,0.93
奎斯特诊疗,DGX,2000-02-11,-16.75,-17.03,-16.75,-17.03,346400,0.0,-1.67,-1.61,-0.27,0.78
奎斯特诊疗,DGX,2000-02-14,-17.07,-17.2,-17.07,-17.25,222400,0.0,-1.06,-1.0,-0.17,0.5
奎斯特诊疗,DGX,2000-02-15,-17.17,-17.14,-17.11,-17.18,575600,0.0,-0.41,0.35,0.06,1.3
奎斯特诊疗,DGX,2000-02-16,-17.12,-17.06,-17.04,-17.13,1335200,0.0,-0.53,0.47,0.08,3.01
奎斯特诊疗,DGX,2000-02-17,-17.0,-17.03,-16.79,-17.03,867600,0.0,-1.41,0.18,0.03,1.96
