股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
丹纳赫,DHR,2000-01-03,4.22,3.85,4.32,3.72,1118000,0.0,14.02,-10.05,-0.43,0.78
丹纳赫,DHR,2000-01-04,3.91,3.42,3.92,3.35,1838400,0.0,14.81,-11.17,-0.43,1.29
丹纳赫,DHR,2000-01-05,3.53,3.55,3.78,3.32,2164400,0.0,13.45,3.8,0.13,1.52
丹纳赫,DHR,2000-01-06,3.42,3.67,3.94,3.16,971200,0.0,21.97,3.38,0.12,0.68
丹纳赫,DHR,2000-01-07,3.72,3.77,3.85,3.66,1328000,0.0,5.18,2.72,0.1,0.93
丹纳赫,DHR,2000-01-10,3.83,4.0,4.0,3.82,1965600,0.0,4.77,6.1,0.23,1.38
丹纳赫,DHR,2000-01-11,3.97,3.71,4.03,3.67,1416000,0.0,9.0,-7.25,-0.29,0.99
丹纳赫,DHR,2000-01-12,3.66,3.39,3.67,3.3,972000,0.0,9.97,-8.63,-0.32,0.68
丹纳赫,DHR,2000-01-13,3.49,3.57,3.66,3.49,2308400,0.0,5.01,5.31,0.18,1.62
丹纳赫,DHR,2000-01-14,3.53,3.57,3.6,3.3,1324800,0.0,8.4,0.0,0.0,0.93
丹纳赫,DHR,2000-01-18,3.44,3.25,3.44,3.19,1495200,0.0,7.0,-8.96,-0.32,1.05
丹纳赫,DHR,2000-01-19,3.19,3.13,3.28,3.03,2194800,0.0,7.69,-3.69,-0.12,1.54
丹纳赫,DHR,2000-01-20,3.11,2.89,3.13,2.8,896400,0.0,10.54,-7.67,-0.24,0.63
丹纳赫,DHR,2000-01-21,2.89,2.52,2.89,2.35,3358400,0.0,18.69,-12.8,-0.37,2.36
丹纳赫,DHR,2000-01-24,2.47,1.72,2.47,1.71,3403200,0.0,30.16,-31.75,-0.8,2.39
丹纳赫,DHR,2000-01-25,1.78,2.3,2.35,1.78,2884400,0.0,33.14,33.72,0.58,2.02
丹纳赫,DHR,2000-01-26,2.3,2.6,2.69,2.27,1750800,0.0,18.26,13.04,0.3,1.23
丹纳赫,DHR,2000-01-27,2.32,2.61,2.86,2.3,3212000,0.0,21.54,0.38,0.01,2.25
丹纳赫,DHR,2000-01-28,2.61,2.78,2.83,2.55,2974400,0.0,10.73,6.51,0.17,2.09
丹纳赫,DHR,2000-01-31,2.77,3.0,3.39,2.77,3440000,0.0,22.3,7.91,0.22,2.42
丹纳赫,DHR,2000-02-01,2.99,3.03,3.07,2.92,2478400,0.0,5.0,1.0,0.03,1.74
丹纳赫,DHR,2000-02-02,3.0,3.02,3.22,2.96,1636800,0.0,8.58,-0.33,-0.01,1.15
丹纳赫,DHR,2000-02-03,3.05,3.11,3.21,3.0,703200,0.0,6.95,2.98,0.09,0.49
丹纳赫,DHR,2000-02-04,3.19,3.03,3.21,2.97,849600,0.0,7.72,-2.57,-0.08,0.6
丹纳赫,DHR,2000-02-07,3.03,3.0,3.17,2.82,1900800,0.0,11.55,-0.99,-0.03,1.33
丹纳赫,DHR,2000-02-08,3.0,3.17,3.28,3.0,1926400,0.0,9.33,5.67,0.17,1.35
丹纳赫,DHR,2000-02-09,3.21,3.13,3.24,3.08,2443600,0.0,5.05,-1.26,-0.04,1.72
丹纳赫,DHR,2000-02-10,3.1,2.64,3.14,2.6,1044400,0.0,17.25,-15.65,-0.49,0.73
丹纳赫,DHR,2000-02-11,2.72,2.49,2.8,2.36,1803200,0.0,16.67,-5.68,-0.15,1.27
丹纳赫,DHR,2000-02-14,2.46,2.46,2.5,2.32,1288400,0.0,7.23,-1.2,-0.03,0.9
丹纳赫,DHR,2000-02-15,2.41,2.52,2.6,2.38,2023200,0.0,8.94,2.44,0.06,1.42
丹纳赫,DHR,2000-02-16,2.42,2.44,2.55,2.42,1737200,0.0,5.16,-3.17,-0.08,1.22
丹纳赫,DHR,2000-02-17,2.46,2.46,2.61,2.44,1164000,0.0,6.97,0.82,0.02,0.82
丹纳赫,DHR,2000-02-18,2.46,2.19,2.5,2.05,2006800,0.0,18.29,-10.98,-0.27,1.41
丹纳赫,DHR,2000-02-22,2.19,2.16,2.35,2.03,1860400,0.0,14.61,-1.37,-0.03,1.31
丹纳赫,DHR,2000-02-24,2.05,1.86,2.1,1.6,2229600,0.0,23.15,-13.89,-0.3,1.57
丹纳赫,DHR,2000-02-25,1.8,1.83,2.02,1.69,1166400,0.0,17.74,-1.61,-0.03,0.82
丹纳赫,DHR,2000-02-28,1.91,2.03,2.13,1.71,1027200,0.0,22.95,10.93,0.2,0.72
丹纳赫,DHR,2000-02-29,2.03,2.42,2.52,2.03,2900000,0.0,24.14,19.21,0.39,2.04
