股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
数字房地产信托,DLR,2004-10-29,-46.11,-46.11,-46.1,-46.11,5951800,0.0,-0.02,0.0,0.0,29.76
数字房地产信托,DLR,2004-11-01,-46.11,-46.11,-46.1,-46.11,760200,0.0,-0.02,0.0,0.0,3.8
数字房地产信托,DLR,2004-11-02,-46.11,-46.11,-46.1,-46.11,950100,0.0,-0.02,0.0,0.0,4.75
数字房地产信托,DLR,2004-11-03,-46.09,-45.96,-45.91,-46.1,433600,0.0,-0.41,0.33,0.15,2.17
数字房地产信托,DLR,2004-11-04,-45.93,-46.05,-45.93,-46.06,311200,0.0,-0.28,-0.2,-0.09,1.56
数字房地产信托,DLR,2004-11-05,-46.06,-46.03,-46.01,-46.11,391800,0.0,-0.22,0.04,0.02,1.96
数字房地产信托,DLR,2004-11-08,-45.98,-46.1,-45.98,-46.11,91100,0.0,-0.28,-0.15,-0.07,0.46
数字房地产信托,DLR,2004-11-09,-46.11,-46.1,-46.05,-46.11,97600,0.0,-0.13,0.0,0.0,0.49
数字房地产信托,DLR,2004-11-10,-46.11,-46.1,-46.07,-46.11,177500,0.0,-0.09,0.0,0.0,0.89
数字房地产信托,DLR,2004-11-11,-46.11,-46.09,-46.09,-46.11,92700,0.0,-0.04,0.02,0.01,0.46
数字房地产信托,DLR,2004-11-12,-46.1,-45.82,-45.73,-46.1,354900,0.0,-0.8,0.59,0.27,1.77
数字房地产信托,DLR,2004-11-15,-45.79,-45.72,-45.66,-45.91,268100,0.0,-0.55,0.22,0.1,1.34
数字房地产信托,DLR,2004-11-16,-45.62,-45.61,-45.46,-45.8,232700,0.0,-0.74,0.24,0.11,1.16
数字房地产信托,DLR,2004-11-17,-45.56,-45.6,-45.51,-45.76,425000,0.0,-0.55,0.02,0.01,2.13
数字房地产信托,DLR,2004-11-18,-45.61,-45.39,-45.37,-45.61,179700,0.0,-0.53,0.46,0.21,0.9
数字房地产信托,DLR,2004-11-19,-45.39,-45.4,-45.37,-45.61,182800,0.0,-0.53,-0.02,-0.01,0.91
数字房地产信托,DLR,2004-11-22,-45.5,-45.48,-45.38,-45.6,105200,0.0,-0.48,-0.18,-0.08,0.53
数字房地产信托,DLR,2004-11-23,-45.56,-45.31,-45.16,-45.59,204200,0.0,-0.95,0.37,0.17,1.02
数字房地产信托,DLR,2004-11-24,-45.36,-45.32,-45.16,-45.41,141700,0.0,-0.55,-0.02,-0.01,0.71
数字房地产信托,DLR,2004-11-26,-45.71,-45.46,-45.33,-45.71,42900,0.0,-0.84,-0.31,-0.14,0.21
数字房地产信托,DLR,2004-11-29,-45.46,-45.43,-45.36,-45.56,174200,0.0,-0.44,0.07,0.03,0.87
数字房地产信托,DLR,2004-11-30,-45.45,-45.35,-45.26,-45.46,148800,0.0,-0.44,0.18,0.08,0.74
数字房地产信托,DLR,2004-12-01,-45.45,-44.96,-44.94,-45.45,162500,0.0,-1.12,0.86,0.39,0.81
数字房地产信托,DLR,2004-12-02,-45.06,-45.16,-45.04,-45.33,212800,0.0,-0.65,-0.44,-0.2,1.06
数字房地产信托,DLR,2004-12-03,-45.21,-44.96,-44.91,-45.21,138300,0.0,-0.66,0.44,0.2,0.69
数字房地产信托,DLR,2004-12-06,-44.95,-44.99,-44.92,-45.06,126600,0.0,-0.31,-0.07,-0.03,0.63
数字房地产信托,DLR,2004-12-07,-45.05,-45.11,-44.91,-45.11,116200,0.0,-0.44,-0.27,-0.12,0.58
数字房地产信托,DLR,2004-12-08,-45.31,-45.25,-45.11,-45.41,112300,0.0,-0.67,-0.31,-0.14,0.56
数字房地产信托,DLR,2004-12-09,-45.25,-45.26,-45.16,-45.61,139100,0.0,-0.99,-0.02,-0.01,0.7
数字房地产信托,DLR,2004-12-10,-45.36,-45.14,-45.06,-45.56,186000,0.0,-1.1,0.27,0.12,0.93
数字房地产信托,DLR,2004-12-13,-45.24,-45.2,-45.07,-45.41,215700,0.0,-0.75,-0.13,-0.06,1.08
数字房地产信托,DLR,2004-12-14,-45.3,-45.21,-45.01,-45.32,169400,0.0,-0.69,-0.02,-0.01,0.85
数字房地产信托,DLR,2004-12-15,-45.11,-45.06,-44.97,-45.22,200300,0.0,-0.55,0.33,0.15,1.0
数字房地产信托,DLR,2004-12-16,-45.08,-45.06,-45.02,-45.18,230000,0.0,-0.36,0.0,0.0,1.15
数字房地产信托,DLR,2004-12-17,-45.06,-44.71,-44.56,-45.17,882700,0.0,-1.35,0.78,0.35,4.41
数字房地产信托,DLR,2004-12-20,-44.61,-44.77,-44.61,-45.11,222800,0.0,-1.12,-0.13,-0.06,1.11
数字房地产信托,DLR,2004-12-21,-44.71,-44.66,-44.61,-44.82,82100,0.0,-0.47,0.25,0.11,0.41
数字房地产信托,DLR,2004-12-22,-44.71,-44.41,-44.41,-44.9,194000,0.0,-1.1,0.56,0.25,0.97
数字房地产信托,DLR,2004-12-23,-44.41,-44.17,-44.01,-44.46,100100,0.0,-1.01,0.54,0.24,0.5
数字房地产信托,DLR,2004-12-27,-44.11,-44.51,-44.07,-44.59,112500,0.0,-1.18,-0.77,-0.34,0.56
数字房地产信托,DLR,2004-12-28,-44.43,-44.58,-44.34,-44.64,111100,0.0,-0.67,-0.16,-0.07,0.56
数字房地产信托,DLR,2004-12-29,-45.01,-44.68,-44.49,-45.01,108200,0.0,-1.17,-0.22,-0.1,0.54
数字房地产信托,DLR,2004-12-30,-44.63,-44.66,-44.39,-44.76,48900,0.0,-0.83,0.04,0.02,0.24
数字房地产信托,DLR,2004-12-31,-44.67,-44.49,-44.27,-44.67,55500,0.0,-0.9,0.38,0.17,0.26
数字房地产信托,DLR,2007-09-17,-18.09,-18.48,-17.97,-18.87,754200,0.0,-2.02,58.46,26.01,1.36
数字房地产信托,DLR,2007-09-18,-18.22,-17.58,-17.38,-19.16,1234800,0.0,-9.63,4.87,0.9,2.22
数字房地产信托,DLR,2007-09-19,-17.51,-15.78,-15.04,-17.51,662600,0.0,-14.05,10.24,1.8,1.19
数字房地产信托,DLR,2007-09-20,-15.77,-16.72,-15.68,-17.04,445700,0.0,-8.62,-5.96,-0.94,0.8
数字房地产信托,DLR,2007-09-21,-16.54,-17.29,-16.2,-17.29,462400,0.0,-6.52,-3.41,-0.57,0.83
数字房地产信托,DLR,2007-09-24,-17.35,-17.01,-16.75,-17.51,358400,0.0,-4.4,1.62,0.28,0.64
数字房地产信托,DLR,2007-09-25,-17.33,-17.28,-17.11,-17.98,191400,0.0,-5.11,-1.59,-0.27,0.34
数字房地产信托,DLR,2007-09-26,-17.1,-16.32,-16.0,-17.28,299800,0.0,-7.41,5.56,0.96,0.54
数字房地产信托,DLR,2007-09-27,-16.0,-15.42,-15.34,-16.13,386400,0.0,-4.84,5.51,0.9,0.7
数字房地产信托,DLR,2007-09-28,-15.52,-15.63,-15.52,-16.27,424900,0.0,-4.86,-1.36,-0.21,0.76
数字房地产信托,DLR,2007-10-01,-15.38,-14.05,-13.77,-15.67,467300,0.0,-12.16,10.11,1.58,0.84
数字房地产信托,DLR,2007-10-02,-14.02,-14.09,-13.84,-14.48,339900,0.0,-4.56,-0.28,-0.04,0.61
数字房地产信托,DLR,2007-10-03,-14.27,-15.07,-14.25,-15.07,323800,0.0,-5.82,-6.96,-0.98,0.58
数字房地产信托,DLR,2007-10-04,-14.83,-14.51,-14.31,-15.33,298100,0.0,-6.77,3.72,0.56,0.54
数字房地产信托,DLR,2007-10-05,-13.71,-13.82,-13.52,-14.43,408800,0.0,-6.27,4.76,0.69,0.74
数字房地产信托,DLR,2007-10-08,-14.07,-14.02,-13.74,-14.56,496200,0.0,-5.93,-1.45,-0.2,0.89
数字房地产信托,DLR,2007-10-09,-14.02,-13.85,-13.36,-14.5,432100,0.0,-8.13,1.21,0.17,0.78
数字房地产信托,DLR,2007-10-10,-13.66,-14.28,-13.41,-14.52,638100,0.0,-8.01,-3.1,-0.43,1.15
数字房地产信托,DLR,2007-10-11,-14.16,-14.43,-14.03,-14.99,365500,0.0,-6.72,-1.05,-0.15,0.66
数字房地产信托,DLR,2007-10-12,-15.44,-15.52,-15.02,-16.02,458900,0.0,-6.93,-7.55,-1.09,0.83
数字房地产信托,DLR,2007-10-15,-15.42,-15.44,-15.42,-16.02,399800,0.0,-3.87,0.52,0.08,0.72
数字房地产信托,DLR,2007-10-16,-15.72,-15.64,-15.34,-16.16,538100,0.0,-5.31,-1.3,-0.2,0.97
数字房地产信托,DLR,2007-10-17,-14.13,-13.97,-13.66,-14.73,2510100,0.0,-6.84,10.68,1.67,4.52
数字房地产信托,DLR,2007-10-18,-14.17,-12.52,-12.08,-14.4,685500,0.0,-16.61,10.38,1.45,1.23
