股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
达美乐比萨(US),DPZ,2004-07-13,-50.75,-51.25,-50.65,-51.26,14948900,0.0,-1.2,-0.99,-0.5,21.77
达美乐比萨(US),DPZ,2004-07-14,-51.25,-51.31,-51.2,-51.84,2800300,0.0,-1.25,-0.12,-0.06,4.08
达美乐比萨(US),DPZ,2004-07-15,-51.3,-50.91,-50.9,-51.4,1276200,0.0,-0.97,0.78,0.4,1.86
达美乐比萨(US),DPZ,2004-07-16,-50.88,-50.92,-50.85,-51.24,1488200,0.0,-0.77,-0.02,-0.01,2.17
达美乐比萨(US),DPZ,2004-07-19,-50.95,-51.23,-50.95,-51.4,966100,0.0,-0.88,-0.61,-0.31,1.41
达美乐比萨(US),DPZ,2004-07-20,-51.23,-50.82,-50.82,-51.34,719300,0.0,-1.02,0.8,0.41,1.05
达美乐比萨(US),DPZ,2004-07-21,-50.81,-51.15,-50.81,-51.25,472300,0.0,-0.87,-0.65,-0.33,0.69
达美乐比萨(US),DPZ,2004-07-22,-51.15,-51.15,-51.1,-51.42,218500,0.0,-0.63,0.0,0.0,0.32
达美乐比萨(US),DPZ,2004-07-23,-51.35,-51.19,-51.13,-51.35,268500,0.0,-0.43,-0.08,-0.04,0.39
达美乐比萨(US),DPZ,2004-07-26,-51.25,-51.55,-51.25,-51.7,236200,0.0,-0.88,-0.7,-0.36,0.34
达美乐比萨(US),DPZ,2004-07-27,-51.55,-52.0,-51.55,-52.35,2663000,0.0,-1.55,-0.87,-0.45,3.88
达美乐比萨(US),DPZ,2004-07-28,-51.9,-51.72,-51.63,-51.91,1028100,0.0,-0.54,0.54,0.28,1.5
达美乐比萨(US),DPZ,2004-07-29,-51.65,-50.97,-50.97,-51.65,1013100,0.0,-1.31,1.45,0.75,1.48
达美乐比萨(US),DPZ,2004-07-30,-51.03,-50.85,-50.85,-51.2,623000,0.0,-0.69,0.24,0.12,0.91
达美乐比萨(US),DPZ,2004-08-02,-50.95,-51.05,-50.95,-51.2,329400,0.0,-0.49,-0.39,-0.2,0.48
达美乐比萨(US),DPZ,2004-08-03,-51.05,-50.81,-50.67,-51.05,1556900,0.0,-0.74,0.47,0.24,2.27
达美乐比萨(US),DPZ,2004-08-04,-50.71,-50.85,-50.71,-50.87,156300,0.0,-0.31,-0.08,-0.04,0.23
达美乐比萨(US),DPZ,2004-08-05,-50.81,-50.86,-50.75,-50.89,188100,0.0,-0.28,-0.02,-0.01,0.27
达美乐比萨(US),DPZ,2004-08-06,-50.93,-50.95,-50.75,-51.05,276300,0.0,-0.59,-0.18,-0.09,0.4
达美乐比萨(US),DPZ,2004-08-09,-51.0,-51.05,-50.95,-51.25,212100,0.0,-0.59,-0.2,-0.1,0.31
达美乐比萨(US),DPZ,2004-08-10,-51.05,-50.96,-50.9,-51.1,272400,0.0,-0.39,0.18,0.09,0.4
达美乐比萨(US),DPZ,2004-08-11,-50.95,-51.05,-50.87,-51.15,166800,0.0,-0.55,-0.18,-0.09,0.24
达美乐比萨(US),DPZ,2004-08-12,-51.1,-51.12,-51.0,-51.17,284700,0.0,-0.33,-0.14,-0.07,0.41
达美乐比萨(US),DPZ,2004-08-13,-51.07,-51.35,-51.05,-51.4,104900,0.0,-0.68,-0.45,-0.23,0.15
达美乐比萨(US),DPZ,2004-08-16,-51.35,-51.27,-51.2,-51.35,86400,0.0,-0.29,0.16,0.08,0.13
达美乐比萨(US),DPZ,2004-08-17,-51.35,-51.3,-51.1,-51.5,161100,0.0,-0.78,-0.06,-0.03,0.23
达美乐比萨(US),DPZ,2004-08-18,-51.23,-51.14,-51.11,-51.4,43000,0.0,-0.57,0.31,0.16,0.06
达美乐比萨(US),DPZ,2004-08-19,-51.15,-51.45,-51.15,-52.0,124000,0.0,-1.66,-0.61,-0.31,0.18
达美乐比萨(US),DPZ,2004-08-20,-51.5,-51.11,-51.11,-51.65,112300,0.0,-1.05,0.66,0.34,0.16
达美乐比萨(US),DPZ,2004-08-23,-51.05,-50.9,-50.84,-51.15,442500,0.0,-0.61,0.41,0.21,0.64
达美乐比萨(US),DPZ,2004-08-24,-51.0,-50.95,-50.95,-51.3,607400,0.0,-0.69,-0.1,-0.05,0.88
达美乐比萨(US),DPZ,2004-08-25,-50.95,-50.95,-50.86,-51.24,307300,0.0,-0.75,0.0,0.0,0.45
达美乐比萨(US),DPZ,2004-08-26,-50.85,-51.05,-50.85,-51.05,104300,0.0,-0.39,-0.2,-0.1,0.15
达美乐比萨(US),DPZ,2004-08-27,-51.0,-50.71,-50.67,-51.0,880600,0.0,-0.65,0.67,0.34,1.28
达美乐比萨(US),DPZ,2004-08-30,-50.75,-50.73,-50.6,-50.85,265000,0.0,-0.49,-0.04,-0.02,0.39
达美乐比萨(US),DPZ,2004-08-31,-50.8,-50.5,-50.5,-50.8,401800,0.0,-0.59,0.45,0.23,0.59
达美乐比萨(US),DPZ,2004-09-01,-50.5,-50.3,-50.16,-50.5,421400,0.0,-0.67,0.4,0.2,0.61
达美乐比萨(US),DPZ,2004-09-02,-50.25,-50.45,-50.25,-50.6,273800,0.0,-0.7,-0.3,-0.15,0.4
达美乐比萨(US),DPZ,2004-09-03,-50.7,-50.75,-50.55,-51.0,310100,0.0,-0.89,-0.59,-0.3,0.45
达美乐比萨(US),DPZ,2004-09-07,-50.75,-50.88,-50.7,-51.1,329000,0.0,-0.79,-0.26,-0.13,0.48
达美乐比萨(US),DPZ,2004-09-08,-50.98,-50.96,-50.88,-51.05,178000,0.0,-0.33,-0.16,-0.08,0.26
达美乐比萨(US),DPZ,2004-09-09,-51.06,-50.97,-50.8,-51.06,163500,0.0,-0.51,-0.02,-0.01,0.24
达美乐比萨(US),DPZ,2004-09-10,-50.6,-50.38,-50.38,-50.85,1073900,0.0,-0.92,1.16,0.59,1.56
达美乐比萨(US),DPZ,2004-09-13,-50.45,-50.4,-50.25,-50.48,394400,0.0,-0.46,-0.04,-0.02,0.57
达美乐比萨(US),DPZ,2004-09-14,-50.31,-49.92,-49.85,-50.47,500500,0.0,-1.23,0.95,0.48,0.73
达美乐比萨(US),DPZ,2004-09-15,-49.75,-49.53,-49.38,-49.85,1028700,0.0,-0.94,0.78,0.39,1.5
达美乐比萨(US),DPZ,2004-09-16,-49.53,-49.27,-49.25,-49.53,531000,0.0,-0.57,0.52,0.26,0.77
达美乐比萨(US),DPZ,2004-09-17,-49.35,-49.55,-49.35,-49.65,270400,0.0,-0.61,-0.57,-0.28,0.39
达美乐比萨(US),DPZ,2004-09-20,-49.55,-49.5,-49.27,-49.6,185700,0.0,-0.67,0.1,0.05,0.27
达美乐比萨(US),DPZ,2004-09-21,-49.42,-49.35,-49.22,-49.53,241000,0.0,-0.63,0.3,0.15,0.35
达美乐比萨(US),DPZ,2004-09-22,-49.5,-49.64,-49.4,-49.95,351900,0.0,-1.11,-0.59,-0.29,0.51
达美乐比萨(US),DPZ,2004-09-23,-49.74,-49.78,-49.55,-49.87,181000,0.0,-0.64,-0.28,-0.14,0.26
达美乐比萨(US),DPZ,2004-09-24,-49.7,-49.71,-49.55,-49.9,215900,0.0,-0.7,0.14,0.07,0.31
达美乐比萨(US),DPZ,2004-09-27,-49.75,-49.87,-49.73,-50.1,344400,0.0,-0.74,-0.32,-0.16,0.5
达美乐比萨(US),DPZ,2004-09-28,-49.95,-49.5,-49.5,-50.13,223500,0.0,-1.26,0.74,0.37,0.33
达美乐比萨(US),DPZ,2004-09-29,-49.4,-49.7,-49.35,-49.8,757800,0.0,-0.91,-0.4,-0.2,1.1
达美乐比萨(US),DPZ,2004-09-30,-49.7,-50.05,-49.64,-50.05,1272800,0.0,-0.82,-0.7,-0.35,1.85
达美乐比萨(US),DPZ,2004-10-01,-49.95,-50.15,-49.9,-50.5,733500,0.0,-1.2,-0.2,-0.1,1.07
达美乐比萨(US),DPZ,2004-10-04,-49.8,-49.77,-49.75,-50.01,319200,0.0,-0.52,0.76,0.38,0.46
达美乐比萨(US),DPZ,2004-10-05,-49.85,-49.43,-49.28,-50.09,590600,0.0,-1.63,0.68,0.34,0.86
达美乐比萨(US),DPZ,2004-10-06,-49.48,-48.85,-48.74,-49.48,808600,0.0,-1.5,1.17,0.58,1.18
达美乐比萨(US),DPZ,2004-10-07,-48.78,-48.84,-48.6,-49.2,897900,0.0,-1.23,0.02,0.01,1.31
达美乐比萨(US),DPZ,2004-10-08,-48.9,-48.8,-48.55,-48.95,537700,0.0,-0.82,0.08,0.04,0.78
达美乐比萨(US),DPZ,2004-10-11,-48.75,-48.75,-48.5,-48.88,400500,0.0,-0.78,0.1,0.05,0.58
达美乐比萨(US),DPZ,2004-10-12,-48.68,-48.79,-48.4,-49.0,618900,0.0,-1.23,-0.08,-0.04,0.9
达美乐比萨(US),DPZ,2004-10-13,-48.7,-48.59,-48.56,-48.75,207200,0.0,-0.39,0.41,0.2,0.3
达美乐比萨(US),DPZ,2004-10-14,-48.75,-48.86,-48.66,-48.98,386200,0.0,-0.66,-0.56,-0.27,0.56
达美乐比萨(US),DPZ,2004-10-15,-48.86,-48.77,-48.56,-48.86,285700,0.0,-0.61,0.18,0.09,0.42
达美乐比萨(US),DPZ,2004-10-18,-48.75,-48.85,-48.49,-48.85,389800,0.0,-0.74,-0.16,-0.08,0.57
达美乐比萨(US),DPZ,2004-10-19,-48.75,-49.16,-48.15,-49.25,682700,0.0,-2.25,-0.63,-0.31,0.99
达美乐比萨(US),DPZ,2004-10-20,-49.06,-49.14,-49.05,-49.33,389700,0.0,-0.57,0.04,0.02,0.57
达美乐比萨(US),DPZ,2004-10-21,-49.2,-48.97,-48.84,-49.24,124400,0.0,-0.81,0.35,0.17,0.18
达美乐比萨(US),DPZ,2004-10-22,-49.04,-48.9,-48.75,-49.15,270300,0.0,-0.82,0.14,0.07,0.39
达美乐比萨(US),DPZ,2004-10-25,-48.8,-48.82,-48.8,-49.03,131900,0.0,-0.47,0.16,0.08,0.19
达美乐比萨(US),DPZ,2004-10-26,-48.81,-48.87,-48.8,-49.12,288500,0.0,-0.66,-0.1,-0.05,0.42
达美乐比萨(US),DPZ,2004-10-27,-48.83,-48.81,-48.77,-49.0,301800,0.0,-0.47,0.12,0.06,0.44
达美乐比萨(US),DPZ,2004-10-28,-48.77,-48.82,-48.76,-48.97,172300,0.0,-0.43,-0.02,-0.01,0.25
达美乐比萨(US),DPZ,2004-10-29,-48.79,-48.35,-48.35,-48.81,545700,0.0,-0.94,0.96,0.47,0.79
达美乐比萨(US),DPZ,2004-11-01,-48.3,-47.95,-47.76,-48.59,288600,0.0,-1.72,0.83,0.4,0.42
达美乐比萨(US),DPZ,2004-11-02,-47.95,-47.85,-47.72,-47.95,139200,0.0,-0.48,0.21,0.1,0.2
达美乐比萨(US),DPZ,2004-11-03,-47.6,-47.87,-47.4,-48.1,324100,0.0,-1.46,-0.04,-0.02,0.47
达美乐比萨(US),DPZ,2004-11-04,-47.82,-48.07,-47.7,-48.2,247200,0.0,-1.04,-0.42,-0.2,0.36
达美乐比萨(US),DPZ,2004-11-05,-47.91,-47.75,-47.7,-47.94,621800,0.0,-0.5,0.67,0.32,0.91
达美乐比萨(US),DPZ,2004-11-08,-47.7,-47.94,-47.69,-48.03,117000,0.0,-0.71,-0.4,-0.19,0.17
达美乐比萨(US),DPZ,2004-11-09,-48.03,-48.1,-47.82,-48.11,150100,0.0,-0.6,-0.33,-0.16,0.22
达美乐比萨(US),DPZ,2004-11-10,-48.0,-47.88,-47.65,-48.05,118800,0.0,-0.83,0.46,0.22,0.17
达美乐比萨(US),DPZ,2004-11-11,-47.95,-47.02,-47.01,-47.95,487200,0.0,-1.96,1.8,0.86,0.71
达美乐比萨(US),DPZ,2004-11-12,-47.3,-46.77,-46.77,-47.4,116800,0.0,-1.34,0.53,0.25,0.17
达美乐比萨(US),DPZ,2004-11-15,-46.77,-47.1,-46.77,-47.19,119400,0.0,-0.9,-0.71,-0.33,0.17
达美乐比萨(US),DPZ,2004-11-16,-47.05,-47.35,-46.95,-47.35,92700,0.0,-0.85,-0.53,-0.25,0.14
达美乐比萨(US),DPZ,2004-11-17,-47.25,-47.25,-46.63,-47.35,256100,0.0,-1.52,0.21,0.1,0.37
达美乐比萨(US),DPZ,2004-11-18,-47.25,-47.3,-47.17,-47.61,305600,0.0,-0.93,-0.11,-0.05,0.45
达美乐比萨(US),DPZ,2004-11-19,-47.3,-47.2,-46.95,-47.43,193300,0.0,-1.01,0.21,0.1,0.28
达美乐比萨(US),DPZ,2004-11-22,-47.45,-47.25,-46.93,-47.46,72800,0.0,-1.12,-0.11,-0.05,0.11
达美乐比萨(US),DPZ,2004-11-23,-47.19,-46.91,-46.8,-47.19,353600,0.0,-0.83,0.72,0.34,0.52
