股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
达登饭店,DRI,2000-01-03,-28.37,-28.83,-28.33,-28.87,269200,0.0,-1.91,-1.91,-0.54,0.22
达登饭店,DRI,2000-01-04,-28.83,-28.91,-28.67,-29.04,185700,0.0,-1.28,-0.28,-0.08,0.15
达登饭店,DRI,2000-01-05,-29.0,-28.5,-28.33,-29.0,266400,0.0,-2.32,1.42,0.41,0.22
达登饭店,DRI,2000-01-06,-28.58,-28.63,-28.25,-28.63,133200,0.0,-1.33,-0.46,-0.13,0.11
达登饭店,DRI,2000-01-07,-28.54,-28.79,-28.21,-28.79,446600,0.0,-2.03,-0.56,-0.16,0.36
达登饭店,DRI,2000-01-10,-28.83,-28.71,-28.58,-28.83,190800,0.0,-0.87,0.28,0.08,0.15
达登饭店,DRI,2000-01-11,-28.71,-28.25,-28.17,-28.71,278200,0.0,-1.88,1.6,0.46,0.23
达登饭店,DRI,2000-01-12,-28.29,-28.67,-28.25,-28.79,774900,0.0,-1.91,-1.49,-0.42,0.63
达登饭店,DRI,2000-01-13,-28.54,-27.96,-27.87,-28.63,647600,0.0,-2.65,2.48,0.71,0.52
达登饭店,DRI,2000-01-14,-27.96,-27.79,-27.71,-27.96,237300,0.0,-0.89,0.61,0.17,0.19
达登饭店,DRI,2000-01-18,-27.87,-27.96,-27.71,-28.12,274600,0.0,-1.48,-0.61,-0.17,0.22
达登饭店,DRI,2000-01-19,-27.96,-28.17,-27.91,-28.29,554800,0.0,-1.36,-0.75,-0.21,0.45
达登饭店,DRI,2000-01-20,-28.25,-28.63,-28.21,-28.71,463500,0.0,-1.77,-1.63,-0.46,0.37
达登饭店,DRI,2000-01-21,-28.46,-28.67,-28.46,-28.67,470000,0.0,-0.73,-0.14,-0.04,0.38
达登饭店,DRI,2000-01-24,-28.5,-28.96,-28.5,-29.04,471400,0.0,-1.88,-1.01,-0.29,0.38
达登饭店,DRI,2000-01-25,-29.08,-29.29,-29.04,-29.33,519800,0.0,-1.0,-1.14,-0.33,0.42
达登饭店,DRI,2000-01-26,-29.17,-29.33,-29.17,-29.46,602800,0.0,-0.99,-0.14,-0.04,0.49
达登饭店,DRI,2000-01-27,-29.33,-29.37,-29.25,-29.54,376200,0.0,-0.99,-0.14,-0.04,0.3
达登饭店,DRI,2000-01-28,-29.46,-29.87,-29.46,-29.91,798000,0.0,-1.53,-1.7,-0.5,0.65
达登饭店,DRI,2000-01-31,-29.87,-29.79,-29.67,-30.0,385000,0.0,-1.1,0.27,0.08,0.31
达登饭店,DRI,2000-02-01,-29.79,-30.12,-29.71,-30.21,425700,0.0,-1.68,-1.11,-0.33,0.34
达登饭店,DRI,2000-02-02,-30.12,-29.83,-29.83,-30.87,2485000,0.0,-3.45,0.96,0.29,2.01
达登饭店,DRI,2000-02-03,-29.79,-29.58,-29.58,-29.96,376400,0.0,-1.27,0.84,0.25,0.3
达登饭店,DRI,2000-02-04,-29.63,-29.21,-29.21,-29.63,1167300,0.0,-1.42,1.25,0.37,0.94
