股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
艺电,EA,2001-01-02,8.57,7.39,8.61,6.92,2239800,0.0,0.0,0.0,0.0,1.72
艺电,EA,2001-01-03,7.36,7.74,7.9,7.28,4486800,0.0,8.39,4.74,0.35,3.45
艺电,EA,2001-01-04,7.53,7.82,7.95,7.42,6689400,0.0,6.85,1.03,0.08,5.15
艺电,EA,2001-01-05,7.84,6.46,7.9,6.46,8236000,0.0,18.41,-17.39,-1.36,6.34
艺电,EA,2001-01-08,6.37,6.86,6.9,6.31,3447400,0.0,9.13,6.19,0.4,2.65
艺电,EA,2001-01-09,7.03,7.17,7.4,6.92,2390000,0.0,7.0,4.52,0.31,1.84
艺电,EA,2001-01-10,7.12,7.43,7.46,6.81,2788000,0.0,9.07,3.63,0.26,2.15
艺电,EA,2001-01-11,6.4,6.51,6.68,5.15,17389200,0.0,20.59,-12.38,-0.92,13.39
艺电,EA,2001-01-12,6.5,6.71,6.82,6.46,4597600,0.0,5.53,3.07,0.2,3.54
艺电,EA,2001-01-16,6.65,7.01,7.21,6.61,10186600,0.0,8.94,4.47,0.3,7.84
艺电,EA,2001-01-17,7.25,7.0,7.31,6.53,2126800,0.0,11.13,-0.14,-0.01,1.64
艺电,EA,2001-01-18,7.02,7.45,7.71,6.98,2944000,0.0,10.43,6.43,0.45,2.27
艺电,EA,2001-01-19,7.57,8.03,8.59,7.4,5705400,0.0,15.97,7.79,0.58,4.39
艺电,EA,2001-01-22,8.21,7.78,8.64,7.56,3304800,0.0,13.45,-3.11,-0.25,2.54
艺电,EA,2001-01-23,7.82,8.34,8.48,7.81,2960600,0.0,8.61,7.2,0.56,2.28
艺电,EA,2001-01-24,8.45,8.21,8.84,8.15,6764400,0.0,8.27,-1.56,-0.13,5.21
艺电,EA,2001-01-25,7.71,7.54,7.95,7.31,6611800,0.0,7.8,-8.16,-0.67,5.09
艺电,EA,2001-01-26,7.37,7.21,7.54,6.7,5464600,0.0,11.14,-4.38,-0.33,4.21
艺电,EA,2001-01-29,7.15,7.32,7.5,7.11,2758600,0.0,5.41,1.53,0.11,2.12
艺电,EA,2001-01-30,7.31,7.65,8.03,7.18,4084600,0.0,11.61,4.51,0.33,3.14
艺电,EA,2001-01-31,8.59,9.11,9.73,8.56,11994400,0.0,15.29,19.08,1.46,9.23
艺电,EA,2001-02-01,9.25,9.04,9.34,8.89,3770200,0.0,4.94,-0.77,-0.07,2.9
艺电,EA,2001-02-02,9.04,9.06,9.23,8.84,5668200,0.0,4.31,0.22,0.02,4.36
艺电,EA,2001-02-05,8.9,9.26,9.43,8.82,2413400,0.0,6.73,2.21,0.2,1.86
艺电,EA,2001-02-06,9.28,9.61,10.11,9.12,3254400,0.0,10.69,3.78,0.35,2.51
艺电,EA,2001-02-07,9.42,9.62,10.15,9.28,2587600,0.0,9.05,0.1,0.01,1.99
艺电,EA,2001-02-08,9.73,9.43,10.0,9.21,3369000,0.0,8.21,-1.98,-0.19,2.59
艺电,EA,2001-02-09,9.39,9.53,9.61,8.78,6985600,0.0,8.8,1.06,0.1,5.38
艺电,EA,2001-02-12,9.48,9.93,10.26,9.32,4661800,0.0,9.86,4.2,0.4,3.59
艺电,EA,2001-02-13,10.01,10.06,10.71,9.98,3798400,0.0,7.35,1.31,0.13,2.92
艺电,EA,2001-02-14,10.01,10.43,10.46,9.79,3152600,0.0,6.66,3.68,0.37,2.43
艺电,EA,2001-02-15,10.53,10.09,11.12,9.96,6313600,0.0,11.12,-3.26,-0.34,4.86
艺电,EA,2001-02-16,9.76,9.84,10.04,9.21,5754800,0.0,8.23,-2.48,-0.25,4.43
艺电,EA,2001-02-20,9.96,9.23,10.01,9.12,3177000,0.0,9.04,-6.2,-0.61,2.45
艺电,EA,2001-02-21,9.21,9.46,9.84,9.11,6483400,0.0,7.91,2.49,0.23,4.99
艺电,EA,2001-02-22,9.67,10.89,11.29,9.62,11985000,0.0,17.65,15.12,1.43,9.23
