股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
艺康,ECL,2000-01-03,-4.53,-5.18,-4.53,-5.28,291000,0.0,-16.78,-15.88,-0.71,0.22
艺康,ECL,2000-01-04,-5.22,-5.68,-5.06,-6.02,431600,0.0,-18.53,-9.65,-0.5,0.33
艺康,ECL,2000-01-05,-5.56,-4.97,-4.84,-5.65,306800,0.0,-14.26,12.5,0.71,0.24
艺康,ECL,2000-01-06,-5.28,-4.13,-4.09,-5.34,446800,0.0,-25.15,16.9,0.84,0.35
艺康,ECL,2000-01-07,-4.13,-4.13,-3.66,-4.44,450000,0.0,-18.89,0.0,0.0,0.35
艺康,ECL,2000-01-10,-4.03,-3.72,-3.69,-4.22,424400,0.0,-12.83,9.93,0.41,0.33
艺康,ECL,2000-01-11,-3.84,-3.94,-3.81,-4.09,259000,0.0,-7.53,-5.91,-0.22,0.2
艺康,ECL,2000-01-12,-4.53,-4.31,-4.13,-4.65,388800,0.0,-13.2,-9.39,-0.37,0.3
艺康,ECL,2000-01-13,-4.31,-4.47,-4.09,-4.5,246000,0.0,-9.51,-3.71,-0.16,0.19
艺康,ECL,2000-01-14,-4.47,-4.31,-4.28,-4.59,213600,0.0,-6.94,3.58,0.16,0.17
艺康,ECL,2000-01-18,-4.44,-4.81,-4.41,-4.87,284800,0.0,-10.67,-11.6,-0.5,0.22
艺康,ECL,2000-01-19,-4.72,-5.06,-4.62,-5.15,403600,0.0,-11.02,-5.2,-0.25,0.31
艺康,ECL,2000-01-20,-5.0,-5.12,-4.93,-5.28,342000,0.0,-6.92,-1.19,-0.06,0.26
艺康,ECL,2000-01-21,-5.03,-5.5,-5.03,-5.53,312000,0.0,-9.77,-7.42,-0.38,0.24
艺康,ECL,2000-01-24,-5.46,-5.84,-5.4,-6.02,208800,0.0,-11.27,-6.18,-0.34,0.16
艺康,ECL,2000-01-25,-5.71,-6.21,-5.28,-6.43,364600,0.0,-19.69,-6.34,-0.37,0.28
艺康,ECL,2000-01-26,-6.12,-5.93,-5.65,-6.37,400800,0.0,-11.59,4.51,0.28,0.31
艺康,ECL,2000-01-27,-6.06,-5.99,-5.68,-6.27,177200,0.0,-9.95,-1.01,-0.06,0.14
艺康,ECL,2000-01-28,-6.12,-6.77,-6.12,-7.15,362000,0.0,-17.2,-13.02,-0.78,0.28
艺康,ECL,2000-01-31,-6.52,-6.43,-6.24,-6.62,250000,0.0,-5.61,5.02,0.34,0.19
艺康,ECL,2000-02-01,-6.52,-6.49,-6.4,-6.71,137000,0.0,-4.82,-0.93,-0.06,0.11
艺康,ECL,2000-02-02,-6.43,-6.99,-6.43,-7.02,345200,0.0,-9.09,-7.7,-0.5,0.27
艺康,ECL,2000-02-03,-6.87,-6.65,-6.43,-7.02,313400,0.0,-8.44,4.86,0.34,0.24
艺康,ECL,2000-02-04,-6.65,-6.46,-6.15,-6.77,377200,0.0,-9.32,2.86,0.19,0.29
艺康,ECL,2000-02-07,-6.59,-6.55,-6.34,-6.77,328000,0.0,-6.66,-1.39,-0.09,0.25
艺康,ECL,2000-02-08,-6.59,-6.93,-6.59,-7.08,347600,0.0,-7.48,-5.8,-0.38,0.27
艺康,ECL,2000-02-09,-6.96,-7.49,-6.96,-7.61,306000,0.0,-9.38,-8.08,-0.56,0.24
艺康,ECL,2000-02-10,-7.61,-7.46,-7.27,-7.71,220400,0.0,-5.87,0.4,0.03,0.17
艺康,ECL,2000-02-11,-7.33,-7.77,-7.27,-7.86,183200,0.0,-7.91,-4.16,-0.31,0.14
艺康,ECL,2000-02-14,-7.71,-7.77,-7.58,-7.92,151000,0.0,-4.38,0.0,0.0,0.12
艺康,ECL,2000-02-15,-7.77,-7.33,-7.33,-7.89,341600,0.0,-7.21,5.66,0.44,0.26
