股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
爱迪生联合电气,ED,2000-01-03,-29.33,-29.96,-29.27,-29.96,581900,0.0,-2.36,-2.57,-0.75,0.27
爱迪生联合电气,ED,2000-01-04,-30.15,-29.52,-29.4,-30.15,602400,0.0,-2.5,1.47,0.44,0.28
爱迪生联合电气,ED,2000-01-05,-29.33,-27.96,-27.83,-29.33,817800,0.0,-5.08,5.28,1.56,0.38
爱迪生联合电气,ED,2000-01-06,-28.46,-27.9,-27.83,-28.65,680900,0.0,-2.93,0.21,0.06,0.32
爱迪生联合电气,ED,2000-01-07,-27.9,-27.65,-27.52,-28.08,391100,0.0,-2.01,0.9,0.25,0.18
爱迪生联合电气,ED,2000-01-10,-27.58,-28.58,-27.58,-28.71,481700,0.0,-4.09,-3.36,-0.93,0.23
爱迪生联合电气,ED,2000-01-11,-28.58,-29.27,-28.46,-29.4,544600,0.0,-3.29,-2.41,-0.69,0.25
爱迪生联合电气,ED,2000-01-12,-29.27,-29.15,-28.71,-29.33,749000,0.0,-2.12,0.41,0.12,0.35
爱迪生联合电气,ED,2000-01-13,-28.83,-29.46,-28.83,-29.71,452600,0.0,-3.02,-1.06,-0.31,0.21
爱迪生联合电气,ED,2000-01-14,-29.58,-30.02,-29.33,-30.15,646700,0.0,-2.78,-1.9,-0.56,0.3
爱迪生联合电气,ED,2000-01-18,-30.46,-31.08,-30.27,-31.21,740500,0.0,-3.13,-3.53,-1.06,0.35
爱迪生联合电气,ED,2000-01-19,-30.83,-30.46,-30.21,-30.9,453700,0.0,-2.22,1.99,0.62,0.21
爱迪生联合电气,ED,2000-01-20,-30.46,-30.83,-30.33,-30.9,526300,0.0,-1.87,-1.21,-0.37,0.25
爱迪生联合电气,ED,2000-01-21,-30.58,-30.15,-29.46,-30.71,695400,0.0,-4.05,2.21,0.68,0.33
爱迪生联合电气,ED,2000-01-24,-29.33,-29.71,-29.21,-29.71,643500,0.0,-1.66,1.46,0.44,0.3
爱迪生联合电气,ED,2000-01-25,-29.58,-30.71,-29.46,-30.83,492000,0.0,-4.61,-3.37,-1.0,0.23
