股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
俄铝,00486,2010-01-27,9.434,9.094,9.614,9.084,188246000,1850846000.0,5.18,-11.14,-1.14,1.24
俄铝,00486,2010-01-28,9.134,9.054,9.154,9.034,84310472,816386400.0,1.32,-0.44,-0.04,0.56
俄铝,00486,2010-01-29,9.064,8.914,9.064,8.534,44300000,418940704.0,5.85,-1.55,-0.14,0.29
俄铝,00486,2010-02-01,9.134,8.814,9.134,8.594,29375200,276300608.0,6.06,-1.12,-0.1,0.19
俄铝,00486,2010-02-02,8.934,8.784,8.954,8.694,34758000,325618304.0,2.95,-0.34,-0.03,0.23
俄铝,00486,2010-02-03,8.834,8.954,8.974,8.774,17317540,162999500.0,2.28,1.94,0.17,0.11
俄铝,00486,2010-02-04,8.834,8.844,9.054,8.814,8350000,79693320.0,2.68,-1.23,-0.11,0.06
俄铝,00486,2010-02-05,8.684,8.504,8.684,8.464,12296000,112148300.0,2.49,-3.84,-0.34,0.08
俄铝,00486,2010-02-08,8.474,8.094,8.474,7.994,8914000,78130460.0,5.64,-4.82,-0.41,0.06
俄铝,00486,2010-02-09,8.184,8.134,8.194,8.124,7020000,61227680.0,0.86,0.49,0.04,0.05
俄铝,00486,2010-02-10,8.174,8.204,8.334,8.144,8454000,74081050.0,2.34,0.86,0.07,0.06
俄铝,00486,2010-02-11,8.184,8.094,8.184,8.084,6684000,58165240.0,1.22,-1.34,-0.11,0.04
俄铝,00486,2010-02-12,8.094,7.904,8.094,7.874,5091000,43560100.0,2.72,-2.35,-0.19,0.03
俄铝,00486,2010-02-17,7.894,7.444,7.984,7.244,18295000,148239700.0,9.36,-5.82,-0.46,0.12
俄铝,00486,2010-02-18,7.534,6.904,7.534,6.804,22229000,168610200.0,9.81,-7.25,-0.54,0.15
俄铝,00486,2010-02-19,7.074,6.934,7.174,6.874,15953000,121611100.0,4.35,0.43,0.03,0.11
俄铝,00486,2010-02-22,7.234,7.454,7.774,7.234,10056000,0.0,7.79,7.5,0.52,0.07
俄铝,00486,2010-02-23,7.484,7.734,7.734,7.424,10120500,0.0,4.16,3.76,0.28,0.07
俄铝,00486,2010-02-24,7.684,7.644,7.734,7.594,4978000,0.0,1.81,-1.16,-0.09,0.03
