股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
艾默生电气,EMR,2000-01-03,-6.6,-6.26,-6.26,-6.88,2246800,0.0,-9.76,1.42,0.09,0.52
艾默生电气,EMR,2000-01-04,-6.29,-6.6,-6.26,-6.63,1708200,0.0,-5.91,-5.43,-0.34,0.4
艾默生电气,EMR,2000-01-05,-6.6,-6.07,-5.92,-6.63,2190200,0.0,-10.76,8.03,0.53,0.51
艾默生电气,EMR,2000-01-06,-6.29,-5.26,-5.05,-6.35,2593200,0.0,-21.42,13.34,0.81,0.6
艾默生电气,EMR,2000-01-07,-4.8,-3.93,-3.71,-5.17,2663200,0.0,-27.76,25.29,1.33,0.62
艾默生电气,EMR,2000-01-10,-4.05,-5.54,-4.02,-5.73,2557000,0.0,-43.51,-40.97,-1.61,0.59
艾默生电气,EMR,2000-01-11,-5.67,-5.61,-5.05,-5.73,1895000,0.0,-12.27,-1.26,-0.07,0.44
艾默生电气,EMR,2000-01-12,-5.51,-5.2,-4.86,-5.54,1361200,0.0,-12.12,7.31,0.41,0.31
艾默生电气,EMR,2000-01-13,-5.08,-4.3,-3.96,-5.17,2131800,0.0,-23.27,17.31,0.9,0.49
艾默生电气,EMR,2000-01-14,-4.36,-4.58,-4.18,-4.61,2687600,0.0,-10.0,-6.51,-0.28,0.62
艾默生电气,EMR,2000-01-18,-4.71,-4.95,-4.67,-5.36,2101600,0.0,-15.07,-8.08,-0.37,0.49
艾默生电气,EMR,2000-01-19,-4.83,-4.21,-3.87,-4.86,2323600,0.0,-20.0,14.95,0.74,0.54
艾默生电气,EMR,2000-01-20,-4.12,-4.83,-3.87,-4.89,2345000,0.0,-24.23,-14.73,-0.62,0.54
艾默生电气,EMR,2000-01-21,-5.17,-5.02,-4.77,-5.23,2468600,0.0,-9.52,-3.93,-0.19,0.57
艾默生电气,EMR,2000-01-24,-4.89,-5.98,-4.89,-6.16,2503800,0.0,-25.3,-19.12,-0.96,0.58
艾默生电气,EMR,2000-01-25,-6.23,-6.44,-6.04,-6.47,1917400,0.0,-7.19,-7.69,-0.46,0.44
艾默生电气,EMR,2000-01-26,-6.32,-6.78,-6.29,-7.12,2555000,0.0,-12.89,-5.28,-0.34,0.59
艾默生电气,EMR,2000-01-27,-6.78,-7.19,-6.29,-7.4,2657000,0.0,-16.37,-6.05,-0.41,0.61
艾默生电气,EMR,2000-01-28,-7.22,-7.03,-6.54,-7.4,3268000,0.0,-11.96,2.23,0.16,0.76
艾默生电气,EMR,2000-01-31,-7.28,-7.5,-7.0,-7.5,1994200,0.0,-7.11,-6.69,-0.47,0.46
艾默生电气,EMR,2000-02-01,-7.47,-7.71,-7.31,-7.84,2353000,0.0,-7.07,-2.8,-0.21,0.54
艾默生电气,EMR,2000-02-02,-7.59,-8.27,-7.56,-8.27,3647600,0.0,-9.21,-7.26,-0.56,0.84
艾默生电气,EMR,2000-02-03,-8.71,-7.96,-7.31,-8.71,3129800,0.0,-16.93,3.75,0.31,0.72
艾默生电气,EMR,2000-02-04,-8.4,-9.14,-8.15,-9.3,4791600,0.0,-14.45,-14.82,-1.18,1.11
艾默生电气,EMR,2000-02-07,-9.89,-10.04,-9.48,-10.35,4253800,0.0,-9.52,-9.85,-0.9,0.98
艾默生电气,EMR,2000-02-08,-10.01,-10.07,-9.58,-10.23,4255000,0.0,-6.47,-0.3,-0.03,0.98
艾默生电气,EMR,2000-02-09,-10.2,-11.0,-10.1,-11.03,3230000,0.0,-9.24,-9.24,-0.93,0.75
艾默生电气,EMR,2000-02-10,-10.97,-11.65,-10.78,-11.96,4165200,0.0,-10.73,-5.91,-0.65,0.96
艾默生电气,EMR,2000-02-11,-11.53,-11.81,-11.28,-11.9,3386000,0.0,-5.32,-1.37,-0.16,0.78
艾默生电气,EMR,2000-02-14,-11.68,-11.81,-11.62,-12.15,2457000,0.0,-4.49,0.0,0.0,0.57
艾默生电气,EMR,2000-02-15,-11.93,-11.06,-10.78,-12.12,4507000,0.0,-11.35,6.35,0.75,1.04
艾默生电气,EMR,2000-02-16,-10.8,-10.2,-9.99,-11.08,2960000,0.0,-9.86,7.78,0.86,0.68
艾默生电气,EMR,2000-02-17,-9.89,-9.96,-9.86,-10.39,4165600,0.0,-5.2,2.35,0.24,0.96
艾默生电气,EMR,2000-02-18,-9.92,-9.64,-9.08,-10.11,3859000,0.0,-10.34,3.21,0.32,0.89
艾默生电气,EMR,2000-02-22,-10.02,-9.83,-9.33,-10.11,2932600,0.0,-8.09,-1.97,-0.19,0.68
艾默生电气,EMR,2000-02-24,-10.39,-10.42,-10.02,-10.89,2665200,0.0,-8.85,-6.0,-0.59,0.62
艾默生电气,EMR,2000-02-25,-9.64,-10.83,-9.61,-10.86,2696800,0.0,-12.0,-3.93,-0.41,0.62
艾默生电气,EMR,2000-02-28,-10.83,-11.39,-10.64,-11.39,2706000,0.0,-6.93,-5.17,-0.56,0.63
艾默生电气,EMR,2000-02-29,-11.39,-11.86,-11.17,-11.99,3848800,0.0,-7.2,-4.13,-0.47,0.89
艾默生电气,EMR,2000-03-01,-12.14,-12.33,-11.92,-12.55,4875000,0.0,-5.31,-3.96,-0.47,1.13
艾默生电气,EMR,2000-03-02,-12.58,-12.61,-12.27,-12.83,3486200,0.0,-4.54,-2.27,-0.28,0.81
艾默生电气,EMR,2000-03-03,-12.61,-12.83,-12.17,-13.11,3784200,0.0,-7.45,-1.74,-0.22,0.88
